CKG|YKA,|YKA|YVR|PEK|CKG|
CKG|YPR,|YPR|YVR|PEK|CKG|
CKG|YQZ,|YQZ|YVR|PEK|CKG|
CKG|YXC,|YXC|YVR|PEK|CKG|
CKG|YXJ,|YXJ|YVR|PEK|CKG|
CKG|YXS,|YXS|YVR|PEK|CKG|
CKG|YXT,|YXT|YVR|PEK|CKG|
CKG|YXY,|YXY|YVR|PEK|CKG|
CKG|YYD,|YYD|YVR|PEK|CKG|
CKG|YYF,|YYF|YVR|PEK|CKG|
CKG|YZP,|YZP|YVR|PEK|CKG|
CKG|YQT,|YQT|YWG|YVR|PEK|CKG|
CKG|SJD,|SJD|SFO|PEK|CKG|
CKG|YQF,|YQF|YYC|YVR|PEK|CKG|
CKG|YQL,|YQL|YYC|YVR|PEK|CKG|
CKG|YXH,|YXH|YYC|YVR|PEK|CKG|
CKG|YWK,|YWK|YZV|YQB|YYZ|PEK|CKG|
CKG|ANU,|ANU|EWR|PEK|CKG|
CKG|AUA,|AUA|EWR|PEK|CKG|
CKG|AUH,|AUH|IST|URC|CKG|
CKG|BCN,|BCN|IST|URC|CKG|
CKG|BDA,|BDA|EWR|PEK|CKG|
CKG|BGI,|BGI|YYZ|PEK|CKG|
CKG|BNA,|BNA|ORD|PEK|CKG|
CKG|BOG,|BOG|MIA|ORD|PEK|CKG|
CKG|BWI,|BWI|YYZ|PEK|CKG|
CKG|CLE,|CLE|YYZ|PEK|CKG|
CKG|CLT,|CLT|YYZ|PEK|CKG|
CKG|CMH,|CMH|ORD|PEK|CKG|
CKG|CVG,|CVG|ORD|PEK|CKG|
CKG|DFW,|DFW|YVR|PEK|CKG|
CKG|DTW,|DTW|PEK|CKG|
CKG|DUB,|DUB|IST|URC|CKG|
CKG|FCO,|FCO|IST|URC|CKG|
CKG|GCM,|GCM|YYZ|PEK|CKG|
CKG|GGT,|GGT|YYZ|PEK|CKG|
CKG|GND,|GND|YYZ|PEK|CKG|
CKG|GRU,|GRU|IST|URC|CKG|
CKG|HAV,|HAV|YYZ|PEK|CKG|
CKG|IND,|IND|ORD|PEK|CKG|
CKG|JFK,|JFK|PEK|CKG|
CKG|KIN,|KIN|YYZ|PEK|CKG|
CKG|LIM,|LIM|IAH|PEK|CKG|
CKG|LIR,|LIR|IAH|PEK|CKG|
CKG|MCI,|MCI|DEN|YVR|PEK|CKG|
CKG|MDT,|MDT|YYZ|PEK|CKG|
CKG|MIA,|MIA|ORD|PEK|CKG|
CKG|MKE,|MKE|ORD|PEK|CKG|
CKG|MSP,|MSP|ORD|PEK|CKG|
CKG|NAS,|NAS|YYZ|PEK|CKG|
CKG|PHL,|PHL|YYZ|PEK|CKG|
CKG|PHX,|PHX|SEA|PEK|CKG|
CKG|PIT,|PIT|YYZ|PEK|CKG|
CKG|PLS,|PLS|EWR|PEK|CKG|
CKG|POP,|POP|EWR|PEK|CKG|
CKG|RDU,|RDU|YYZ|PEK|CKG|
CKG|ROC,|ROC|YYZ|PEK|CKG|
CKG|RSW,|RSW|ORD|PEK|CKG|
CKG|SAN,|SAN|LAX|PEK|CKG|
CKG|SJO,|SJO|IAH|PEK|CKG|
CKG|STL,|STL|ORD|PEK|CKG|
CKG|SYR,|SYR|YYZ|PEK|CKG|
CKG|TLV,|TLV|SAW|TBS|URC|CKG|
CKG|TPA,|TPA|ORD|PEK|CKG|
CKG|UVF,|UVF|EWR|PEK|CKG|
CKG|VIE,|VIE|IST|URC|CKG|
CKG|YAM,|YAM|YYZ|PEK|CKG|
CKG|YGK,|YGK|YYZ|PEK|CKG|
CKG|YQG,|YQG|YYZ|PEK|CKG|
CKG|YSB,|YSB|YYZ|PEK|CKG|
CKG|YTS,|YTS|YYZ|PEK|CKG|
CKG|YYB,|YYB|YYZ|PEK|CKG|
CKG|YZR,|YZR|YYZ|PEK|CKG|
CKG|CAN,|CAN|CKG|
CKG|URC,|URC|CKG|
CKG|CTU,|CTU|KWE|CKG|
CKG|HGH,|HGH|CKG|
CKG|XMN,|XMN|CKG|
CKG|CGO,|CGO|CKG|
CKG|CSX,|CSX|CKG|
CKG|SHE,|SHE|CKG|
CKG|SJW,|SJW|CSX|CKG|
CKG|WUH,|WUH|CKG|
CKG|SZX,|SZX|CKG|
CKG|KMG,|KMG|CKG|
CKG|FOC,|FOC|CKG|
CKG|NNG,|NNG|CKG|
CKG|SWA,|SWA|CSX|CKG|
CKG|ACX,|ACX|CAN|CKG|
CKG|AQG,|AQG|CAN|CKG|
CKG|AVA,|AVA|CAN|CKG|
CKG|BFJ,|BFJ|CAN|CKG|
CKG|BHY,|BHY|CKG|
CKG|BNE,|BNE|CAN|CKG|
CKG|CGD,|CGD|CAN|CKG|
CKG|CGK,|CGK|CAN|CKG|
CKG|CGQ,|CGQ|CKG|
CKG|CIH,|CIH|DAT|TYN|XIY|CKG|
CKG|CNX,|CNX|CAN|CKG|
CKG|CZX,|CZX|CSX|CKG|
CKG|DAC,|DAC|CAN|CKG|
CKG|DAD,|DAD|CAN|CKG|
CKG|DEL,|DEL|CAN|CKG|
CKG|DIG,|DIG|KMG|CKG|
CKG|DLC,|DLC|CGO|CKG|
CKG|DPS,|DPS|CAN|CKG|
CKG|DXB,|DXB|CAN|CKG|
CKG|DYG,|DYG|CSX|CKG|
CKG|FUG,|FUG|CAN|CKG|
CKG|FUK,|FUK|ICN|CGO|CKG|
CKG|HAK,|HAK|CKG|
CKG|HAN,|HAN|CAN|CKG|
CKG|HDG,|HDG|CAN|CKG|
CKG|HET,|HET|INC|XIY|CKG|
CKG|HFE,|HFE|CSX|CKG|
CKG|HJJ,|HJJ|CSX|CKG|
CKG|HKT,|HKT|KWE|CKG|
CKG|HRB,|HRB|TSN|CKG|
CKG|HZH,|HZH|CAN|CKG|
CKG|JIU,|JIU|CAN|CKG|
CKG|JJN,|JJN|CSX|CKG|
CKG|JNG,|JNG|CAN|CKG|
CKG|KHN,|KHN|CKG|
CKG|KIX,|KIX|DLC|CGO|CKG|
CKG|KOW,|KOW|CAN|CKG|
CKG|KTM,|KTM|CAN|CKG|
CKG|KUL,|KUL|BKK|NNG|CKG|
CKG|KWE,|KWE|CKG|
CKG|KWL,|KWL|CKG|
CKG|LHW,|LHW|CGO|CKG|
CKG|LYA,|LYA|KHN|CKG|
CKG|LYG,|LYG|CAN|CKG|
CKG|LZH,|LZH|CAN|CKG|
CKG|MEL,|MEL|CAN|CKG|
CKG|MIG,|MIG|CSX|CKG|
CKG|MLE,|MLE|CAN|CKG|
CKG|MNL,|MNL|CAN|CKG|
CKG|MXZ,|MXZ|CAN|CKG|
CKG|NAO,|NAO|CAN|CKG|
CKG|NGB,|NGB|WUH|CKG|
CKG|NKG,|NKG|KHN|CKG|
CKG|NNY,|NNY|CGO|CKG|
CKG|PEN,|PEN|CAN|CKG|
CKG|PER,|PER|CAN|CKG|
CKG|PNH,|PNH|CAN|CKG|
CKG|REP,|REP|CAN|CKG|
CKG|RGN,|RGN|CAN|CKG|
CKG|SGN,|SGN|CAN|CKG|
CKG|SHA,|SHA|WUH|CKG|
CKG|SIN,|SIN|CAN|CKG|
CKG|SVO,|SVO|URC|CKG|
CKG|SYX,|SYX|CKG|
CKG|TAO,|TAO|CGO|CKG|
CKG|TEN,|TEN|CAN|CKG|
CKG|TNA,|TNA|XIY|CKG|
CKG|TPE,|TPE|CSX|CKG|
CKG|TSN,|TSN|CKG|
CKG|TXN,|TXN|CSX|CKG|
CKG|TYN,|TYN|XIY|CKG|
CKG|WNZ,|WNZ|CSX|CKG|
CKG|WUX,|WUX|CAN|CKG|
CKG|XFN,|XFN|CAN|CKG|
CKG|XIY,|XIY|CKG|
CKG|XUZ,|XUZ|INC|XIY|CKG|
CKG|YIH,|YIH|CKG|
CKG|YIW,|YIW|CGO|CKG|
CKG|YNT,|YNT|CSX|CKG|
CKG|YNZ,|YNZ|WUH|CKG|
CKG|YTY,|YTY|CGO|CKG|
CKG|ZHA,|ZHA|CAN|CKG|
CKG|ZYI,|ZYI|CAN|CKG|
CKG|BAV,|BAV|CGO|CKG|
CKG|CJU,|CJU|CGO|CKG|
CKG|DSN,|DSN|CGO|CKG|
CKG|HMI,|HMI|URC|CKG|
CKG|INC,|INC|XIY|CKG|
CKG|KHH,|KHH|WUH|CKG|
CKG|UYN,|UYN|XIY|CKG|
CKG|XNN,|XNN|CKG|
CKG|ZUH,|ZUH|KWE|CKG|
CKG|YNJ,|YNJ|DLC|CGO|CKG|
CKG|DAT,|DAT|TYN|XIY|CKG|
CKG|JHG,|JHG|CKG|
CKG|LJG,|LJG|CKG|
CKG|LXA,|LXA|CKG|
CKG|YCU,|YCU|CKG|
CKG|LZO,|LZO|CSX|CKG|
CKG|MDG,|MDG|DLC|CGO|CKG|
CKG|NGO,|NGO|PVG|WUH|CKG|
CKG|TOY,|TOY|DLC|CGO|CKG|
CKG|MFM,|MFM|XMN|CKG|
CKG|TGO,|TGO|HET|INC|XIY|CKG|
CKG|XIL,|XIL|HET|INC|XIY|CKG|
CKG|HEK,|HEK|HRB|TSN|CKG|
CKG|KIJ,|KIJ|HRB|TSN|CKG|
CKG|LDS,|LDS|HRB|TSN|CKG|
CKG|OHE,|OHE|HRB|TSN|CKG|
CKG|HSN,|HSN|JJN|CSX|CKG|
CKG|DLU,|DLU|KMG|CKG|
CKG|SYM,|SYM|KMG|CKG|
CKG|ZAT,|ZAT|KMG|CKG|
CKG|LUN,|LUN|NBO|BKK|NNG|CKG|
CKG|AOG,|AOG|PEK|CKG|
CKG|GMP,|GMP|PEK|CKG|
CKG|ISB,|ISB|URC|CKG|
CKG|TAS,|TAS|URC|CKG|
CKG|WUS,|WUS|PEK|CKG|
CKG|JMU,|JMU|PVG|WUH|CKG|
CKG|NDG,|NDG|PVG|WUH|CKG|
CKG|JXA,|JXA|SHE|CKG|
CKG|PUS,|PUS|SHE|CKG|
