ZUH|AKL,|AKL|CAN|MXZ|ZUH|
ZUH|HKG,|HKG|SWA|ZUH|
ZUH|HND,|HND|HNL|NRT|ICN|PVG|ZUH|
ZUH|HNL,|HNL|NRT|ICN|PVG|ZUH|
ZUH|MEX,|MEX|SFO|PVG|ZUH|
ZUH|OGG,|OGG|HNL|NRT|ICN|PVG|ZUH|
ZUH|PDX,|PDX|SEA|ICN|PVG|ZUH|
ZUH|PEK,|PEK|ZUH|
ZUH|PVG,|PVG|ZUH|
ZUH|PVR,|PVR|LAX|PVG|ZUH|
ZUH|SEA,|SEA|ICN|PVG|ZUH|
ZUH|SYD,|SYD|CAN|MXZ|ZUH|
ZUH|YBL,|YBL|YVR|PVG|ZUH|
ZUH|YCD,|YCD|YVR|PVG|ZUH|
ZUH|YCG,|YCG|YVR|PVG|ZUH|
ZUH|YKA,|YKA|YVR|PVG|ZUH|
ZUH|YPR,|YPR|YVR|PVG|ZUH|
ZUH|YQZ,|YQZ|YVR|PVG|ZUH|
ZUH|YXC,|YXC|YVR|PVG|ZUH|
ZUH|YXJ,|YXJ|YVR|PVG|ZUH|
ZUH|YXS,|YXS|YVR|PVG|ZUH|
ZUH|YXT,|YXT|YVR|PVG|ZUH|
ZUH|YXY,|YXY|YVR|PVG|ZUH|
ZUH|YYD,|YYD|YVR|PVG|ZUH|
ZUH|YYF,|YYF|YVR|PVG|ZUH|
ZUH|YZP,|YZP|YVR|PVG|ZUH|
ZUH|YQT,|YQT|YWG|YVR|PVG|ZUH|
ZUH|SJD,|SJD|LAX|PVG|ZUH|
ZUH|YQF,|YQF|YYC|YVR|PVG|ZUH|
ZUH|YQL,|YQL|YYC|YVR|PVG|ZUH|
ZUH|YXH,|YXH|YYC|YVR|PVG|ZUH|
ZUH|YWK,|YWK|YZV|YQB|YYZ|PEK|ZUH|
ZUH|ANU,|ANU|EWR|PEK|ZUH|
ZUH|AUA,|AUA|EWR|PEK|ZUH|
ZUH|AUH,|AUH|IST|URC|KWE|ZUH|
ZUH|BCN,|BCN|IST|URC|KWE|ZUH|
ZUH|BDA,|BDA|EWR|PEK|ZUH|
ZUH|BGI,|BGI|YYZ|PEK|ZUH|
ZUH|BNA,|BNA|ORD|PEK|ZUH|
ZUH|BOG,|BOG|MIA|ORD|PEK|ZUH|
ZUH|BWI,|BWI|YYZ|PEK|ZUH|
ZUH|CLE,|CLE|YYZ|PEK|ZUH|
ZUH|CLT,|CLT|YYZ|PEK|ZUH|
ZUH|CMH,|CMH|ORD|PEK|ZUH|
ZUH|CVG,|CVG|ORD|PEK|ZUH|
ZUH|DFW,|DFW|YVR|PVG|ZUH|
ZUH|DTW,|DTW|PEK|ZUH|
ZUH|DUB,|DUB|IST|URC|KWE|ZUH|
ZUH|FCO,|FCO|IST|URC|KWE|ZUH|
ZUH|GCM,|GCM|YYZ|PEK|ZUH|
ZUH|GGT,|GGT|YYZ|PEK|ZUH|
ZUH|GND,|GND|YYZ|PEK|ZUH|
ZUH|GRU,|GRU|IST|URC|KWE|ZUH|
ZUH|HAV,|HAV|YYZ|PEK|ZUH|
ZUH|IND,|IND|ORD|PEK|ZUH|
ZUH|JFK,|JFK|PEK|ZUH|
ZUH|KIN,|KIN|YYZ|PEK|ZUH|
ZUH|LIM,|LIM|IAH|YVR|PVG|ZUH|
ZUH|LIR,|LIR|IAH|YVR|PVG|ZUH|
ZUH|MCI,|MCI|DEN|YVR|PVG|ZUH|
ZUH|MDT,|MDT|YYZ|PEK|ZUH|
ZUH|MIA,|MIA|ORD|PEK|ZUH|
ZUH|MKE,|MKE|ORD|PEK|ZUH|
ZUH|MSP,|MSP|ORD|PEK|ZUH|
ZUH|NAS,|NAS|YYZ|PEK|ZUH|
ZUH|PHL,|PHL|YYZ|PEK|ZUH|
ZUH|PHX,|PHX|SFO|PVG|ZUH|
ZUH|PIT,|PIT|YYZ|PEK|ZUH|
ZUH|PLS,|PLS|EWR|PEK|ZUH|
ZUH|POP,|POP|EWR|PEK|ZUH|
ZUH|RDU,|RDU|YYZ|PEK|ZUH|
ZUH|ROC,|ROC|YYZ|PEK|ZUH|
ZUH|RSW,|RSW|ORD|PEK|ZUH|
ZUH|SAN,|SAN|LAX|PVG|ZUH|
ZUH|SJO,|SJO|IAH|YVR|PVG|ZUH|
ZUH|STL,|STL|ORD|PEK|ZUH|
ZUH|SYR,|SYR|YYZ|PEK|ZUH|
ZUH|TLV,|TLV|SAW|TBS|URC|KWE|ZUH|
ZUH|TPA,|TPA|ORD|PEK|ZUH|
ZUH|UVF,|UVF|EWR|PEK|ZUH|
ZUH|VIE,|VIE|IST|URC|KWE|ZUH|
ZUH|YAM,|YAM|YYZ|PEK|ZUH|
ZUH|YGK,|YGK|YYZ|PEK|ZUH|
ZUH|YQG,|YQG|YYZ|PEK|ZUH|
ZUH|YSB,|YSB|YYZ|PEK|ZUH|
ZUH|YTS,|YTS|YYZ|PEK|ZUH|
ZUH|YYB,|YYB|YYZ|PEK|ZUH|
ZUH|YZR,|YZR|YYZ|PEK|ZUH|
ZUH|CAN,|CAN|MXZ|ZUH|
ZUH|URC,|URC|KWE|ZUH|
ZUH|CTU,|CTU|KWE|ZUH|
ZUH|HGH,|HGH|ZUH|
ZUH|XMN,|XMN|ZUH|
ZUH|CGO,|CGO|ZUH|
ZUH|CSX,|CSX|ZUH|
ZUH|SHE,|SHE|NKG|KHN|ZUH|
ZUH|SJW,|SJW|CSX|ZUH|
ZUH|WUH,|WUH|ZUH|
