SZX|PVR,|PVR|LAX|PVG|SZX|
SZX|SEA,|SEA|ICN|PVG|SZX|
SZX|SYD,|SYD|CAN|MXZ|SZX|
SZX|YBL,|YBL|YVR|PVG|SZX|
SZX|YCD,|YCD|YVR|PVG|SZX|
SZX|YCG,|YCG|YVR|PVG|SZX|
SZX|YKA,|YKA|YVR|PVG|SZX|
SZX|YPR,|YPR|YVR|PVG|SZX|
SZX|YQZ,|YQZ|YVR|PVG|SZX|
SZX|YXC,|YXC|YVR|PVG|SZX|
SZX|YXJ,|YXJ|YVR|PVG|SZX|
SZX|YXS,|YXS|YVR|PVG|SZX|
SZX|YXT,|YXT|YVR|PVG|SZX|
SZX|YXY,|YXY|YVR|PVG|SZX|
SZX|YYD,|YYD|YVR|PVG|SZX|
SZX|YYF,|YYF|YVR|PVG|SZX|
SZX|YZP,|YZP|YVR|PVG|SZX|
SZX|YQT,|YQT|YWG|YVR|PVG|SZX|
SZX|SJD,|SJD|LAX|PVG|SZX|
SZX|YQF,|YQF|YYC|YVR|PVG|SZX|
SZX|YQL,|YQL|YYC|YVR|PVG|SZX|
SZX|YXH,|YXH|YYC|YVR|PVG|SZX|
SZX|YWK,|YWK|YZV|YQB|YYZ|PEK|SZX|
SZX|ANU,|ANU|EWR|PEK|SZX|
SZX|AUA,|AUA|EWR|PEK|SZX|
SZX|AUH,|AUH|IST|URC|CKG|SZX|
SZX|BCN,|BCN|IST|URC|CKG|SZX|
SZX|BDA,|BDA|EWR|PEK|SZX|
SZX|BGI,|BGI|YYZ|PEK|SZX|
SZX|BNA,|BNA|ORD|PEK|SZX|
SZX|BOG,|BOG|MIA|ORD|PEK|SZX|
SZX|BWI,|BWI|YYZ|PEK|SZX|
SZX|CLE,|CLE|YYZ|PEK|SZX|
SZX|CLT,|CLT|YYZ|PEK|SZX|
SZX|CMH,|CMH|ORD|PEK|SZX|
SZX|CVG,|CVG|ORD|PEK|SZX|
SZX|DFW,|DFW|YVR|PVG|SZX|
SZX|DTW,|DTW|PEK|SZX|
SZX|DUB,|DUB|IST|URC|CKG|SZX|
SZX|FCO,|FCO|IST|URC|CKG|SZX|
SZX|GCM,|GCM|YYZ|PEK|SZX|
SZX|GGT,|GGT|YYZ|PEK|SZX|
SZX|GND,|GND|YYZ|PEK|SZX|
SZX|GRU,|GRU|IST|URC|CKG|SZX|
SZX|HAV,|HAV|YYZ|PEK|SZX|
SZX|IND,|IND|ORD|PEK|SZX|
SZX|JFK,|JFK|PEK|SZX|
SZX|KIN,|KIN|YYZ|PEK|SZX|
SZX|LIM,|LIM|IAH|YVR|PVG|SZX|
SZX|LIR,|LIR|IAH|YVR|PVG|SZX|
SZX|MCI,|MCI|DEN|YVR|PVG|SZX|
SZX|MDT,|MDT|YYZ|PEK|SZX|
SZX|MIA,|MIA|ORD|PEK|SZX|
SZX|MKE,|MKE|ORD|PEK|SZX|
SZX|MSP,|MSP|ORD|PEK|SZX|
SZX|NAS,|NAS|YYZ|PEK|SZX|
SZX|PHL,|PHL|YYZ|PEK|SZX|
SZX|PHX,|PHX|SFO|PVG|SZX|
SZX|PIT,|PIT|YYZ|PEK|SZX|
SZX|PLS,|PLS|EWR|PEK|SZX|
SZX|POP,|POP|EWR|PEK|SZX|
SZX|RDU,|RDU|YYZ|PEK|SZX|
SZX|ROC,|ROC|YYZ|PEK|SZX|
SZX|RSW,|RSW|ORD|PEK|SZX|
SZX|SAN,|SAN|LAX|PVG|SZX|
SZX|SJO,|SJO|IAH|YVR|PVG|SZX|
SZX|STL,|STL|ORD|PEK|SZX|
SZX|SYR,|SYR|YYZ|PEK|SZX|
SZX|TLV,|TLV|SAW|TBS|URC|CKG|SZX|
SZX|TPA,|TPA|ORD|PEK|SZX|
SZX|UVF,|UVF|EWR|PEK|SZX|
SZX|VIE,|VIE|IST|URC|CKG|SZX|
SZX|YAM,|YAM|YYZ|PEK|SZX|
SZX|YGK,|YGK|YYZ|PEK|SZX|
SZX|YQG,|YQG|YYZ|PEK|SZX|
SZX|YSB,|YSB|YYZ|PEK|SZX|
SZX|YTS,|YTS|YYZ|PEK|SZX|
SZX|YYB,|YYB|YYZ|PEK|SZX|
SZX|YZR,|YZR|YYZ|PEK|SZX|
SZX|CAN,|CAN|MXZ|SZX|
SZX|URC,|URC|CKG|SZX|
SZX|CTU,|CTU|SZX|
SZX|HGH,|HGH|SZX|
SZX|XMN,|XMN|SZX|
SZX|CGO,|CGO|SZX|
SZX|CSX,|CSX|SZX|
SZX|SHE,|SHE|TAO|SZX|
SZX|SJW,|SJW|SZX|
SZX|WUH,|WUH|SZX|
SZX|CKG,|CKG|SZX|
SZX|KMG,|KMG|SZX|
SZX|FOC,|FOC|SZX|
SZX|NNG,|NNG|SZX|
SZX|SWA,|SWA|HKG|MXZ|SZX|
SZX|ACX,|ACX|CAN|MXZ|SZX|
SZX|AQG,|AQG|CAN|MXZ|SZX|
SZX|AVA,|AVA|CAN|MXZ|SZX|
SZX|BFJ,|BFJ|SZX|
SZX|BHY,|BHY|CAN|MXZ|SZX|
SZX|BNE,|BNE|CAN|MXZ|SZX|
SZX|CGD,|CGD|SZX|
SZX|CGK,|CGK|CAN|MXZ|SZX|
SZX|CGQ,|CGQ|TAO|SZX|
SZX|CIH,|CIH|CAN|MXZ|SZX|
SZX|CNX,|CNX|CAN|MXZ|SZX|
SZX|CZX,|CZX|SZX|
SZX|DAC,|DAC|CAN|MXZ|SZX|
SZX|DAD,|DAD|CAN|MXZ|SZX|
SZX|DEL,|DEL|CAN|MXZ|SZX|
SZX|DIG,|DIG|KMG|SZX|
SZX|DLC,|DLC|SZX|
SZX|DPS,|DPS|SZX|
SZX|DXB,|DXB|CAN|MXZ|SZX|
SZX|DYG,|DYG|SZX|
SZX|FUG,|FUG|CAN|MXZ|SZX|
SZX|FUK,|FUK|ICN|PVG|SZX|
SZX|HAK,|HAK|SZX|
SZX|HAN,|HAN|CAN|MXZ|SZX|
SZX|HDG,|HDG|CAN|MXZ|SZX|
SZX|HET,|HET|CSX|SZX|
SZX|HFE,|HFE|SZX|
SZX|HJJ,|HJJ|CSX|SZX|
SZX|HKT,|HKT|SZX|
SZX|HRB,|HRB|SZX|
SZX|HZH,|HZH|CAN|MXZ|SZX|
SZX|JIU,|JIU|CAN|MXZ|SZX|
SZX|JJN,|JJN|SZX|
SZX|JNG,|JNG|CAN|MXZ|SZX|
SZX|KHN,|KHN|SZX|
SZX|KIX,|KIX|CAN|MXZ|SZX|
SZX|KOW,|KOW|SZX|
SZX|KTM,|KTM|CAN|MXZ|SZX|
SZX|KUL,|KUL|BKK|NNG|SZX|
SZX|KWE,|KWE|SZX|
SZX|KWL,|KWL|SZX|
SZX|LHW,|LHW|CSX|SZX|
SZX|LYA,|LYA|KHN|SZX|
SZX|LYG,|LYG|HSN|SZX|
SZX|LZH,|LZH|CAN|MXZ|SZX|
SZX|MEL,|MEL|CAN|MXZ|SZX|
SZX|MIG,|MIG|CSX|SZX|
SZX|MLE,|MLE|CAN|MXZ|SZX|
SZX|MNL,|MNL|XMN|SZX|
SZX|MXZ,|MXZ|SZX|
SZX|NAO,|NAO|SZX|
SZX|NGB,|NGB|SZX|
SZX|NKG,|NKG|SZX|
SZX|NNY,|NNY|SZX|
SZX|PEN,|PEN|CAN|MXZ|SZX|
SZX|PER,|PER|CAN|MXZ|SZX|
SZX|PNH,|PNH|CAN|MXZ|SZX|
SZX|REP,|REP|CAN|MXZ|SZX|
SZX|RGN,|RGN|CAN|MXZ|SZX|
SZX|SGN,|SGN|HKG|MXZ|SZX|
SZX|SHA,|SHA|SZX|
SZX|SIN,|SIN|HKG|MXZ|SZX|
SZX|SVO,|SVO|URC|CKG|SZX|
SZX|SYX,|SYX|SZX|
SZX|TAO,|TAO|SZX|
SZX|TEN,|TEN|SZX|
SZX|TNA,|TNA|WUH|SZX|
SZX|TPE,|TPE|SZX|
SZX|TSN,|TSN|SZX|
SZX|TXN,|TXN|SZX|
SZX|TYN,|TYN|CSX|SZX|
SZX|WNZ,|WNZ|SZX|
SZX|WUX,|WUX|SZX|
SZX|XFN,|XFN|XMN|SZX|
SZX|XIY,|XIY|SZX|
SZX|XUZ,|XUZ|CAN|MXZ|SZX|
SZX|YIH,|YIH|XMN|SZX|
SZX|YIW,|YIW|XMN|SZX|
SZX|YNT,|YNT|CSX|SZX|
SZX|YNZ,|YNZ|XMN|SZX|
SZX|YTY,|YTY|CSX|SZX|
SZX|ZHA,|ZHA|CAN|MXZ|SZX|
SZX|ZYI,|ZYI|SZX|
SZX|BAV,|BAV|CSX|SZX|
SZX|CJU,|CJU|SZX|
SZX|DSN,|DSN|CGO|SZX|
SZX|HMI,|HMI|CGO|SZX|
SZX|INC,|INC|XIY|SZX|
SZX|KHH,|KHH|WUH|SZX|
SZX|UYN,|UYN|XIY|SZX|
SZX|XNN,|XNN|CKG|SZX|
SZX|ZUH,|ZUH|MXZ|SZX|
SZX|YNJ,|YNJ|PVG|SZX|
SZX|DAT,|DAT|TYN|CSX|SZX|
SZX|JHG,|JHG|KMG|SZX|
SZX|LJG,|LJG|KMG|SZX|
SZX|LXA,|LXA|CKG|SZX|
SZX|YCU,|YCU|CSX|SZX|
SZX|LZO,|LZO|SZX|
SZX|MDG,|MDG|DLC|SZX|
SZX|NGO,|NGO|PVG|SZX|
SZX|TOY,|TOY|DLC|SZX|
SZX|MFM,|MFM|XMN|SZX|
SZX|TGO,|TGO|HET|CSX|SZX|
SZX|XIL,|XIL|HET|CSX|SZX|
SZX|HEK,|HEK|HRB|SZX|
SZX|KIJ,|KIJ|HRB|SZX|
SZX|LDS,|LDS|HRB|SZX|
SZX|OHE,|OHE|HRB|SZX|
SZX|HSN,|HSN|SZX|
SZX|DLU,|DLU|KMG|SZX|
SZX|SYM,|SYM|KMG|SZX|
SZX|ZAT,|ZAT|KMG|SZX|
SZX|LUN,|LUN|NBO|BKK|NNG|SZX|
SZX|AOG,|AOG|PEK|SZX|
SZX|GMP,|GMP|PEK|SZX|
SZX|ISB,|ISB|URC|CKG|SZX|
SZX|TAS,|TAS|URC|CKG|SZX|
SZX|WUS,|WUS|PEK|SZX|
SZX|JMU,|JMU|PVG|SZX|
SZX|NDG,|NDG|PVG|SZX|
SZX|JXA,|JXA|SHE|TAO|SZX|
SZX|PUS,|PUS|SHE|TAO|SZX|
SZX|BKI,|BKI|SZX|
SZX|AKU,|AKU|URC|CKG|SZX|
SZX|ALA,|ALA|URC|CKG|SZX|
SZX|ASB,|ASB|URC|CKG|SZX|
SZX|DNH,|DNH|XIY|SZX|
SZX|DYU,|DYU|URC|CKG|SZX|
SZX|FRU,|FRU|URC|CKG|SZX|
SZX|GYD,|GYD|URC|CKG|SZX|
SZX|HTN,|HTN|URC|CKG|SZX|
SZX|IKA,|IKA|URC|CKG|SZX|
SZX|KCA,|KCA|URC|CKG|SZX|
SZX|KHG,|KHG|URC|CKG|SZX|
SZX|KRL,|KRL|URC|CKG|SZX|
SZX|KRY,|KRY|URC|CKG|SZX|
SZX|LBD,|LBD|URC|CKG|SZX|
SZX|NLT,|NLT|URC|CKG|SZX|
SZX|OSS,|OSS|URC|CKG|SZX|
SZX|OVB,|OVB|URC|CKG|SZX|
SZX|TBS,|TBS|URC|CKG|SZX|
SZX|TCG,|TCG|URC|CKG|SZX|
SZX|TSE,|TSE|URC|CKG|SZX|
SZX|YIN,|YIN|URC|CKG|SZX|
SZX|ENH,|ENH|WUH|SZX|
SZX|ENY,|ENY|XIY|SZX|
SZX|WXN,|WXN|XMN|SZX|
SZX|BLL,|BLL|IST|URC|CKG|SZX|
SZX|ESB,|ESB|SAW|TBS|URC|CKG|SZX|
