CAN|HOG,|HOG|YYZ|PEK|CAN|
CAN|LAS,|LAS|SFO|PVG|CAN|
CAN|MBJ,|MBJ|ATL|ORD|PEK|CAN|
CAN|MCO,|MCO|ORD|PEK|CAN|
CAN|MUC,|MUC|IST|CAN|
CAN|PAP,|PAP|YUL|YYZ|PEK|CAN|
CAN|PTP,|PTP|YUL|YYZ|PEK|CAN|
CAN|PUJ,|PUJ|EWR|PEK|CAN|
CAN|SNU,|SNU|YYZ|PEK|CAN|
CAN|VRA,|VRA|YYZ|PEK|CAN|
CAN|YBC,|YBC|YUL|YYZ|PEK|CAN|
CAN|YBG,|YBG|YUL|YYZ|PEK|CAN|
CAN|YTZ,|YTZ|YUL|YYZ|PEK|CAN|
CAN|YUY,|YUY|YUL|YYZ|PEK|CAN|
CAN|YVO,|YVO|YUL|YYZ|PEK|CAN|
CAN|ZBF,|ZBF|YUL|YYZ|PEK|CAN|
CAN|ZRH,|ZRH|IST|CAN|
CAN|ZSA,|ZSA|YUL|YYZ|PEK|CAN|
CAN|AKL,|AKL|CAN|
CAN|HKG,|HKG|CAN|
CAN|HND,|HND|HNL|NRT|CAN|
CAN|HNL,|HNL|NRT|CAN|
CAN|MEX,|MEX|SFO|PVG|CAN|
CAN|OGG,|OGG|HNL|NRT|CAN|
CAN|PDX,|PDX|SEA|ICN|CAN|
CAN|PEK,|PEK|CAN|
CAN|PVG,|PVG|CAN|
CAN|PVR,|PVR|LAX|CAN|
CAN|SEA,|SEA|ICN|CAN|
CAN|SYD,|SYD|CAN|
CAN|YBL,|YBL|YVR|CAN|
CAN|YCD,|YCD|YVR|CAN|
CAN|YCG,|YCG|YVR|CAN|
CAN|YKA,|YKA|YVR|CAN|
CAN|YPR,|YPR|YVR|CAN|
CAN|YQZ,|YQZ|YVR|CAN|
CAN|YXC,|YXC|YVR|CAN|
CAN|YXJ,|YXJ|YVR|CAN|
CAN|YXS,|YXS|YVR|CAN|
CAN|YXT,|YXT|YVR|CAN|
CAN|YXY,|YXY|YVR|CAN|
CAN|YYD,|YYD|YVR|CAN|
CAN|YYF,|YYF|YVR|CAN|
CAN|YZP,|YZP|YVR|CAN|
CAN|YQT,|YQT|YWG|YVR|CAN|
CAN|SJD,|SJD|LAX|CAN|
CAN|YQF,|YQF|YYC|YVR|CAN|
CAN|YQL,|YQL|YYC|YVR|CAN|
CAN|YXH,|YXH|YYC|YVR|CAN|
CAN|YWK,|YWK|YZV|YQB|YYZ|PEK|CAN|
CAN|ANU,|ANU|EWR|PEK|CAN|
CAN|AUA,|AUA|EWR|PEK|CAN|
CAN|AUH,|AUH|IST|CAN|
CAN|BCN,|BCN|IST|CAN|
CAN|BDA,|BDA|EWR|PEK|CAN|
CAN|BGI,|BGI|YYZ|PEK|CAN|
CAN|BNA,|BNA|ORD|PEK|CAN|
CAN|BOG,|BOG|MIA|ORD|PEK|CAN|
CAN|BWI,|BWI|YYZ|PEK|CAN|
CAN|CLE,|CLE|YYZ|PEK|CAN|
CAN|CLT,|CLT|YYZ|PEK|CAN|
CAN|CMH,|CMH|ORD|PEK|CAN|
CAN|CVG,|CVG|ORD|PEK|CAN|
CAN|DFW,|DFW|YVR|CAN|
CAN|DTW,|DTW|PEK|CAN|
CAN|DUB,|DUB|IST|CAN|
CAN|FCO,|FCO|IST|CAN|
CAN|GCM,|GCM|YYZ|PEK|CAN|
CAN|GGT,|GGT|YYZ|PEK|CAN|
CAN|GND,|GND|YYZ|PEK|CAN|
CAN|GRU,|GRU|IST|CAN|
CAN|HAV,|HAV|YYZ|PEK|CAN|
CAN|IND,|IND|ORD|PEK|CAN|
CAN|JFK,|JFK|PEK|CAN|
CAN|KIN,|KIN|YYZ|PEK|CAN|
CAN|LIM,|LIM|IAH|YVR|CAN|
CAN|LIR,|LIR|IAH|YVR|CAN|
CAN|MCI,|MCI|DEN|YVR|CAN|
CAN|MDT,|MDT|YYZ|PEK|CAN|
CAN|MIA,|MIA|ORD|PEK|CAN|
CAN|MKE,|MKE|ORD|PEK|CAN|
CAN|MSP,|MSP|ORD|PEK|CAN|
CAN|NAS,|NAS|YYZ|PEK|CAN|
CAN|PHL,|PHL|YYZ|PEK|CAN|
CAN|PHX,|PHX|SFO|PVG|CAN|
CAN|PIT,|PIT|YYZ|PEK|CAN|
CAN|PLS,|PLS|EWR|PEK|CAN|
CAN|POP,|POP|EWR|PEK|CAN|
CAN|RDU,|RDU|YYZ|PEK|CAN|
CAN|ROC,|ROC|YYZ|PEK|CAN|
CAN|RSW,|RSW|ORD|PEK|CAN|
CAN|SAN,|SAN|LAX|CAN|
CAN|SJO,|SJO|IAH|YVR|CAN|
CAN|STL,|STL|ORD|PEK|CAN|
CAN|SYR,|SYR|YYZ|PEK|CAN|
CAN|TLV,|TLV|IST|CAN|
CAN|TPA,|TPA|ORD|PEK|CAN|
CAN|UVF,|UVF|EWR|PEK|CAN|
CAN|VIE,|VIE|IST|CAN|
CAN|YAM,|YAM|YYZ|PEK|CAN|
CAN|YGK,|YGK|YYZ|PEK|CAN|
CAN|YQG,|YQG|YYZ|PEK|CAN|
CAN|YSB,|YSB|YYZ|PEK|CAN|
CAN|YTS,|YTS|YYZ|PEK|CAN|
CAN|YYB,|YYB|YYZ|PEK|CAN|
CAN|YZR,|YZR|YYZ|PEK|CAN|
CAN|URC,|URC|CAN|
CAN|CTU,|CTU|CAN|
CAN|HGH,|HGH|CAN|
CAN|XMN,|XMN|CAN|
CAN|CGO,|CGO|CAN|
CAN|CSX,|CSX|CAN|
CAN|SHE,|SHE|CAN|
CAN|SJW,|SJW|CAN|
CAN|WUH,|WUH|CAN|
CAN|SZX,|SZX|MXZ|CAN|
CAN|CKG,|CKG|CAN|
CAN|KMG,|KMG|CAN|
CAN|FOC,|FOC|CAN|
CAN|NNG,|NNG|CAN|
CAN|SWA,|SWA|CAN|
CAN|ACX,|ACX|CAN|
CAN|AQG,|AQG|CAN|
CAN|AVA,|AVA|CAN|
CAN|BFJ,|BFJ|CAN|
CAN|BHY,|BHY|CAN|
CAN|BNE,|BNE|CAN|
CAN|CGD,|CGD|CAN|
CAN|CGK,|CGK|CAN|
CAN|CGQ,|CGQ|CAN|
CAN|CIH,|CIH|CAN|
CAN|CNX,|CNX|CAN|
CAN|CZX,|CZX|CAN|
CAN|DAC,|DAC|CAN|
CAN|DAD,|DAD|CAN|
CAN|DEL,|DEL|CAN|
CAN|DIG,|DIG|CAN|
CAN|DLC,|DLC|CAN|
CAN|DPS,|DPS|CAN|
CAN|DXB,|DXB|CAN|
CAN|DYG,|DYG|CAN|
CAN|FUG,|FUG|CAN|
CAN|FUK,|FUK|CAN|
CAN|HAK,|HAK|CAN|
CAN|HAN,|HAN|CAN|
CAN|HDG,|HDG|CAN|
CAN|HET,|HET|CAN|
CAN|HFE,|HFE|CAN|
CAN|HJJ,|HJJ|CAN|
CAN|HKT,|HKT|CAN|
CAN|HRB,|HRB|CAN|
CAN|HZH,|HZH|CAN|
CAN|JIU,|JIU|CAN|
CAN|JJN,|JJN|CAN|
CAN|JNG,|JNG|CAN|
CAN|KHN,|KHN|CAN|
CAN|KIX,|KIX|CAN|
CAN|KOW,|KOW|CAN|
CAN|KTM,|KTM|CAN|
CAN|KUL,|KUL|CAN|
CAN|KWE,|KWE|CAN|
CAN|KWL,|KWL|CAN|
CAN|LHW,|LHW|CAN|
CAN|LYA,|LYA|CAN|
CAN|LYG,|LYG|CAN|
CAN|LZH,|LZH|CAN|
CAN|MEL,|MEL|CAN|
CAN|MIG,|MIG|CAN|
CAN|MLE,|MLE|CAN|
CAN|MNL,|MNL|CAN|
CAN|MXZ,|MXZ|CAN|
CAN|NAO,|NAO|CAN|
CAN|NGB,|NGB|CAN|
CAN|NKG,|NKG|CAN|
CAN|NNY,|NNY|CAN|
CAN|PEN,|PEN|CAN|
CAN|PER,|PER|CAN|
CAN|PNH,|PNH|CAN|
CAN|REP,|REP|CAN|
CAN|RGN,|RGN|CAN|
CAN|SGN,|SGN|CAN|
CAN|SHA,|SHA|CAN|
CAN|SIN,|SIN|CAN|
CAN|SVO,|SVO|CAN|
CAN|SYX,|SYX|CAN|
CAN|TAO,|TAO|CAN|
CAN|TEN,|TEN|CAN|
CAN|TNA,|TNA|CAN|
CAN|TPE,|TPE|CAN|
CAN|TSN,|TSN|CAN|
CAN|TXN,|TXN|CAN|
CAN|TYN,|TYN|CAN|
CAN|WNZ,|WNZ|CAN|
CAN|WUX,|WUX|CAN|
CAN|XFN,|XFN|CAN|
CAN|XIY,|XIY|CAN|
CAN|XUZ,|XUZ|CAN|
CAN|YIH,|YIH|CAN|
CAN|YIW,|YIW|CAN|
CAN|YNT,|YNT|CAN|
CAN|YNZ,|YNZ|CAN|
CAN|YTY,|YTY|CAN|
CAN|ZHA,|ZHA|CAN|
CAN|ZYI,|ZYI|CAN|
CAN|BAV,|BAV|CSX|CAN|
CAN|CJU,|CJU|CSX|CAN|
CAN|DSN,|DSN|CGO|CAN|
CAN|HMI,|HMI|CGO|CAN|
CAN|INC,|INC|XIY|CAN|
CAN|KHH,|KHH|WUH|CAN|
CAN|UYN,|UYN|XIY|CAN|
CAN|XNN,|XNN|CKG|CAN|
CAN|ZUH,|ZUH|MXZ|CAN|
CAN|YNJ,|YNJ|ICN|CAN|
CAN|DAT,|DAT|CIH|CAN|
CAN|JHG,|JHG|KMG|CAN|
CAN|LJG,|LJG|KMG|CAN|
CAN|LXA,|LXA|CKG|CAN|
CAN|YCU,|YCU|CSX|CAN|
CAN|LZO,|LZO|CSX|CAN|
CAN|MDG,|MDG|DLC|CAN|
CAN|NGO,|NGO|PVG|CAN|
CAN|TOY,|TOY|DLC|CAN|
CAN|MFM,|MFM|XMN|CAN|
CAN|TGO,|TGO|HET|CAN|
CAN|XIL,|XIL|HET|CAN|
CAN|HEK,|HEK|HRB|CAN|
CAN|KIJ,|KIJ|HRB|CAN|
CAN|LDS,|LDS|HRB|CAN|
CAN|OHE,|OHE|HRB|CAN|
CAN|HSN,|HSN|XMN|CAN|
CAN|DLU,|DLU|KMG|CAN|
CAN|SYM,|SYM|KMG|CAN|
CAN|ZAT,|ZAT|KMG|CAN|
CAN|LUN,|LUN|NBO|CAN|
CAN|AOG,|AOG|PEK|CAN|
CAN|GMP,|GMP|PEK|CAN|
CAN|ISB,|ISB|URC|CAN|
CAN|TAS,|TAS|URC|CAN|
CAN|WUS,|WUS|PEK|CAN|
CAN|JMU,|JMU|PVG|CAN|
CAN|NDG,|NDG|PVG|CAN|
CAN|JXA,|JXA|SHE|CAN|
CAN|PUS,|PUS|SHE|CAN|
CAN|BKI,|BKI|SZX|MXZ|CAN|
CAN|AKU,|AKU|URC|CAN|
CAN|ALA,|ALA|URC|CAN|
CAN|ASB,|ASB|URC|CAN|
CAN|DNH,|DNH|XIY|CAN|
CAN|DYU,|DYU|URC|CAN|
CAN|FRU,|FRU|URC|CAN|
CAN|GYD,|GYD|URC|CAN|
CAN|HTN,|HTN|URC|CAN|
CAN|IKA,|IKA|URC|CAN|
CAN|KCA,|KCA|URC|CAN|
CAN|KHG,|KHG|URC|CAN|
CAN|KRL,|KRL|URC|CAN|
CAN|KRY,|KRY|URC|CAN|
CAN|LBD,|LBD|URC|CAN|
CAN|NLT,|NLT|URC|CAN|
CAN|OSS,|OSS|URC|CAN|
CAN|OVB,|OVB|URC|CAN|
CAN|TBS,|TBS|URC|CAN|
CAN|TCG,|TCG|URC|CAN|
CAN|TSE,|TSE|URC|CAN|
CAN|YIN,|YIN|URC|CAN|
CAN|ENH,|ENH|WUH|CAN|
CAN|ENY,|ENY|XIY|CAN|
CAN|WXN,|WXN|XMN|CAN|
CAN|BLL,|BLL|IST|CAN|
CAN|ESB,|ESB|IST|CAN|
CAN|SAW,|SAW|TBS|URC|CAN|
CAN|HAM,|HAM|IST|CAN|
CAN|HRE,|HRE|ADD|IST|CAN|
CAN|JUB,|JUB|CAI|IST|CAN|
CAN|SSG,|SSG|DLA|IST|CAN|
CAN|BGW,|BGW|IST|CAN|
CAN|EBL,|EBL|IST|CAN|
CAN|VKO,|VKO|IST|CAN|
CAN|MCT,|MCT|IST|CAN|
CAN|AYT,|AYT|IST|CAN|
CAN|SCQ,|SCQ|BIO|IST|CAN|
CAN|AAL,|AAL|IST|CAN|
CAN|AOE,|AOE|BRU|DEL|CAN|
CAN|JNB,|JNB|IST|CAN|
CAN|LBV,|LBV|DLA|IST|CAN|
CAN|ADA,|ADA|IST|CAN|
CAN|ADB,|ADB|IST|CAN|
CAN|ADF,|ADF|IST|CAN|
CAN|AJI,|AJI|IST|CAN|
CAN|BAL,|BAL|IST|CAN|
CAN|BJV,|BJV|IST|CAN|
CAN|CKZ,|CKZ|ESB|IST|CAN|
CAN|DIY,|DIY|IST|CAN|
CAN|ECN,|ECN|IST|CAN|
CAN|ERC,|ERC|IST|CAN|
CAN|ERZ,|ERZ|IST|CAN|
CAN|EZS,|EZS|IST|CAN|
CAN|GNY,|GNY|IST|CAN|
CAN|GZP,|GZP|ESB|IST|CAN|
CAN|GZT,|GZT|IST|CAN|
CAN|HTY,|HTY|IST|CAN|
CAN|KCM,|KCM|IST|CAN|
CAN|KSY,|KSY|IST|CAN|
CAN|MLX,|MLX|IST|CAN|
CAN|MQM,|MQM|IST|CAN|
CAN|MSR,|MSR|IST|CAN|
CAN|TEQ,|TEQ|ESB|IST|CAN|
CAN|TZX,|TZX|IST|CAN|
CAN|VAN,|VAN|IST|CAN|
CAN|ULN,|ULN|FRU|URC|CAN|
CAN|HIJ,|HIJ|ICN|CAN|
CAN|VVO,|VVO|ICN|CAN|
CAN|ACC,|ACC|IST|CAN|
CAN|AER,|AER|IST|CAN|
CAN|AGP,|AGP|IST|CAN|
CAN|ALG,|ALG|IST|CAN|
CAN|AMM,|AMM|IST|CAN|
CAN|AQJ,|AQJ|IST|CAN|
CAN|ARN,|ARN|IST|CAN|
CAN|ASR,|ASR|IST|CAN|
CAN|ATH,|ATH|IST|CAN|
CAN|BAH,|BAH|IST|CAN|
CAN|BEG,|BEG|IST|CAN|
CAN|BEN,|BEN|IST|CAN|
CAN|BEY,|BEY|IST|CAN|
CAN|BHX,|BHX|BRU|DEL|CAN|
CAN|BIO,|BIO|IST|CAN|
CAN|BLQ,|BLQ|IST|CAN|
CAN|BOM,|BOM|IST|CAN|
CAN|BRE,|BRE|IST|CAN|
CAN|BSL,|BSL|IST|CAN|
CAN|BSR,|BSR|IST|CAN|
CAN|BUD,|BUD|IST|CAN|
CAN|BUS,|BUS|IST|CAN|
CAN|CAI,|CAI|IST|CAN|
CAN|CGN,|CGN|IST|CAN|
CAN|CMN,|CMN|IST|CAN|
CAN|CND,|CND|IST|CAN|
CAN|DAR,|DAR|NBO|CAN|
CAN|DLM,|DLM|IST|CAN|
CAN|DMM,|DMM|IST|CAN|
CAN|DNK,|DNK|IST|CAN|
CAN|DNZ,|DNZ|IST|CAN|
CAN|DOK,|DOK|IST|CAN|
CAN|DUS,|DUS|IST|CAN|
CAN|EDI,|EDI|IST|CAN|
CAN|ELQ,|ELQ|IST|CAN|
CAN|FDH,|FDH|IST|CAN|
CAN|GOA,|GOA|IST|CAN|
CAN|GOT,|GOT|IST|CAN|
CAN|HAJ,|HAJ|IST|CAN|
CAN|HBE,|HBE|IST|CAN|
CAN|HEL,|HEL|IST|CAN|
CAN|HRG,|HRG|IST|CAN|
CAN|IFN,|IFN|IST|CAN|
