ZHA|RUH,|RUH|IST|CAN|ZHA|
ZHA|SAH,|SAH|IST|CAN|ZHA|
ZHA|SJJ,|SJJ|IST|CAN|ZHA|
ZHA|SKG,|SKG|IST|CAN|ZHA|
ZHA|SKP,|SKP|IST|CAN|ZHA|
ZHA|SSH,|SSH|IST|CAN|ZHA|
ZHA|STR,|STR|IST|CAN|ZHA|
ZHA|SVX,|SVX|IST|CAN|ZHA|
ZHA|SYZ,|SYZ|IST|CAN|ZHA|
ZHA|SZG,|SZG|IST|CAN|ZHA|
ZHA|TBZ,|TBZ|IST|CAN|ZHA|
ZHA|TGD,|TGD|IST|CAN|ZHA|
ZHA|TIA,|TIA|IST|CAN|ZHA|
ZHA|TIF,|TIF|IST|CAN|ZHA|
ZHA|TIP,|TIP|IST|CAN|ZHA|
ZHA|TLL,|TLL|IST|CAN|ZHA|
ZHA|TLS,|TLS|IST|CAN|ZHA|
ZHA|TRN,|TRN|IST|CAN|ZHA|
ZHA|TUN,|TUN|IST|CAN|ZHA|
ZHA|TXL,|TXL|IST|CAN|ZHA|
ZHA|UFA,|UFA|IST|CAN|ZHA|
ZHA|VAS,|VAS|IST|CAN|ZHA|
ZHA|VCE,|VCE|IST|CAN|ZHA|
ZHA|YNB,|YNB|IST|CAN|ZHA|
ZHA|ZAG,|ZAG|IST|CAN|ZHA|
ZHA|MGQ,|MGQ|JIB|IST|CAN|ZHA|
ZHA|CPT,|CPT|JNB|IST|CAN|ZHA|
ZHA|MBA,|MBA|JRO|IST|CAN|ZHA|
ZHA|NDJ,|NDJ|KAN|IST|CAN|ZHA|
ZHA|CMB,|CMB|MLE|CAN|ZHA|
ZHA|ADE,|ADE|SAH|IST|CAN|ZHA|
ZHA|ASF,|ASF|SAW|TBS|URC|CAN|ZHA|
ZHA|STW,|STW|SAW|TBS|URC|CAN|ZHA|
ZHA|LFW,|LFW|ABJ|OUA|NIM|IST|CAN|ZHA|
ZHA|CEC,|CEC|SFO|PVG|CAN|ZHA|
ZHA|SMF,|SMF|SFO|PVG|CAN|ZHA|
ZHA|CDR,|CDR|AIA|DEN|YVR|CAN|ZHA|
ZHA|FMN,|FMN|DEN|YVR|CAN|ZHA|
ZHA|JST,|JST|IAD|PEK|CAN|ZHA|
ZHA|JHW,|JHW|CLE|YYZ|PEK|CAN|ZHA|
ZHA|SHD,|SHD|IAD|PEK|CAN|ZHA|
ZHA|PTY,|PTY|ORD|PEK|CAN|ZHA|
ZHA|FNA,|FNA|BRU|DEL|CAN|ZHA|
ZHA|SXB,|SXB|BRU|DEL|CAN|ZHA|
ZHA|ACV,|ACV|SFO|PVG|CAN|ZHA|
ZHA|MGW,|MGW|IAD|PEK|CAN|ZHA|
ZHA|ALB,|ALB|EWR|PEK|CAN|ZHA|
ZHA|AUS,|AUS|DEN|YVR|CAN|ZHA|
ZHA|BFD,|BFD|CLE|YYZ|PEK|CAN|ZHA|
ZHA|BUF,|BUF|CLE|YYZ|PEK|CAN|ZHA|
ZHA|CHS,|CHS|ORD|PEK|CAN|ZHA|
ZHA|DAY,|DAY|ORD|PEK|CAN|ZHA|
ZHA|DUJ,|DUJ|CLE|YYZ|PEK|CAN|ZHA|
ZHA|ERI,|ERI|CLE|YYZ|PEK|CAN|ZHA|
ZHA|FKL,|FKL|CLE|YYZ|PEK|CAN|ZHA|
ZHA|FNT,|FNT|CLE|YYZ|PEK|CAN|ZHA|
ZHA|GRR,|GRR|ORD|PEK|CAN|ZHA|
ZHA|GSP,|GSP|ORD|PEK|CAN|ZHA|
ZHA|PBI,|PBI|ATL|ORD|PEK|CAN|ZHA|
ZHA|PKB,|PKB|CLE|YYZ|PEK|CAN|ZHA|
ZHA|RIC,|RIC|IAD|PEK|CAN|ZHA|
ZHA|SDF,|SDF|ORD|PEK|CAN|ZHA|
ZHA|GUM,|GUM|HKG|CAN|ZHA|
ZHA|WRL,|WRL|CYS|DEN|YVR|CAN|ZHA|
ZHA|LBL,|ZHA|
ZHA|ABQ,|ABQ|SEA|ICN|CAN|ZHA|
ZHA|AIA,|AIA|DEN|YVR|CAN|ZHA|
ZHA|ALS,|ALS|DEN|YVR|CAN|ZHA|
ZHA|AMA,|AMA|DEN|YVR|CAN|ZHA|
ZHA|ANC,|ANC|SEA|ICN|CAN|ZHA|
ZHA|ASE,|ASE|DEN|YVR|CAN|ZHA|
ZHA|BFL,|BFL|SFO|PVG|CAN|ZHA|
ZHA|BHM,|BHM|ORD|PEK|CAN|ZHA|
ZHA|BIL,|BIL|DEN|YVR|CAN|ZHA|
ZHA|BIS,|BIS|DEN|YVR|CAN|ZHA|
ZHA|BOI,|BOI|SFO|PVG|CAN|ZHA|
ZHA|BUR,|BUR|SFO|PVG|CAN|ZHA|
ZHA|BZN,|BZN|DEN|YVR|CAN|ZHA|
ZHA|CID,|CID|ORD|PEK|CAN|ZHA|
ZHA|COD,|COD|DEN|YVR|CAN|ZHA|
ZHA|COS,|COS|DEN|YVR|CAN|ZHA|
ZHA|CPR,|CPR|DEN|YVR|CAN|ZHA|
ZHA|CYS,|CYS|DEN|YVR|CAN|ZHA|
ZHA|DIK,|DIK|DEN|YVR|CAN|ZHA|
ZHA|DRO,|DRO|DEN|YVR|CAN|ZHA|
ZHA|DSM,|DSM|ORD|PEK|CAN|ZHA|
ZHA|EGE,|EGE|DEN|YVR|CAN|ZHA|
ZHA|ELP,|ELP|LAS|SFO|PVG|CAN|ZHA|
ZHA|EUG,|EUG|PDX|SEA|ICN|CAN|ZHA|
ZHA|FAR,|FAR|DEN|YVR|CAN|ZHA|
ZHA|FAT,|FAT|SFO|PVG|CAN|ZHA|
ZHA|FCA,|FCA|DEN|YVR|CAN|ZHA|
ZHA|FSD,|FSD|DEN|YVR|CAN|ZHA|
ZHA|GCC,|GCC|DEN|YVR|CAN|ZHA|
ZHA|GEG,|GEG|BOI|SFO|PVG|CAN|ZHA|
ZHA|GJT,|GJT|DEN|YVR|CAN|ZHA|
ZHA|GTF,|GTF|DEN|YVR|CAN|ZHA|
ZHA|GUC,|GUC|DEN|YVR|CAN|ZHA|
ZHA|HDN,|HDN|DEN|YVR|CAN|ZHA|
ZHA|HLN,|HLN|DEN|YVR|CAN|ZHA|
ZHA|HSV,|HSV|ORD|PEK|CAN|ZHA|
ZHA|ICT,|ICT|DEN|YVR|CAN|ZHA|
ZHA|IDA,|IDA|DEN|YVR|CAN|ZHA|
ZHA|ISN,|ISN|DEN|YVR|CAN|ZHA|
ZHA|JAC,|JAC|DEN|YVR|CAN|ZHA|
ZHA|KOA,|KOA|YVR|CAN|ZHA|
ZHA|LAR,|LAR|DEN|YVR|CAN|ZHA|
ZHA|LBB,|LBB|DEN|YVR|CAN|ZHA|
ZHA|LIH,|LIH|HNL|NRT|CAN|ZHA|
ZHA|LIT,|LIT|DEN|YVR|CAN|ZHA|
ZHA|LNK,|LNK|DEN|YVR|CAN|ZHA|
ZHA|MAF,|MAF|DEN|YVR|CAN|ZHA|
ZHA|MEM,|MEM|ORD|PEK|CAN|ZHA|
ZHA|MFR,|MFR|SFO|PVG|CAN|ZHA|
ZHA|MLI,|MLI|ORD|PEK|CAN|ZHA|
ZHA|MOT,|MOT|DEN|YVR|CAN|ZHA|
ZHA|MRY,|MRY|SFO|PVG|CAN|ZHA|
ZHA|MSN,|MSN|ORD|PEK|CAN|ZHA|
ZHA|MSO,|MSO|DEN|YVR|CAN|ZHA|
ZHA|MTJ,|MTJ|DEN|YVR|CAN|ZHA|
ZHA|OKC,|OKC|DEN|YVR|CAN|ZHA|
ZHA|OMA,|OMA|DEN|YVR|CAN|ZHA|
ZHA|ONT,|ONT|SFO|PVG|CAN|ZHA|
ZHA|PIA,|PIA|ORD|PEK|CAN|ZHA|
ZHA|PIR,|PIR|DEN|YVR|CAN|ZHA|
ZHA|PSC,|PSC|SFO|PVG|CAN|ZHA|
ZHA|PSP,|PSP|SFO|PVG|CAN|ZHA|
ZHA|PUB,|PUB|DEN|YVR|CAN|ZHA|
ZHA|RAP,|RAP|DEN|YVR|CAN|ZHA|
ZHA|RDM,|RDM|PDX|SEA|ICN|CAN|ZHA|
ZHA|RKS,|RKS|DEN|YVR|CAN|ZHA|
ZHA|RNO,|RNO|SEA|ICN|CAN|ZHA|
ZHA|SAF,|SAF|DEN|YVR|CAN|ZHA|
ZHA|SAT,|SAT|DEN|YVR|CAN|ZHA|
ZHA|SBA,|SBA|SFO|PVG|CAN|ZHA|
ZHA|SGF,|SGF|DEN|YVR|CAN|ZHA|
ZHA|SGU,|SGU|DEN|YVR|CAN|ZHA|
ZHA|SHV,|SHV|DEN|YVR|CAN|ZHA|
ZHA|SJC,|SJC|NRT|CAN|ZHA|
ZHA|SLC,|SLC|SEA|ICN|CAN|ZHA|
ZHA|SNA,|SNA|SFO|PVG|CAN|ZHA|
ZHA|TUL,|TUL|DEN|YVR|CAN|ZHA|
ZHA|TUS,|TUS|SFO|PVG|CAN|ZHA|
ZHA|TYS,|TYS|ORD|PEK|CAN|ZHA|
ZHA|XNA,|XNA|DEN|YVR|CAN|ZHA|
ZHA|SAL,|SAL|IAH|YVR|CAN|ZHA|
ZHA|BJL,|BJL|DKR|BRU|DEL|CAN|ZHA|
ZHA|BFS,|BFS|EWR|PEK|CAN|ZHA|
ZHA|BON,|BON|EWR|PEK|CAN|ZHA|
ZHA|BQN,|BQN|EWR|PEK|CAN|ZHA|
ZHA|BTV,|BTV|EWR|PEK|CAN|ZHA|
ZHA|BZE,|BZE|IAH|YVR|CAN|ZHA|
ZHA|GLA,|GLA|EWR|PEK|CAN|ZHA|
ZHA|GSO,|GSO|IAD|PEK|CAN|ZHA|
ZHA|ITH,|ITH|EWR|PEK|CAN|ZHA|
ZHA|JAX,|JAX|ORD|PEK|CAN|ZHA|
ZHA|MHT,|MHT|EWR|PEK|CAN|ZHA|
ZHA|MYR,|MYR|YYZ|PEK|CAN|ZHA|
ZHA|ORF,|ORF|IAD|PEK|CAN|ZHA|
ZHA|POS,|POS|EWR|PEK|CAN|ZHA|
ZHA|PVD,|PVD|EWR|PEK|CAN|ZHA|
ZHA|PWM,|PWM|EWR|PEK|CAN|ZHA|
ZHA|SAP,|SAP|IAH|YVR|CAN|ZHA|
ZHA|SAV,|SAV|ORD|PEK|CAN|ZHA|
ZHA|SDQ,|SDQ|EWR|PEK|CAN|ZHA|
ZHA|SJU,|SJU|EWR|PEK|CAN|ZHA|
ZHA|SNN,|SNN|EWR|PEK|CAN|ZHA|
ZHA|STT,|STT|EWR|PEK|CAN|ZHA|
ZHA|SXM,|SXM|EWR|PEK|CAN|ZHA|
ZHA|BIM,|BIM|FLL|ORD|PEK|CAN|ZHA|
ZHA|ELH,|ELH|PBI|ATL|ORD|PEK|CAN|ZHA|
ZHA|EYW,|EYW|TPA|ORD|PEK|CAN|ZHA|
ZHA|FPO,|FPO|FLL|ORD|PEK|CAN|ZHA|
ZHA|GHB,|GHB|FLL|ORD|PEK|CAN|ZHA|
ZHA|MHH,|MHH|JAX|ORD|PEK|CAN|ZHA|
ZHA|TCB,|TCB|FLL|ORD|PEK|CAN|ZHA|
ZHA|SOW,|SOW|PHX|SFO|PVG|CAN|ZHA|
ZHA|ROB,|ROB|FNA|BRU|DEL|CAN|ZHA|
ZHA|GIG,|GIG|GRU|IST|CAN|ZHA|
ZHA|CNS,|CNS|GUM|HKG|CAN|ZHA|
ZHA|CTS,|CTS|GUM|HKG|CAN|ZHA|
ZHA|OKJ,|OKJ|GUM|HKG|CAN|ZHA|
ZHA|ROP,|ROP|GUM|HKG|CAN|ZHA|
ZHA|ROR,|ROR|MNL|CAN|ZHA|
ZHA|SDJ,|SDJ|GUM|HKG|CAN|ZHA|
ZHA|SPN,|SPN|GUM|HKG|CAN|ZHA|
ZHA|TKK,|TKK|GUM|HKG|CAN|ZHA|
ZHA|YAP,|YAP|ROR|MNL|CAN|ZHA|
ZHA|MAJ,|MAJ|KWA|PNI|TKK|GUM|HKG|CAN|ZHA|
ZHA|AOO,|AOO|IAD|PEK|CAN|ZHA|
ZHA|BGM,|BGM|IAD|PEK|CAN|ZHA|
ZHA|BKW,|BKW|IAD|PEK|CAN|ZHA|
ZHA|CAE,|CAE|ORD|PEK|CAN|ZHA|
ZHA|CHO,|CHO|IAD|PEK|CAN|ZHA|
ZHA|CRW,|CRW|ORD|PEK|CAN|ZHA|
ZHA|FAY,|FAY|IAD|PEK|CAN|ZHA|
ZHA|LWB,|LWB|IAD|PEK|CAN|ZHA|
ZHA|ROA,|ROA|IAD|PEK|CAN|ZHA|
ZHA|SCE,|SCE|IAD|PEK|CAN|ZHA|
ZHA|ACA,|ACA|IAH|YVR|CAN|ZHA|
ZHA|ACY,|ACY|ORD|PEK|CAN|ZHA|
ZHA|AEX,|AEX|IAH|YVR|CAN|ZHA|
ZHA|AGU,|AGU|IAH|YVR|CAN|ZHA|
ZHA|BJX,|BJX|LAX|CAN|ZHA|
ZHA|BRO,|BRO|IAH|YVR|CAN|ZHA|
ZHA|BTR,|BTR|IAH|YVR|CAN|ZHA|
ZHA|CCS,|CCS|IAH|YVR|CAN|ZHA|
ZHA|CLL,|CLL|IAH|YVR|CAN|ZHA|
ZHA|CME,|CME|IAH|YVR|CAN|ZHA|
ZHA|CRP,|CRP|IAH|YVR|CAN|ZHA|
ZHA|CUU,|CUU|IAH|YVR|CAN|ZHA|
ZHA|DAL,|DAL|OKC|DEN|YVR|CAN|ZHA|
ZHA|DGO,|DGO|LAX|CAN|ZHA|
ZHA|GDL,|GDL|LAX|CAN|ZHA|
ZHA|GPT,|GPT|IAH|YVR|CAN|ZHA|
ZHA|GRK,|GRK|IAH|YVR|CAN|ZHA|
ZHA|HOB,|HOB|IAH|YVR|CAN|ZHA|
ZHA|HRL,|HRL|SAT|DEN|YVR|CAN|ZHA|
ZHA|HUX,|HUX|IAH|YVR|CAN|ZHA|
ZHA|JAN,|JAN|ORD|PEK|CAN|ZHA|
ZHA|LCH,|LCH|IAH|YVR|CAN|ZHA|
ZHA|LEX,|LEX|ORD|PEK|CAN|ZHA|
ZHA|LFT,|LFT|IAH|YVR|CAN|ZHA|
ZHA|LRD,|LRD|IAH|YVR|CAN|ZHA|
ZHA|MFE,|MFE|IAH|YVR|CAN|ZHA|
ZHA|MGA,|MGA|IAH|YVR|CAN|ZHA|
ZHA|MID,|MID|IAH|YVR|CAN|ZHA|
ZHA|MLM,|MLM|IAH|YVR|CAN|ZHA|
ZHA|MLU,|MLU|IAH|YVR|CAN|ZHA|
ZHA|MOB,|MOB|ORD|PEK|CAN|ZHA|
ZHA|MTY,|MTY|IAH|YVR|CAN|ZHA|
ZHA|OAX,|OAX|IAH|YVR|CAN|ZHA|
ZHA|PBC,|PBC|IAH|YVR|CAN|ZHA|
ZHA|PNS,|PNS|ORD|PEK|CAN|ZHA|
ZHA|QRO,|QRO|IAH|YVR|CAN|ZHA|
ZHA|RTB,|RTB|IAH|YVR|CAN|ZHA|
ZHA|SLP,|SLP|IAH|YVR|CAN|ZHA|
ZHA|SLW,|SLW|IAH|YVR|CAN|ZHA|
ZHA|TAM,|TAM|IAH|YVR|CAN|ZHA|
ZHA|TGU,|TGU|IAH|YVR|CAN|ZHA|
ZHA|TRC,|TRC|IAH|YVR|CAN|ZHA|
ZHA|TYR,|TYR|IAH|YVR|CAN|ZHA|
ZHA|UIO,|UIO|IAH|YVR|CAN|ZHA|
ZHA|VER,|VER|IAH|YVR|CAN|ZHA|
ZHA|VPS,|VPS|IAH|YVR|CAN|ZHA|
ZHA|VSA,|VSA|IAH|YVR|CAN|ZHA|
ZHA|ZIH,|ZIH|IAH|YVR|CAN|ZHA|
ZHA|ZLO,|ZLO|IAH|YVR|CAN|ZHA|
ZHA|KWA,|KWA|PNI|TKK|GUM|HKG|CAN|ZHA|
ZHA|PNI,|PNI|TKK|GUM|HKG|CAN|ZHA|
ZHA|KSA,|KSA|PNI|TKK|GUM|HKG|CAN|ZHA|
ZHA|CLD,|CLD|LAX|CAN|ZHA|
ZHA|ITO,|ITO|LAX|CAN|ZHA|
ZHA|SBP,|SBP|SFO|PVG|CAN|ZHA|
ZHA|SMX,|SMX|LAX|CAN|ZHA|
ZHA|YUM,|YUM|LAX|CAN|ZHA|
ZHA|DDC,|ZHA|
ZHA|TMS,|TMS|LIS|IST|CAN|ZHA|
ZHA|PHC,|PHC|LOS|IST|CAN|ZHA|
ZHA|GNV,|GNV|MCO|ORD|PEK|CAN|ZHA|
ZHA|TLH,|TLH|TPA|ORD|PEK|CAN|ZHA|
ZHA|CKB,|CKB|MGW|IAD|PEK|CAN|ZHA|
ZHA|BAQ,|BAQ|MIA|ORD|PEK|CAN|ZHA|
ZHA|CLO,|CLO|MIA|ORD|PEK|CAN|ZHA|
ZHA|CTG,|CTG|MIA|ORD|PEK|CAN|ZHA|
ZHA|MDE,|MDE|MIA|ORD|PEK|CAN|ZHA|
ZHA|ABE,|ABE|ORD|PEK|CAN|ZHA|
ZHA|ATW,|ATW|ORD|PEK|CAN|ZHA|
ZHA|AVL,|AVL|ORD|PEK|CAN|ZHA|
ZHA|AVP,|AVP|ORD|PEK|CAN|ZHA|
ZHA|CAK,|CAK|ORD|PEK|CAN|ZHA|
ZHA|CMX,|CMX|ORD|PEK|CAN|ZHA|
ZHA|CWA,|CWA|ORD|PEK|CAN|ZHA|
ZHA|DLH,|DLH|ORD|PEK|CAN|ZHA|
ZHA|EAU,|EAU|ORD|PEK|CAN|ZHA|
ZHA|ELM,|ELM|ORD|PEK|CAN|ZHA|
ZHA|FOE,|FOE|ORD|PEK|CAN|ZHA|
ZHA|FWA,|FWA|ORD|PEK|CAN|ZHA|
ZHA|GRB,|GRB|ORD|PEK|CAN|ZHA|
ZHA|HPN,|HPN|ORD|PEK|CAN|ZHA|
ZHA|LAN,|LAN|ORD|PEK|CAN|ZHA|
ZHA|MBS,|MBS|ORD|PEK|CAN|ZHA|
ZHA|MKG,|MKG|ORD|PEK|CAN|ZHA|
ZHA|PAH,|PAH|ORD|PEK|CAN|ZHA|
ZHA|SBN,|SBN|ORD|PEK|CAN|ZHA|
ZHA|SPI,|SPI|ORD|PEK|CAN|ZHA|
ZHA|SRQ,|SRQ|ORD|PEK|CAN|ZHA|
ZHA|STC,|STC|ORD|PEK|CAN|ZHA|
ZHA|TVC,|TVC|ORD|PEK|CAN|ZHA|
ZHA|LMT,|LMT|PDX|SEA|ICN|CAN|ZHA|
ZHA|HON,|HON|PIR|DEN|YVR|CAN|ZHA|
ZHA|CIC,|CIC|SFO|PVG|CAN|ZHA|
ZHA|MOD,|MOD|SFO|PVG|CAN|ZHA|
ZHA|OTH,|OTH|SFO|PVG|CAN|ZHA|
ZHA|RDD,|RDD|SFO|PVG|CAN|ZHA|
ZHA|EIS,|EIS|SJU|EWR|PEK|CAN|ZHA|
ZHA|DME,|DME|VIE|IST|CAN|ZHA|
ZHA|EVN,|EVN|VIE|IST|CAN|ZHA|
ZHA|HOU,|HOU|DEN|YVR|CAN|ZHA|
ZHA|MDW,|MDW|DTW|PEK|CAN|ZHA|
ZHA|OAK,|OAK|SEA|ICN|CAN|ZHA|
ZHA|ECP,|ECP|BNA|ORD|PEK|CAN|ZHA|
ZHA|ISP,|ISP|BWI|YYZ|PEK|CAN|ZHA|
ZHA|YHM,|YHM|YYC|YVR|CAN|ZHA|
ZHA|YXX,|YXX|YYC|YVR|CAN|ZHA|
ZHA|YBR,|YBR|YYC|YVR|CAN|ZHA|
ZHA|YKF,|YKF|YYC|YVR|CAN|ZHA|
ZHA|GDN,|ZHA|
ZHA|TRD,|ZHA|
ZHA|NKC,|ZHA|
ZHA|PGA,|ZHA|
