ZHA|ZSA,|ZSA|YUL|YYZ|PEK|CAN|ZHA|
ZHA|AKL,|AKL|CAN|ZHA|
ZHA|HKG,|HKG|CAN|ZHA|
ZHA|HND,|HND|HNL|NRT|CAN|ZHA|
ZHA|HNL,|HNL|NRT|CAN|ZHA|
ZHA|MEX,|MEX|SFO|PVG|CAN|ZHA|
ZHA|OGG,|OGG|HNL|NRT|CAN|ZHA|
ZHA|PDX,|PDX|SEA|ICN|CAN|ZHA|
ZHA|PEK,|PEK|CAN|ZHA|
ZHA|PVG,|PVG|CAN|ZHA|
ZHA|PVR,|PVR|LAX|CAN|ZHA|
ZHA|SEA,|SEA|ICN|CAN|ZHA|
ZHA|SYD,|SYD|CAN|ZHA|
ZHA|YBL,|YBL|YVR|CAN|ZHA|
ZHA|YCD,|YCD|YVR|CAN|ZHA|
ZHA|YCG,|YCG|YVR|CAN|ZHA|
ZHA|YKA,|YKA|YVR|CAN|ZHA|
ZHA|YPR,|YPR|YVR|CAN|ZHA|
ZHA|YQZ,|YQZ|YVR|CAN|ZHA|
ZHA|YXC,|YXC|YVR|CAN|ZHA|
ZHA|YXJ,|YXJ|YVR|CAN|ZHA|
ZHA|YXS,|YXS|YVR|CAN|ZHA|
ZHA|YXT,|YXT|YVR|CAN|ZHA|
ZHA|YXY,|YXY|YVR|CAN|ZHA|
ZHA|YYD,|YYD|YVR|CAN|ZHA|
ZHA|YYF,|YYF|YVR|CAN|ZHA|
ZHA|YZP,|YZP|YVR|CAN|ZHA|
ZHA|YQT,|YQT|YWG|YVR|CAN|ZHA|
ZHA|SJD,|SJD|LAX|CAN|ZHA|
ZHA|YQF,|YQF|YYC|YVR|CAN|ZHA|
ZHA|YQL,|YQL|YYC|YVR|CAN|ZHA|
ZHA|YXH,|YXH|YYC|YVR|CAN|ZHA|
ZHA|YWK,|YWK|YZV|YQB|YYZ|PEK|CAN|ZHA|
ZHA|ANU,|ANU|EWR|PEK|CAN|ZHA|
ZHA|AUA,|AUA|EWR|PEK|CAN|ZHA|
ZHA|AUH,|AUH|IST|CAN|ZHA|
ZHA|BCN,|BCN|IST|CAN|ZHA|
ZHA|BDA,|BDA|EWR|PEK|CAN|ZHA|
ZHA|BGI,|BGI|YYZ|PEK|CAN|ZHA|
ZHA|BNA,|BNA|ORD|PEK|CAN|ZHA|
ZHA|BOG,|BOG|MIA|ORD|PEK|CAN|ZHA|
ZHA|BWI,|BWI|YYZ|PEK|CAN|ZHA|
ZHA|CLE,|CLE|YYZ|PEK|CAN|ZHA|
ZHA|CLT,|CLT|YYZ|PEK|CAN|ZHA|
ZHA|CMH,|CMH|ORD|PEK|CAN|ZHA|
ZHA|CVG,|CVG|ORD|PEK|CAN|ZHA|
ZHA|DFW,|DFW|YVR|CAN|ZHA|
ZHA|DTW,|DTW|PEK|CAN|ZHA|
ZHA|DUB,|DUB|IST|CAN|ZHA|
ZHA|FCO,|FCO|IST|CAN|ZHA|
ZHA|GCM,|GCM|YYZ|PEK|CAN|ZHA|
ZHA|GGT,|GGT|YYZ|PEK|CAN|ZHA|
ZHA|GND,|GND|YYZ|PEK|CAN|ZHA|
ZHA|GRU,|GRU|IST|CAN|ZHA|
ZHA|HAV,|HAV|YYZ|PEK|CAN|ZHA|
ZHA|IND,|IND|ORD|PEK|CAN|ZHA|
ZHA|JFK,|JFK|PEK|CAN|ZHA|
ZHA|KIN,|KIN|YYZ|PEK|CAN|ZHA|
ZHA|LIM,|LIM|IAH|YVR|CAN|ZHA|
ZHA|LIR,|LIR|IAH|YVR|CAN|ZHA|
ZHA|MCI,|MCI|DEN|YVR|CAN|ZHA|
ZHA|MDT,|MDT|YYZ|PEK|CAN|ZHA|
ZHA|MIA,|MIA|ORD|PEK|CAN|ZHA|
ZHA|MKE,|MKE|ORD|PEK|CAN|ZHA|
ZHA|MSP,|MSP|ORD|PEK|CAN|ZHA|
ZHA|NAS,|NAS|YYZ|PEK|CAN|ZHA|
ZHA|PHL,|PHL|YYZ|PEK|CAN|ZHA|
ZHA|PHX,|PHX|SFO|PVG|CAN|ZHA|
ZHA|PIT,|PIT|YYZ|PEK|CAN|ZHA|
ZHA|PLS,|PLS|EWR|PEK|CAN|ZHA|
ZHA|POP,|POP|EWR|PEK|CAN|ZHA|
ZHA|RDU,|RDU|YYZ|PEK|CAN|ZHA|
ZHA|ROC,|ROC|YYZ|PEK|CAN|ZHA|
ZHA|RSW,|RSW|ORD|PEK|CAN|ZHA|
ZHA|SAN,|SAN|LAX|CAN|ZHA|
ZHA|SJO,|SJO|IAH|YVR|CAN|ZHA|
ZHA|STL,|STL|ORD|PEK|CAN|ZHA|
ZHA|SYR,|SYR|YYZ|PEK|CAN|ZHA|
ZHA|TLV,|TLV|IST|CAN|ZHA|
ZHA|TPA,|TPA|ORD|PEK|CAN|ZHA|
ZHA|UVF,|UVF|EWR|PEK|CAN|ZHA|
ZHA|VIE,|VIE|IST|CAN|ZHA|
ZHA|YAM,|YAM|YYZ|PEK|CAN|ZHA|
ZHA|YGK,|YGK|YYZ|PEK|CAN|ZHA|
ZHA|YQG,|YQG|YYZ|PEK|CAN|ZHA|
ZHA|YSB,|YSB|YYZ|PEK|CAN|ZHA|
ZHA|YTS,|YTS|YYZ|PEK|CAN|ZHA|
ZHA|YYB,|YYB|YYZ|PEK|CAN|ZHA|
ZHA|YZR,|YZR|YYZ|PEK|CAN|ZHA|
ZHA|CAN,|CAN|ZHA|
ZHA|URC,|URC|CAN|ZHA|
ZHA|CTU,|CTU|CAN|ZHA|
ZHA|HGH,|HGH|CAN|ZHA|
ZHA|XMN,|XMN|CAN|ZHA|
ZHA|CGO,|CGO|CAN|ZHA|
ZHA|CSX,|CSX|CAN|ZHA|
ZHA|SHE,|SHE|CAN|ZHA|
ZHA|SJW,|SJW|CAN|ZHA|
ZHA|WUH,|WUH|CAN|ZHA|
ZHA|SZX,|SZX|MXZ|CAN|ZHA|
ZHA|CKG,|CKG|CAN|ZHA|
ZHA|KMG,|KMG|SYX|ZHA|
ZHA|FOC,|FOC|CAN|ZHA|
