GDL|YXT,|YXT|YVR|LAX|GDL|
GDL|YXY,|YXY|YVR|LAX|GDL|
GDL|YYD,|YYD|YVR|LAX|GDL|
GDL|YYF,|YYF|YVR|LAX|GDL|
GDL|YZP,|YZP|YVR|LAX|GDL|
GDL|YQT,|YQT|YYZ|IAH|GDL|
GDL|SJD,|SJD|IAH|GDL|
GDL|YQF,|YQF|YYC|LAX|GDL|
GDL|YQL,|YQL|YYC|LAX|GDL|
GDL|YXH,|YXH|YYC|LAX|GDL|
GDL|YWK,|YWK|YZV|YUL|IAH|GDL|
GDL|ANU,|ANU|EWR|IAH|GDL|
GDL|AUA,|AUA|ATL|IAH|GDL|
GDL|AUH,|AUH|YYZ|IAH|GDL|
GDL|BCN,|BCN|EWR|IAH|GDL|
GDL|BDA,|BDA|EWR|IAH|GDL|
GDL|BGI,|BGI|YYZ|IAH|GDL|
GDL|BNA,|BNA|IAH|GDL|
GDL|BOG,|BOG|IAH|GDL|
GDL|BWI,|BWI|IAH|GDL|
GDL|CLE,|CLE|IAH|GDL|
GDL|CLT,|CLT|IAH|GDL|
GDL|CMH,|CMH|IAH|GDL|
GDL|CVG,|CVG|IAH|GDL|
GDL|DFW,|DFW|IAH|GDL|
GDL|DTW,|DTW|IAH|GDL|
GDL|DUB,|DUB|YYZ|IAH|GDL|
GDL|FCO,|FCO|EWR|IAH|GDL|
GDL|GCM,|GCM|IAH|GDL|
GDL|GGT,|GGT|FLL|IAH|GDL|
GDL|GND,|GND|YYZ|IAH|GDL|
GDL|GRU,|GRU|IAH|GDL|
GDL|HAV,|HAV|YYZ|IAH|GDL|
GDL|IND,|IND|IAH|GDL|
GDL|JFK,|JFK|IAD|IAH|GDL|
GDL|KIN,|KIN|YYZ|IAH|GDL|
GDL|LIM,|LIM|IAH|GDL|
GDL|LIR,|LIR|IAH|GDL|
GDL|MCI,|MCI|IAH|GDL|
GDL|MDT,|MDT|IAD|IAH|GDL|
GDL|MIA,|MIA|IAH|GDL|
GDL|MKE,|MKE|IAH|GDL|
GDL|MSP,|MSP|IAH|GDL|
GDL|NAS,|NAS|IAH|GDL|
GDL|PHL,|PHL|IAH|GDL|
GDL|PHX,|PHX|LAX|GDL|
GDL|PIT,|PIT|IAH|GDL|
GDL|PLS,|PLS|EWR|IAH|GDL|
GDL|POP,|POP|EWR|IAH|GDL|
GDL|RDU,|RDU|IAH|GDL|
GDL|ROC,|ROC|CLE|IAH|GDL|
GDL|RSW,|RSW|IAH|GDL|
GDL|SAN,|SAN|LAX|GDL|
GDL|SJO,|SJO|IAH|GDL|
GDL|STL,|STL|IAH|GDL|
GDL|SYR,|SYR|CLE|IAH|GDL|
GDL|TLV,|TLV|YYZ|IAH|GDL|
GDL|TPA,|TPA|IAH|GDL|
GDL|UVF,|UVF|EWR|IAH|GDL|
GDL|VIE,|VIE|YYZ|IAH|GDL|
GDL|YAM,|YAM|YYZ|IAH|GDL|
GDL|YGK,|YGK|YYZ|IAH|GDL|
GDL|YQG,|YQG|YYZ|IAH|GDL|
GDL|YSB,|YSB|YYZ|IAH|GDL|
GDL|YTS,|YTS|YYZ|IAH|GDL|
GDL|YYB,|YYB|YYZ|IAH|GDL|
GDL|YZR,|YZR|YYZ|IAH|GDL|
GDL|CAN,|CAN|LAX|GDL|
GDL|URC,|URC|PEK|SFO|GDL|
GDL|CTU,|CTU|PEK|SFO|GDL|
GDL|HGH,|HGH|DLC|ICN|SFO|GDL|
GDL|XMN,|XMN|YNZ|DLC|ICN|SFO|GDL|
GDL|CGO,|CGO|PEK|SFO|GDL|
GDL|CSX,|CSX|ICN|SFO|GDL|
GDL|SHE,|SHE|ICN|SFO|GDL|
GDL|SJW,|SJW|DLC|ICN|SFO|GDL|
GDL|WUH,|WUH|ICN|SFO|GDL|
GDL|SZX,|SZX|PVG|LAX|GDL|
GDL|CKG,|CKG|PEK|SFO|GDL|
GDL|KMG,|KMG|PEK|SFO|GDL|
GDL|FOC,|FOC|HGH|DLC|ICN|SFO|GDL|
GDL|NNG,|NNG|CSX|ICN|SFO|GDL|
GDL|SWA,|SWA|WUH|ICN|SFO|GDL|
GDL|ACX,|ACX|CAN|LAX|GDL|
GDL|AQG,|AQG|CAN|LAX|GDL|
GDL|AVA,|AVA|CAN|LAX|GDL|
GDL|BFJ,|BFJ|CAN|LAX|GDL|
GDL|BHY,|BHY|CSX|ICN|SFO|GDL|
GDL|BNE,|BNE|CAN|LAX|GDL|
GDL|CGD,|CGD|PEK|SFO|GDL|
GDL|CGK,|CGK|CAN|LAX|GDL|
