ASE|CCC,|CCC|YYZ|DEN|ASE|
ASE|CDG,|CDG|ORD|DEN|ASE|
ASE|CUN,|CUN|DEN|ASE|
ASE|CZM,|CZM|IAH|DEN|ASE|
ASE|FDF,|FDF|YUL|DEN|ASE|
ASE|FLL,|FLL|DEN|ASE|
ASE|GVA,|GVA|YUL|DEN|ASE|
ASE|HOG,|HOG|YYZ|DEN|ASE|
ASE|LAS,|LAS|DEN|ASE|
ASE|MBJ,|MBJ|IAH|DEN|ASE|
ASE|MCO,|MCO|DEN|ASE|
ASE|MUC,|MUC|ORD|DEN|ASE|
ASE|PAP,|PAP|YUL|DEN|ASE|
ASE|PTP,|PTP|YUL|DEN|ASE|
ASE|PUJ,|PUJ|ATL|DEN|ASE|
ASE|SNU,|SNU|YYZ|DEN|ASE|
ASE|VRA,|VRA|YYZ|DEN|ASE|
ASE|YBC,|YBC|YUL|DEN|ASE|
ASE|YBG,|YBG|YUL|DEN|ASE|
ASE|YTZ,|YTZ|YUL|DEN|ASE|
ASE|YUY,|YUY|YUL|DEN|ASE|
ASE|YVO,|YVO|YUL|DEN|ASE|
ASE|ZBF,|ZBF|YUL|DEN|ASE|
ASE|ZRH,|ZRH|ORD|DEN|ASE|
ASE|ZSA,|ZSA|YUL|DEN|ASE|
ASE|AKL,|AKL|LAX|ASE|
ASE|HKG,|HKG|YVR|DEN|ASE|
ASE|HND,|HND|YVR|DEN|ASE|
ASE|HNL,|HNL|LAX|ASE|
ASE|MEX,|MEX|DEN|ASE|
ASE|OGG,|OGG|LAX|ASE|
ASE|PDX,|PDX|DEN|ASE|
ASE|PEK,|PEK|YVR|DEN|ASE|
ASE|PVG,|PVG|YVR|DEN|ASE|
ASE|PVR,|PVR|DEN|ASE|
ASE|SEA,|SEA|DEN|ASE|
ASE|SYD,|SYD|LAX|ASE|
ASE|YBL,|YBL|YVR|DEN|ASE|
ASE|YCD,|YCD|YVR|DEN|ASE|
ASE|YCG,|YCG|YYC|DEN|ASE|
ASE|YKA,|YKA|YYC|DEN|ASE|
ASE|YPR,|YPR|YVR|DEN|ASE|
ASE|YQZ,|YQZ|YVR|DEN|ASE|
ASE|YXC,|YXC|YYC|DEN|ASE|
ASE|YXJ,|YXJ|YYC|DEN|ASE|
ASE|YXS,|YXS|YYC|DEN|ASE|
ASE|YXT,|YXT|YVR|DEN|ASE|
ASE|YXY,|YXY|YVR|DEN|ASE|
ASE|YYD,|YYD|YVR|DEN|ASE|
ASE|YYF,|YYF|YVR|DEN|ASE|
ASE|YZP,|YZP|YVR|DEN|ASE|
ASE|YQT,|YQT|YWG|DEN|ASE|
ASE|SJD,|SJD|DEN|ASE|
ASE|YQF,|YQF|YYC|DEN|ASE|
ASE|YQL,|YQL|YYC|DEN|ASE|
ASE|YXH,|YXH|YYC|DEN|ASE|
ASE|YWK,|YWK|YZV|YUL|DEN|ASE|
ASE|ANU,|ANU|EWR|DEN|ASE|
ASE|AUA,|AUA|ATL|DEN|ASE|
ASE|AUH,|AUH|FRA|DEN|ASE|
ASE|BCN,|BCN|YYZ|DEN|ASE|
ASE|BDA,|BDA|EWR|DEN|ASE|
ASE|BGI,|BGI|YYZ|DEN|ASE|
ASE|BNA,|BNA|DEN|ASE|
ASE|BOG,|BOG|IAH|DEN|ASE|
ASE|BWI,|BWI|DEN|ASE|
ASE|CLE,|CLE|DEN|ASE|
ASE|CLT,|CLT|MDW|DEN|ASE|
ASE|CMH,|CMH|DEN|ASE|
ASE|CVG,|CVG|DEN|ASE|
ASE|DFW,|DFW|DEN|ASE|
ASE|DTW,|DTW|DEN|ASE|
ASE|DUB,|DUB|ORD|DEN|ASE|
ASE|FCO,|FCO|YYZ|DEN|ASE|
ASE|GCM,|GCM|IAH|DEN|ASE|
ASE|GGT,|GGT|FLL|DEN|ASE|
ASE|GND,|GND|YYZ|DEN|ASE|
ASE|GRU,|GRU|IAH|DEN|ASE|
ASE|HAV,|HAV|YYZ|DEN|ASE|
ASE|IND,|IND|DEN|ASE|
ASE|JFK,|JFK|IAD|DEN|ASE|
ASE|KIN,|KIN|YYZ|DEN|ASE|
ASE|LIM,|LIM|IAH|DEN|ASE|
ASE|LIR,|LIR|IAH|DEN|ASE|
ASE|MCI,|MCI|DEN|ASE|
ASE|MDT,|MDT|ORD|DEN|ASE|
ASE|MIA,|MIA|DEN|ASE|
ASE|MKE,|MKE|DEN|ASE|
ASE|MSP,|MSP|DEN|ASE|
ASE|NAS,|NAS|ATL|DEN|ASE|
ASE|PHL,|PHL|DEN|ASE|
ASE|PHX,|PHX|DEN|ASE|
ASE|PIT,|PIT|DEN|ASE|
ASE|PLS,|PLS|YYZ|DEN|ASE|
ASE|POP,|POP|YYZ|DEN|ASE|
ASE|RDU,|RDU|DEN|ASE|
ASE|ROC,|ROC|ORD|DEN|ASE|
ASE|RSW,|RSW|DEN|ASE|
ASE|SAN,|SAN|LAX|ASE|
ASE|SJO,|SJO|IAH|DEN|ASE|
ASE|STL,|STL|DEN|ASE|
ASE|SYR,|SYR|ORD|DEN|ASE|
ASE|TLV,|TLV|IST|FRA|DEN|ASE|
ASE|TPA,|TPA|DEN|ASE|
ASE|UVF,|UVF|EWR|DEN|ASE|
ASE|VIE,|VIE|ORD|DEN|ASE|
ASE|YAM,|YAM|YYZ|DEN|ASE|
ASE|YGK,|YGK|YYZ|DEN|ASE|
ASE|YQG,|YQG|YYZ|DEN|ASE|
ASE|YSB,|YSB|YYZ|DEN|ASE|
ASE|YTS,|YTS|YYZ|DEN|ASE|
ASE|YYB,|YYB|YYZ|DEN|ASE|
ASE|YZR,|YZR|YYZ|DEN|ASE|
ASE|CAN,|CAN|YVR|DEN|ASE|
ASE|URC,|URC|PEK|YVR|DEN|ASE|
ASE|CTU,|CTU|PEK|YVR|DEN|ASE|
ASE|HGH,|HGH|DLC|ICN|YVR|DEN|ASE|
ASE|XMN,|XMN|PEK|YVR|DEN|ASE|
ASE|CGO,|CGO|PEK|YVR|DEN|ASE|
ASE|CSX,|CSX|ICN|YVR|DEN|ASE|
ASE|SHE,|SHE|ICN|YVR|DEN|ASE|
ASE|SJW,|SJW|DLC|ICN|YVR|DEN|ASE|
ASE|WUH,|WUH|ICN|YVR|DEN|ASE|
ASE|SZX,|SZX|PVG|YVR|DEN|ASE|
ASE|CKG,|CKG|PEK|YVR|DEN|ASE|
ASE|KMG,|KMG|PEK|YVR|DEN|ASE|
ASE|FOC,|FOC|PEK|YVR|DEN|ASE|
ASE|NNG,|NNG|PEK|YVR|DEN|ASE|
ASE|SWA,|SWA|PEK|YVR|DEN|ASE|
