WUX|YLW,|YLW|YVR|CAN|WUX|
WUX|YYT,|YYT|LHR|CAN|WUX|
WUX|GUA,|GUA|IAH|YVR|CAN|WUX|
WUX|EWR,|EWR|PEK|CAN|WUX|
WUX|IAD,|IAD|PEK|CAN|WUX|
WUX|IAH,|IAH|YVR|CAN|WUX|
WUX|ORD,|ORD|PEK|CAN|WUX|
WUX|SOF,|SOF|IST|CAN|WUX|
WUX|YQB,|YQB|YYZ|PEK|CAN|WUX|
WUX|YXU,|YXU|YYZ|PEK|CAN|WUX|
WUX|EZE,|EZE|GRU|IST|CAN|WUX|
WUX|YYJ,|YYJ|YVR|CAN|WUX|
WUX|YYY,|YYY|YUL|YYZ|PEK|CAN|WUX|
WUX|YQQ,|YQQ|YBL|YVR|CAN|WUX|
WUX|YYR,|YYR|YYT|LHR|CAN|WUX|
WUX|LHR,|LHR|CAN|WUX|
WUX|SFO,|SFO|PVG|CAN|WUX|
WUX|YQU,|YQU|YEG|YVR|CAN|WUX|
WUX|YZF,|YZF|YEG|YVR|CAN|WUX|
WUX|YGR,|YGR|YGP|YQB|YYZ|PEK|CAN|WUX|
WUX|YGP,|YGP|YQB|YYZ|PEK|CAN|WUX|
WUX|BOS,|BOS|YYZ|PEK|CAN|WUX|
WUX|YDF,|YDF|YYT|LHR|CAN|WUX|
WUX|YFC,|YFC|YYZ|PEK|CAN|WUX|
WUX|YQM,|YQM|YYZ|PEK|CAN|WUX|
WUX|YQX,|YQX|YYT|LHR|CAN|WUX|
WUX|YQY,|YQY|YYZ|PEK|CAN|WUX|
WUX|YSJ,|YSJ|YYZ|PEK|CAN|WUX|
WUX|YYG,|YYG|YYZ|PEK|CAN|WUX|
WUX|LAX,|LAX|CAN|WUX|
WUX|DCA,|DCA|YYZ|PEK|CAN|WUX|
WUX|LGA,|LGA|YYZ|PEK|CAN|WUX|
WUX|YZV,|YZV|YQB|YYZ|PEK|CAN|WUX|
WUX|YWL,|YWL|YVR|CAN|WUX|
WUX|AZS,|AZS|YYZ|PEK|CAN|WUX|
WUX|BDL,|BDL|YYZ|PEK|CAN|WUX|
WUX|CCC,|CCC|YYZ|PEK|CAN|WUX|
WUX|CDG,|CDG|CAN|WUX|
WUX|CUN,|CUN|YVR|CAN|WUX|
WUX|CZM,|CZM|IAH|YVR|CAN|WUX|
WUX|FDF,|FDF|YUL|YYZ|PEK|CAN|WUX|
WUX|FLL,|FLL|ORD|PEK|CAN|WUX|
WUX|GVA,|GVA|IST|CAN|WUX|
WUX|HOG,|HOG|YYZ|PEK|CAN|WUX|
WUX|LAS,|LAS|SFO|PVG|CAN|WUX|
WUX|MBJ,|MBJ|ATL|ORD|PEK|CAN|WUX|
WUX|MCO,|MCO|ORD|PEK|CAN|WUX|
WUX|MUC,|MUC|IST|CAN|WUX|
WUX|PAP,|PAP|YUL|YYZ|PEK|CAN|WUX|
WUX|PTP,|PTP|YUL|YYZ|PEK|CAN|WUX|
WUX|PUJ,|PUJ|EWR|PEK|CAN|WUX|
WUX|SNU,|SNU|YYZ|PEK|CAN|WUX|
WUX|VRA,|VRA|YYZ|PEK|CAN|WUX|
WUX|YBC,|YBC|YUL|YYZ|PEK|CAN|WUX|
WUX|YBG,|YBG|YUL|YYZ|PEK|CAN|WUX|
