SAT|YXY,|YXY|YVR|DEN|SAT|
SAT|YYD,|YYD|YVR|DEN|SAT|
SAT|YYF,|YYF|YVR|DEN|SAT|
SAT|YZP,|YZP|YVR|DEN|SAT|
SAT|YQT,|YQT|YWG|DEN|SAT|
SAT|SJD,|SJD|IAH|SAT|
SAT|YQF,|YQF|YYC|DEN|SAT|
SAT|YQL,|YQL|YYC|DEN|SAT|
SAT|YXH,|YXH|YYC|DEN|SAT|
SAT|YWK,|YWK|YZV|YQB|YYZ|STL|SAT|
SAT|ANU,|ANU|EWR|SAT|
SAT|AUA,|AUA|ATL|SAT|
SAT|AUH,|AUH|YYZ|STL|SAT|
SAT|BCN,|BCN|EWR|SAT|
SAT|BDA,|BDA|EWR|SAT|
SAT|BGI,|BGI|YYZ|STL|SAT|
SAT|BNA,|BNA|SAT|
SAT|BOG,|BOG|IAH|SAT|
SAT|BWI,|BWI|SAT|
SAT|CLE,|CLE|BNA|SAT|
SAT|CLT,|CLT|IAH|SAT|
SAT|CMH,|CMH|BNA|SAT|
SAT|CVG,|CVG|IAH|SAT|
SAT|DFW,|DFW|IAH|SAT|
SAT|DTW,|DTW|STL|SAT|
SAT|DUB,|DUB|ORD|SAT|
SAT|FCO,|FCO|YYZ|STL|SAT|
SAT|GCM,|GCM|IAH|SAT|
SAT|GGT,|GGT|FLL|HOU|SAT|
SAT|GND,|GND|YYZ|STL|SAT|
SAT|GRU,|GRU|IAH|SAT|
SAT|HAV,|HAV|YYZ|STL|SAT|
SAT|IND,|IND|IAH|SAT|
SAT|JFK,|JFK|IAD|SAT|
SAT|KIN,|KIN|YYZ|STL|SAT|
SAT|LIM,|LIM|IAH|SAT|
SAT|LIR,|LIR|IAH|SAT|
SAT|MCI,|MCI|DAL|SAT|
SAT|MDT,|MDT|IAD|SAT|
SAT|MIA,|MIA|IAH|SAT|
SAT|MKE,|MKE|STL|SAT|
SAT|MSP,|MSP|MCI|DAL|SAT|
SAT|NAS,|NAS|IAH|SAT|
SAT|PHL,|PHL|IAD|SAT|
SAT|PHX,|PHX|SAT|
SAT|PIT,|PIT|BNA|SAT|
SAT|PLS,|PLS|EWR|SAT|
SAT|POP,|POP|EWR|SAT|
SAT|RDU,|RDU|ATL|SAT|
SAT|ROC,|ROC|CLE|BNA|SAT|
SAT|RSW,|RSW|IAH|SAT|
SAT|SAN,|SAN|SAT|
SAT|SJO,|SJO|IAH|SAT|
SAT|STL,|STL|SAT|
SAT|SYR,|SYR|CLE|BNA|SAT|
SAT|TLV,|TLV|YYZ|STL|SAT|
SAT|TPA,|TPA|SAT|
SAT|UVF,|UVF|EWR|SAT|
SAT|VIE,|VIE|ORD|SAT|
SAT|YAM,|YAM|YYZ|STL|SAT|
SAT|YGK,|YGK|YYZ|STL|SAT|
SAT|YQG,|YQG|YYZ|STL|SAT|
SAT|YSB,|YSB|YYZ|STL|SAT|
SAT|YTS,|YTS|YYZ|STL|SAT|
SAT|YYB,|YYB|YYZ|STL|SAT|
SAT|YZR,|YZR|YYZ|STL|SAT|
SAT|CAN,|CAN|YVR|DEN|SAT|
SAT|URC,|URC|PEK|YVR|DEN|SAT|
SAT|CTU,|CTU|PEK|YVR|DEN|SAT|
SAT|HGH,|HGH|DLC|ICN|YVR|DEN|SAT|
SAT|XMN,|XMN|PEK|YVR|DEN|SAT|
SAT|CGO,|CGO|PEK|YVR|DEN|SAT|
SAT|CSX,|CSX|ICN|YVR|DEN|SAT|
SAT|SHE,|SHE|ICN|YVR|DEN|SAT|
SAT|SJW,|SJW|DLC|ICN|YVR|DEN|SAT|
SAT|WUH,|WUH|ICN|YVR|DEN|SAT|
SAT|SZX,|SZX|PVG|YVR|DEN|SAT|
SAT|CKG,|CKG|PEK|YVR|DEN|SAT|
SAT|KMG,|KMG|PEK|YVR|DEN|SAT|
SAT|FOC,|FOC|PEK|YVR|DEN|SAT|
SAT|NNG,|NNG|PEK|YVR|DEN|SAT|
SAT|SWA,|SWA|PEK|YVR|DEN|SAT|
SAT|ACX,|ACX|CAN|YVR|DEN|SAT|
SAT|AQG,|AQG|CAN|YVR|DEN|SAT|
SAT|AVA,|AVA|CAN|YVR|DEN|SAT|
SAT|BFJ,|BFJ|CAN|YVR|DEN|SAT|
SAT|BHY,|BHY|CSX|ICN|YVR|DEN|SAT|
SAT|BNE,|BNE|CAN|YVR|DEN|SAT|
SAT|CGD,|CGD|PEK|YVR|DEN|SAT|
SAT|CGK,|CGK|CAN|YVR|DEN|SAT|
SAT|CGQ,|CGQ|ICN|YVR|DEN|SAT|
SAT|CIH,|CIH|PEK|YVR|DEN|SAT|
SAT|CNX,|CNX|CAN|YVR|DEN|SAT|
SAT|CZX,|CZX|SHE|ICN|YVR|DEN|SAT|
SAT|DAC,|DAC|CAN|YVR|DEN|SAT|
SAT|DAD,|DAD|CAN|YVR|DEN|SAT|
SAT|DEL,|DEL|EWR|SAT|
SAT|DIG,|DIG|KMG|PEK|YVR|DEN|SAT|
SAT|DLC,|DLC|ICN|YVR|DEN|SAT|
SAT|DPS,|DPS|SZX|PVG|YVR|DEN|SAT|
SAT|DXB,|DXB|IST|ORD|SAT|
SAT|DYG,|DYG|PEK|YVR|DEN|SAT|
SAT|FUG,|FUG|CAN|YVR|DEN|SAT|
SAT|FUK,|FUK|ICN|YVR|DEN|SAT|
SAT|HAK,|HAK|CAN|YVR|DEN|SAT|
SAT|HAN,|HAN|PEK|YVR|DEN|SAT|
SAT|HDG,|HDG|CAN|YVR|DEN|SAT|
SAT|HET,|HET|DLC|ICN|YVR|DEN|SAT|
