ISE|YQZ,|YQZ|YVR|MUC|IST|ISE|
ISE|YXC,|YXC|YYC|FRA|IST|ISE|
ISE|YXJ,|YXJ|YYC|FRA|IST|ISE|
ISE|YXS,|YXS|YYC|FRA|IST|ISE|
ISE|YXT,|YXT|YVR|MUC|IST|ISE|
ISE|YXY,|YXY|YVR|MUC|IST|ISE|
ISE|YYD,|YYD|YVR|MUC|IST|ISE|
ISE|YYF,|YYF|YVR|MUC|IST|ISE|
ISE|YZP,|YZP|YVR|MUC|IST|ISE|
ISE|YQT,|YQT|YYZ|IST|ISE|
ISE|SJD,|SJD|ORD|IST|ISE|
ISE|YQF,|YQF|YYC|FRA|IST|ISE|
ISE|YQL,|YQL|YYC|FRA|IST|ISE|
ISE|YXH,|YXH|YYC|FRA|IST|ISE|
ISE|YWK,|YWK|YYR|YYT|LHR|IST|ISE|
ISE|ANU,|ANU|EWR|BHX|IST|ISE|
ISE|AUA,|AUA|EWR|BHX|IST|ISE|
ISE|AUH,|AUH|IST|ISE|
ISE|BCN,|BCN|IST|ISE|
ISE|BDA,|BDA|EWR|BHX|IST|ISE|
ISE|BGI,|BGI|YYZ|IST|ISE|
ISE|BNA,|BNA|YYZ|IST|ISE|
ISE|BOG,|BOG|MIA|ZRH|IST|ISE|
ISE|BWI,|BWI|EWR|BHX|IST|ISE|
ISE|CLE,|CLE|YYZ|IST|ISE|
ISE|CLT,|CLT|EWR|BHX|IST|ISE|
ISE|CMH,|CMH|YYZ|IST|ISE|
ISE|CVG,|CVG|YYZ|IST|ISE|
ISE|DFW,|DFW|ORD|IST|ISE|
ISE|DTW,|DTW|FRA|IST|ISE|
ISE|DUB,|DUB|IST|ISE|
ISE|FCO,|FCO|IST|ISE|
ISE|GCM,|GCM|EWR|BHX|IST|ISE|
ISE|GGT,|GGT|FLL|MCO|FRA|IST|ISE|
ISE|GND,|GND|YYZ|IST|ISE|
ISE|GRU,|GRU|IST|ISE|
ISE|HAV,|HAV|YYZ|IST|ISE|
ISE|IND,|IND|YYZ|IST|ISE|
ISE|JFK,|JFK|IST|ISE|
ISE|KIN,|KIN|YYZ|IST|ISE|
ISE|LIM,|LIM|MIA|ZRH|IST|ISE|
ISE|LIR,|LIR|EWR|BHX|IST|ISE|
ISE|MCI,|MCI|ORD|IST|ISE|
ISE|MDT,|MDT|IAD|IST|ISE|
ISE|MIA,|MIA|ZRH|IST|ISE|
ISE|MKE,|MKE|YYZ|IST|ISE|
ISE|MSP,|MSP|YUL|FRA|IST|ISE|
ISE|NAS,|NAS|EWR|BHX|IST|ISE|
ISE|PHL,|PHL|IAD|IST|ISE|
ISE|PHX,|PHX|DEN|FRA|IST|ISE|
ISE|PIT,|PIT|YYZ|IST|ISE|
ISE|PLS,|PLS|EWR|BHX|IST|ISE|
ISE|POP,|POP|EWR|BHX|IST|ISE|
ISE|RDU,|RDU|EWR|BHX|IST|ISE|
ISE|ROC,|ROC|YYZ|IST|ISE|
ISE|RSW,|RSW|MCO|FRA|IST|ISE|
ISE|SAN,|SAN|LAX|IST|ISE|
ISE|SJO,|SJO|EWR|BHX|IST|ISE|
ISE|STL,|STL|ORD|IST|ISE|
ISE|SYR,|SYR|EWR|BHX|IST|ISE|
ISE|TLV,|TLV|IST|ISE|
ISE|TPA,|TPA|EWR|BHX|IST|ISE|
ISE|UVF,|UVF|EWR|BHX|IST|ISE|
ISE|VIE,|VIE|IST|ISE|
ISE|YAM,|YAM|YYZ|IST|ISE|
ISE|YGK,|YGK|YYZ|IST|ISE|
ISE|YQG,|YQG|YYZ|IST|ISE|
ISE|YSB,|YSB|YYZ|IST|ISE|
ISE|YTS,|YTS|YYZ|IST|ISE|
ISE|YYB,|YYB|YYZ|IST|ISE|
ISE|YZR,|YZR|YYZ|IST|ISE|
ISE|CAN,|CAN|IST|ISE|
ISE|URC,|URC|IST|ISE|
ISE|CTU,|CTU|URC|IST|ISE|
ISE|HGH,|HGH|URC|IST|ISE|
ISE|XMN,|XMN|CSX|URC|IST|ISE|
ISE|CGO,|CGO|URC|IST|ISE|
ISE|CSX,|CSX|URC|IST|ISE|
ISE|SHE,|SHE|PEK|IST|ISE|
ISE|SJW,|SJW|URC|IST|ISE|
ISE|WUH,|WUH|URC|IST|ISE|
ISE|SZX,|SZX|CKG|URC|IST|ISE|
ISE|CKG,|CKG|URC|IST|ISE|
ISE|KMG,|KMG|CTU|URC|IST|ISE|
ISE|FOC,|FOC|XIY|URC|IST|ISE|
ISE|NNG,|NNG|KWE|URC|IST|ISE|
ISE|SWA,|SWA|CAN|IST|ISE|
ISE|ACX,|ACX|CAN|IST|ISE|
ISE|AQG,|AQG|CAN|IST|ISE|
ISE|AVA,|AVA|CAN|IST|ISE|
ISE|BFJ,|BFJ|CAN|IST|ISE|
ISE|BHY,|BHY|CKG|URC|IST|ISE|
ISE|BNE,|BNE|BKK|IST|ISE|
ISE|CGD,|CGD|PEK|IST|ISE|
ISE|CGK,|CGK|SIN|IST|ISE|
ISE|CGQ,|CGQ|HET|URC|IST|ISE|
ISE|CIH,|CIH|PEK|IST|ISE|
ISE|CNX,|CNX|CAN|IST|ISE|
ISE|CZX,|CZX|TYN|URC|IST|ISE|
ISE|DAC,|DAC|IST|ISE|
ISE|DAD,|DAD|CAN|IST|ISE|
ISE|DEL,|DEL|IST|ISE|
ISE|DIG,|DIG|KMG|CTU|URC|IST|ISE|
ISE|DLC,|DLC|PEK|IST|ISE|
ISE|DPS,|DPS|CAN|IST|ISE|
ISE|DXB,|DXB|IST|ISE|
ISE|DYG,|DYG|CSX|URC|IST|ISE|
ISE|FUG,|FUG|CAN|IST|ISE|
ISE|FUK,|FUK|ICN|IST|ISE|
ISE|HAK,|HAK|CTU|URC|IST|ISE|
ISE|HAN,|HAN|CAN|IST|ISE|
