YSJ|YXC,|YXC|YYC|YUL|YSJ|
YSJ|YXJ,|YXJ|YYC|YUL|YSJ|
YSJ|YXS,|YXS|YYC|YUL|YSJ|
YSJ|YXT,|YXT|YVR|YUL|YSJ|
YSJ|YXY,|YXY|YVR|YUL|YSJ|
YSJ|YYD,|YYD|YVR|YUL|YSJ|
YSJ|YYF,|YYF|YVR|YUL|YSJ|
YSJ|YZP,|YZP|YVR|YUL|YSJ|
YSJ|YQT,|YQT|YYZ|YSJ|
YSJ|SJD,|SJD|ORD|YYZ|YSJ|
YSJ|YQF,|YQF|YYC|YUL|YSJ|
YSJ|YQL,|YQL|YYC|YUL|YSJ|
YSJ|YXH,|YXH|YYC|YUL|YSJ|
YSJ|YWK,|YWK|YYR|YHZ|YSJ|
YSJ|ANU,|ANU|EWR|YUL|YSJ|
YSJ|AUA,|AUA|EWR|YUL|YSJ|
YSJ|AUH,|AUH|IST|LHR|YHZ|YSJ|
YSJ|BCN,|BCN|EWR|YUL|YSJ|
YSJ|BDA,|BDA|EWR|YUL|YSJ|
YSJ|BGI,|BGI|YYZ|YSJ|
YSJ|BNA,|BNA|YYZ|YSJ|
YSJ|BOG,|BOG|JFK|YUL|YSJ|
YSJ|BWI,|BWI|EWR|YUL|YSJ|
YSJ|CLE,|CLE|YYZ|YSJ|
YSJ|CLT,|CLT|IAD|YUL|YSJ|
YSJ|CMH,|CMH|YYZ|YSJ|
YSJ|CVG,|CVG|YYZ|YSJ|
YSJ|DFW,|DFW|YYZ|YSJ|
YSJ|DTW,|DTW|YYZ|YSJ|
YSJ|DUB,|DUB|BOS|YHZ|YSJ|
YSJ|FCO,|FCO|EWR|YUL|YSJ|
YSJ|GCM,|GCM|IAD|YUL|YSJ|
YSJ|GGT,|GGT|FLL|YUL|YSJ|
YSJ|GND,|GND|YYZ|YSJ|
YSJ|GRU,|GRU|EWR|YUL|YSJ|
YSJ|HAV,|HAV|YYZ|YSJ|
YSJ|IND,|IND|YYZ|YSJ|
YSJ|JFK,|JFK|YUL|YSJ|
YSJ|KIN,|KIN|YYZ|YSJ|
YSJ|LIM,|LIM|EWR|YUL|YSJ|
YSJ|LIR,|LIR|EWR|YUL|YSJ|
YSJ|MCI,|MCI|YYZ|YSJ|
YSJ|MDT,|MDT|IAD|YUL|YSJ|
YSJ|MIA,|MIA|YUL|YSJ|
YSJ|MKE,|MKE|YYZ|YSJ|
YSJ|MSP,|MSP|YUL|YSJ|
YSJ|NAS,|NAS|EWR|YUL|YSJ|
YSJ|PHL,|PHL|IAD|YUL|YSJ|
YSJ|PHX,|PHX|YYZ|YSJ|
YSJ|PIT,|PIT|YYZ|YSJ|
YSJ|PLS,|PLS|EWR|YUL|YSJ|
YSJ|POP,|POP|EWR|YUL|YSJ|
YSJ|RDU,|RDU|IAD|YUL|YSJ|
YSJ|ROC,|ROC|YYZ|YSJ|
YSJ|RSW,|RSW|MCO|YHZ|YSJ|
YSJ|SAN,|SAN|YYZ|YSJ|
YSJ|SJO,|SJO|IAD|YUL|YSJ|
YSJ|STL,|STL|YYZ|YSJ|
YSJ|SYR,|SYR|YYZ|YSJ|
YSJ|TLV,|TLV|IST|LHR|YHZ|YSJ|
YSJ|TPA,|TPA|IAD|YUL|YSJ|
YSJ|UVF,|UVF|EWR|YUL|YSJ|
YSJ|VIE,|VIE|JFK|YUL|YSJ|
YSJ|YAM,|YAM|YYZ|YSJ|
YSJ|YGK,|YGK|YYZ|YSJ|
YSJ|YQG,|YQG|YYZ|YSJ|
YSJ|YSB,|YSB|YYZ|YSJ|
YSJ|YTS,|YTS|YYZ|YSJ|
YSJ|YYB,|YYB|YYZ|YSJ|
YSJ|YZR,|YZR|YYZ|YSJ|
YSJ|CAN,|CAN|PEK|YYZ|YSJ|
YSJ|URC,|URC|IST|LHR|YHZ|YSJ|
YSJ|CTU,|CTU|PEK|YYZ|YSJ|
YSJ|HGH,|HGH|PEK|YYZ|YSJ|
YSJ|XMN,|XMN|PEK|YYZ|YSJ|
YSJ|CGO,|CGO|PEK|YYZ|YSJ|
YSJ|CSX,|CSX|PEK|YYZ|YSJ|
YSJ|SHE,|SHE|PEK|YYZ|YSJ|
YSJ|SJW,|SJW|DLC|PEK|YYZ|YSJ|
