MEM|YGR,|YGR|YGP|YQB|ORD|MEM|
MEM|YGP,|YGP|YQB|ORD|MEM|
MEM|BOS,|BOS|EWR|MEM|
MEM|YDF,|YDF|YHZ|EWR|MEM|
MEM|YFC,|YFC|YYZ|DTW|MDW|MEM|
MEM|YQM,|YQM|EWR|MEM|
MEM|YQX,|YQX|YHZ|EWR|MEM|
MEM|YQY,|YQY|YHZ|EWR|MEM|
MEM|YSJ,|YSJ|YYZ|DTW|MDW|MEM|
MEM|YYG,|YYG|YHZ|EWR|MEM|
MEM|LAX,|LAX|DEN|MEM|
MEM|DCA,|DCA|CLE|MDW|MEM|
MEM|LGA,|LGA|MDW|MEM|
MEM|YZV,|YZV|YQB|ORD|MEM|
MEM|YWL,|YWL|YVR|DEN|MEM|
MEM|AZS,|AZS|YYZ|DTW|MDW|MEM|
MEM|BDL,|BDL|BWI|MEM|
MEM|CCC,|CCC|YYZ|DTW|MDW|MEM|
MEM|CDG,|CDG|EWR|MEM|
MEM|CUN,|CUN|IAH|MEM|
MEM|CZM,|CZM|IAH|MEM|
MEM|FDF,|FDF|YUL|YYZ|DTW|MDW|MEM|
MEM|FLL,|FLL|TPA|MEM|
MEM|GVA,|GVA|EWR|MEM|
MEM|HOG,|HOG|YYZ|DTW|MDW|MEM|
MEM|LAS,|LAS|DEN|MEM|
MEM|MBJ,|MBJ|IAH|MEM|
MEM|MCO,|MCO|MEM|
MEM|MUC,|MUC|EWR|MEM|
MEM|PAP,|PAP|YUL|YYZ|DTW|MDW|MEM|
MEM|PTP,|PTP|YUL|YYZ|DTW|MDW|MEM|
MEM|PUJ,|PUJ|ORD|MEM|
MEM|SNU,|SNU|YYZ|DTW|MDW|MEM|
MEM|VRA,|VRA|YYZ|DTW|MDW|MEM|
MEM|YBC,|YBC|YUL|YYZ|DTW|MDW|MEM|
MEM|YBG,|YBG|YUL|YYZ|DTW|MDW|MEM|
MEM|YTZ,|YTZ|YUL|YYZ|DTW|MDW|MEM|
MEM|YUY,|YUY|YUL|YYZ|DTW|MDW|MEM|
MEM|YVO,|YVO|YUL|YYZ|DTW|MDW|MEM|
MEM|ZBF,|ZBF|YUL|YYZ|DTW|MDW|MEM|
MEM|ZRH,|ZRH|EWR|MEM|
MEM|ZSA,|ZSA|YUL|YYZ|DTW|MDW|MEM|
MEM|AKL,|AKL|LAX|DEN|MEM|
MEM|HKG,|HKG|ORD|MEM|
MEM|HND,|HND|YVR|DEN|MEM|
MEM|HNL,|HNL|DEN|MEM|
MEM|MEX,|MEX|IAH|MEM|
MEM|OGG,|OGG|DEN|MEM|
MEM|PDX,|PDX|DEN|MEM|
MEM|PEK,|PEK|ORD|MEM|
MEM|PVG,|PVG|ORD|MEM|
MEM|PVR,|PVR|IAH|MEM|
MEM|SEA,|SEA|DEN|MEM|
MEM|SYD,|SYD|LAX|DEN|MEM|
MEM|YBL,|YBL|YVR|DEN|MEM|
MEM|YCD,|YCD|YVR|DEN|MEM|
MEM|YCG,|YCG|YYC|DEN|MEM|
MEM|YKA,|YKA|YYC|DEN|MEM|
MEM|YPR,|YPR|YVR|DEN|MEM|
MEM|YQZ,|YQZ|YVR|DEN|MEM|
MEM|YXC,|YXC|YYC|DEN|MEM|
MEM|YXJ,|YXJ|YYC|DEN|MEM|
MEM|YXS,|YXS|YYC|DEN|MEM|
MEM|YXT,|YXT|YVR|DEN|MEM|
MEM|YXY,|YXY|YVR|DEN|MEM|
MEM|YYD,|YYD|YVR|DEN|MEM|
MEM|YYF,|YYF|YVR|DEN|MEM|
MEM|YZP,|YZP|YVR|DEN|MEM|
MEM|YQT,|YQT|YYZ|DTW|MDW|MEM|
MEM|SJD,|SJD|IAH|MEM|
MEM|YQF,|YQF|YYC|DEN|MEM|
MEM|YQL,|YQL|YYC|DEN|MEM|
MEM|YXH,|YXH|YYC|DEN|MEM|
MEM|YWK,|YWK|YZV|YQB|ORD|MEM|
MEM|ANU,|ANU|EWR|MEM|
MEM|AUA,|AUA|ATL|TPA|MEM|
MEM|AUH,|AUH|FRA|EWR|MEM|
MEM|BCN,|BCN|EWR|MEM|
MEM|BDA,|BDA|EWR|MEM|
MEM|BGI,|BGI|YYZ|DTW|MDW|MEM|
MEM|BNA,|BNA|MDW|MEM|
MEM|BOG,|BOG|IAH|MEM|
MEM|BWI,|BWI|MEM|
MEM|CLE,|CLE|MDW|MEM|
MEM|CLT,|CLT|MDW|MEM|
MEM|CMH,|CMH|MDW|MEM|
MEM|CVG,|CVG|ORD|MEM|
MEM|DFW,|DFW|IAH|MEM|
MEM|DTW,|DTW|MDW|MEM|
MEM|DUB,|DUB|EWR|MEM|
MEM|FCO,|FCO|EWR|MEM|
MEM|GCM,|GCM|IAH|MEM|
MEM|GGT,|GGT|FLL|TPA|MEM|
MEM|GND,|GND|YYZ|DTW|MDW|MEM|
MEM|GRU,|GRU|IAH|MEM|
MEM|HAV,|HAV|YYZ|DTW|MDW|MEM|
MEM|IND,|IND|ORD|MEM|
MEM|JFK,|JFK|IAD|MDW|MEM|
MEM|KIN,|KIN|YYZ|DTW|MDW|MEM|
MEM|LIM,|LIM|IAH|MEM|
MEM|LIR,|LIR|IAH|MEM|
MEM|MCI,|MCI|MDW|MEM|
MEM|MDT,|MDT|ORD|MEM|
MEM|MIA,|MIA|IAH|MEM|
MEM|MKE,|MKE|ORD|MEM|
MEM|MSP,|MSP|ORD|MEM|
MEM|NAS,|NAS|IAH|MEM|
MEM|PHL,|PHL|MDW|MEM|
MEM|PHX,|PHX|DEN|MEM|
MEM|PIT,|PIT|MDW|MEM|
MEM|PLS,|PLS|EWR|MEM|
MEM|POP,|POP|EWR|MEM|
MEM|RDU,|RDU|BWI|MEM|
MEM|ROC,|ROC|MDW|MEM|
MEM|RSW,|RSW|MCO|MEM|
MEM|SAN,|SAN|DEN|MEM|
MEM|SJO,|SJO|IAH|MEM|
MEM|STL,|STL|MDW|MEM|
MEM|SYR,|SYR|ORD|MEM|
MEM|TLV,|TLV|EWR|MEM|
MEM|TPA,|TPA|MEM|
MEM|UVF,|UVF|EWR|MEM|
MEM|VIE,|VIE|ORD|MEM|
MEM|YAM,|YAM|YYZ|DTW|MDW|MEM|
MEM|YGK,|YGK|YYZ|DTW|MDW|MEM|
MEM|YQG,|YQG|YYZ|DTW|MDW|MEM|
MEM|YSB,|YSB|YYZ|DTW|MDW|MEM|
MEM|YTS,|YTS|YYZ|DTW|MDW|MEM|
MEM|YYB,|YYB|YYZ|DTW|MDW|MEM|
MEM|YZR,|YZR|YYZ|DTW|MDW|MEM|
MEM|CAN,|CAN|PEK|ORD|MEM|
MEM|URC,|URC|TSE|FRA|EWR|MEM|
MEM|CTU,|CTU|PEK|ORD|MEM|
MEM|HGH,|HGH|PEK|ORD|MEM|
