ISU|YQZ,|YQZ|YVR|MUC|IST|ISU|
ISU|YXC,|YXC|YYC|FRA|IST|ISU|
ISU|YXJ,|YXJ|YYC|FRA|IST|ISU|
ISU|YXS,|YXS|YYC|FRA|IST|ISU|
ISU|YXT,|YXT|YVR|MUC|IST|ISU|
ISU|YXY,|YXY|YVR|MUC|IST|ISU|
ISU|YYD,|YYD|YVR|MUC|IST|ISU|
ISU|YYF,|YYF|YVR|MUC|IST|ISU|
ISU|YZP,|YZP|YVR|MUC|IST|ISU|
ISU|YQT,|YQT|YYZ|IST|ISU|
ISU|SJD,|SJD|ORD|IST|ISU|
ISU|YQF,|YQF|YYC|FRA|IST|ISU|
ISU|YQL,|YQL|YYC|FRA|IST|ISU|
ISU|YXH,|YXH|YYC|FRA|IST|ISU|
ISU|YWK,|YWK|YYR|YYT|LHR|IST|ISU|
ISU|ANU,|ANU|EWR|BHX|IST|ISU|
ISU|AUA,|AUA|EWR|BHX|IST|ISU|
ISU|AUH,|AUH|IST|ISU|
ISU|BCN,|BCN|IST|ISU|
ISU|BDA,|BDA|EWR|BHX|IST|ISU|
ISU|BGI,|BGI|YYZ|IST|ISU|
ISU|BNA,|BNA|YYZ|IST|ISU|
ISU|BOG,|BOG|MIA|ZRH|IST|ISU|
ISU|BWI,|BWI|EWR|BHX|IST|ISU|
ISU|CLE,|CLE|YYZ|IST|ISU|
ISU|CLT,|CLT|EWR|BHX|IST|ISU|
ISU|CMH,|CMH|YYZ|IST|ISU|
ISU|CVG,|CVG|YYZ|IST|ISU|
ISU|DFW,|DFW|ORD|IST|ISU|
ISU|DTW,|DTW|FRA|IST|ISU|
ISU|DUB,|DUB|IST|ISU|
ISU|FCO,|FCO|IST|ISU|
ISU|GCM,|GCM|EWR|BHX|IST|ISU|
ISU|GGT,|GGT|FLL|MCO|FRA|IST|ISU|
ISU|GND,|GND|YYZ|IST|ISU|
ISU|GRU,|GRU|IST|ISU|
ISU|HAV,|HAV|YYZ|IST|ISU|
ISU|IND,|IND|YYZ|IST|ISU|
ISU|JFK,|JFK|IST|ISU|
ISU|KIN,|KIN|YYZ|IST|ISU|
ISU|LIM,|LIM|MIA|ZRH|IST|ISU|
ISU|LIR,|LIR|EWR|BHX|IST|ISU|
ISU|MCI,|MCI|ORD|IST|ISU|
ISU|MDT,|MDT|IAD|IST|ISU|
ISU|MIA,|MIA|ZRH|IST|ISU|
ISU|MKE,|MKE|YYZ|IST|ISU|
ISU|MSP,|MSP|YUL|FRA|IST|ISU|
ISU|NAS,|NAS|EWR|BHX|IST|ISU|
ISU|PHL,|PHL|IAD|IST|ISU|
ISU|PHX,|PHX|DEN|FRA|IST|ISU|
ISU|PIT,|PIT|YYZ|IST|ISU|
ISU|PLS,|PLS|EWR|BHX|IST|ISU|
ISU|POP,|POP|EWR|BHX|IST|ISU|
ISU|RDU,|RDU|EWR|BHX|IST|ISU|
ISU|ROC,|ROC|YYZ|IST|ISU|
ISU|RSW,|RSW|MCO|FRA|IST|ISU|
ISU|SAN,|SAN|LAX|IST|ISU|
ISU|SJO,|SJO|EWR|BHX|IST|ISU|
ISU|STL,|STL|ORD|IST|ISU|
ISU|SYR,|SYR|EWR|BHX|IST|ISU|
ISU|TLV,|TLV|IST|ISU|
ISU|TPA,|TPA|EWR|BHX|IST|ISU|
ISU|UVF,|UVF|EWR|BHX|IST|ISU|
ISU|VIE,|VIE|IST|ISU|
ISU|YAM,|YAM|YYZ|IST|ISU|
ISU|YGK,|YGK|YYZ|IST|ISU|
ISU|YQG,|YQG|YYZ|IST|ISU|
ISU|YSB,|YSB|YYZ|IST|ISU|
ISU|YTS,|YTS|YYZ|IST|ISU|
ISU|YYB,|YYB|YYZ|IST|ISU|
ISU|YZR,|YZR|YYZ|IST|ISU|
ISU|CAN,|CAN|IST|ISU|
ISU|URC,|URC|IST|ISU|
ISU|CTU,|CTU|URC|IST|ISU|
ISU|HGH,|HGH|URC|IST|ISU|
ISU|XMN,|XMN|CSX|URC|IST|ISU|
ISU|CGO,|CGO|URC|IST|ISU|
ISU|CSX,|CSX|URC|IST|ISU|
ISU|SHE,|SHE|PEK|IST|ISU|
ISU|SJW,|SJW|URC|IST|ISU|
ISU|WUH,|WUH|URC|IST|ISU|
ISU|SZX,|SZX|CKG|URC|IST|ISU|
ISU|CKG,|CKG|URC|IST|ISU|
ISU|KMG,|KMG|CTU|URC|IST|ISU|
ISU|FOC,|FOC|XIY|URC|IST|ISU|
ISU|NNG,|NNG|KWE|URC|IST|ISU|
ISU|SWA,|SWA|CAN|IST|ISU|
ISU|ACX,|ACX|CAN|IST|ISU|
ISU|AQG,|AQG|CAN|IST|ISU|
ISU|AVA,|AVA|CAN|IST|ISU|
ISU|BFJ,|BFJ|CAN|IST|ISU|
ISU|BHY,|BHY|CKG|URC|IST|ISU|
ISU|BNE,|BNE|BKK|IST|ISU|
ISU|CGD,|CGD|PEK|IST|ISU|
ISU|CGK,|CGK|SIN|IST|ISU|
ISU|CGQ,|CGQ|HET|URC|IST|ISU|
ISU|CIH,|CIH|PEK|IST|ISU|
ISU|CNX,|CNX|CAN|IST|ISU|
ISU|CZX,|CZX|TYN|URC|IST|ISU|
ISU|DAC,|DAC|IST|ISU|
ISU|DAD,|DAD|CAN|IST|ISU|
ISU|DEL,|DEL|IST|ISU|
ISU|DIG,|DIG|KMG|CTU|URC|IST|ISU|
ISU|DLC,|DLC|PEK|IST|ISU|
ISU|DPS,|DPS|CAN|IST|ISU|
ISU|DXB,|DXB|IST|ISU|
ISU|DYG,|DYG|CSX|URC|IST|ISU|
ISU|FUG,|FUG|CAN|IST|ISU|
ISU|FUK,|FUK|ICN|IST|ISU|
ISU|HAK,|HAK|CTU|URC|IST|ISU|
ISU|HAN,|HAN|CAN|IST|ISU|
ISU|HDG,|HDG|CAN|IST|ISU|
ISU|HET,|HET|URC|IST|ISU|
ISU|HFE,|HFE|XIY|URC|IST|ISU|
ISU|HJJ,|HJJ|CSX|URC|IST|ISU|
ISU|HKT,|HKT|KWE|URC|IST|ISU|
ISU|HRB,|HRB|PEK|IST|ISU|
ISU|HZH,|HZH|CAN|IST|ISU|
ISU|JIU,|JIU|CAN|IST|ISU|
ISU|JJN,|JJN|CSX|URC|IST|ISU|
ISU|JNG,|JNG|CAN|IST|ISU|
ISU|KHN,|KHN|XIY|URC|IST|ISU|
ISU|KIX,|KIX|IST|ISU|
ISU|KOW,|KOW|CAN|IST|ISU|
ISU|KTM,|KTM|IST|ISU|
ISU|KUL,|KUL|IST|ISU|
