AMS|YXH,|YXH|YYC|ORD|AMS|
AMS|YWK,|YWK|YZV|YQB|EWR|AMS|
AMS|ANU,|ANU|EWR|AMS|
AMS|AUA,|AUA|EWR|AMS|
AMS|AUH,|AUH|IST|AMS|
AMS|BCN,|BCN|IST|AMS|
AMS|BDA,|BDA|EWR|AMS|
AMS|BGI,|BGI|YYZ|EWR|AMS|
AMS|BNA,|BNA|EWR|AMS|
AMS|BOG,|BOG|EWR|AMS|
AMS|BWI,|BWI|EWR|AMS|
AMS|CLE,|CLE|EWR|AMS|
AMS|CLT,|CLT|EWR|AMS|
AMS|CMH,|CMH|EWR|AMS|
AMS|CVG,|CVG|EWR|AMS|
AMS|DFW,|DFW|ORD|AMS|
AMS|DTW,|DTW|EWR|AMS|
AMS|DUB,|DUB|IST|AMS|
AMS|FCO,|FCO|IST|AMS|
AMS|GCM,|GCM|EWR|AMS|
AMS|GGT,|GGT|FLL|EWR|AMS|
AMS|GND,|GND|YYZ|EWR|AMS|
AMS|GRU,|GRU|IST|AMS|
AMS|HAV,|HAV|YYZ|EWR|AMS|
AMS|IND,|IND|ORD|AMS|
AMS|JFK,|JFK|IAD|AMS|
AMS|KIN,|KIN|YYZ|EWR|AMS|
AMS|LIM,|LIM|EWR|AMS|
AMS|LIR,|LIR|EWR|AMS|
AMS|MCI,|MCI|ORD|AMS|
AMS|MDT,|MDT|IAD|AMS|
AMS|MIA,|MIA|EWR|AMS|
AMS|MKE,|MKE|ORD|AMS|
AMS|MSP,|MSP|ORD|AMS|
AMS|NAS,|NAS|EWR|AMS|
AMS|PHL,|PHL|IAD|AMS|
AMS|PHX,|PHX|ORD|AMS|
AMS|PIT,|PIT|EWR|AMS|
AMS|PLS,|PLS|EWR|AMS|
AMS|POP,|POP|EWR|AMS|
AMS|RDU,|RDU|EWR|AMS|
AMS|ROC,|ROC|EWR|AMS|
AMS|RSW,|RSW|EWR|AMS|
AMS|SAN,|SAN|ORD|AMS|
AMS|SJO,|SJO|EWR|AMS|
AMS|STL,|STL|ORD|AMS|
AMS|SYR,|SYR|EWR|AMS|
AMS|TLV,|TLV|IST|AMS|
AMS|TPA,|TPA|EWR|AMS|
AMS|UVF,|UVF|EWR|AMS|
AMS|VIE,|VIE|IST|AMS|
AMS|YAM,|YAM|YYZ|EWR|AMS|
AMS|YGK,|YGK|YYZ|EWR|AMS|
AMS|YQG,|YQG|YYZ|EWR|AMS|
AMS|YSB,|YSB|YYZ|EWR|AMS|
AMS|YTS,|YTS|YYZ|EWR|AMS|
AMS|YYB,|YYB|YYZ|EWR|AMS|
AMS|YZR,|YZR|YYZ|EWR|AMS|
AMS|CAN,|CAN|AMS|
AMS|URC,|URC|IST|AMS|
AMS|CTU,|CTU|AMS|
AMS|HGH,|HGH|AMS|
AMS|XMN,|XMN|AMS|
AMS|CGO,|CGO|PEK|AMS|
AMS|CSX,|CSX|CTU|AMS|
AMS|SHE,|SHE|PEK|AMS|
AMS|SJW,|SJW|DLC|PEK|AMS|
AMS|WUH,|WUH|PEK|AMS|
AMS|SZX,|SZX|CTU|AMS|
AMS|CKG,|CKG|KWE|CTU|AMS|
AMS|KMG,|KMG|CTU|AMS|
AMS|FOC,|FOC|HGH|AMS|
