AUA|YXT,|YXT|YVR|DEN|ATL|AUA|
AUA|YXY,|YXY|YVR|DEN|ATL|AUA|
AUA|YYD,|YYD|YVR|DEN|ATL|AUA|
AUA|YYF,|YYF|YVR|DEN|ATL|AUA|
AUA|YZP,|YZP|YVR|DEN|ATL|AUA|
AUA|YQT,|YQT|YYZ|AUA|
AUA|SJD,|SJD|IAH|ATL|AUA|
AUA|YQF,|YQF|YYC|ORD|ATL|AUA|
AUA|YQL,|YQL|YYC|ORD|ATL|AUA|
AUA|YXH,|YXH|YYC|ORD|ATL|AUA|
AUA|YWK,|YWK|YZV|YQB|EWR|AUA|
AUA|ANU,|ANU|EWR|AUA|
AUA|AUH,|AUH|FRA|EWR|AUA|
AUA|BCN,|BCN|EWR|AUA|
AUA|BDA,|BDA|EWR|AUA|
AUA|BGI,|BGI|YYZ|AUA|
AUA|BNA,|BNA|CHS|ATL|AUA|
AUA|BOG,|BOG|IAD|AUA|
AUA|BWI,|BWI|EWR|AUA|
AUA|CLE,|CLE|IAD|AUA|
AUA|CLT,|CLT|IAD|AUA|
AUA|CMH,|CMH|ATL|AUA|
AUA|CVG,|CVG|IAD|AUA|
AUA|DFW,|DFW|IAH|ATL|AUA|
AUA|DTW,|DTW|IAD|AUA|
AUA|DUB,|DUB|EWR|AUA|
AUA|FCO,|FCO|EWR|AUA|
AUA|GCM,|GCM|IAD|AUA|
AUA|GGT,|GGT|FLL|ATL|AUA|
AUA|GND,|GND|YYZ|AUA|
AUA|GRU,|GRU|IAD|AUA|
AUA|HAV,|HAV|YYZ|AUA|
AUA|IND,|IND|ATL|AUA|
AUA|JFK,|JFK|IAD|AUA|
AUA|KIN,|KIN|YYZ|AUA|
AUA|LIM,|LIM|MIA|IAD|AUA|
AUA|LIR,|LIR|IAH|ATL|AUA|
AUA|MCI,|MCI|ATL|AUA|
AUA|MDT,|MDT|IAD|AUA|
AUA|MIA,|MIA|IAD|AUA|
AUA|MKE,|MKE|ATL|AUA|
AUA|MSP,|MSP|ATL|AUA|
AUA|NAS,|NAS|ATL|AUA|
AUA|PHL,|PHL|IAD|AUA|
AUA|PHX,|PHX|ATL|AUA|
AUA|PIT,|PIT|IAD|AUA|
AUA|PLS,|PLS|EWR|AUA|
AUA|POP,|POP|EWR|AUA|
AUA|RDU,|RDU|ATL|AUA|
AUA|ROC,|ROC|IAD|AUA|
AUA|RSW,|RSW|ATL|AUA|
AUA|SAN,|SAN|ATL|AUA|
AUA|SJO,|SJO|IAD|AUA|
AUA|STL,|STL|ATL|AUA|
AUA|SYR,|SYR|EWR|AUA|
AUA|TLV,|TLV|EWR|AUA|
AUA|TPA,|TPA|ATL|AUA|
AUA|UVF,|UVF|EWR|AUA|
AUA|VIE,|VIE|IAD|AUA|
AUA|YAM,|YAM|YYZ|AUA|
AUA|YGK,|YGK|YYZ|AUA|
AUA|YQG,|YQG|YYZ|AUA|
AUA|YSB,|YSB|YYZ|AUA|
AUA|YTS,|YTS|YYZ|AUA|
AUA|YYB,|YYB|YYZ|AUA|
AUA|YZR,|YZR|YYZ|AUA|
AUA|CAN,|CAN|PEK|EWR|AUA|
AUA|URC,|URC|TSE|FRA|EWR|AUA|
AUA|CTU,|CTU|PEK|EWR|AUA|
AUA|HGH,|HGH|PEK|EWR|AUA|
AUA|XMN,|XMN|PEK|EWR|AUA|
AUA|CGO,|CGO|PEK|EWR|AUA|
AUA|CSX,|CSX|PEK|EWR|AUA|
AUA|SHE,|SHE|PEK|EWR|AUA|
AUA|SJW,|SJW|DLC|PEK|EWR|AUA|
AUA|WUH,|WUH|PEK|EWR|AUA|
AUA|SZX,|SZX|PEK|EWR|AUA|
AUA|CKG,|CKG|PEK|EWR|AUA|
AUA|KMG,|KMG|PEK|EWR|AUA|
AUA|FOC,|FOC|PEK|EWR|AUA|
AUA|NNG,|NNG|PEK|EWR|AUA|
AUA|SWA,|SWA|PEK|EWR|AUA|
AUA|ACX,|ACX|CAN|PEK|EWR|AUA|
AUA|AQG,|AQG|CAN|PEK|EWR|AUA|
AUA|AVA,|AVA|CAN|PEK|EWR|AUA|
AUA|BFJ,|BFJ|CAN|PEK|EWR|AUA|
AUA|BHY,|BHY|CGO|PEK|EWR|AUA|
AUA|BNE,|BNE|CAN|PEK|EWR|AUA|
AUA|CGD,|CGD|PEK|EWR|AUA|
AUA|CGK,|CGK|CAN|PEK|EWR|AUA|
AUA|CGQ,|CGQ|PEK|EWR|AUA|
AUA|CIH,|CIH|PEK|EWR|AUA|
AUA|CNX,|CNX|CAN|PEK|EWR|AUA|
AUA|CZX,|CZX|SHE|PEK|EWR|AUA|
AUA|DAC,|DAC|IST|BHX|EWR|AUA|
AUA|DAD,|DAD|CAN|PEK|EWR|AUA|
AUA|DEL,|DEL|EWR|AUA|
AUA|DIG,|DIG|KMG|PEK|EWR|AUA|
AUA|DLC,|DLC|PEK|EWR|AUA|
AUA|DPS,|DPS|SZX|PEK|EWR|AUA|
AUA|DXB,|DXB|IST|BHX|EWR|AUA|
AUA|DYG,|DYG|PEK|EWR|AUA|
AUA|FUG,|FUG|CAN|PEK|EWR|AUA|
AUA|FUK,|FUK|ICN|JFK|IAD|AUA|
AUA|HAK,|HAK|PEK|EWR|AUA|
AUA|HAN,|HAN|PEK|EWR|AUA|
AUA|HDG,|HDG|CAN|PEK|EWR|AUA|
AUA|HET,|HET|DLC|PEK|EWR|AUA|
AUA|HFE,|HFE|XIY|PEK|EWR|AUA|
