ASF|HND,|HND|YVR|MUC|SAW|ASF|
ASF|HNL,|HNL|YVR|MUC|SAW|ASF|
ASF|MEX,|MEX|IAD|FRA|SAW|ASF|
ASF|OGG,|OGG|YVR|MUC|SAW|ASF|
ASF|PDX,|PDX|SEA|FRA|SAW|ASF|
ASF|PEK,|PEK|URC|TBS|SAW|ASF|
ASF|PVG,|PVG|URC|TBS|SAW|ASF|
ASF|PVR,|PVR|ORD|VIE|SAW|ASF|
ASF|SEA,|SEA|FRA|SAW|ASF|
ASF|SYD,|SYD|CAN|URC|TBS|SAW|ASF|
ASF|YBL,|YBL|YVR|MUC|SAW|ASF|
ASF|YCD,|YCD|YVR|MUC|SAW|ASF|
ASF|YCG,|YCG|YYC|FRA|SAW|ASF|
ASF|YKA,|YKA|YYC|FRA|SAW|ASF|
ASF|YPR,|YPR|YVR|MUC|SAW|ASF|
ASF|YQZ,|YQZ|YVR|MUC|SAW|ASF|
ASF|YXC,|YXC|YYC|FRA|SAW|ASF|
ASF|YXJ,|YXJ|YYC|FRA|SAW|ASF|
ASF|YXS,|YXS|YYC|FRA|SAW|ASF|
ASF|YXT,|YXT|YVR|MUC|SAW|ASF|
ASF|YXY,|YXY|YVR|MUC|SAW|ASF|
ASF|YYD,|YYD|YVR|MUC|SAW|ASF|
ASF|YYF,|YYF|YVR|MUC|SAW|ASF|
ASF|YZP,|YZP|YVR|MUC|SAW|ASF|
ASF|YQT,|YQT|YYZ|VIE|SAW|ASF|
ASF|SJD,|SJD|ORD|VIE|SAW|ASF|
ASF|YQF,|YQF|YYC|FRA|SAW|ASF|
ASF|YQL,|YQL|YYC|FRA|SAW|ASF|
ASF|YXH,|YXH|YYC|FRA|SAW|ASF|
ASF|YWK,|YWK|YYR|YYT|LHR|IST|ADB|SAW|ASF|
ASF|ANU,|ANU|EWR|FRA|SAW|ASF|
ASF|AUA,|AUA|EWR|FRA|SAW|ASF|
ASF|AUH,|AUH|IST|ADB|SAW|ASF|
ASF|BCN,|BCN|IST|ADB|SAW|ASF|
ASF|BDA,|BDA|EWR|FRA|SAW|ASF|
ASF|BGI,|BGI|YYZ|VIE|SAW|ASF|
ASF|BNA,|BNA|YYZ|VIE|SAW|ASF|
ASF|BOG,|BOG|JFK|FRA|SAW|ASF|
ASF|BWI,|BWI|EWR|FRA|SAW|ASF|
ASF|CLE,|CLE|YYZ|VIE|SAW|ASF|
ASF|CLT,|CLT|EWR|FRA|SAW|ASF|
ASF|CMH,|CMH|YYZ|VIE|SAW|ASF|
ASF|CVG,|CVG|YYZ|VIE|SAW|ASF|
ASF|DFW,|DFW|ORD|VIE|SAW|ASF|
ASF|DTW,|DTW|YYZ|VIE|SAW|ASF|
ASF|DUB,|DUB|IST|ADB|SAW|ASF|
ASF|FCO,|FCO|IST|ADB|SAW|ASF|
ASF|GCM,|GCM|EWR|FRA|SAW|ASF|
ASF|GGT,|GGT|FLL|MCO|FRA|SAW|ASF|
ASF|GND,|GND|YYZ|VIE|SAW|ASF|
ASF|GRU,|GRU|IST|ADB|SAW|ASF|
ASF|HAV,|HAV|YYZ|VIE|SAW|ASF|
ASF|IND,|IND|YYZ|VIE|SAW|ASF|
ASF|JFK,|JFK|FRA|SAW|ASF|
ASF|KIN,|KIN|YYZ|VIE|SAW|ASF|
ASF|LIM,|LIM|MIA|FRA|SAW|ASF|
ASF|LIR,|LIR|EWR|FRA|SAW|ASF|
ASF|MCI,|MCI|ORD|VIE|SAW|ASF|
ASF|MDT,|MDT|IAD|FRA|SAW|ASF|
ASF|MIA,|MIA|FRA|SAW|ASF|
ASF|MKE,|MKE|YYZ|VIE|SAW|ASF|
ASF|MSP,|MSP|YUL|FRA|SAW|ASF|
ASF|NAS,|NAS|EWR|FRA|SAW|ASF|
ASF|PHL,|PHL|IAD|FRA|SAW|ASF|
ASF|PHX,|PHX|DEN|FRA|SAW|ASF|
ASF|PIT,|PIT|YYZ|VIE|SAW|ASF|
ASF|PLS,|PLS|EWR|FRA|SAW|ASF|
ASF|POP,|POP|EWR|FRA|SAW|ASF|
ASF|RDU,|RDU|EWR|FRA|SAW|ASF|
ASF|ROC,|ROC|YYZ|VIE|SAW|ASF|
ASF|RSW,|RSW|MCO|FRA|SAW|ASF|
ASF|SAN,|SAN|DEN|FRA|SAW|ASF|
ASF|SJO,|SJO|EWR|FRA|SAW|ASF|
ASF|STL,|STL|ORD|VIE|SAW|ASF|
ASF|SYR,|SYR|EWR|FRA|SAW|ASF|
ASF|TLV,|TLV|SAW|ASF|
ASF|TPA,|TPA|EWR|FRA|SAW|ASF|
ASF|UVF,|UVF|EWR|FRA|SAW|ASF|
ASF|VIE,|VIE|SAW|ASF|
ASF|YAM,|YAM|YYZ|VIE|SAW|ASF|
ASF|YGK,|YGK|YYZ|VIE|SAW|ASF|
ASF|YQG,|YQG|YYZ|VIE|SAW|ASF|
ASF|YSB,|YSB|YYZ|VIE|SAW|ASF|
ASF|YTS,|YTS|YYZ|VIE|SAW|ASF|
ASF|YYB,|YYB|YYZ|VIE|SAW|ASF|
ASF|YZR,|YZR|YYZ|VIE|SAW|ASF|
ASF|CAN,|CAN|URC|TBS|SAW|ASF|
ASF|URC,|URC|TBS|SAW|ASF|
ASF|CTU,|CTU|URC|TBS|SAW|ASF|
ASF|HGH,|HGH|URC|TBS|SAW|ASF|
ASF|XMN,|XMN|CSX|URC|TBS|SAW|ASF|
ASF|CGO,|CGO|URC|TBS|SAW|ASF|
ASF|CSX,|CSX|URC|TBS|SAW|ASF|
ASF|SHE,|SHE|HET|URC|TBS|SAW|ASF|
ASF|SJW,|SJW|URC|TBS|SAW|ASF|
