LIM|YYF,|YYF|YVR|IAH|LIM|
LIM|YZP,|YZP|YVR|IAH|LIM|
LIM|YQT,|YQT|YYZ|LIM|
LIM|SJD,|SJD|IAH|LIM|
LIM|YQF,|YQF|YYC|IAH|LIM|
LIM|YQL,|YQL|YYC|IAH|LIM|
LIM|YXH,|YXH|YYC|IAH|LIM|
LIM|YWK,|YWK|YZV|YQB|EWR|LIM|
LIM|ANU,|ANU|EWR|LIM|
LIM|AUA,|AUA|IAD|MIA|LIM|
LIM|AUH,|AUH|IST|ZRH|MIA|LIM|
LIM|BCN,|BCN|EWR|LIM|
LIM|BDA,|BDA|EWR|LIM|
LIM|BGI,|BGI|YYZ|LIM|
LIM|BNA,|BNA|MSY|MIA|LIM|
LIM|BOG,|BOG|MIA|LIM|
LIM|BWI,|BWI|EWR|LIM|
LIM|CLE,|CLE|IAD|MIA|LIM|
LIM|CLT,|CLT|IAD|MIA|LIM|
LIM|CMH,|CMH|IAD|MIA|LIM|
LIM|CVG,|CVG|IAD|MIA|LIM|
LIM|DFW,|DFW|IAH|LIM|
LIM|DTW,|DTW|IAD|MIA|LIM|
LIM|DUB,|DUB|EWR|LIM|
LIM|FCO,|FCO|EWR|LIM|
LIM|GCM,|GCM|IAH|LIM|
LIM|GGT,|GGT|FLL|MSY|MIA|LIM|
LIM|GND,|GND|YYZ|LIM|
LIM|GRU,|GRU|IAH|LIM|
LIM|HAV,|HAV|YYZ|LIM|
LIM|IND,|IND|IAH|LIM|
LIM|JFK,|JFK|IAD|MIA|LIM|
LIM|KIN,|KIN|YYZ|LIM|
LIM|LIR,|LIR|IAH|LIM|
LIM|MCI,|MCI|IAH|LIM|
LIM|MDT,|MDT|IAD|MIA|LIM|
LIM|MIA,|MIA|LIM|
LIM|MKE,|MKE|ORD|MIA|LIM|
LIM|MSP,|MSP|ORD|MIA|LIM|
LIM|NAS,|NAS|IAH|LIM|
LIM|PHL,|PHL|IAD|MIA|LIM|
LIM|PHX,|PHX|IAH|LIM|
LIM|PIT,|PIT|IAD|MIA|LIM|
LIM|PLS,|PLS|EWR|LIM|
LIM|POP,|POP|EWR|LIM|
LIM|RDU,|RDU|IAD|MIA|LIM|
LIM|ROC,|ROC|IAD|MIA|LIM|
LIM|RSW,|RSW|MCO|MSY|MIA|LIM|
LIM|SAN,|SAN|IAH|LIM|
LIM|SJO,|SJO|IAH|LIM|
LIM|STL,|STL|IAH|LIM|
LIM|SYR,|SYR|IAD|MIA|LIM|
LIM|TLV,|TLV|IST|ZRH|MIA|LIM|
LIM|TPA,|TPA|MSY|MIA|LIM|
LIM|UVF,|UVF|EWR|LIM|
LIM|VIE,|VIE|IAD|MIA|LIM|
LIM|YAM,|YAM|YYZ|LIM|
LIM|YGK,|YGK|YYZ|LIM|
LIM|YQG,|YQG|YYZ|LIM|
LIM|YSB,|YSB|YYZ|LIM|
LIM|YTS,|YTS|YYZ|LIM|
LIM|YYB,|YYB|YYZ|LIM|
LIM|YZR,|YZR|YYZ|LIM|
LIM|CAN,|CAN|YVR|IAH|LIM|
LIM|URC,|URC|TSE|FRA|MIA|LIM|
LIM|CTU,|CTU|PEK|IAH|LIM|
LIM|HGH,|HGH|PEK|IAH|LIM|
LIM|XMN,|XMN|PEK|IAH|LIM|
LIM|CGO,|CGO|PEK|IAH|LIM|
LIM|CSX,|CSX|PEK|IAH|LIM|
LIM|SHE,|SHE|ICN|YVR|IAH|LIM|
LIM|SJW,|SJW|DLC|ICN|YVR|IAH|LIM|
LIM|WUH,|WUH|PEK|IAH|LIM|
LIM|SZX,|SZX|PVG|YVR|IAH|LIM|
LIM|CKG,|CKG|PEK|IAH|LIM|
LIM|KMG,|KMG|PEK|IAH|LIM|
LIM|FOC,|FOC|PEK|IAH|LIM|
LIM|NNG,|NNG|PEK|IAH|LIM|
LIM|SWA,|SWA|PEK|IAH|LIM|
