SNA|SJD,|SJD|LAX|LAS|SNA|
SNA|YQF,|YQF|YYC|LAS|SNA|
SNA|YQL,|YQL|YYC|LAS|SNA|
SNA|YXH,|YXH|YYC|LAS|SNA|
SNA|YWK,|YWK|YZV|YUL|DEN|SNA|
SNA|ANU,|ANU|EWR|SNA|
SNA|AUA,|AUA|ATL|PHX|SNA|
SNA|AUH,|AUH|FRA|DEN|SNA|
SNA|BCN,|BCN|YYZ|DEN|SNA|
SNA|BDA,|BDA|EWR|SNA|
SNA|BGI,|BGI|YYZ|DEN|SNA|
SNA|BNA,|BNA|PHX|SNA|
SNA|BOG,|BOG|IAH|SNA|
SNA|BWI,|BWI|LAS|SNA|
SNA|CLE,|CLE|ORD|SNA|
SNA|CLT,|CLT|IAH|SNA|
SNA|CMH,|CMH|LAS|SNA|
SNA|CVG,|CVG|DEN|SNA|
SNA|DFW,|DFW|DEN|SNA|
SNA|DTW,|DTW|ORD|SNA|
SNA|DUB,|DUB|ORD|SNA|
SNA|FCO,|FCO|YYZ|DEN|SNA|
SNA|GCM,|GCM|IAH|SNA|
SNA|GGT,|GGT|FLL|PHX|SNA|
SNA|GND,|GND|YYZ|DEN|SNA|
SNA|GRU,|GRU|IAH|SNA|
SNA|HAV,|HAV|YYZ|DEN|SNA|
SNA|IND,|IND|LAS|SNA|
SNA|JFK,|JFK|IAD|LAS|SNA|
SNA|KIN,|KIN|YYZ|DEN|SNA|
SNA|LIM,|LIM|IAH|SNA|
SNA|LIR,|LIR|IAH|SNA|
SNA|MCI,|MCI|LAS|SNA|
SNA|MDT,|MDT|ORD|SNA|
SNA|MIA,|MIA|IAH|SNA|
SNA|MKE,|MKE|DEN|SNA|
SNA|MSP,|MSP|DEN|SNA|
SNA|NAS,|NAS|IAH|SNA|
SNA|PHL,|PHL|LAS|SNA|
SNA|PHX,|PHX|SNA|
SNA|PIT,|PIT|DEN|SNA|
SNA|PLS,|PLS|YYZ|DEN|SNA|
SNA|POP,|POP|EWR|SNA|
SNA|RDU,|RDU|PHX|SNA|
SNA|ROC,|ROC|ORD|SNA|
SNA|RSW,|RSW|IAH|SNA|
SNA|SAN,|SAN|LAS|SNA|
SNA|SJO,|SJO|IAH|SNA|
SNA|STL,|STL|LAS|SNA|
SNA|SYR,|SYR|ORD|SNA|
SNA|TLV,|TLV|IST|FRA|DEN|SNA|
SNA|TPA,|TPA|PHX|SNA|
SNA|UVF,|UVF|EWR|SNA|
SNA|VIE,|VIE|ORD|SNA|
SNA|YAM,|YAM|YYZ|DEN|SNA|
SNA|YGK,|YGK|YYZ|DEN|SNA|
SNA|YQG,|YQG|YYZ|DEN|SNA|
SNA|YSB,|YSB|YYZ|DEN|SNA|
SNA|YTS,|YTS|YYZ|DEN|SNA|
SNA|YYB,|YYB|YYZ|DEN|SNA|
SNA|YZR,|YZR|YYZ|DEN|SNA|
SNA|CAN,|CAN|PVG|SFO|SNA|
SNA|URC,|URC|PEK|SFO|SNA|
SNA|CTU,|CTU|PEK|SFO|SNA|
SNA|HGH,|HGH|DLC|ICN|SFO|SNA|
SNA|XMN,|XMN|YNZ|DLC|ICN|SFO|SNA|
SNA|CGO,|CGO|PEK|SFO|SNA|
SNA|CSX,|CSX|ICN|SFO|SNA|
SNA|SHE,|SHE|ICN|SFO|SNA|
SNA|SJW,|SJW|DLC|ICN|SFO|SNA|
SNA|WUH,|WUH|ICN|SFO|SNA|
SNA|SZX,|SZX|PVG|SFO|SNA|
SNA|CKG,|CKG|PEK|SFO|SNA|
SNA|KMG,|KMG|PEK|SFO|SNA|
SNA|FOC,|FOC|HGH|DLC|ICN|SFO|SNA|
SNA|NNG,|NNG|CSX|ICN|SFO|SNA|
SNA|SWA,|SWA|WUH|ICN|SFO|SNA|
SNA|ACX,|ACX|CAN|PVG|SFO|SNA|
SNA|AQG,|AQG|CAN|PVG|SFO|SNA|
