DAL|YZF,|YZF|YEG|DEN|OKC|DAL|
DAL|YGR,|YGR|YGP|YQB|YYZ|STL|DAL|
DAL|YGP,|YGP|YQB|YYZ|STL|DAL|
DAL|BOS,|BOS|BWI|LIT|DAL|
DAL|YDF,|YDF|YYZ|STL|DAL|
DAL|YFC,|YFC|YYZ|STL|DAL|
DAL|YQM,|YQM|YYZ|STL|DAL|
DAL|YQX,|YQX|YHZ|EWR|BWI|LIT|DAL|
DAL|YQY,|YQY|YYZ|STL|DAL|
DAL|YSJ,|YSJ|YYZ|STL|DAL|
DAL|YYG,|YYG|YYZ|STL|DAL|
DAL|LAX,|LAX|ABQ|DAL|
DAL|DCA,|DCA|STL|DAL|
DAL|LGA,|LGA|STL|DAL|
DAL|YZV,|YZV|YQB|YYZ|STL|DAL|
DAL|YWL,|YWL|YVR|DEN|OKC|DAL|
DAL|AZS,|AZS|YYZ|STL|DAL|
DAL|BDL,|BDL|BWI|LIT|DAL|
DAL|CCC,|CCC|YYZ|STL|DAL|
DAL|CDG,|CDG|YYZ|STL|DAL|
DAL|CUN,|CUN|IAH|DAL|
DAL|CZM,|CZM|IAH|DAL|
DAL|FDF,|FDF|YUL|YYZ|STL|DAL|
DAL|FLL,|FLL|MSY|DAL|
DAL|GVA,|GVA|YUL|YYZ|STL|DAL|
DAL|HOG,|HOG|YYZ|STL|DAL|
DAL|LAS,|LAS|ABQ|DAL|
DAL|MBJ,|MBJ|IAH|DAL|
DAL|MCO,|MCO|MSY|DAL|
DAL|MUC,|MUC|ORD|STL|DAL|
DAL|PAP,|PAP|YUL|YYZ|STL|DAL|
DAL|PTP,|PTP|YUL|YYZ|STL|DAL|
DAL|PUJ,|PUJ|ATL|MSY|DAL|
DAL|SNU,|SNU|YYZ|STL|DAL|
DAL|VRA,|VRA|YYZ|STL|DAL|
DAL|YBC,|YBC|YUL|YYZ|STL|DAL|
DAL|YBG,|YBG|YUL|YYZ|STL|DAL|
DAL|YTZ,|YTZ|YUL|YYZ|STL|DAL|
DAL|YUY,|YUY|YUL|YYZ|STL|DAL|
DAL|YVO,|YVO|YUL|YYZ|STL|DAL|
DAL|ZBF,|ZBF|YUL|YYZ|STL|DAL|
DAL|ZRH,|ZRH|YYZ|STL|DAL|
DAL|ZSA,|ZSA|YUL|YYZ|STL|DAL|
DAL|AKL,|AKL|LAX|ABQ|DAL|
DAL|HKG,|HKG|YVR|DEN|OKC|DAL|
DAL|HND,|HND|YVR|DEN|OKC|DAL|
DAL|HNL,|HNL|LAX|ABQ|DAL|
DAL|MEX,|MEX|IAH|DAL|
DAL|OGG,|OGG|LAX|ABQ|DAL|
DAL|PDX,|PDX|DEN|OKC|DAL|
DAL|PEK,|PEK|YVR|DEN|OKC|DAL|
DAL|PVG,|PVG|YVR|DEN|OKC|DAL|
DAL|PVR,|PVR|IAH|DAL|
DAL|SEA,|SEA|DEN|OKC|DAL|
DAL|SYD,|SYD|LAX|ABQ|DAL|
DAL|YBL,|YBL|YVR|DEN|OKC|DAL|
DAL|YCD,|YCD|YVR|DEN|OKC|DAL|
DAL|YCG,|YCG|YYC|DEN|OKC|DAL|
DAL|YKA,|YKA|YYC|DEN|OKC|DAL|
DAL|YPR,|YPR|YVR|DEN|OKC|DAL|
DAL|YQZ,|YQZ|YVR|DEN|OKC|DAL|
DAL|YXC,|YXC|YYC|DEN|OKC|DAL|
DAL|YXJ,|YXJ|YYC|DEN|OKC|DAL|
DAL|YXS,|YXS|YYC|DEN|OKC|DAL|
DAL|YXT,|YXT|YVR|DEN|OKC|DAL|
DAL|YXY,|YXY|YVR|DEN|OKC|DAL|
DAL|YYD,|YYD|YVR|DEN|OKC|DAL|
DAL|YYF,|YYF|YVR|DEN|OKC|DAL|
DAL|YZP,|YZP|YVR|DEN|OKC|DAL|
DAL|YQT,|YQT|YYZ|STL|DAL|
DAL|SJD,|SJD|IAH|DAL|
DAL|YQF,|YQF|YYC|DEN|OKC|DAL|
DAL|YQL,|YQL|YYC|DEN|OKC|DAL|
DAL|YXH,|YXH|YYC|DEN|OKC|DAL|
DAL|YWK,|YWK|YZV|YQB|YYZ|STL|DAL|
DAL|ANU,|ANU|EWR|BWI|LIT|DAL|
DAL|AUA,|AUA|ATL|MSY|DAL|
DAL|AUH,|AUH|YYZ|STL|DAL|
DAL|BCN,|BCN|YYZ|STL|DAL|
DAL|BDA,|BDA|EWR|BWI|LIT|DAL|
DAL|BGI,|BGI|YYZ|STL|DAL|
DAL|BNA,|BNA|STL|DAL|
DAL|BOG,|BOG|IAH|DAL|
DAL|BWI,|BWI|LIT|DAL|
DAL|CLE,|CLE|STL|DAL|
DAL|CLT,|CLT|IAH|DAL|
DAL|CMH,|CMH|STL|DAL|
DAL|CVG,|CVG|ORD|STL|DAL|
DAL|DFW,|DFW|IAH|DAL|
DAL|DTW,|DTW|STL|DAL|
DAL|DUB,|DUB|ORD|STL|DAL|
DAL|FCO,|FCO|YYZ|STL|DAL|
DAL|GCM,|GCM|IAH|DAL|
DAL|GGT,|GGT|FLL|MSY|DAL|
DAL|GND,|GND|YYZ|STL|DAL|
DAL|GRU,|GRU|IAH|DAL|
DAL|HAV,|HAV|YYZ|STL|DAL|
DAL|IND,|IND|MCI|DAL|
DAL|JFK,|JFK|IAD|STL|DAL|
DAL|KIN,|KIN|YYZ|STL|DAL|
DAL|LIM,|LIM|IAH|DAL|
DAL|LIR,|LIR|IAH|DAL|
DAL|MCI,|MCI|DAL|
DAL|MDT,|MDT|IAD|STL|DAL|
DAL|MIA,|MIA|MSY|DAL|
DAL|MKE,|MKE|STL|DAL|
DAL|MSP,|MSP|MCI|DAL|
DAL|NAS,|NAS|IAH|DAL|
DAL|PHL,|PHL|STL|DAL|
DAL|PHX,|PHX|ABQ|DAL|
DAL|PIT,|PIT|MDW|STL|DAL|
DAL|PLS,|PLS|EWR|BWI|LIT|DAL|
DAL|POP,|POP|EWR|BWI|LIT|DAL|
DAL|RDU,|RDU|STL|DAL|
DAL|ROC,|ROC|CLE|STL|DAL|
DAL|RSW,|RSW|IAH|DAL|
DAL|SAN,|SAN|ABQ|DAL|
DAL|SJO,|SJO|IAH|DAL|
DAL|STL,|STL|DAL|
DAL|SYR,|SYR|CLE|STL|DAL|
DAL|TLV,|TLV|YYZ|STL|DAL|
DAL|TPA,|TPA|MSY|DAL|
DAL|UVF,|UVF|EWR|BWI|LIT|DAL|
DAL|VIE,|VIE|ORD|STL|DAL|
DAL|YAM,|YAM|YYZ|STL|DAL|
