FOE|YQQ,|YQQ|YYC|ORD|FOE|
FOE|YYR,|YYR|YWK|YZV|YQB|ORD|FOE|
FOE|LHR,|LHR|ORD|FOE|
FOE|SFO,|SFO|ORD|FOE|
FOE|YQU,|YQU|YEG|ORD|FOE|
FOE|YZF,|YZF|YEG|ORD|FOE|
FOE|YGR,|YGR|YGP|YQB|ORD|FOE|
FOE|YGP,|YGP|YQB|ORD|FOE|
FOE|BOS,|BOS|ORD|FOE|
FOE|YDF,|YDF|YYZ|ORD|FOE|
FOE|YFC,|YFC|YYZ|ORD|FOE|
FOE|YQM,|YQM|YUL|ORD|FOE|
FOE|YQX,|YQX|YHZ|ORD|FOE|
FOE|YQY,|YQY|YYZ|ORD|FOE|
FOE|YSJ,|YSJ|YYZ|ORD|FOE|
FOE|YYG,|YYG|YUL|ORD|FOE|
FOE|LAX,|LAX|ORD|FOE|
FOE|DCA,|DCA|ORD|FOE|
FOE|LGA,|LGA|ORD|FOE|
FOE|YZV,|YZV|YQB|ORD|FOE|
FOE|YWL,|YWL|YVR|ORD|FOE|
FOE|AZS,|AZS|YYZ|ORD|FOE|
FOE|BDL,|BDL|ORD|FOE|
FOE|CCC,|CCC|YYZ|ORD|FOE|
FOE|CDG,|CDG|ORD|FOE|
FOE|CUN,|CUN|ORD|FOE|
FOE|CZM,|CZM|IAH|ORD|FOE|
FOE|FDF,|FDF|YUL|ORD|FOE|
FOE|FLL,|FLL|ORD|FOE|
FOE|GVA,|GVA|YUL|ORD|FOE|
FOE|HOG,|HOG|YYZ|ORD|FOE|
FOE|LAS,|LAS|ORD|FOE|
FOE|MBJ,|MBJ|ATL|ORD|FOE|
FOE|MCO,|MCO|ORD|FOE|
FOE|MUC,|MUC|ORD|FOE|
FOE|PAP,|PAP|YUL|ORD|FOE|
FOE|PTP,|PTP|YUL|ORD|FOE|
FOE|PUJ,|PUJ|ORD|FOE|
FOE|SNU,|SNU|YYZ|ORD|FOE|
FOE|VRA,|VRA|YYZ|ORD|FOE|
FOE|YBC,|YBC|YUL|ORD|FOE|
FOE|YBG,|YBG|YUL|ORD|FOE|
FOE|YTZ,|YTZ|YUL|ORD|FOE|
FOE|YUY,|YUY|YUL|ORD|FOE|
FOE|YVO,|YVO|YUL|ORD|FOE|
FOE|ZBF,|ZBF|YUL|ORD|FOE|
FOE|ZRH,|ZRH|ORD|FOE|
FOE|ZSA,|ZSA|YUL|ORD|FOE|
FOE|AKL,|AKL|LAX|ORD|FOE|
FOE|HKG,|HKG|ORD|FOE|
FOE|HND,|HND|YVR|ORD|FOE|
FOE|HNL,|HNL|ORD|FOE|
FOE|MEX,|MEX|ORD|FOE|
FOE|OGG,|OGG|ORD|FOE|
FOE|PDX,|PDX|ORD|FOE|
FOE|PEK,|PEK|ORD|FOE|
FOE|PVG,|PVG|ORD|FOE|
FOE|PVR,|PVR|ORD|FOE|
FOE|SEA,|SEA|ORD|FOE|
FOE|SYD,|SYD|LAX|ORD|FOE|
FOE|YBL,|YBL|YVR|ORD|FOE|
FOE|YCD,|YCD|YVR|ORD|FOE|
FOE|YCG,|YCG|YYC|ORD|FOE|
FOE|YKA,|YKA|YYC|ORD|FOE|
FOE|YPR,|YPR|YVR|ORD|FOE|
FOE|YQZ,|YQZ|YVR|ORD|FOE|
FOE|YXC,|YXC|YYC|ORD|FOE|
FOE|YXJ,|YXJ|YYC|ORD|FOE|
FOE|YXS,|YXS|YYC|ORD|FOE|
