MSR|YBL,|YBL|YVR|FRA|ESB|MSR|
MSR|YCD,|YCD|YVR|FRA|ESB|MSR|
MSR|YCG,|YCG|YYC|FRA|ESB|MSR|
MSR|YKA,|YKA|YYC|FRA|ESB|MSR|
MSR|YPR,|YPR|YVR|FRA|ESB|MSR|
MSR|YQZ,|YQZ|YVR|FRA|ESB|MSR|
MSR|YXC,|YXC|YYC|FRA|ESB|MSR|
MSR|YXJ,|YXJ|YYC|FRA|ESB|MSR|
MSR|YXS,|YXS|YYC|FRA|ESB|MSR|
MSR|YXT,|YXT|YVR|FRA|ESB|MSR|
MSR|YXY,|YXY|YVR|FRA|ESB|MSR|
MSR|YYD,|YYD|YVR|FRA|ESB|MSR|
MSR|YYF,|YYF|YVR|FRA|ESB|MSR|
MSR|YZP,|YZP|YVR|FRA|ESB|MSR|
MSR|YQT,|YQT|YYZ|VIE|ESB|MSR|
MSR|SJD,|SJD|ORD|VIE|ESB|MSR|
MSR|YQF,|YQF|YYC|FRA|ESB|MSR|
MSR|YQL,|YQL|YYC|FRA|ESB|MSR|
MSR|YXH,|YXH|YYC|FRA|ESB|MSR|
MSR|YWK,|YWK|YYR|YYT|LHR|IST|MSR|
MSR|ANU,|ANU|EWR|FRA|ESB|MSR|
MSR|AUA,|AUA|EWR|FRA|ESB|MSR|
MSR|AUH,|AUH|IST|MSR|
MSR|BCN,|BCN|IST|MSR|
MSR|BDA,|BDA|EWR|FRA|ESB|MSR|
MSR|BGI,|BGI|YYZ|VIE|ESB|MSR|
MSR|BNA,|BNA|YYZ|VIE|ESB|MSR|
MSR|BOG,|BOG|JFK|VIE|ESB|MSR|
MSR|BWI,|BWI|EWR|FRA|ESB|MSR|
MSR|CLE,|CLE|YYZ|VIE|ESB|MSR|
MSR|CLT,|CLT|EWR|FRA|ESB|MSR|
MSR|CMH,|CMH|YYZ|VIE|ESB|MSR|
MSR|CVG,|CVG|YYZ|VIE|ESB|MSR|
MSR|DFW,|DFW|ORD|VIE|ESB|MSR|
MSR|DTW,|DTW|YYZ|VIE|ESB|MSR|
MSR|DUB,|DUB|IST|MSR|
MSR|FCO,|FCO|IST|MSR|
MSR|GCM,|GCM|EWR|FRA|ESB|MSR|
MSR|GGT,|GGT|FLL|MCO|FRA|ESB|MSR|
MSR|GND,|GND|YYZ|VIE|ESB|MSR|
MSR|GRU,|GRU|IST|MSR|
MSR|HAV,|HAV|YYZ|VIE|ESB|MSR|
MSR|IND,|IND|YYZ|VIE|ESB|MSR|
MSR|JFK,|JFK|VIE|ESB|MSR|
MSR|KIN,|KIN|YYZ|VIE|ESB|MSR|
MSR|LIM,|LIM|MIA|FRA|ESB|MSR|
MSR|LIR,|LIR|EWR|FRA|ESB|MSR|
MSR|MCI,|MCI|ORD|VIE|ESB|MSR|
MSR|MDT,|MDT|IAD|VIE|ESB|MSR|
MSR|MIA,|MIA|FRA|ESB|MSR|
MSR|MKE,|MKE|YYZ|VIE|ESB|MSR|
MSR|MSP,|MSP|YUL|FRA|ESB|MSR|
MSR|NAS,|NAS|EWR|FRA|ESB|MSR|
MSR|PHL,|PHL|IAD|VIE|ESB|MSR|
MSR|PHX,|PHX|DEN|FRA|ESB|MSR|
MSR|PIT,|PIT|YYZ|VIE|ESB|MSR|
MSR|PLS,|PLS|EWR|FRA|ESB|MSR|
MSR|POP,|POP|EWR|FRA|ESB|MSR|
MSR|RDU,|RDU|EWR|FRA|ESB|MSR|
MSR|ROC,|ROC|YYZ|VIE|ESB|MSR|
MSR|RSW,|RSW|MCO|FRA|ESB|MSR|
MSR|SAN,|SAN|LAX|IST|MSR|
MSR|SJO,|SJO|EWR|FRA|ESB|MSR|
MSR|STL,|STL|ORD|VIE|ESB|MSR|
MSR|SYR,|SYR|EWR|FRA|ESB|MSR|
MSR|TLV,|TLV|SAW|ESB|MSR|
MSR|TPA,|TPA|EWR|FRA|ESB|MSR|
MSR|UVF,|UVF|EWR|FRA|ESB|MSR|
