ZYI|UFA,|UFA|IST|CAN|ZYI|
ZYI|VAS,|VAS|IST|CAN|ZYI|
ZYI|VCE,|VCE|IST|CAN|ZYI|
ZYI|YNB,|YNB|IST|CAN|ZYI|
ZYI|ZAG,|ZAG|IST|CAN|ZYI|
ZYI|MGQ,|MGQ|JIB|IST|CAN|ZYI|
ZYI|CPT,|CPT|JNB|IST|CAN|ZYI|
ZYI|MBA,|MBA|JRO|IST|CAN|ZYI|
ZYI|NDJ,|NDJ|KAN|IST|CAN|ZYI|
ZYI|CMB,|CMB|MLE|CAN|ZYI|
ZYI|ADE,|ADE|SAH|IST|CAN|ZYI|
ZYI|ASF,|ASF|SAW|TBS|URC|CAN|ZYI|
ZYI|STW,|STW|SAW|TBS|URC|CAN|ZYI|
ZYI|LFW,|LFW|ABJ|OUA|NIM|IST|CAN|ZYI|
ZYI|CEC,|CEC|SFO|PEK|ZYI|
ZYI|SMF,|SMF|SFO|PEK|ZYI|
ZYI|CDR,|CDR|AIA|DEN|YVR|PEK|ZYI|
ZYI|FMN,|FMN|DEN|YVR|PEK|ZYI|
ZYI|JST,|JST|IAD|PEK|ZYI|
ZYI|JHW,|JHW|CLE|YYZ|PEK|ZYI|
ZYI|SHD,|SHD|IAD|PEK|ZYI|
ZYI|PTY,|PTY|ORD|PEK|ZYI|
ZYI|FNA,|FNA|BRU|DEL|CAN|ZYI|
ZYI|SXB,|SXB|BRU|DEL|CAN|ZYI|
ZYI|ACV,|ACV|SFO|PEK|ZYI|
ZYI|MGW,|MGW|IAD|PEK|ZYI|
ZYI|ALB,|ALB|EWR|PEK|ZYI|
ZYI|AUS,|AUS|DEN|YVR|PEK|ZYI|
ZYI|BFD,|BFD|CLE|YYZ|PEK|ZYI|
ZYI|BUF,|BUF|CLE|YYZ|PEK|ZYI|
ZYI|CHS,|CHS|ORD|PEK|ZYI|
ZYI|DAY,|DAY|ORD|PEK|ZYI|
ZYI|DUJ,|DUJ|CLE|YYZ|PEK|ZYI|
ZYI|ERI,|ERI|CLE|YYZ|PEK|ZYI|
ZYI|FKL,|FKL|CLE|YYZ|PEK|ZYI|
ZYI|FNT,|FNT|CLE|YYZ|PEK|ZYI|
ZYI|GRR,|GRR|ORD|PEK|ZYI|
ZYI|GSP,|GSP|ORD|PEK|ZYI|
ZYI|PBI,|PBI|ATL|ORD|PEK|ZYI|
ZYI|PKB,|PKB|CLE|YYZ|PEK|ZYI|
ZYI|RIC,|RIC|IAD|PEK|ZYI|
ZYI|SDF,|SDF|ORD|PEK|ZYI|
ZYI|GUM,|GUM|HKG|CAN|ZYI|
ZYI|WRL,|WRL|CYS|DEN|YVR|PEK|ZYI|
ZYI|LBL,|ZYI|
ZYI|ABQ,|ABQ|SEA|PEK|ZYI|
ZYI|AIA,|AIA|DEN|YVR|PEK|ZYI|
ZYI|ALS,|ALS|DEN|YVR|PEK|ZYI|
ZYI|AMA,|AMA|DEN|YVR|PEK|ZYI|
ZYI|ANC,|ANC|SEA|PEK|ZYI|
ZYI|ASE,|ASE|DEN|YVR|PEK|ZYI|
ZYI|BFL,|BFL|SFO|PEK|ZYI|
ZYI|BHM,|BHM|ORD|PEK|ZYI|
ZYI|BIL,|BIL|DEN|YVR|PEK|ZYI|
ZYI|BIS,|BIS|DEN|YVR|PEK|ZYI|
ZYI|BOI,|BOI|SFO|PEK|ZYI|
ZYI|BUR,|BUR|SFO|PEK|ZYI|
ZYI|BZN,|BZN|DEN|YVR|PEK|ZYI|
ZYI|CID,|CID|ORD|PEK|ZYI|
ZYI|COD,|COD|DEN|YVR|PEK|ZYI|
ZYI|COS,|COS|DEN|YVR|PEK|ZYI|
ZYI|CPR,|CPR|DEN|YVR|PEK|ZYI|
ZYI|CYS,|CYS|DEN|YVR|PEK|ZYI|
ZYI|DIK,|DIK|DEN|YVR|PEK|ZYI|
ZYI|DRO,|DRO|DEN|YVR|PEK|ZYI|
ZYI|DSM,|DSM|ORD|PEK|ZYI|
ZYI|EGE,|EGE|DEN|YVR|PEK|ZYI|
ZYI|ELP,|ELP|LAS|SEA|PEK|ZYI|
ZYI|EUG,|EUG|PDX|SEA|PEK|ZYI|
ZYI|FAR,|FAR|DEN|YVR|PEK|ZYI|
ZYI|FAT,|FAT|SFO|PEK|ZYI|
ZYI|FCA,|FCA|DEN|YVR|PEK|ZYI|
ZYI|FSD,|FSD|DEN|YVR|PEK|ZYI|
ZYI|GCC,|GCC|DEN|YVR|PEK|ZYI|
ZYI|GEG,|GEG|BOI|SFO|PEK|ZYI|
ZYI|GJT,|GJT|DEN|YVR|PEK|ZYI|
ZYI|GTF,|GTF|DEN|YVR|PEK|ZYI|
ZYI|GUC,|GUC|DEN|YVR|PEK|ZYI|
ZYI|HDN,|HDN|DEN|YVR|PEK|ZYI|
ZYI|HLN,|HLN|DEN|YVR|PEK|ZYI|
ZYI|HSV,|HSV|ORD|PEK|ZYI|
ZYI|ICT,|ICT|DEN|YVR|PEK|ZYI|
ZYI|IDA,|IDA|DEN|YVR|PEK|ZYI|
ZYI|ISN,|ISN|DEN|YVR|PEK|ZYI|
ZYI|JAC,|JAC|DEN|YVR|PEK|ZYI|
ZYI|KOA,|KOA|YVR|PEK|ZYI|
ZYI|LAR,|LAR|DEN|YVR|PEK|ZYI|
ZYI|LBB,|LBB|DEN|YVR|PEK|ZYI|
ZYI|LIH,|LIH|HNL|PEK|ZYI|
ZYI|LIT,|LIT|ORD|PEK|ZYI|
ZYI|LNK,|LNK|DEN|YVR|PEK|ZYI|
ZYI|MAF,|MAF|DEN|YVR|PEK|ZYI|
ZYI|MEM,|MEM|ORD|PEK|ZYI|
ZYI|MFR,|MFR|SFO|PEK|ZYI|
ZYI|MLI,|MLI|ORD|PEK|ZYI|
ZYI|MOT,|MOT|DEN|YVR|PEK|ZYI|
ZYI|MRY,|MRY|SFO|PEK|ZYI|
ZYI|MSN,|MSN|ORD|PEK|ZYI|
ZYI|MSO,|MSO|DEN|YVR|PEK|ZYI|
ZYI|MTJ,|MTJ|DEN|YVR|PEK|ZYI|
ZYI|OKC,|OKC|DEN|YVR|PEK|ZYI|
ZYI|OMA,|OMA|DEN|YVR|PEK|ZYI|
ZYI|ONT,|ONT|SFO|PEK|ZYI|
ZYI|PIA,|PIA|ORD|PEK|ZYI|
ZYI|PIR,|PIR|DEN|YVR|PEK|ZYI|
ZYI|PSC,|PSC|SFO|PEK|ZYI|
ZYI|PSP,|PSP|SFO|PEK|ZYI|
ZYI|PUB,|PUB|DEN|YVR|PEK|ZYI|
ZYI|RAP,|RAP|DEN|YVR|PEK|ZYI|
ZYI|RDM,|RDM|PDX|SEA|PEK|ZYI|
ZYI|RKS,|RKS|DEN|YVR|PEK|ZYI|
ZYI|RNO,|RNO|SEA|PEK|ZYI|
ZYI|SAF,|SAF|DEN|YVR|PEK|ZYI|
ZYI|SAT,|SAT|DEN|YVR|PEK|ZYI|
ZYI|SBA,|SBA|SFO|PEK|ZYI|
ZYI|SGF,|SGF|ORD|PEK|ZYI|
ZYI|SGU,|SGU|DEN|YVR|PEK|ZYI|
ZYI|SHV,|SHV|DEN|YVR|PEK|ZYI|
ZYI|SJC,|SJC|SEA|PEK|ZYI|
ZYI|SLC,|SLC|SEA|PEK|ZYI|
ZYI|SNA,|SNA|SFO|PEK|ZYI|
ZYI|TUL,|TUL|DEN|YVR|PEK|ZYI|
ZYI|TUS,|TUS|LAS|SEA|PEK|ZYI|
ZYI|TYS,|TYS|ORD|PEK|ZYI|
ZYI|XNA,|XNA|DEN|YVR|PEK|ZYI|
ZYI|SAL,|SAL|IAH|PEK|ZYI|
ZYI|BJL,|BJL|DKR|BRU|DEL|CAN|ZYI|
ZYI|BFS,|BFS|EWR|PEK|ZYI|
ZYI|BON,|BON|EWR|PEK|ZYI|
ZYI|BQN,|BQN|EWR|PEK|ZYI|
ZYI|BTV,|BTV|EWR|PEK|ZYI|
ZYI|BZE,|BZE|IAH|PEK|ZYI|
ZYI|GLA,|GLA|EWR|PEK|ZYI|
ZYI|GSO,|GSO|IAD|PEK|ZYI|
ZYI|ITH,|ITH|EWR|PEK|ZYI|
ZYI|JAX,|JAX|ORD|PEK|ZYI|
ZYI|MHT,|MHT|EWR|PEK|ZYI|
ZYI|MYR,|MYR|YYZ|PEK|ZYI|
ZYI|ORF,|ORF|IAD|PEK|ZYI|
ZYI|POS,|POS|EWR|PEK|ZYI|
ZYI|PVD,|PVD|EWR|PEK|ZYI|
ZYI|PWM,|PWM|EWR|PEK|ZYI|
ZYI|SAP,|SAP|IAH|PEK|ZYI|
ZYI|SAV,|SAV|ORD|PEK|ZYI|
ZYI|SDQ,|SDQ|EWR|PEK|ZYI|
ZYI|SJU,|SJU|EWR|PEK|ZYI|
ZYI|SNN,|SNN|EWR|PEK|ZYI|
ZYI|STT,|STT|EWR|PEK|ZYI|
ZYI|SXM,|SXM|EWR|PEK|ZYI|
ZYI|BIM,|BIM|FLL|ORD|PEK|ZYI|
ZYI|ELH,|ELH|PBI|ATL|ORD|PEK|ZYI|
ZYI|EYW,|EYW|TPA|ORD|PEK|ZYI|
ZYI|FPO,|FPO|FLL|ORD|PEK|ZYI|
ZYI|GHB,|GHB|FLL|ORD|PEK|ZYI|
ZYI|MHH,|MHH|JAX|ORD|PEK|ZYI|
ZYI|TCB,|TCB|FLL|ORD|PEK|ZYI|
ZYI|SOW,|SOW|PHX|SEA|PEK|ZYI|
ZYI|ROB,|ROB|FNA|BRU|DEL|CAN|ZYI|
ZYI|GIG,|GIG|GRU|IST|CAN|ZYI|
ZYI|CNS,|CNS|GUM|HKG|CAN|ZYI|
ZYI|CTS,|CTS|GUM|HKG|CAN|ZYI|
ZYI|OKJ,|OKJ|GUM|HKG|CAN|ZYI|
ZYI|ROP,|ROP|GUM|HKG|CAN|ZYI|
ZYI|ROR,|ROR|MNL|CAN|ZYI|
ZYI|SDJ,|SDJ|GUM|HKG|CAN|ZYI|
ZYI|SPN,|SPN|GUM|HKG|CAN|ZYI|
ZYI|TKK,|TKK|GUM|HKG|CAN|ZYI|
ZYI|YAP,|YAP|ROR|MNL|CAN|ZYI|
ZYI|MAJ,|MAJ|KWA|PNI|TKK|GUM|HKG|CAN|ZYI|
ZYI|AOO,|AOO|IAD|PEK|ZYI|
ZYI|BGM,|BGM|IAD|PEK|ZYI|
ZYI|BKW,|BKW|IAD|PEK|ZYI|
ZYI|CAE,|CAE|ORD|PEK|ZYI|
ZYI|CHO,|CHO|IAD|PEK|ZYI|
ZYI|CRW,|CRW|ORD|PEK|ZYI|
ZYI|FAY,|FAY|IAD|PEK|ZYI|
ZYI|LWB,|LWB|IAD|PEK|ZYI|
ZYI|ROA,|ROA|IAD|PEK|ZYI|
ZYI|SCE,|SCE|IAD|PEK|ZYI|
ZYI|ACA,|ACA|IAH|PEK|ZYI|
ZYI|ACY,|ACY|ORD|PEK|ZYI|
ZYI|AEX,|AEX|IAH|PEK|ZYI|
ZYI|AGU,|AGU|IAH|PEK|ZYI|
ZYI|BJX,|BJX|LAX|PEK|ZYI|
ZYI|BRO,|BRO|IAH|PEK|ZYI|
ZYI|BTR,|BTR|IAH|PEK|ZYI|
ZYI|CCS,|CCS|IAH|PEK|ZYI|
ZYI|CLL,|CLL|IAH|PEK|ZYI|
ZYI|CME,|CME|IAH|PEK|ZYI|
ZYI|CRP,|CRP|IAH|PEK|ZYI|
ZYI|CUU,|CUU|IAH|PEK|ZYI|
ZYI|DAL,|DAL|OKC|DEN|YVR|PEK|ZYI|
ZYI|DGO,|DGO|LAX|PEK|ZYI|
ZYI|GDL,|GDL|SFO|PEK|ZYI|
ZYI|GPT,|GPT|IAH|PEK|ZYI|
ZYI|GRK,|GRK|IAH|PEK|ZYI|
ZYI|HOB,|HOB|IAH|PEK|ZYI|
ZYI|HRL,|HRL|SAT|DEN|YVR|PEK|ZYI|
ZYI|HUX,|HUX|IAH|PEK|ZYI|
ZYI|JAN,|JAN|ORD|PEK|ZYI|
ZYI|LCH,|LCH|IAH|PEK|ZYI|
ZYI|LEX,|LEX|ORD|PEK|ZYI|
ZYI|LFT,|LFT|IAH|PEK|ZYI|
ZYI|LRD,|LRD|IAH|PEK|ZYI|
ZYI|MFE,|MFE|IAH|PEK|ZYI|
ZYI|MGA,|MGA|IAH|PEK|ZYI|
ZYI|MID,|MID|IAH|PEK|ZYI|
ZYI|MLM,|MLM|IAH|PEK|ZYI|
ZYI|MLU,|MLU|IAH|PEK|ZYI|
ZYI|MOB,|MOB|ORD|PEK|ZYI|
ZYI|MTY,|MTY|IAH|PEK|ZYI|
ZYI|OAX,|OAX|IAH|PEK|ZYI|
ZYI|PBC,|PBC|IAH|PEK|ZYI|
ZYI|PNS,|PNS|ORD|PEK|ZYI|
ZYI|QRO,|QRO|IAH|PEK|ZYI|
ZYI|RTB,|RTB|IAH|PEK|ZYI|
ZYI|SLP,|SLP|IAH|PEK|ZYI|
ZYI|SLW,|SLW|IAH|PEK|ZYI|
ZYI|TAM,|TAM|IAH|PEK|ZYI|
ZYI|TGU,|TGU|IAH|PEK|ZYI|
ZYI|TRC,|TRC|IAH|PEK|ZYI|
ZYI|TYR,|TYR|IAH|PEK|ZYI|
ZYI|UIO,|UIO|IAH|PEK|ZYI|
ZYI|VER,|VER|IAH|PEK|ZYI|
ZYI|VPS,|VPS|IAH|PEK|ZYI|
ZYI|VSA,|VSA|IAH|PEK|ZYI|
ZYI|ZIH,|ZIH|IAH|PEK|ZYI|
ZYI|ZLO,|ZLO|IAH|PEK|ZYI|
ZYI|KWA,|KWA|PNI|TKK|GUM|HKG|CAN|ZYI|
ZYI|PNI,|PNI|TKK|GUM|HKG|CAN|ZYI|
ZYI|KSA,|KSA|PNI|TKK|GUM|HKG|CAN|ZYI|
ZYI|CLD,|CLD|LAX|PEK|ZYI|
ZYI|ITO,|ITO|LAX|PEK|ZYI|
ZYI|SBP,|SBP|SFO|PEK|ZYI|
ZYI|SMX,|SMX|LAX|PEK|ZYI|
ZYI|YUM,|YUM|LAX|PEK|ZYI|
ZYI|DDC,|ZYI|
ZYI|TMS,|TMS|LIS|IST|CAN|ZYI|
ZYI|PHC,|PHC|LOS|IST|CAN|ZYI|
ZYI|GNV,|GNV|MCO|ORD|PEK|ZYI|
ZYI|TLH,|TLH|TPA|ORD|PEK|ZYI|
ZYI|CKB,|CKB|MGW|IAD|PEK|ZYI|
ZYI|BAQ,|BAQ|MIA|ORD|PEK|ZYI|
ZYI|CLO,|CLO|MIA|ORD|PEK|ZYI|
ZYI|CTG,|CTG|MIA|ORD|PEK|ZYI|
ZYI|MDE,|MDE|MIA|ORD|PEK|ZYI|
ZYI|ABE,|ABE|ORD|PEK|ZYI|
ZYI|ATW,|ATW|ORD|PEK|ZYI|
ZYI|AVL,|AVL|ORD|PEK|ZYI|
ZYI|AVP,|AVP|ORD|PEK|ZYI|
ZYI|CAK,|CAK|ORD|PEK|ZYI|
ZYI|CMX,|CMX|ORD|PEK|ZYI|
ZYI|CWA,|CWA|ORD|PEK|ZYI|
ZYI|DLH,|DLH|ORD|PEK|ZYI|
ZYI|EAU,|EAU|ORD|PEK|ZYI|
ZYI|ELM,|ELM|ORD|PEK|ZYI|
ZYI|FOE,|FOE|ORD|PEK|ZYI|
ZYI|FWA,|FWA|ORD|PEK|ZYI|
ZYI|GRB,|GRB|ORD|PEK|ZYI|
ZYI|HPN,|HPN|ORD|PEK|ZYI|
ZYI|LAN,|LAN|ORD|PEK|ZYI|
ZYI|MBS,|MBS|ORD|PEK|ZYI|
ZYI|MKG,|MKG|ORD|PEK|ZYI|
ZYI|PAH,|PAH|ORD|PEK|ZYI|
ZYI|SBN,|SBN|ORD|PEK|ZYI|
ZYI|SPI,|SPI|ORD|PEK|ZYI|
ZYI|SRQ,|SRQ|ORD|PEK|ZYI|
ZYI|STC,|STC|ORD|PEK|ZYI|
ZYI|TVC,|TVC|ORD|PEK|ZYI|
ZYI|LMT,|LMT|PDX|SEA|PEK|ZYI|
ZYI|HON,|HON|PIR|DEN|YVR|PEK|ZYI|
ZYI|CIC,|CIC|SFO|PEK|ZYI|
ZYI|MOD,|MOD|SFO|PEK|ZYI|
ZYI|OTH,|OTH|SFO|PEK|ZYI|
ZYI|RDD,|RDD|SFO|PEK|ZYI|
ZYI|EIS,|EIS|SJU|EWR|PEK|ZYI|
ZYI|DME,|DME|VIE|IST|CAN|ZYI|
ZYI|EVN,|EVN|VIE|IST|CAN|ZYI|
ZYI|HOU,|HOU|DEN|YVR|PEK|ZYI|
ZYI|MDW,|MDW|DTW|PEK|ZYI|
ZYI|OAK,|OAK|SEA|PEK|ZYI|
ZYI|ECP,|ECP|BNA|ORD|PEK|ZYI|
ZYI|ISP,|ISP|BWI|YYZ|PEK|ZYI|
ZYI|YHM,|YHM|YYC|YVR|PEK|ZYI|
ZYI|YXX,|YXX|YYC|YVR|PEK|ZYI|
ZYI|YBR,|YBR|YYC|YVR|PEK|ZYI|
ZYI|YKF,|YKF|YYC|YVR|PEK|ZYI|
ZYI|GDN,|ZYI|
ZYI|TRD,|ZYI|
ZYI|NKC,|ZYI|
ZYI|PGA,|ZYI|
