ZYI|PDX,|PDX|SEA|PEK|ZYI|
ZYI|PEK,|PEK|ZYI|
ZYI|PVG,|PVG|CAN|ZYI|
ZYI|PVR,|PVR|SFO|PEK|ZYI|
ZYI|SEA,|SEA|PEK|ZYI|
ZYI|SYD,|SYD|CAN|ZYI|
ZYI|YBL,|YBL|YVR|PEK|ZYI|
ZYI|YCD,|YCD|YVR|PEK|ZYI|
ZYI|YCG,|YCG|YVR|PEK|ZYI|
ZYI|YKA,|YKA|YVR|PEK|ZYI|
ZYI|YPR,|YPR|YVR|PEK|ZYI|
ZYI|YQZ,|YQZ|YVR|PEK|ZYI|
ZYI|YXC,|YXC|YVR|PEK|ZYI|
ZYI|YXJ,|YXJ|YVR|PEK|ZYI|
ZYI|YXS,|YXS|YVR|PEK|ZYI|
ZYI|YXT,|YXT|YVR|PEK|ZYI|
ZYI|YXY,|YXY|YVR|PEK|ZYI|
ZYI|YYD,|YYD|YVR|PEK|ZYI|
ZYI|YYF,|YYF|YVR|PEK|ZYI|
ZYI|YZP,|YZP|YVR|PEK|ZYI|
ZYI|YQT,|YQT|YWG|YVR|PEK|ZYI|
ZYI|SJD,|SJD|SFO|PEK|ZYI|
ZYI|YQF,|YQF|YYC|YVR|PEK|ZYI|
ZYI|YQL,|YQL|YYC|YVR|PEK|ZYI|
ZYI|YXH,|YXH|YYC|YVR|PEK|ZYI|
ZYI|YWK,|YWK|YZV|YQB|YYZ|PEK|ZYI|
ZYI|ANU,|ANU|EWR|PEK|ZYI|
ZYI|AUA,|AUA|EWR|PEK|ZYI|
ZYI|AUH,|AUH|IST|CAN|ZYI|
ZYI|BCN,|BCN|IST|CAN|ZYI|
ZYI|BDA,|BDA|EWR|PEK|ZYI|
ZYI|BGI,|BGI|YYZ|PEK|ZYI|
ZYI|BNA,|BNA|ORD|PEK|ZYI|
ZYI|BOG,|BOG|MIA|ORD|PEK|ZYI|
ZYI|BWI,|BWI|YYZ|PEK|ZYI|
ZYI|CLE,|CLE|YYZ|PEK|ZYI|
ZYI|CLT,|CLT|YYZ|PEK|ZYI|
ZYI|CMH,|CMH|ORD|PEK|ZYI|
ZYI|CVG,|CVG|ORD|PEK|ZYI|
ZYI|DFW,|DFW|YVR|PEK|ZYI|
ZYI|DTW,|DTW|PEK|ZYI|
ZYI|DUB,|DUB|IST|CAN|ZYI|
ZYI|FCO,|FCO|IST|CAN|ZYI|
ZYI|GCM,|GCM|YYZ|PEK|ZYI|
ZYI|GGT,|GGT|YYZ|PEK|ZYI|
ZYI|GND,|GND|YYZ|PEK|ZYI|
ZYI|GRU,|GRU|IST|CAN|ZYI|
ZYI|HAV,|HAV|YYZ|PEK|ZYI|
ZYI|IND,|IND|ORD|PEK|ZYI|
ZYI|JFK,|JFK|PEK|ZYI|
ZYI|KIN,|KIN|YYZ|PEK|ZYI|
ZYI|LIM,|LIM|IAH|PEK|ZYI|
ZYI|LIR,|LIR|IAH|PEK|ZYI|
ZYI|MCI,|MCI|DEN|YVR|PEK|ZYI|
ZYI|MDT,|MDT|YYZ|PEK|ZYI|
ZYI|MIA,|MIA|ORD|PEK|ZYI|
ZYI|MKE,|MKE|ORD|PEK|ZYI|
ZYI|MSP,|MSP|ORD|PEK|ZYI|
ZYI|NAS,|NAS|YYZ|PEK|ZYI|
ZYI|PHL,|PHL|YYZ|PEK|ZYI|
ZYI|PHX,|PHX|SEA|PEK|ZYI|
ZYI|PIT,|PIT|YYZ|PEK|ZYI|
ZYI|PLS,|PLS|EWR|PEK|ZYI|
ZYI|POP,|POP|EWR|PEK|ZYI|
ZYI|RDU,|RDU|YYZ|PEK|ZYI|
ZYI|ROC,|ROC|YYZ|PEK|ZYI|
ZYI|RSW,|RSW|ORD|PEK|ZYI|
ZYI|SAN,|SAN|LAX|PEK|ZYI|
ZYI|SJO,|SJO|IAH|PEK|ZYI|
ZYI|STL,|STL|ORD|PEK|ZYI|
ZYI|SYR,|SYR|YYZ|PEK|ZYI|
ZYI|TLV,|TLV|IST|CAN|ZYI|
ZYI|TPA,|TPA|ORD|PEK|ZYI|
ZYI|UVF,|UVF|EWR|PEK|ZYI|
ZYI|VIE,|VIE|IST|CAN|ZYI|
ZYI|YAM,|YAM|YYZ|PEK|ZYI|
ZYI|YGK,|YGK|YYZ|PEK|ZYI|
ZYI|YQG,|YQG|YYZ|PEK|ZYI|
ZYI|YSB,|YSB|YYZ|PEK|ZYI|
ZYI|YTS,|YTS|YYZ|PEK|ZYI|
ZYI|YYB,|YYB|YYZ|PEK|ZYI|
ZYI|YZR,|YZR|YYZ|PEK|ZYI|
ZYI|CAN,|CAN|ZYI|
ZYI|URC,|URC|CAN|ZYI|
ZYI|CTU,|CTU|CAN|ZYI|
ZYI|HGH,|HGH|CAN|ZYI|
ZYI|XMN,|XMN|CAN|ZYI|
ZYI|CGO,|CGO|CAN|ZYI|
ZYI|CSX,|CSX|CAN|ZYI|
ZYI|SHE,|SHE|PEK|ZYI|
ZYI|SJW,|SJW|CAN|ZYI|
ZYI|WUH,|WUH|CAN|ZYI|
ZYI|SZX,|SZX|ZYI|
ZYI|CKG,|CKG|CAN|ZYI|
ZYI|KMG,|KMG|CAN|ZYI|
ZYI|FOC,|FOC|CAN|ZYI|
ZYI|NNG,|NNG|CAN|ZYI|
ZYI|SWA,|SWA|CAN|ZYI|
ZYI|ACX,|ACX|CAN|ZYI|
ZYI|AQG,|AQG|CAN|ZYI|
ZYI|AVA,|AVA|CAN|ZYI|
ZYI|BFJ,|BFJ|CAN|ZYI|
ZYI|BHY,|BHY|CAN|ZYI|
ZYI|BNE,|BNE|CAN|ZYI|
ZYI|CGD,|CGD|CAN|ZYI|
ZYI|CGK,|CGK|CAN|ZYI|
ZYI|CGQ,|CGQ|PEK|ZYI|
ZYI|CIH,|CIH|PEK|ZYI|
ZYI|CNX,|CNX|CAN|ZYI|
ZYI|CZX,|CZX|CAN|ZYI|
ZYI|DAC,|DAC|CAN|ZYI|
ZYI|DAD,|DAD|CAN|ZYI|
ZYI|DEL,|DEL|CAN|ZYI|
ZYI|DIG,|DIG|CAN|ZYI|
ZYI|DLC,|DLC|PEK|ZYI|
ZYI|DPS,|DPS|CAN|ZYI|
ZYI|DXB,|DXB|CAN|ZYI|
ZYI|DYG,|DYG|CAN|ZYI|
ZYI|FUG,|FUG|CAN|ZYI|
ZYI|FUK,|FUK|CAN|ZYI|
ZYI|HAK,|HAK|CAN|ZYI|
ZYI|HAN,|HAN|CAN|ZYI|
ZYI|HDG,|HDG|CAN|ZYI|
