YIN|MEX,|MEX|YVR|PEK|URC|YIN|
YIN|OGG,|OGG|HNL|PEK|URC|YIN|
YIN|PDX,|PDX|SEA|PEK|URC|YIN|
YIN|PEK,|PEK|URC|YIN|
YIN|PVG,|PVG|URC|YIN|
YIN|PVR,|PVR|SFO|PEK|URC|YIN|
YIN|SEA,|SEA|PEK|URC|YIN|
YIN|SYD,|SYD|CAN|URC|YIN|
YIN|YBL,|YBL|YVR|PEK|URC|YIN|
YIN|YCD,|YCD|YVR|PEK|URC|YIN|
YIN|YCG,|YCG|YVR|PEK|URC|YIN|
YIN|YKA,|YKA|YVR|PEK|URC|YIN|
YIN|YPR,|YPR|YVR|PEK|URC|YIN|
YIN|YQZ,|YQZ|YVR|PEK|URC|YIN|
YIN|YXC,|YXC|YVR|PEK|URC|YIN|
YIN|YXJ,|YXJ|YVR|PEK|URC|YIN|
YIN|YXS,|YXS|YVR|PEK|URC|YIN|
YIN|YXT,|YXT|YVR|PEK|URC|YIN|
YIN|YXY,|YXY|YVR|PEK|URC|YIN|
YIN|YYD,|YYD|YVR|PEK|URC|YIN|
YIN|YYF,|YYF|YVR|PEK|URC|YIN|
YIN|YZP,|YZP|YVR|PEK|URC|YIN|
YIN|YQT,|YQT|YYZ|FRA|TSE|URC|YIN|
YIN|SJD,|SJD|SFO|PEK|URC|YIN|
YIN|YQF,|YQF|YYC|YVR|PEK|URC|YIN|
YIN|YQL,|YQL|YYC|YVR|PEK|URC|YIN|
YIN|YXH,|YXH|YYC|YVR|PEK|URC|YIN|
YIN|YWK,|YWK|YYR|YYT|LHR|IST|URC|YIN|
YIN|ANU,|ANU|EWR|FRA|TSE|URC|YIN|
YIN|AUA,|AUA|EWR|FRA|TSE|URC|YIN|
YIN|AUH,|AUH|IST|URC|YIN|
YIN|BCN,|BCN|IST|URC|YIN|
YIN|BDA,|BDA|EWR|FRA|TSE|URC|YIN|
YIN|BGI,|BGI|YYZ|FRA|TSE|URC|YIN|
YIN|BNA,|BNA|YYZ|FRA|TSE|URC|YIN|
YIN|BOG,|BOG|JFK|FRA|TSE|URC|YIN|
YIN|BWI,|BWI|EWR|FRA|TSE|URC|YIN|
YIN|CLE,|CLE|YYZ|FRA|TSE|URC|YIN|
YIN|CLT,|CLT|EWR|FRA|TSE|URC|YIN|
YIN|CMH,|CMH|YYZ|FRA|TSE|URC|YIN|
YIN|CVG,|CVG|YYZ|FRA|TSE|URC|YIN|
YIN|DFW,|DFW|YVR|PEK|URC|YIN|
YIN|DTW,|DTW|FRA|TSE|URC|YIN|
YIN|DUB,|DUB|IST|URC|YIN|
YIN|FCO,|FCO|IST|URC|YIN|
YIN|GCM,|GCM|EWR|FRA|TSE|URC|YIN|
YIN|GGT,|GGT|FLL|MCO|FRA|TSE|URC|YIN|
YIN|GND,|GND|YYZ|FRA|TSE|URC|YIN|
YIN|GRU,|GRU|IST|URC|YIN|
YIN|HAV,|HAV|YYZ|FRA|TSE|URC|YIN|
YIN|IND,|IND|YYZ|FRA|TSE|URC|YIN|
YIN|JFK,|JFK|FRA|TSE|URC|YIN|
YIN|KIN,|KIN|YYZ|FRA|TSE|URC|YIN|
YIN|LIM,|LIM|MIA|FRA|TSE|URC|YIN|
YIN|LIR,|LIR|EWR|FRA|TSE|URC|YIN|
YIN|MCI,|MCI|ORD|FRA|TSE|URC|YIN|
YIN|MDT,|MDT|IAD|FRA|TSE|URC|YIN|
YIN|MIA,|MIA|FRA|TSE|URC|YIN|
YIN|MKE,|MKE|YYZ|FRA|TSE|URC|YIN|
YIN|MSP,|MSP|YUL|FRA|TSE|URC|YIN|
YIN|NAS,|NAS|EWR|FRA|TSE|URC|YIN|
YIN|PHL,|PHL|IAD|FRA|TSE|URC|YIN|
YIN|PHX,|PHX|SEA|PEK|URC|YIN|
YIN|PIT,|PIT|YYZ|FRA|TSE|URC|YIN|
YIN|PLS,|PLS|EWR|FRA|TSE|URC|YIN|
YIN|POP,|POP|EWR|FRA|TSE|URC|YIN|
YIN|RDU,|RDU|EWR|FRA|TSE|URC|YIN|
YIN|ROC,|ROC|YYZ|FRA|TSE|URC|YIN|
YIN|RSW,|RSW|MCO|FRA|TSE|URC|YIN|
YIN|SAN,|SAN|LAX|PEK|URC|YIN|
YIN|SJO,|SJO|EWR|FRA|TSE|URC|YIN|
YIN|STL,|STL|DTW|FRA|TSE|URC|YIN|
YIN|SYR,|SYR|EWR|FRA|TSE|URC|YIN|
YIN|TLV,|TLV|SAW|TBS|URC|YIN|
YIN|TPA,|TPA|EWR|FRA|TSE|URC|YIN|
YIN|UVF,|UVF|EWR|FRA|TSE|URC|YIN|
YIN|VIE,|VIE|IST|URC|YIN|
YIN|YAM,|YAM|YYZ|FRA|TSE|URC|YIN|
YIN|YGK,|YGK|YYZ|FRA|TSE|URC|YIN|
YIN|YQG,|YQG|YYZ|FRA|TSE|URC|YIN|
YIN|YSB,|YSB|YYZ|FRA|TSE|URC|YIN|
YIN|YTS,|YTS|YYZ|FRA|TSE|URC|YIN|
YIN|YYB,|YYB|YYZ|FRA|TSE|URC|YIN|
YIN|YZR,|YZR|YYZ|FRA|TSE|URC|YIN|
YIN|CAN,|CAN|URC|YIN|
YIN|URC,|URC|YIN|
YIN|CTU,|CTU|URC|YIN|
YIN|HGH,|HGH|URC|YIN|
YIN|XMN,|XMN|CSX|URC|YIN|
YIN|CGO,|CGO|URC|YIN|
YIN|CSX,|CSX|URC|YIN|
YIN|SHE,|SHE|HET|URC|YIN|
YIN|SJW,|SJW|URC|YIN|
YIN|WUH,|WUH|URC|YIN|
YIN|SZX,|SZX|CKG|URC|YIN|
YIN|CKG,|CKG|URC|YIN|
YIN|KMG,|KMG|CTU|URC|YIN|
YIN|FOC,|FOC|XIY|URC|YIN|
YIN|NNG,|NNG|KWE|URC|YIN|
YIN|SWA,|SWA|CSX|URC|YIN|
YIN|ACX,|ACX|CAN|URC|YIN|
YIN|AQG,|AQG|CAN|URC|YIN|
YIN|AVA,|AVA|CAN|URC|YIN|
YIN|BFJ,|BFJ|CAN|URC|YIN|
YIN|BHY,|BHY|CKG|URC|YIN|
YIN|BNE,|BNE|CAN|URC|YIN|
YIN|CGD,|CGD|PEK|URC|YIN|
YIN|CGK,|CGK|CAN|URC|YIN|
YIN|CGQ,|CGQ|HET|URC|YIN|
YIN|CIH,|CIH|DAT|TYN|URC|YIN|
YIN|CNX,|CNX|CAN|URC|YIN|
YIN|CZX,|CZX|TYN|URC|YIN|
YIN|DAC,|DAC|CAN|URC|YIN|
YIN|DAD,|DAD|CAN|URC|YIN|
YIN|DEL,|DEL|CAN|URC|YIN|
YIN|DIG,|DIG|KMG|CTU|URC|YIN|
YIN|DLC,|DLC|PEK|URC|YIN|
YIN|DPS,|DPS|CAN|URC|YIN|
YIN|DXB,|DXB|IST|URC|YIN|
YIN|DYG,|DYG|CSX|URC|YIN|
YIN|FUG,|FUG|CAN|URC|YIN|
YIN|FUK,|FUK|ICN|PEK|URC|YIN|
YIN|HAK,|HAK|CTU|URC|YIN|
YIN|HAN,|HAN|CAN|URC|YIN|
YIN|HDG,|HDG|CAN|URC|YIN|
YIN|HET,|HET|URC|YIN|
YIN|HFE,|HFE|XIY|URC|YIN|
YIN|HJJ,|HJJ|CSX|URC|YIN|
YIN|HKT,|HKT|KWE|URC|YIN|
YIN|HRB,|HRB|PEK|URC|YIN|
YIN|HZH,|HZH|CAN|URC|YIN|
YIN|JIU,|JIU|CAN|URC|YIN|
YIN|JJN,|JJN|CSX|URC|YIN|
YIN|JNG,|JNG|CAN|URC|YIN|
YIN|KHN,|KHN|XIY|URC|YIN|
YIN|KIX,|KIX|DLC|PEK|URC|YIN|
YIN|KOW,|KOW|CAN|URC|YIN|
YIN|KTM,|KTM|CAN|URC|YIN|
YIN|KUL,|KUL|BKK|NNG|KWE|URC|YIN|
YIN|KWE,|KWE|URC|YIN|
YIN|KWL,|KWL|CKG|URC|YIN|
YIN|LHW,|LHW|URC|YIN|
YIN|LYA,|LYA|KHN|XIY|URC|YIN|
YIN|LYG,|LYG|XUZ|INC|URC|YIN|
YIN|LZH,|LZH|CAN|URC|YIN|
YIN|MEL,|MEL|CAN|URC|YIN|
YIN|MIG,|MIG|CSX|URC|YIN|
YIN|MLE,|MLE|CAN|URC|YIN|
YIN|MNL,|MNL|CAN|URC|YIN|
YIN|MXZ,|MXZ|CAN|URC|YIN|
YIN|NAO,|NAO|PEK|URC|YIN|
YIN|NGB,|NGB|WUH|URC|YIN|
YIN|NKG,|NKG|URC|YIN|
YIN|NNY,|NNY|CGO|URC|YIN|
YIN|PEN,|PEN|CAN|URC|YIN|
YIN|PER,|PER|CAN|URC|YIN|
YIN|PNH,|PNH|CAN|URC|YIN|
YIN|REP,|REP|CAN|URC|YIN|
YIN|RGN,|RGN|CAN|URC|YIN|
YIN|SGN,|SGN|CAN|URC|YIN|
YIN|SHA,|SHA|URC|YIN|
YIN|SIN,|SIN|CAN|URC|YIN|
YIN|SVO,|SVO|URC|YIN|
YIN|SYX,|SYX|CKG|URC|YIN|
YIN|TAO,|TAO|TYN|URC|YIN|
YIN|TEN,|TEN|CAN|URC|YIN|
YIN|TNA,|TNA|URC|YIN|
YIN|TPE,|TPE|URC|YIN|
YIN|TSN,|TSN|HET|URC|YIN|
YIN|TXN,|TXN|TYN|URC|YIN|
YIN|TYN,|TYN|URC|YIN|
YIN|WNZ,|WNZ|XIY|URC|YIN|
YIN|WUX,|WUX|CAN|URC|YIN|
YIN|XFN,|XFN|CAN|URC|YIN|
YIN|XIY,|XIY|URC|YIN|
YIN|XUZ,|XUZ|INC|URC|YIN|
YIN|YIH,|YIH|CKG|URC|YIN|
YIN|YIW,|YIW|URC|YIN|
YIN|YNT,|YNT|SHE|HET|URC|YIN|
YIN|YNZ,|YNZ|WUH|URC|YIN|
YIN|YTY,|YTY|CGO|URC|YIN|
YIN|ZHA,|ZHA|CAN|URC|YIN|
YIN|ZYI,|ZYI|CAN|URC|YIN|
YIN|BAV,|BAV|URC|YIN|
YIN|CJU,|CJU|DLC|PEK|URC|YIN|
YIN|DSN,|DSN|CGO|URC|YIN|
YIN|HMI,|HMI|URC|YIN|
