MUC|BNA,|BNA|YYZ|MUC|
MUC|BOG,|BOG|JFK|MUC|
MUC|BWI,|BWI|EWR|MUC|
MUC|CLE,|CLE|YYZ|MUC|
MUC|CLT,|CLT|EWR|MUC|
MUC|CMH,|CMH|YYZ|MUC|
MUC|CVG,|CVG|YYZ|MUC|
MUC|DFW,|DFW|ORD|MUC|
MUC|DTW,|DTW|YYZ|MUC|
MUC|DUB,|DUB|IST|MUC|
MUC|FCO,|FCO|IST|MUC|
MUC|GCM,|GCM|EWR|MUC|
MUC|GGT,|GGT|FLL|EWR|MUC|
MUC|GND,|GND|YYZ|MUC|
MUC|GRU,|GRU|IST|MUC|
MUC|HAV,|HAV|YYZ|MUC|
MUC|IND,|IND|YYZ|MUC|
MUC|JFK,|JFK|MUC|
MUC|KIN,|KIN|YYZ|MUC|
MUC|LIM,|LIM|EWR|MUC|
MUC|LIR,|LIR|EWR|MUC|
MUC|MCI,|MCI|ORD|MUC|
MUC|MDT,|MDT|IAD|MUC|
MUC|MIA,|MIA|EWR|MUC|
MUC|MKE,|MKE|YYZ|MUC|
MUC|MSP,|MSP|YUL|MUC|
MUC|NAS,|NAS|EWR|MUC|
MUC|PHL,|PHL|IAD|MUC|
MUC|PHX,|PHX|ORD|MUC|
MUC|PIT,|PIT|YYZ|MUC|
MUC|PLS,|PLS|EWR|MUC|
MUC|POP,|POP|EWR|MUC|
MUC|RDU,|RDU|EWR|MUC|
MUC|ROC,|ROC|YYZ|MUC|
MUC|RSW,|RSW|MCO|BOS|MUC|
MUC|SAN,|SAN|LAX|MUC|
MUC|SJO,|SJO|EWR|MUC|
MUC|STL,|STL|ORD|MUC|
MUC|SYR,|SYR|EWR|MUC|
MUC|TLV,|TLV|IST|MUC|
MUC|TPA,|TPA|EWR|MUC|
MUC|UVF,|UVF|EWR|MUC|
MUC|VIE,|VIE|IST|MUC|
MUC|YAM,|YAM|YYZ|MUC|
MUC|YGK,|YGK|YYZ|MUC|
MUC|YQG,|YQG|YYZ|MUC|
MUC|YSB,|YSB|YYZ|MUC|
MUC|YTS,|YTS|YYZ|MUC|
MUC|YYB,|YYB|YYZ|MUC|
MUC|YZR,|YZR|YYZ|MUC|
MUC|CAN,|CAN|IST|MUC|
MUC|URC,|URC|IST|MUC|
MUC|CTU,|CTU|URC|IST|MUC|
MUC|HGH,|HGH|URC|IST|MUC|
MUC|XMN,|XMN|CSX|URC|IST|MUC|
