JFK|BCN,|BCN|EWR|IAD|JFK|
JFK|BDA,|BDA|EWR|IAD|JFK|
JFK|BGI,|BGI|YYZ|JFK|
JFK|BNA,|BNA|IAD|JFK|
JFK|BOG,|BOG|JFK|
JFK|BWI,|BWI|ORF|IAD|JFK|
JFK|CLE,|CLE|IAD|JFK|
JFK|CLT,|CLT|IAD|JFK|
JFK|CMH,|CMH|IAD|JFK|
JFK|CVG,|CVG|IAD|JFK|
JFK|DFW,|DFW|IAD|JFK|
JFK|DTW,|DTW|YYZ|JFK|
JFK|DUB,|DUB|JFK|
JFK|FCO,|FCO|IAD|JFK|
JFK|GCM,|GCM|IAD|JFK|
JFK|GGT,|GGT|FLL|IAD|JFK|
JFK|GND,|GND|YYZ|JFK|
JFK|GRU,|GRU|IAD|JFK|
JFK|HAV,|HAV|YYZ|JFK|
JFK|IND,|IND|IAD|JFK|
JFK|KIN,|KIN|YYZ|JFK|
JFK|LIM,|LIM|MIA|IAD|JFK|
JFK|LIR,|LIR|EWR|IAD|JFK|
JFK|MCI,|MCI|IAD|JFK|
JFK|MDT,|MDT|IAD|JFK|
JFK|MIA,|MIA|IAD|JFK|
JFK|MKE,|MKE|YYZ|JFK|
JFK|MSP,|MSP|YYZ|JFK|
JFK|NAS,|NAS|ATL|IAD|JFK|
JFK|PHL,|PHL|IAD|JFK|
JFK|PHX,|PHX|IAD|JFK|
JFK|PIT,|PIT|IAD|JFK|
JFK|PLS,|PLS|EWR|IAD|JFK|
JFK|POP,|POP|EWR|IAD|JFK|
JFK|RDU,|RDU|IAD|JFK|
JFK|ROC,|ROC|YYZ|JFK|
JFK|RSW,|RSW|MCO|IAD|JFK|
JFK|SAN,|SAN|IAD|JFK|
JFK|SJO,|SJO|IAD|JFK|
JFK|STL,|STL|IAD|JFK|
JFK|SYR,|SYR|IAD|JFK|
JFK|TLV,|TLV|IST|JFK|
JFK|TPA,|TPA|IAD|JFK|
JFK|UVF,|UVF|EWR|IAD|JFK|
JFK|VIE,|VIE|JFK|
JFK|YAM,|YAM|YYZ|JFK|
JFK|YGK,|YGK|YYZ|JFK|
JFK|YQG,|YQG|YYZ|JFK|
JFK|YSB,|YSB|YYZ|JFK|
JFK|YTS,|YTS|YYZ|JFK|
JFK|YYB,|YYB|YYZ|JFK|
JFK|YZR,|YZR|YYZ|JFK|
JFK|CAN,|CAN|PEK|JFK|
JFK|URC,|URC|TSE|FRA|JFK|
JFK|CTU,|CTU|PEK|JFK|
JFK|HGH,|HGH|PEK|JFK|
JFK|XMN,|XMN|PEK|JFK|
JFK|CGO,|CGO|PEK|JFK|
JFK|CSX,|CSX|PEK|JFK|
JFK|SHE,|SHE|PEK|JFK|
JFK|SJW,|SJW|DLC|PEK|JFK|
JFK|WUH,|WUH|PEK|JFK|
JFK|SZX,|SZX|PEK|JFK|
JFK|CKG,|CKG|PEK|JFK|
JFK|KMG,|KMG|PEK|JFK|
JFK|FOC,|FOC|PEK|JFK|
JFK|NNG,|NNG|PEK|JFK|
JFK|SWA,|SWA|PEK|JFK|
JFK|ACX,|ACX|CAN|PEK|JFK|
JFK|AQG,|AQG|CAN|PEK|JFK|
JFK|AVA,|AVA|CAN|PEK|JFK|
JFK|BFJ,|BFJ|CAN|PEK|JFK|
JFK|BHY,|BHY|CGO|PEK|JFK|
JFK|BNE,|BNE|CAN|PEK|JFK|
JFK|CGD,|CGD|PEK|JFK|
JFK|CGK,|CGK|CAN|PEK|JFK|
JFK|CGQ,|CGQ|ICN|JFK|
JFK|CIH,|CIH|PEK|JFK|
JFK|CNX,|CNX|CAN|PEK|JFK|
JFK|CZX,|CZX|SHE|PEK|JFK|
JFK|DAC,|DAC|IST|JFK|
JFK|DAD,|DAD|CAN|PEK|JFK|
JFK|DEL,|DEL|EWR|IAD|JFK|
JFK|DIG,|DIG|KMG|PEK|JFK|
JFK|DLC,|DLC|PEK|JFK|
JFK|DPS,|DPS|SZX|PEK|JFK|
JFK|DXB,|DXB|IST|JFK|
JFK|DYG,|DYG|PEK|JFK|
JFK|FUG,|FUG|CAN|PEK|JFK|
JFK|FUK,|FUK|ICN|JFK|
JFK|HAK,|HAK|PEK|JFK|
JFK|HAN,|HAN|PEK|JFK|
JFK|HDG,|HDG|CAN|PEK|JFK|
JFK|HET,|HET|DLC|PEK|JFK|
JFK|HFE,|HFE|XIY|PEK|JFK|
JFK|HJJ,|HJJ|CSX|PEK|JFK|
JFK|HKT,|HKT|KWE|PEK|JFK|
JFK|HRB,|HRB|PEK|JFK|
JFK|HZH,|HZH|CAN|PEK|JFK|
JFK|JIU,|JIU|CAN|PEK|JFK|
JFK|JJN,|JJN|PEK|JFK|
JFK|JNG,|JNG|CAN|PEK|JFK|
JFK|KHN,|KHN|DLC|PEK|JFK|
JFK|KIX,|KIX|DLC|PEK|JFK|
JFK|KOW,|KOW|PEK|JFK|
JFK|KTM,|KTM|IST|JFK|
JFK|KUL,|KUL|CAN|PEK|JFK|
JFK|KWE,|KWE|PEK|JFK|
JFK|KWL,|KWL|PEK|JFK|
JFK|LHW,|LHW|CGO|PEK|JFK|
JFK|LYA,|LYA|KHN|DLC|PEK|JFK|
JFK|LYG,|LYG|HSN|PEK|JFK|
JFK|LZH,|LZH|CAN|PEK|JFK|
JFK|MEL,|MEL|SYD|LAX|JFK|
JFK|MIG,|MIG|CSX|PEK|JFK|
JFK|MLE,|MLE|IST|JFK|
JFK|MNL,|MNL|XMN|PEK|JFK|
JFK|MXZ,|MXZ|CAN|PEK|JFK|
JFK|NAO,|NAO|PEK|JFK|
JFK|NGB,|NGB|PEK|JFK|
