YGR|ZRH,|ZRH|YUL|YQB|YGP|YGR|
YGR|ZSA,|ZSA|YUL|YQB|YGP|YGR|
YGR|AKL,|AKL|LAX|YUL|YQB|YGP|YGR|
YGR|HKG,|HKG|YYZ|YQB|YGP|YGR|
YGR|HND,|HND|YVR|YUL|YQB|YGP|YGR|
YGR|HNL,|HNL|SFO|YUL|YQB|YGP|YGR|
YGR|MEX,|MEX|YYZ|YQB|YGP|YGR|
YGR|OGG,|OGG|SFO|YUL|YQB|YGP|YGR|
YGR|PDX,|PDX|YYC|YUL|YQB|YGP|YGR|
YGR|PEK,|PEK|YYZ|YQB|YGP|YGR|
YGR|PVG,|PVG|YYZ|YQB|YGP|YGR|
YGR|PVR,|PVR|IAH|YUL|YQB|YGP|YGR|
YGR|SEA,|SEA|YYZ|YQB|YGP|YGR|
YGR|SYD,|SYD|SFO|YUL|YQB|YGP|YGR|
YGR|YBL,|YBL|YVR|YUL|YQB|YGP|YGR|
YGR|YCD,|YCD|YVR|YUL|YQB|YGP|YGR|
YGR|YCG,|YCG|YYC|YUL|YQB|YGP|YGR|
YGR|YKA,|YKA|YYC|YUL|YQB|YGP|YGR|
YGR|YPR,|YPR|YVR|YUL|YQB|YGP|YGR|
YGR|YQZ,|YQZ|YVR|YUL|YQB|YGP|YGR|
YGR|YXC,|YXC|YYC|YUL|YQB|YGP|YGR|
YGR|YXJ,|YXJ|YYC|YUL|YQB|YGP|YGR|
YGR|YXS,|YXS|YYC|YUL|YQB|YGP|YGR|
YGR|YXT,|YXT|YVR|YUL|YQB|YGP|YGR|
YGR|YXY,|YXY|YVR|YUL|YQB|YGP|YGR|
YGR|YYD,|YYD|YVR|YUL|YQB|YGP|YGR|
YGR|YYF,|YYF|YVR|YUL|YQB|YGP|YGR|
YGR|YZP,|YZP|YVR|YUL|YQB|YGP|YGR|
YGR|YQT,|YQT|YYZ|YQB|YGP|YGR|
YGR|SJD,|SJD|ORD|YQB|YGP|YGR|
YGR|YQF,|YQF|YYC|YUL|YQB|YGP|YGR|
YGR|YQL,|YQL|YYC|YUL|YQB|YGP|YGR|
YGR|YXH,|YXH|YYC|YUL|YQB|YGP|YGR|
YGR|YWK,|YWK|YZV|YQB|YGP|YGR|
YGR|ANU,|ANU|EWR|YQB|YGP|YGR|
YGR|AUA,|AUA|EWR|YQB|YGP|YGR|
YGR|AUH,|AUH|FRA|YUL|YQB|YGP|YGR|
YGR|BCN,|BCN|EWR|YQB|YGP|YGR|
YGR|BDA,|BDA|EWR|YQB|YGP|YGR|
YGR|BGI,|BGI|YYZ|YQB|YGP|YGR|
YGR|BNA,|BNA|YYZ|YQB|YGP|YGR|
YGR|BOG,|BOG|EWR|YQB|YGP|YGR|
YGR|BWI,|BWI|EWR|YQB|YGP|YGR|
YGR|CLE,|CLE|YYZ|YQB|YGP|YGR|
YGR|CLT,|CLT|IAD|YUL|YQB|YGP|YGR|
YGR|CMH,|CMH|YYZ|YQB|YGP|YGR|
YGR|CVG,|CVG|YYZ|YQB|YGP|YGR|
YGR|DFW,|DFW|YYZ|YQB|YGP|YGR|
YGR|DTW,|DTW|YYZ|YQB|YGP|YGR|
YGR|DUB,|DUB|BOS|YUL|YQB|YGP|YGR|
YGR|FCO,|FCO|EWR|YQB|YGP|YGR|
YGR|GCM,|GCM|EWR|YQB|YGP|YGR|
YGR|GGT,|GGT|FLL|EWR|YQB|YGP|YGR|
YGR|GND,|GND|YYZ|YQB|YGP|YGR|
YGR|GRU,|GRU|EWR|YQB|YGP|YGR|
YGR|HAV,|HAV|YYZ|YQB|YGP|YGR|
YGR|IND,|IND|YYZ|YQB|YGP|YGR|
YGR|JFK,|JFK|YUL|YQB|YGP|YGR|
YGR|KIN,|KIN|YYZ|YQB|YGP|YGR|
YGR|LIM,|LIM|EWR|YQB|YGP|YGR|
YGR|LIR,|LIR|EWR|YQB|YGP|YGR|
YGR|MCI,|MCI|ORD|YQB|YGP|YGR|
YGR|MDT,|MDT|IAD|YUL|YQB|YGP|YGR|
YGR|MIA,|MIA|EWR|YQB|YGP|YGR|
YGR|MKE,|MKE|YYZ|YQB|YGP|YGR|
YGR|MSP,|MSP|YUL|YQB|YGP|YGR|
YGR|NAS,|NAS|EWR|YQB|YGP|YGR|
YGR|PHL,|PHL|IAD|YUL|YQB|YGP|YGR|
YGR|PHX,|PHX|ORD|YQB|YGP|YGR|
YGR|PIT,|PIT|YYZ|YQB|YGP|YGR|
YGR|PLS,|PLS|EWR|YQB|YGP|YGR|
YGR|POP,|POP|EWR|YQB|YGP|YGR|
YGR|RDU,|RDU|IAD|YUL|YQB|YGP|YGR|
YGR|ROC,|ROC|YYZ|YQB|YGP|YGR|
YGR|RSW,|RSW|EWR|YQB|YGP|YGR|
YGR|SAN,|SAN|ORD|YQB|YGP|YGR|
YGR|SJO,|SJO|EWR|YQB|YGP|YGR|
YGR|STL,|STL|YYZ|YQB|YGP|YGR|
YGR|SYR,|SYR|YYZ|YQB|YGP|YGR|
YGR|TLV,|TLV|IST|FRA|YUL|YQB|YGP|YGR|
YGR|TPA,|TPA|EWR|YQB|YGP|YGR|
YGR|UVF,|UVF|EWR|YQB|YGP|YGR|
YGR|VIE,|VIE|JFK|YUL|YQB|YGP|YGR|
YGR|YAM,|YAM|YYZ|YQB|YGP|YGR|
YGR|YGK,|YGK|YYZ|YQB|YGP|YGR|
YGR|YQG,|YQG|YYZ|YQB|YGP|YGR|
YGR|YSB,|YSB|YYZ|YQB|YGP|YGR|
YGR|YTS,|YTS|YYZ|YQB|YGP|YGR|
YGR|YYB,|YYB|YYZ|YQB|YGP|YGR|
YGR|YZR,|YZR|YYZ|YQB|YGP|YGR|
YGR|CAN,|CAN|PEK|YYZ|YQB|YGP|YGR|
YGR|URC,|URC|TSE|FRA|YUL|YQB|YGP|YGR|
YGR|CTU,|CTU|PEK|YYZ|YQB|YGP|YGR|
YGR|HGH,|HGH|PEK|YYZ|YQB|YGP|YGR|
YGR|XMN,|XMN|PEK|YYZ|YQB|YGP|YGR|
YGR|CGO,|CGO|PEK|YYZ|YQB|YGP|YGR|
YGR|CSX,|CSX|PEK|YYZ|YQB|YGP|YGR|
YGR|SHE,|SHE|PEK|YYZ|YQB|YGP|YGR|
YGR|SJW,|SJW|DLC|PEK|YYZ|YQB|YGP|YGR|
YGR|WUH,|WUH|PEK|YYZ|YQB|YGP|YGR|
YGR|SZX,|SZX|PEK|YYZ|YQB|YGP|YGR|
YGR|CKG,|CKG|PEK|YYZ|YQB|YGP|YGR|
YGR|KMG,|KMG|PEK|YYZ|YQB|YGP|YGR|
YGR|FOC,|FOC|PEK|YYZ|YQB|YGP|YGR|
YGR|NNG,|NNG|PEK|YYZ|YQB|YGP|YGR|
YGR|SWA,|SWA|PEK|YYZ|YQB|YGP|YGR|
YGR|ACX,|ACX|CAN|PEK|YYZ|YQB|YGP|YGR|
YGR|AQG,|AQG|CAN|PEK|YYZ|YQB|YGP|YGR|
YGR|AVA,|AVA|CAN|PEK|YYZ|YQB|YGP|YGR|
YGR|BFJ,|BFJ|CAN|PEK|YYZ|YQB|YGP|YGR|
YGR|BHY,|BHY|CGO|PEK|YYZ|YQB|YGP|YGR|
YGR|BNE,|BNE|CAN|PEK|YYZ|YQB|YGP|YGR|
YGR|CGD,|CGD|PEK|YYZ|YQB|YGP|YGR|
YGR|CGK,|CGK|CAN|PEK|YYZ|YQB|YGP|YGR|
YGR|CGQ,|CGQ|PEK|YYZ|YQB|YGP|YGR|
YGR|CIH,|CIH|PEK|YYZ|YQB|YGP|YGR|
YGR|CNX,|CNX|CAN|PEK|YYZ|YQB|YGP|YGR|
YGR|CZX,|CZX|SHE|PEK|YYZ|YQB|YGP|YGR|
YGR|DAC,|DAC|IST|FRA|YUL|YQB|YGP|YGR|
YGR|DAD,|DAD|CAN|PEK|YYZ|YQB|YGP|YGR|
YGR|DEL,|DEL|EWR|YQB|YGP|YGR|
YGR|DIG,|DIG|KMG|PEK|YYZ|YQB|YGP|YGR|
YGR|DLC,|DLC|PEK|YYZ|YQB|YGP|YGR|
YGR|DPS,|DPS|SZX|PEK|YYZ|YQB|YGP|YGR|
YGR|DXB,|DXB|IST|FRA|YUL|YQB|YGP|YGR|
