DUS|YQL,|YQL|YYC|ORD|DUS|
DUS|YXH,|YXH|YYC|ORD|DUS|
DUS|YWK,|YWK|YZV|YQB|EWR|DUS|
DUS|ANU,|ANU|EWR|DUS|
DUS|AUA,|AUA|EWR|DUS|
DUS|AUH,|AUH|IST|DUS|
DUS|BCN,|BCN|IST|DUS|
DUS|BDA,|BDA|EWR|DUS|
DUS|BGI,|BGI|YYZ|EWR|DUS|
DUS|BNA,|BNA|EWR|DUS|
DUS|BOG,|BOG|EWR|DUS|
DUS|BWI,|BWI|EWR|DUS|
DUS|CLE,|CLE|EWR|DUS|
DUS|CLT,|CLT|EWR|DUS|
DUS|CMH,|CMH|EWR|DUS|
DUS|CVG,|CVG|EWR|DUS|
DUS|DFW,|DFW|ORD|DUS|
DUS|DTW,|DTW|EWR|DUS|
DUS|DUB,|DUB|IST|DUS|
DUS|FCO,|FCO|IST|DUS|
DUS|GCM,|GCM|EWR|DUS|
DUS|GGT,|GGT|FLL|EWR|DUS|
DUS|GND,|GND|YYZ|EWR|DUS|
DUS|GRU,|GRU|IST|DUS|
DUS|HAV,|HAV|YYZ|EWR|DUS|
DUS|IND,|IND|EWR|DUS|
DUS|JFK,|JFK|IAD|EWR|DUS|
DUS|KIN,|KIN|YYZ|EWR|DUS|
DUS|LIM,|LIM|EWR|DUS|
DUS|LIR,|LIR|EWR|DUS|
DUS|MCI,|MCI|ORD|DUS|
DUS|MDT,|MDT|IAD|EWR|DUS|
DUS|MIA,|MIA|EWR|DUS|
DUS|MKE,|MKE|ORD|DUS|
DUS|MSP,|MSP|ORD|DUS|
DUS|NAS,|NAS|EWR|DUS|
DUS|PHL,|PHL|IAD|EWR|DUS|
DUS|PHX,|PHX|ORD|DUS|
DUS|PIT,|PIT|EWR|DUS|
DUS|PLS,|PLS|EWR|DUS|
DUS|POP,|POP|EWR|DUS|
DUS|RDU,|RDU|EWR|DUS|
DUS|ROC,|ROC|EWR|DUS|
DUS|RSW,|RSW|EWR|DUS|
DUS|SAN,|SAN|ORD|DUS|
DUS|SJO,|SJO|EWR|DUS|
DUS|STL,|STL|ORD|DUS|
DUS|SYR,|SYR|EWR|DUS|
DUS|TLV,|TLV|IST|DUS|
DUS|TPA,|TPA|EWR|DUS|
DUS|UVF,|UVF|EWR|DUS|
DUS|VIE,|VIE|IST|DUS|
DUS|YAM,|YAM|YYZ|EWR|DUS|
DUS|YGK,|YGK|YYZ|EWR|DUS|
DUS|YQG,|YQG|YYZ|EWR|DUS|
DUS|YSB,|YSB|YYZ|EWR|DUS|
DUS|YTS,|YTS|YYZ|EWR|DUS|
DUS|YYB,|YYB|YYZ|EWR|DUS|
DUS|YZR,|YZR|YYZ|EWR|DUS|
DUS|CAN,|CAN|IST|DUS|
DUS|URC,|URC|IST|DUS|
DUS|CTU,|CTU|URC|IST|DUS|
DUS|HGH,|HGH|URC|IST|DUS|
DUS|XMN,|XMN|CSX|URC|IST|DUS|
DUS|CGO,|CGO|URC|IST|DUS|
DUS|CSX,|CSX|URC|IST|DUS|
DUS|SHE,|SHE|PEK|IST|DUS|
DUS|SJW,|SJW|URC|IST|DUS|
DUS|WUH,|WUH|URC|IST|DUS|
DUS|SZX,|SZX|CKG|URC|IST|DUS|
DUS|CKG,|CKG|URC|IST|DUS|
DUS|KMG,|KMG|CTU|URC|IST|DUS|
DUS|FOC,|FOC|XIY|URC|IST|DUS|
DUS|NNG,|NNG|KWE|URC|IST|DUS|
DUS|SWA,|SWA|CAN|IST|DUS|
DUS|ACX,|ACX|CAN|IST|DUS|
DUS|AQG,|AQG|CAN|IST|DUS|
DUS|AVA,|AVA|CAN|IST|DUS|
DUS|BFJ,|BFJ|CAN|IST|DUS|
DUS|BHY,|BHY|CKG|URC|IST|DUS|
DUS|BNE,|BNE|BKK|IST|DUS|
DUS|CGD,|CGD|PEK|IST|DUS|
DUS|CGK,|CGK|SIN|IST|DUS|
DUS|CGQ,|CGQ|HET|URC|IST|DUS|
DUS|CIH,|CIH|PEK|IST|DUS|
DUS|CNX,|CNX|CAN|IST|DUS|
DUS|CZX,|CZX|TYN|URC|IST|DUS|
DUS|DAC,|DAC|IST|DUS|
DUS|DAD,|DAD|CAN|IST|DUS|
DUS|DEL,|DEL|IST|DUS|
DUS|DIG,|DIG|KMG|CTU|URC|IST|DUS|
DUS|DLC,|DLC|PEK|IST|DUS|
DUS|DPS,|DPS|CAN|IST|DUS|
DUS|DXB,|DXB|IST|DUS|
DUS|DYG,|DYG|CSX|URC|IST|DUS|
DUS|FUG,|FUG|CAN|IST|DUS|
DUS|FUK,|FUK|ICN|IST|DUS|
DUS|HAK,|HAK|CTU|URC|IST|DUS|
DUS|HAN,|HAN|CAN|IST|DUS|
DUS|HDG,|HDG|CAN|IST|DUS|
DUS|HET,|HET|URC|IST|DUS|
DUS|HFE,|HFE|XIY|URC|IST|DUS|
DUS|HJJ,|HJJ|CSX|URC|IST|DUS|
DUS|HKT,|HKT|KWE|URC|IST|DUS|
DUS|HRB,|HRB|PEK|IST|DUS|
DUS|HZH,|HZH|CAN|IST|DUS|
DUS|JIU,|JIU|CAN|IST|DUS|
DUS|JJN,|JJN|CSX|URC|IST|DUS|
DUS|JNG,|JNG|CAN|IST|DUS|
DUS|KHN,|KHN|XIY|URC|IST|DUS|
DUS|KIX,|KIX|IST|DUS|
DUS|KOW,|KOW|CAN|IST|DUS|
DUS|KTM,|KTM|IST|DUS|
DUS|KUL,|KUL|IST|DUS|
DUS|KWE,|KWE|URC|IST|DUS|
DUS|KWL,|KWL|CKG|URC|IST|DUS|
DUS|LHW,|LHW|URC|IST|DUS|
DUS|LYA,|LYA|KHN|XIY|URC|IST|DUS|
DUS|LYG,|LYG|XUZ|INC|URC|IST|DUS|
DUS|LZH,|LZH|CAN|IST|DUS|
DUS|MEL,|MEL|BKK|IST|DUS|
DUS|MIG,|MIG|CSX|URC|IST|DUS|
DUS|MLE,|MLE|IST|DUS|
DUS|MNL,|MNL|CAN|IST|DUS|
DUS|MXZ,|MXZ|CAN|IST|DUS|
DUS|NAO,|NAO|PEK|IST|DUS|
DUS|NGB,|NGB|WUH|URC|IST|DUS|
DUS|NKG,|NKG|URC|IST|DUS|
DUS|NNY,|NNY|CGO|URC|IST|DUS|
DUS|PEN,|PEN|CAN|IST|DUS|
DUS|PER,|PER|BKK|IST|DUS|
DUS|PNH,|PNH|CAN|IST|DUS|
DUS|REP,|REP|CAN|IST|DUS|
DUS|RGN,|RGN|CAN|IST|DUS|
DUS|SGN,|SGN|BKK|IST|DUS|
DUS|SHA,|SHA|URC|IST|DUS|
DUS|SIN,|SIN|IST|DUS|
DUS|SVO,|SVO|URC|IST|DUS|
DUS|SYX,|SYX|CKG|URC|IST|DUS|
DUS|TAO,|TAO|TYN|URC|IST|DUS|
DUS|TEN,|TEN|CAN|IST|DUS|
DUS|TNA,|TNA|URC|IST|DUS|
DUS|TPE,|TPE|URC|IST|DUS|
DUS|TSN,|TSN|HET|URC|IST|DUS|
DUS|TXN,|TXN|TYN|URC|IST|DUS|
DUS|TYN,|TYN|URC|IST|DUS|
DUS|WNZ,|WNZ|XIY|URC|IST|DUS|
DUS|WUX,|WUX|CAN|IST|DUS|
DUS|XFN,|XFN|CAN|IST|DUS|
DUS|XIY,|XIY|URC|IST|DUS|
DUS|XUZ,|XUZ|INC|URC|IST|DUS|
DUS|YIH,|YIH|CKG|URC|IST|DUS|
DUS|YIW,|YIW|URC|IST|DUS|
DUS|YNT,|YNT|SHE|PEK|IST|DUS|
DUS|YNZ,|YNZ|WUH|URC|IST|DUS|
DUS|YTY,|YTY|CGO|URC|IST|DUS|
DUS|ZHA,|ZHA|CAN|IST|DUS|
DUS|ZYI,|ZYI|CAN|IST|DUS|
DUS|BAV,|BAV|URC|IST|DUS|
DUS|CJU,|CJU|DLC|PEK|IST|DUS|
DUS|DSN,|DSN|CGO|URC|IST|DUS|
DUS|HMI,|HMI|URC|IST|DUS|
DUS|INC,|INC|URC|IST|DUS|
DUS|KHH,|KHH|WUH|URC|IST|DUS|
DUS|UYN,|UYN|XIY|URC|IST|DUS|
DUS|XNN,|XNN|URC|IST|DUS|
DUS|ZUH,|ZUH|KWE|URC|IST|DUS|
DUS|YNJ,|YNJ|PEK|IST|DUS|
DUS|DAT,|DAT|TYN|URC|IST|DUS|
DUS|JHG,|JHG|KMG|CTU|URC|IST|DUS|
DUS|LJG,|LJG|KMG|CTU|URC|IST|DUS|
DUS|LXA,|LXA|CKG|URC|IST|DUS|
DUS|YCU,|YCU|CKG|URC|IST|DUS|
DUS|LZO,|LZO|CSX|URC|IST|DUS|
DUS|MDG,|MDG|DLC|PEK|IST|DUS|
DUS|NGO,|NGO|ICN|IST|DUS|
DUS|TOY,|TOY|DLC|PEK|IST|DUS|
DUS|MFM,|MFM|XMN|CSX|URC|IST|DUS|
DUS|TGO,|TGO|HET|URC|IST|DUS|
DUS|XIL,|XIL|HET|URC|IST|DUS|
DUS|HEK,|HEK|HRB|PEK|IST|DUS|
DUS|KIJ,|KIJ|HRB|PEK|IST|DUS|
DUS|LDS,|LDS|HRB|PEK|IST|DUS|
DUS|OHE,|OHE|HRB|PEK|IST|DUS|
DUS|HSN,|HSN|LYG|XUZ|INC|URC|IST|DUS|
DUS|DLU,|DLU|KMG|CTU|URC|IST|DUS|
DUS|SYM,|SYM|KMG|CTU|URC|IST|DUS|
DUS|ZAT,|ZAT|KMG|CTU|URC|IST|DUS|
DUS|LUN,|LUN|NBO|IST|DUS|
DUS|AOG,|AOG|PEK|IST|DUS|
DUS|GMP,|GMP|PEK|IST|DUS|
DUS|ISB,|ISB|IST|DUS|
DUS|TAS,|TAS|IST|DUS|
DUS|WUS,|WUS|PEK|IST|DUS|
DUS|JMU,|JMU|PVG|IST|DUS|
DUS|NDG,|NDG|PVG|IST|DUS|
DUS|JXA,|JXA|SHE|PEK|IST|DUS|
DUS|PUS,|PUS|SHE|PEK|IST|DUS|
DUS|BKI,|BKI|SZX|CKG|URC|IST|DUS|
DUS|AKU,|AKU|URC|IST|DUS|
DUS|ALA,|ALA|IST|DUS|
DUS|ASB,|ASB|IST|DUS|
DUS|DNH,|DNH|URC|IST|DUS|
DUS|DYU,|DYU|IST|DUS|
DUS|FRU,|FRU|IST|DUS|
DUS|GYD,|GYD|IST|DUS|
DUS|HTN,|HTN|URC|IST|DUS|
DUS|IKA,|IKA|SAW|DUS|
DUS|KCA,|KCA|URC|IST|DUS|
DUS|KHG,|KHG|URC|IST|DUS|
DUS|KRL,|KRL|URC|IST|DUS|
DUS|KRY,|KRY|URC|IST|DUS|
DUS|LBD,|LBD|URC|IST|DUS|
DUS|NLT,|NLT|URC|IST|DUS|
DUS|OSS,|OSS|IST|DUS|
DUS|OVB,|OVB|IST|DUS|
DUS|TBS,|TBS|SAW|DUS|
DUS|TCG,|TCG|URC|IST|DUS|
DUS|TSE,|TSE|IST|DUS|
DUS|YIN,|YIN|URC|IST|DUS|
DUS|ENH,|ENH|WUH|URC|IST|DUS|
DUS|ENY,|ENY|XIY|URC|IST|DUS|
DUS|WXN,|WXN|XIY|URC|IST|DUS|
DUS|BLL,|BLL|IST|DUS|
DUS|ESB,|ESB|SAW|DUS|
DUS|SAW,|SAW|DUS|
DUS|HAM,|HAM|IST|DUS|
DUS|HRE,|HRE|ADD|IST|DUS|
DUS|JUB,|JUB|CAI|IST|DUS|
DUS|SSG,|SSG|DLA|IST|DUS|
DUS|BGW,|BGW|IST|DUS|
DUS|EBL,|EBL|IST|DUS|
DUS|VKO,|VKO|IST|DUS|
DUS|MCT,|MCT|IST|DUS|
DUS|AYT,|AYT|IST|DUS|
DUS|SCQ,|SCQ|BIO|IST|DUS|
DUS|AAL,|AAL|IST|DUS|
DUS|AOE,|AOE|BRU|IST|DUS|
DUS|JNB,|JNB|IST|DUS|
DUS|LBV,|LBV|DLA|IST|DUS|
DUS|ADA,|ADA|SAW|DUS|
DUS|ADB,|ADB|IST|DUS|
DUS|ADF,|ADF|ESB|SAW|DUS|
DUS|AJI,|AJI|IST|DUS|
DUS|BAL,|BAL|ESB|SAW|DUS|
DUS|BJV,|BJV|IST|DUS|
DUS|CKZ,|CKZ|ESB|SAW|DUS|
DUS|DIY,|DIY|SAW|DUS|
DUS|ECN,|ECN|IST|DUS|
DUS|ERC,|ERC|IST|DUS|
DUS|ERZ,|ERZ|SAW|DUS|
DUS|EZS,|EZS|SAW|DUS|
DUS|GNY,|GNY|ESB|SAW|DUS|
DUS|GZP,|GZP|ESB|SAW|DUS|
DUS|GZT,|GZT|SAW|DUS|
DUS|HTY,|HTY|SAW|DUS|
DUS|KCM,|KCM|IST|DUS|
DUS|KSY,|KSY|SAW|DUS|
DUS|MLX,|MLX|ESB|SAW|DUS|
DUS|MQM,|MQM|SAW|DUS|
DUS|MSR,|MSR|ESB|SAW|DUS|
DUS|TEQ,|TEQ|ESB|SAW|DUS|
DUS|TZX,|TZX|SAW|DUS|
DUS|VAN,|VAN|SAW|DUS|
DUS|ULN,|ULN|FRU|IST|DUS|
DUS|HIJ,|HIJ|ICN|IST|DUS|
DUS|VVO,|VVO|ICN|IST|DUS|
DUS|ACC,|ACC|IST|DUS|
DUS|AER,|AER|IST|DUS|
DUS|AGP,|AGP|IST|DUS|
DUS|ALG,|ALG|IST|DUS|
DUS|AMM,|AMM|IST|DUS|
DUS|AQJ,|AQJ|IST|DUS|
DUS|ARN,|ARN|IST|DUS|
DUS|ASR,|ASR|SAW|DUS|
DUS|ATH,|ATH|IST|DUS|
DUS|BAH,|BAH|IST|DUS|
DUS|BEG,|BEG|IST|DUS|
DUS|BEN,|BEN|IST|DUS|
DUS|BEY,|BEY|IST|DUS|
DUS|BHX,|BHX|IST|DUS|
DUS|BIO,|BIO|IST|DUS|
DUS|BLQ,|BLQ|IST|DUS|
DUS|BOM,|BOM|IST|DUS|
DUS|BRE,|BRE|IST|DUS|
DUS|BSL,|BSL|IST|DUS|
DUS|BSR,|BSR|IST|DUS|
DUS|BUD,|BUD|IST|DUS|
DUS|BUS,|BUS|IST|DUS|
DUS|CAI,|CAI|IST|DUS|
DUS|CGN,|CGN|IST|DUS|
DUS|CMN,|CMN|IST|DUS|
DUS|CND,|CND|IST|DUS|
DUS|DAR,|DAR|IST|DUS|
DUS|DLM,|DLM|IST|DUS|
DUS|DMM,|DMM|IST|DUS|
DUS|DNK,|DNK|IST|DUS|
DUS|DNZ,|DNZ|IST|DUS|
DUS|DOK,|DOK|IST|DUS|
DUS|EDI,|EDI|IST|DUS|
DUS|ELQ,|ELQ|IST|DUS|
DUS|FDH,|FDH|IST|DUS|
DUS|GOA,|GOA|IST|DUS|
DUS|GOT,|GOT|IST|DUS|
DUS|HAJ,|HAJ|IST|DUS|
DUS|HBE,|HBE|IST|DUS|
DUS|HEL,|HEL|IST|DUS|
DUS|HRG,|HRG|IST|DUS|
DUS|IFN,|IFN|IST|DUS|
DUS|ISE,|ISE|IST|DUS|
DUS|ISU,|ISU|IST|DUS|
DUS|JIB,|JIB|IST|DUS|
DUS|JRO,|JRO|IST|DUS|
DUS|KAN,|KAN|IST|DUS|
DUS|KBL,|KBL|IST|DUS|
DUS|KBP,|KBP|IST|DUS|
DUS|KFS,|KFS|IST|DUS|
DUS|KHI,|KHI|IST|DUS|
DUS|KIV,|KIV|IST|DUS|
DUS|KRT,|KRT|IST|DUS|
DUS|KSH,|KSH|IST|DUS|
DUS|KVD,|KVD|IST|DUS|
DUS|KWI,|KWI|SAW|DUS|
DUS|KYA,|KYA|IST|DUS|
DUS|KZN,|KZN|IST|DUS|
DUS|KZR,|KZR|IST|DUS|
DUS|LED,|LED|IST|DUS|
DUS|LEJ,|LEJ|IST|DUS|
DUS|LGW,|LGW|IST|DUS|
DUS|LHE,|LHE|IST|DUS|
DUS|LIS,|LIS|IST|DUS|
DUS|LJU,|LJU|IST|DUS|
DUS|LOS,|LOS|IST|DUS|
DUS|LUX,|LUX|IST|DUS|
DUS|LWO,|LWO|IST|DUS|
DUS|LYS,|LYS|IST|DUS|
DUS|MAD,|MAD|IST|DUS|
DUS|MAN,|MAN|IST|DUS|
DUS|MED,|MED|IST|DUS|
DUS|MHD,|MHD|IST|DUS|
DUS|MLA,|MLA|IST|DUS|
DUS|MRS,|MRS|IST|DUS|
DUS|MSQ,|MSQ|IST|DUS|
DUS|MXP,|MXP|IST|DUS|
DUS|MZH,|MZH|IST|DUS|
DUS|MZR,|MZR|IST|DUS|
DUS|NAJ,|NAJ|IST|DUS|
DUS|NAV,|NAV|IST|DUS|
DUS|NCE,|NCE|IST|DUS|
DUS|NIM,|NIM|IST|DUS|
DUS|NJF,|NJF|IST|DUS|
DUS|NSI,|NSI|IST|DUS|
DUS|NUE,|NUE|IST|DUS|
DUS|ODS,|ODS|IST|DUS|
DUS|ORN,|ORN|IST|DUS|
DUS|OTP,|OTP|IST|DUS|
DUS|PRG,|PRG|IST|DUS|
DUS|PRN,|PRN|IST|DUS|
DUS|RIX,|RIX|IST|DUS|
DUS|ROV,|ROV|IST|DUS|
DUS|RTM,|RTM|IST|DUS|
DUS|RUH,|RUH|IST|DUS|
DUS|SAH,|SAH|IST|DUS|
DUS|SJJ,|SJJ|IST|DUS|
DUS|SKG,|SKG|IST|DUS|
DUS|SKP,|SKP|IST|DUS|
DUS|SSH,|SSH|IST|DUS|
DUS|STR,|STR|IST|DUS|
DUS|SVX,|SVX|IST|DUS|
DUS|SYZ,|SYZ|IST|DUS|
DUS|SZG,|SZG|IST|DUS|
DUS|TBZ,|TBZ|IST|DUS|
DUS|TGD,|TGD|IST|DUS|
DUS|TIA,|TIA|IST|DUS|
DUS|TIF,|TIF|IST|DUS|
DUS|TIP,|TIP|IST|DUS|
DUS|TLL,|TLL|IST|DUS|
DUS|TLS,|TLS|IST|DUS|
DUS|TRN,|TRN|IST|DUS|
DUS|TUN,|TUN|IST|DUS|
DUS|TXL,|TXL|IST|DUS|
DUS|UFA,|UFA|IST|DUS|
DUS|VAS,|VAS|SAW|DUS|
DUS|VCE,|VCE|IST|DUS|
DUS|YNB,|YNB|IST|DUS|
DUS|ZAG,|ZAG|IST|DUS|
DUS|MGQ,|MGQ|JIB|IST|DUS|
DUS|CPT,|CPT|JNB|IST|DUS|
DUS|MBA,|MBA|JRO|IST|DUS|
DUS|NDJ,|NDJ|KAN|IST|DUS|
DUS|CMB,|CMB|MLE|IST|DUS|
DUS|ADE,|ADE|SAH|IST|DUS|
DUS|ASF,|ASF|SAW|DUS|
DUS|STW,|STW|SAW|DUS|
DUS|LFW,|LFW|ABJ|OUA|NIM|IST|DUS|
DUS|CEC,|CEC|ACV|SMF|ORD|DUS|
DUS|SMF,|SMF|ORD|DUS|
DUS|CDR,|CDR|AIA|DEN|ORD|DUS|
DUS|FMN,|FMN|DEN|ORD|DUS|
DUS|JST,|JST|IAD|EWR|DUS|
DUS|JHW,|JHW|CLE|EWR|DUS|
DUS|SHD,|SHD|IAD|EWR|DUS|
DUS|PTY,|PTY|EWR|DUS|
DUS|FNA,|FNA|BRU|IST|DUS|
DUS|SXB,|SXB|BRU|IST|DUS|
DUS|ACV,|ACV|SMF|ORD|DUS|
DUS|MGW,|MGW|IAD|EWR|DUS|
DUS|ALB,|ALB|EWR|DUS|
DUS|AUS,|AUS|ORD|DUS|
