CLT|SJD,|SJD|IAH|CLT|
CLT|YQF,|YQF|YYC|ORD|CLT|
CLT|YQL,|YQL|YYC|ORD|CLT|
CLT|YXH,|YXH|YYC|ORD|CLT|
CLT|YWK,|YWK|YZV|YUL|IAD|CLT|
CLT|ANU,|ANU|EWR|CLT|
CLT|AUA,|AUA|IAD|CLT|
CLT|AUH,|AUH|FRA|EWR|CLT|
CLT|BCN,|BCN|EWR|CLT|
CLT|BDA,|BDA|EWR|CLT|
CLT|BGI,|BGI|YYZ|CLT|
CLT|BNA,|BNA|IAD|CLT|
CLT|BOG,|BOG|IAD|CLT|
CLT|BWI,|BWI|CLT|
CLT|CLE,|CLE|CLT|
CLT|CMH,|CMH|CLE|CLT|
CLT|CVG,|CVG|IAD|CLT|
CLT|DFW,|DFW|IAH|CLT|
CLT|DTW,|DTW|IAD|CLT|
CLT|DUB,|DUB|EWR|CLT|
CLT|FCO,|FCO|EWR|CLT|
CLT|GCM,|GCM|IAD|CLT|
CLT|GGT,|GGT|FLL|MCO|CLT|
CLT|GND,|GND|YYZ|CLT|
CLT|GRU,|GRU|IAD|CLT|
CLT|HAV,|HAV|YYZ|CLT|
CLT|IND,|IND|CLE|CLT|
CLT|JFK,|JFK|IAD|CLT|
CLT|KIN,|KIN|YYZ|CLT|
CLT|LIM,|LIM|MIA|IAD|CLT|
CLT|LIR,|LIR|IAH|CLT|
CLT|MCI,|MCI|MDW|CLT|
CLT|MDT,|MDT|IAD|CLT|
CLT|MIA,|MIA|IAD|CLT|
CLT|MKE,|MKE|ORD|CLT|
CLT|MSP,|MSP|MDW|CLT|
CLT|NAS,|NAS|ATL|IAD|CLT|
CLT|PHL,|PHL|IAD|CLT|
CLT|PHX,|PHX|IAH|CLT|
CLT|PIT,|PIT|IAD|CLT|
CLT|PLS,|PLS|EWR|CLT|
CLT|POP,|POP|EWR|CLT|
CLT|RDU,|RDU|IAD|CLT|
CLT|ROC,|ROC|IAD|CLT|
CLT|RSW,|RSW|MCO|CLT|
CLT|SAN,|SAN|IAH|CLT|
CLT|SJO,|SJO|IAD|CLT|
CLT|STL,|STL|MDW|CLT|
CLT|SYR,|SYR|IAD|CLT|
CLT|TLV,|TLV|EWR|CLT|
CLT|TPA,|TPA|GNV|MCO|CLT|
CLT|UVF,|UVF|EWR|CLT|
CLT|VIE,|VIE|IAD|CLT|
CLT|YAM,|YAM|YYZ|CLT|
CLT|YGK,|YGK|YYZ|CLT|
CLT|YQG,|YQG|YYZ|CLT|
CLT|YSB,|YSB|YYZ|CLT|
CLT|YTS,|YTS|YYZ|CLT|
CLT|YYB,|YYB|YYZ|CLT|
CLT|YZR,|YZR|YYZ|CLT|
CLT|CAN,|CAN|PEK|YYZ|CLT|
CLT|URC,|URC|TSE|FRA|EWR|CLT|
CLT|CTU,|CTU|PEK|YYZ|CLT|
CLT|HGH,|HGH|PEK|YYZ|CLT|
CLT|XMN,|XMN|PEK|YYZ|CLT|
CLT|CGO,|CGO|PEK|YYZ|CLT|
CLT|CSX,|CSX|PEK|YYZ|CLT|
CLT|SHE,|SHE|PEK|YYZ|CLT|
CLT|SJW,|SJW|DLC|PEK|YYZ|CLT|
CLT|WUH,|WUH|PEK|YYZ|CLT|
CLT|SZX,|SZX|PEK|YYZ|CLT|
CLT|CKG,|CKG|PEK|YYZ|CLT|
CLT|KMG,|KMG|PEK|YYZ|CLT|
CLT|FOC,|FOC|PEK|YYZ|CLT|
CLT|NNG,|NNG|PEK|YYZ|CLT|
CLT|SWA,|SWA|PEK|YYZ|CLT|
CLT|ACX,|ACX|CAN|PEK|YYZ|CLT|
CLT|AQG,|AQG|CAN|PEK|YYZ|CLT|
CLT|AVA,|AVA|CAN|PEK|YYZ|CLT|
CLT|BFJ,|BFJ|CAN|PEK|YYZ|CLT|
CLT|BHY,|BHY|CGO|PEK|YYZ|CLT|
CLT|BNE,|BNE|CAN|PEK|YYZ|CLT|
CLT|CGD,|CGD|PEK|YYZ|CLT|
CLT|CGK,|CGK|CAN|PEK|YYZ|CLT|
CLT|CGQ,|CGQ|PEK|YYZ|CLT|
CLT|CIH,|CIH|PEK|YYZ|CLT|
CLT|CNX,|CNX|CAN|PEK|YYZ|CLT|
CLT|CZX,|CZX|SHE|PEK|YYZ|CLT|
CLT|DAC,|DAC|IST|BHX|EWR|CLT|
CLT|DAD,|DAD|CAN|PEK|YYZ|CLT|
CLT|DEL,|DEL|EWR|CLT|
CLT|DIG,|DIG|KMG|PEK|YYZ|CLT|
CLT|DLC,|DLC|PEK|YYZ|CLT|
CLT|DPS,|DPS|SZX|PEK|YYZ|CLT|
CLT|DXB,|DXB|IAD|CLT|
CLT|DYG,|DYG|PEK|YYZ|CLT|
CLT|FUG,|FUG|CAN|PEK|YYZ|CLT|
CLT|FUK,|FUK|ICN|JFK|IAD|CLT|
CLT|HAK,|HAK|PEK|YYZ|CLT|
CLT|HAN,|HAN|PEK|YYZ|CLT|
CLT|HDG,|HDG|CAN|PEK|YYZ|CLT|
CLT|HET,|HET|DLC|PEK|YYZ|CLT|
CLT|HFE,|HFE|XIY|PEK|YYZ|CLT|
CLT|HJJ,|HJJ|CSX|PEK|YYZ|CLT|
CLT|HKT,|HKT|KWE|PEK|YYZ|CLT|
CLT|HRB,|HRB|PEK|YYZ|CLT|
CLT|HZH,|HZH|CAN|PEK|YYZ|CLT|
CLT|JIU,|JIU|CAN|PEK|YYZ|CLT|
CLT|JJN,|JJN|PEK|YYZ|CLT|
CLT|JNG,|JNG|CAN|PEK|YYZ|CLT|
CLT|KHN,|KHN|DLC|PEK|YYZ|CLT|
CLT|KIX,|KIX|SFO|MDW|CLT|
CLT|KOW,|KOW|PEK|YYZ|CLT|
CLT|KTM,|KTM|IST|BHX|EWR|CLT|
CLT|KUL,|KUL|CAN|PEK|YYZ|CLT|
CLT|KWE,|KWE|PEK|YYZ|CLT|
CLT|KWL,|KWL|PEK|YYZ|CLT|
CLT|LHW,|LHW|CGO|PEK|YYZ|CLT|
CLT|LYA,|LYA|KHN|DLC|PEK|YYZ|CLT|
CLT|LYG,|LYG|HSN|PEK|YYZ|CLT|
CLT|LZH,|LZH|CAN|PEK|YYZ|CLT|
CLT|MEL,|MEL|SYD|LAX|IAH|CLT|
CLT|MIG,|MIG|CSX|PEK|YYZ|CLT|
CLT|MLE,|MLE|IST|BHX|EWR|CLT|
CLT|MNL,|MNL|XMN|PEK|YYZ|CLT|
CLT|MXZ,|MXZ|CAN|PEK|YYZ|CLT|
CLT|NAO,|NAO|PEK|YYZ|CLT|
CLT|NGB,|NGB|PEK|YYZ|CLT|
CLT|NKG,|NKG|DLC|PEK|YYZ|CLT|
CLT|NNY,|NNY|CGO|PEK|YYZ|CLT|
CLT|PEN,|PEN|CAN|PEK|YYZ|CLT|
CLT|PER,|PER|CAN|PEK|YYZ|CLT|
CLT|PNH,|PNH|CAN|PEK|YYZ|CLT|
CLT|REP,|REP|CAN|PEK|YYZ|CLT|
CLT|RGN,|RGN|CAN|PEK|YYZ|CLT|
CLT|SGN,|SGN|CAN|PEK|YYZ|CLT|
CLT|SHA,|SHA|PEK|YYZ|CLT|
CLT|SIN,|SIN|CAN|PEK|YYZ|CLT|
CLT|SVO,|SVO|URC|TSE|FRA|EWR|CLT|
CLT|SYX,|SYX|PEK|YYZ|CLT|
CLT|TAO,|TAO|DLC|PEK|YYZ|CLT|
CLT|TEN,|TEN|PEK|YYZ|CLT|
CLT|TNA,|TNA|DLC|PEK|YYZ|CLT|
CLT|TPE,|TPE|PVG|ORD|CLT|
CLT|TSN,|TSN|DLC|PEK|YYZ|CLT|
CLT|TXN,|TXN|DLC|PEK|YYZ|CLT|
CLT|TYN,|TYN|DAT|CIH|PEK|YYZ|CLT|
CLT|WNZ,|WNZ|CGO|PEK|YYZ|CLT|
CLT|WUX,|WUX|CAN|PEK|YYZ|CLT|
CLT|XFN,|XFN|XMN|PEK|YYZ|CLT|
CLT|XIY,|XIY|PEK|YYZ|CLT|
CLT|XUZ,|XUZ|LYG|HSN|PEK|YYZ|CLT|
CLT|YIH,|YIH|CKG|PEK|YYZ|CLT|
CLT|YIW,|YIW|PEK|YYZ|CLT|
CLT|YNT,|YNT|SHE|PEK|YYZ|CLT|
CLT|YNZ,|YNZ|DLC|PEK|YYZ|CLT|
CLT|YTY,|YTY|DLC|PEK|YYZ|CLT|
CLT|ZHA,|ZHA|CAN|PEK|YYZ|CLT|
CLT|ZYI,|ZYI|PEK|YYZ|CLT|
CLT|BAV,|BAV|CGO|PEK|YYZ|CLT|
CLT|CJU,|CJU|DLC|PEK|YYZ|CLT|
CLT|DSN,|DSN|CGO|PEK|YYZ|CLT|
CLT|HMI,|HMI|URC|TSE|FRA|EWR|CLT|
CLT|INC,|INC|PEK|YYZ|CLT|
CLT|KHH,|KHH|CGO|PEK|YYZ|CLT|
CLT|UYN,|UYN|CGO|PEK|YYZ|CLT|
CLT|XNN,|XNN|PEK|YYZ|CLT|
CLT|ZUH,|ZUH|PEK|YYZ|CLT|
CLT|YNJ,|YNJ|PEK|YYZ|CLT|
CLT|DAT,|DAT|CIH|PEK|YYZ|CLT|
CLT|JHG,|JHG|CKG|PEK|YYZ|CLT|
CLT|LJG,|LJG|CKG|PEK|YYZ|CLT|
CLT|LXA,|LXA|XIY|PEK|YYZ|CLT|
CLT|YCU,|YCU|CSX|PEK|YYZ|CLT|
CLT|LZO,|LZO|CSX|PEK|YYZ|CLT|
CLT|MDG,|MDG|ICN|JFK|IAD|CLT|
CLT|NGO,|NGO|ICN|JFK|IAD|CLT|
CLT|TOY,|TOY|DLC|PEK|YYZ|CLT|
CLT|MFM,|MFM|XMN|PEK|YYZ|CLT|
CLT|TGO,|TGO|HET|DLC|PEK|YYZ|CLT|
CLT|XIL,|XIL|HET|DLC|PEK|YYZ|CLT|
CLT|HEK,|HEK|HRB|PEK|YYZ|CLT|
CLT|KIJ,|KIJ|HRB|PEK|YYZ|CLT|
CLT|LDS,|LDS|HRB|PEK|YYZ|CLT|
CLT|OHE,|OHE|HRB|PEK|YYZ|CLT|
CLT|HSN,|HSN|PEK|YYZ|CLT|
CLT|DLU,|DLU|KMG|PEK|YYZ|CLT|
CLT|SYM,|SYM|KMG|PEK|YYZ|CLT|
CLT|ZAT,|ZAT|KMG|PEK|YYZ|CLT|
CLT|LUN,|LUN|NBO|ZRH|EWR|CLT|
CLT|AOG,|AOG|PEK|YYZ|CLT|
CLT|GMP,|GMP|PEK|YYZ|CLT|
CLT|ISB,|ISB|IST|BHX|EWR|CLT|
CLT|TAS,|TAS|IST|BHX|EWR|CLT|
CLT|WUS,|WUS|PEK|YYZ|CLT|
CLT|JMU,|JMU|PVG|ORD|CLT|
CLT|NDG,|NDG|PVG|ORD|CLT|
CLT|JXA,|JXA|SHE|PEK|YYZ|CLT|
CLT|PUS,|PUS|SHE|PEK|YYZ|CLT|
CLT|BKI,|BKI|SZX|PEK|YYZ|CLT|
CLT|AKU,|AKU|URC|TSE|FRA|EWR|CLT|
CLT|ALA,|ALA|TSE|FRA|EWR|CLT|
CLT|ASB,|ASB|GYD|FRA|EWR|CLT|
CLT|DNH,|DNH|URC|TSE|FRA|EWR|CLT|
CLT|DYU,|DYU|IST|BHX|EWR|CLT|
CLT|FRU,|FRU|IST|BHX|EWR|CLT|
CLT|GYD,|GYD|FRA|EWR|CLT|
CLT|HTN,|HTN|URC|TSE|FRA|EWR|CLT|
CLT|IKA,|IKA|SAW|FRA|EWR|CLT|
CLT|KCA,|KCA|URC|TSE|FRA|EWR|CLT|
CLT|KHG,|KHG|URC|TSE|FRA|EWR|CLT|
CLT|KRL,|KRL|URC|TSE|FRA|EWR|CLT|
CLT|KRY,|KRY|URC|TSE|FRA|EWR|CLT|
CLT|LBD,|LBD|URC|TSE|FRA|EWR|CLT|
CLT|NLT,|NLT|URC|TSE|FRA|EWR|CLT|
CLT|OSS,|OSS|IST|BHX|EWR|CLT|
CLT|OVB,|OVB|IST|BHX|EWR|CLT|
CLT|TBS,|TBS|SAW|FRA|EWR|CLT|
CLT|TCG,|TCG|URC|TSE|FRA|EWR|CLT|
CLT|TSE,|TSE|FRA|EWR|CLT|
CLT|YIN,|YIN|URC|TSE|FRA|EWR|CLT|
CLT|ENH,|ENH|WUH|PEK|YYZ|CLT|
CLT|ENY,|ENY|XIY|PEK|YYZ|CLT|
CLT|WXN,|WXN|XIY|PEK|YYZ|CLT|
CLT|BLL,|BLL|IST|BHX|EWR|CLT|
CLT|ESB,|ESB|FRA|EWR|CLT|
CLT|SAW,|SAW|FRA|EWR|CLT|
CLT|HAM,|HAM|EWR|CLT|
CLT|HRE,|HRE|ADD|JED|FRA|EWR|CLT|
CLT|JUB,|JUB|CAI|JFK|IAD|CLT|
CLT|SSG,|SSG|DLA|BRU|EWR|CLT|
CLT|BGW,|BGW|ESB|FRA|EWR|CLT|
CLT|EBL,|EBL|IST|BHX|EWR|CLT|
CLT|VKO,|VKO|IST|BHX|EWR|CLT|
CLT|MCT,|MCT|IST|BHX|EWR|CLT|
CLT|AYT,|AYT|IST|BHX|EWR|CLT|
CLT|SCQ,|SCQ|BIO|IST|BHX|EWR|CLT|
CLT|AAL,|AAL|IST|BHX|EWR|CLT|
CLT|AOE,|AOE|BRU|EWR|CLT|
CLT|JNB,|JNB|DKR|IAD|CLT|
CLT|LBV,|LBV|DLA|BRU|EWR|CLT|
CLT|ADA,|ADA|SAW|FRA|EWR|CLT|
CLT|ADB,|ADB|HAM|EWR|CLT|
CLT|ADF,|ADF|ESB|FRA|EWR|CLT|
CLT|AJI,|AJI|ESB|FRA|EWR|CLT|
CLT|BAL,|BAL|ESB|FRA|EWR|CLT|
CLT|BJV,|BJV|IST|BHX|EWR|CLT|
CLT|CKZ,|CKZ|ESB|FRA|EWR|CLT|
CLT|DIY,|DIY|ESB|FRA|EWR|CLT|
CLT|ECN,|ECN|IST|BHX|EWR|CLT|
CLT|ERC,|ERC|ESB|FRA|EWR|CLT|
CLT|ERZ,|ERZ|ESB|FRA|EWR|CLT|
CLT|EZS,|EZS|ESB|FRA|EWR|CLT|
CLT|GNY,|GNY|ESB|FRA|EWR|CLT|
CLT|GZP,|GZP|ESB|FRA|EWR|CLT|
CLT|GZT,|GZT|ESB|FRA|EWR|CLT|
CLT|HTY,|HTY|SAW|FRA|EWR|CLT|
CLT|KCM,|KCM|ESB|FRA|EWR|CLT|
CLT|KSY,|KSY|ESB|FRA|EWR|CLT|
CLT|MLX,|MLX|ESB|FRA|EWR|CLT|
CLT|MQM,|MQM|ESB|FRA|EWR|CLT|
CLT|MSR,|MSR|ESB|FRA|EWR|CLT|
CLT|TEQ,|TEQ|ESB|FRA|EWR|CLT|
CLT|TZX,|TZX|ESB|FRA|EWR|CLT|
CLT|VAN,|VAN|ESB|FRA|EWR|CLT|
CLT|ULN,|ULN|FRU|IST|BHX|EWR|CLT|
CLT|HIJ,|HIJ|ICN|JFK|IAD|CLT|
CLT|VVO,|VVO|ICN|JFK|IAD|CLT|
CLT|ACC,|ACC|IST|BHX|EWR|CLT|
CLT|AER,|AER|IST|BHX|EWR|CLT|
CLT|AGP,|AGP|IST|BHX|EWR|CLT|
CLT|ALG,|ALG|IST|BHX|EWR|CLT|
CLT|AMM,|AMM|IST|BHX|EWR|CLT|
CLT|AQJ,|AQJ|IST|BHX|EWR|CLT|
CLT|ARN,|ARN|EWR|CLT|
CLT|ASR,|ASR|SAW|FRA|EWR|CLT|
CLT|ATH,|ATH|IST|BHX|EWR|CLT|
CLT|BAH,|BAH|KWI|IAD|CLT|
CLT|BEG,|BEG|IST|BHX|EWR|CLT|
CLT|BEN,|BEN|IST|BHX|EWR|CLT|
CLT|BEY,|BEY|IST|BHX|EWR|CLT|
CLT|BHX,|BHX|EWR|CLT|
CLT|BIO,|BIO|IST|BHX|EWR|CLT|
CLT|BLQ,|BLQ|IST|BHX|EWR|CLT|
CLT|BOM,|BOM|EWR|CLT|
CLT|BRE,|BRE|IST|BHX|EWR|CLT|
CLT|BSL,|BSL|IST|BHX|EWR|CLT|
CLT|BSR,|BSR|IST|BHX|EWR|CLT|
CLT|BUD,|BUD|IST|BHX|EWR|CLT|
CLT|BUS,|BUS|IST|BHX|EWR|CLT|
CLT|CAI,|CAI|JFK|IAD|CLT|
CLT|CGN,|CGN|IST|BHX|EWR|CLT|
CLT|CMN,|CMN|IST|BHX|EWR|CLT|
CLT|CND,|CND|IST|BHX|EWR|CLT|
CLT|DAR,|DAR|NBO|ZRH|EWR|CLT|
CLT|DLM,|DLM|IST|BHX|EWR|CLT|
CLT|DMM,|DMM|IST|BHX|EWR|CLT|
CLT|DNK,|DNK|IST|BHX|EWR|CLT|
CLT|DNZ,|DNZ|IST|BHX|EWR|CLT|
CLT|DOK,|DOK|IST|BHX|EWR|CLT|
CLT|DUS,|DUS|EWR|CLT|
CLT|EDI,|EDI|EWR|CLT|
CLT|ELQ,|ELQ|IST|BHX|EWR|CLT|
CLT|FDH,|FDH|IST|BHX|EWR|CLT|
CLT|GOA,|GOA|IST|BHX|EWR|CLT|
CLT|GOT,|GOT|BRU|EWR|CLT|
CLT|HAJ,|HAJ|BRU|EWR|CLT|
CLT|HBE,|HBE|IST|BHX|EWR|CLT|
CLT|HEL,|HEL|IST|BHX|EWR|CLT|
CLT|HRG,|HRG|IST|BHX|EWR|CLT|
CLT|IFN,|IFN|IST|BHX|EWR|CLT|
CLT|ISE,|ISE|IST|BHX|EWR|CLT|
CLT|ISU,|ISU|IST|BHX|EWR|CLT|
CLT|JIB,|JIB|IST|BHX|EWR|CLT|
CLT|JRO,|JRO|IST|BHX|EWR|CLT|
CLT|KAN,|KAN|IST|BHX|EWR|CLT|
CLT|KBL,|KBL|IST|BHX|EWR|CLT|
CLT|KBP,|KBP|IST|BHX|EWR|CLT|
CLT|KFS,|KFS|IST|BHX|EWR|CLT|
CLT|KHI,|KHI|IST|BHX|EWR|CLT|
CLT|KIV,|KIV|IST|BHX|EWR|CLT|
CLT|KRT,|KRT|IST|BHX|EWR|CLT|
CLT|KSH,|KSH|IST|BHX|EWR|CLT|
CLT|KVD,|KVD|IST|BHX|EWR|CLT|
CLT|KWI,|KWI|IAD|CLT|
