GSO|YYF,|YYF|YVR|ORD|GSO|
GSO|YZP,|YZP|YVR|ORD|GSO|
GSO|YQT,|YQT|YYZ|IAD|GSO|
GSO|SJD,|SJD|ORD|GSO|
GSO|YQF,|YQF|YYC|ORD|GSO|
GSO|YQL,|YQL|YYC|ORD|GSO|
GSO|YXH,|YXH|YYC|ORD|GSO|
GSO|YWK,|YWK|YZV|YUL|IAD|GSO|
GSO|ANU,|ANU|EWR|GSO|
GSO|AUA,|AUA|IAD|GSO|
GSO|AUH,|AUH|FRA|EWR|GSO|
GSO|BCN,|BCN|EWR|GSO|
GSO|BDA,|BDA|EWR|GSO|
GSO|BGI,|BGI|YYZ|IAD|GSO|
GSO|BNA,|BNA|IAD|GSO|
GSO|BOG,|BOG|IAD|GSO|
GSO|BWI,|BWI|ORF|IAD|GSO|
GSO|CLE,|CLE|IAD|GSO|
GSO|CLT,|CLT|IAD|GSO|
GSO|CMH,|CMH|IAD|GSO|
GSO|CVG,|CVG|IAD|GSO|
GSO|DFW,|DFW|ORD|GSO|
GSO|DTW,|DTW|IAD|GSO|
GSO|DUB,|DUB|EWR|GSO|
GSO|FCO,|FCO|EWR|GSO|
GSO|GCM,|GCM|IAD|GSO|
GSO|GGT,|GGT|FLL|IAD|GSO|
GSO|GND,|GND|YYZ|IAD|GSO|
GSO|GRU,|GRU|IAD|GSO|
GSO|HAV,|HAV|YYZ|IAD|GSO|
GSO|IND,|IND|IAD|GSO|
GSO|JFK,|JFK|IAD|GSO|
GSO|KIN,|KIN|YYZ|IAD|GSO|
GSO|LIM,|LIM|MIA|IAD|GSO|
GSO|LIR,|LIR|EWR|GSO|
GSO|MCI,|MCI|ORD|GSO|
GSO|MDT,|MDT|IAD|GSO|
GSO|MIA,|MIA|IAD|GSO|
GSO|MKE,|MKE|ORD|GSO|
GSO|MSP,|MSP|ORD|GSO|
GSO|NAS,|NAS|ATL|IAD|GSO|
GSO|PHL,|PHL|IAD|GSO|
GSO|PHX,|PHX|ORD|GSO|
GSO|PIT,|PIT|IAD|GSO|
