FUK|YQX,|YQX|YHZ|YUL|JFK|ICN|FUK|
FUK|YQY,|YQY|YHZ|YUL|JFK|ICN|FUK|
FUK|YSJ,|YSJ|YUL|JFK|ICN|FUK|
FUK|YYG,|YYG|YUL|JFK|ICN|FUK|
FUK|LAX,|LAX|ICN|FUK|
FUK|DCA,|DCA|ORD|YVR|ICN|FUK|
FUK|LGA,|LGA|IAD|JFK|ICN|FUK|
FUK|YZV,|YZV|YUL|JFK|ICN|FUK|
FUK|YWL,|YWL|YVR|ICN|FUK|
FUK|AZS,|AZS|YYZ|PEK|ICN|FUK|
FUK|BDL,|BDL|IAD|JFK|ICN|FUK|
FUK|CCC,|CCC|YYZ|PEK|ICN|FUK|
FUK|CDG,|CDG|IST|ICN|FUK|
FUK|CUN,|CUN|YVR|ICN|FUK|
FUK|CZM,|CZM|IAH|YVR|ICN|FUK|
FUK|FDF,|FDF|YUL|JFK|ICN|FUK|
FUK|FLL,|FLL|DEN|YVR|ICN|FUK|
FUK|GVA,|GVA|IST|ICN|FUK|
FUK|HOG,|HOG|YYZ|PEK|ICN|FUK|
FUK|LAS,|LAS|SFO|ICN|FUK|
FUK|MBJ,|MBJ|IAH|YVR|ICN|FUK|
FUK|MCO,|MCO|DEN|YVR|ICN|FUK|
FUK|MUC,|MUC|IST|ICN|FUK|
FUK|PAP,|PAP|YUL|JFK|ICN|FUK|
FUK|PTP,|PTP|YUL|JFK|ICN|FUK|
FUK|PUJ,|PUJ|IAD|JFK|ICN|FUK|
FUK|SNU,|SNU|YYZ|PEK|ICN|FUK|
FUK|VRA,|VRA|YYC|YVR|ICN|FUK|
FUK|YBC,|YBC|YUL|JFK|ICN|FUK|
FUK|YBG,|YBG|YUL|JFK|ICN|FUK|
FUK|YTZ,|YTZ|YUL|JFK|ICN|FUK|
FUK|YUY,|YUY|YUL|JFK|ICN|FUK|
FUK|YVO,|YVO|YUL|JFK|ICN|FUK|
FUK|ZBF,|ZBF|YUL|JFK|ICN|FUK|
FUK|ZRH,|ZRH|IST|ICN|FUK|
FUK|ZSA,|ZSA|YUL|JFK|ICN|FUK|
FUK|AKL,|AKL|CAN|FUK|
FUK|HKG,|HKG|CAN|FUK|
FUK|HND,|HND|HNL|NRT|ICN|FUK|
FUK|HNL,|HNL|NRT|ICN|FUK|
FUK|MEX,|MEX|SFO|ICN|FUK|
FUK|OGG,|OGG|HNL|NRT|ICN|FUK|
FUK|PDX,|PDX|SEA|ICN|FUK|
FUK|PEK,|PEK|ICN|FUK|
FUK|PVG,|PVG|ICN|FUK|
FUK|PVR,|PVR|LAX|ICN|FUK|
FUK|SEA,|SEA|ICN|FUK|
FUK|SYD,|SYD|ICN|FUK|
FUK|YBL,|YBL|YVR|ICN|FUK|
FUK|YCD,|YCD|YVR|ICN|FUK|
FUK|YCG,|YCG|YVR|ICN|FUK|
FUK|YKA,|YKA|YVR|ICN|FUK|
FUK|YPR,|YPR|YVR|ICN|FUK|
FUK|YQZ,|YQZ|YVR|ICN|FUK|
FUK|YXC,|YXC|YVR|ICN|FUK|
FUK|YXJ,|YXJ|YVR|ICN|FUK|
FUK|YXS,|YXS|YVR|ICN|FUK|
FUK|YXT,|YXT|YVR|ICN|FUK|
FUK|YXY,|YXY|YVR|ICN|FUK|
FUK|YYD,|YYD|YVR|ICN|FUK|
FUK|YYF,|YYF|YVR|ICN|FUK|
FUK|YZP,|YZP|YVR|ICN|FUK|
FUK|YQT,|YQT|YWG|YVR|ICN|FUK|
FUK|SJD,|SJD|LAX|ICN|FUK|
FUK|YQF,|YQF|YYC|YVR|ICN|FUK|
FUK|YQL,|YQL|YYC|YVR|ICN|FUK|
FUK|YXH,|YXH|YYC|YVR|ICN|FUK|
FUK|YWK,|YWK|YZV|YUL|JFK|ICN|FUK|
FUK|ANU,|ANU|EWR|IAD|JFK|ICN|FUK|
FUK|AUA,|AUA|IAD|JFK|ICN|FUK|
FUK|AUH,|AUH|IST|ICN|FUK|
FUK|BCN,|BCN|IST|ICN|FUK|
FUK|BDA,|BDA|EWR|IAD|JFK|ICN|FUK|
FUK|BGI,|BGI|YYZ|PEK|ICN|FUK|
FUK|BNA,|BNA|DEN|YVR|ICN|FUK|
FUK|BOG,|BOG|IAH|YVR|ICN|FUK|
FUK|BWI,|BWI|ORF|IAD|JFK|ICN|FUK|
FUK|CLE,|CLE|ORD|YVR|ICN|FUK|
FUK|CLT,|CLT|IAD|JFK|ICN|FUK|
FUK|CMH,|CMH|ORD|YVR|ICN|FUK|
FUK|CVG,|CVG|ORD|YVR|ICN|FUK|
FUK|DFW,|DFW|YVR|ICN|FUK|
FUK|DTW,|DTW|ORD|YVR|ICN|FUK|
FUK|DUB,|DUB|IST|ICN|FUK|
FUK|FCO,|FCO|IST|ICN|FUK|
FUK|GCM,|GCM|IAH|YVR|ICN|FUK|
FUK|GGT,|GGT|FLL|DEN|YVR|ICN|FUK|
FUK|GND,|GND|YYZ|PEK|ICN|FUK|
FUK|GRU,|GRU|IST|ICN|FUK|
FUK|HAV,|HAV|YYZ|PEK|ICN|FUK|
FUK|IND,|IND|ORD|YVR|ICN|FUK|
FUK|JFK,|JFK|ICN|FUK|
FUK|KIN,|KIN|YYZ|PEK|ICN|FUK|
FUK|LIM,|LIM|IAH|YVR|ICN|FUK|
FUK|LIR,|LIR|IAH|YVR|ICN|FUK|
FUK|MCI,|MCI|DEN|YVR|ICN|FUK|
FUK|MDT,|MDT|IAD|JFK|ICN|FUK|
FUK|MIA,|MIA|DEN|YVR|ICN|FUK|
FUK|MKE,|MKE|SEA|ICN|FUK|
FUK|MSP,|MSP|DEN|YVR|ICN|FUK|
FUK|NAS,|NAS|ATL|DEN|YVR|ICN|FUK|
FUK|PHL,|PHL|IAD|JFK|ICN|FUK|
FUK|PHX,|PHX|SFO|ICN|FUK|
FUK|PIT,|PIT|ORD|YVR|ICN|FUK|
FUK|PLS,|PLS|EWR|IAD|JFK|ICN|FUK|
FUK|POP,|POP|EWR|IAD|JFK|ICN|FUK|
FUK|RDU,|RDU|IAD|JFK|ICN|FUK|
FUK|ROC,|ROC|YYZ|PEK|ICN|FUK|
FUK|RSW,|RSW|DEN|YVR|ICN|FUK|
FUK|SAN,|SAN|LAX|ICN|FUK|
FUK|SJO,|SJO|IAH|YVR|ICN|FUK|
FUK|STL,|STL|DEN|YVR|ICN|FUK|
FUK|SYR,|SYR|YYZ|PEK|ICN|FUK|
FUK|TLV,|TLV|IST|ICN|FUK|
FUK|TPA,|TPA|DEN|YVR|ICN|FUK|
FUK|UVF,|UVF|EWR|IAD|JFK|ICN|FUK|
FUK|VIE,|VIE|IST|ICN|FUK|
FUK|YAM,|YAM|YYZ|PEK|ICN|FUK|
FUK|YGK,|YGK|YYZ|PEK|ICN|FUK|
FUK|YQG,|YQG|YYC|YVR|ICN|FUK|
FUK|YSB,|YSB|YYZ|PEK|ICN|FUK|
FUK|YTS,|YTS|YYZ|PEK|ICN|FUK|
FUK|YYB,|YYB|YYZ|PEK|ICN|FUK|
FUK|YZR,|YZR|YYZ|PEK|ICN|FUK|
FUK|CAN,|CAN|FUK|
FUK|URC,|URC|PEK|ICN|FUK|
FUK|CTU,|CTU|CGO|ICN|FUK|
FUK|HGH,|HGH|DLC|ICN|FUK|
FUK|XMN,|XMN|CAN|FUK|
FUK|CGO,|CGO|ICN|FUK|
FUK|CSX,|CSX|ICN|FUK|
FUK|SHE,|SHE|FUK|
FUK|SJW,|SJW|DLC|ICN|FUK|
FUK|WUH,|WUH|ICN|FUK|
FUK|SZX,|SZX|PVG|ICN|FUK|
FUK|CKG,|CKG|CGO|ICN|FUK|
FUK|KMG,|KMG|CAN|FUK|
FUK|FOC,|FOC|HGH|DLC|ICN|FUK|
FUK|NNG,|NNG|CAN|FUK|
FUK|SWA,|SWA|CAN|FUK|
FUK|ACX,|ACX|CAN|FUK|
FUK|AQG,|AQG|CAN|FUK|
FUK|AVA,|AVA|CAN|FUK|
FUK|BFJ,|BFJ|CAN|FUK|
FUK|BHY,|BHY|CAN|FUK|
FUK|BNE,|BNE|CAN|FUK|
FUK|CGD,|CGD|CAN|FUK|
FUK|CGK,|CGK|CAN|FUK|
FUK|CGQ,|CGQ|ICN|FUK|
FUK|CIH,|CIH|PEK|ICN|FUK|
FUK|CNX,|CNX|CAN|FUK|
FUK|CZX,|CZX|SHE|FUK|
FUK|DAC,|DAC|CAN|FUK|
FUK|DAD,|DAD|CAN|FUK|
FUK|DEL,|DEL|CAN|FUK|
FUK|DIG,|DIG|CAN|FUK|
FUK|DLC,|DLC|ICN|FUK|
FUK|DPS,|DPS|CAN|FUK|
FUK|DXB,|DXB|CAN|FUK|
