BOG|YYF,|YYF|YVR|IAH|BOG|
BOG|YZP,|YZP|YVR|IAH|BOG|
BOG|YQT,|YQT|YYZ|BOG|
BOG|SJD,|SJD|IAH|BOG|
BOG|YQF,|YQF|YYC|IAH|BOG|
BOG|YQL,|YQL|YYC|IAH|BOG|
BOG|YXH,|YXH|YYC|IAH|BOG|
BOG|YWK,|YWK|YZV|YQB|EWR|BOG|
BOG|ANU,|ANU|EWR|BOG|
BOG|AUA,|AUA|IAD|BOG|
BOG|AUH,|AUH|FRA|JFK|BOG|
BOG|BCN,|BCN|EWR|BOG|
BOG|BDA,|BDA|EWR|BOG|
BOG|BGI,|BGI|YYZ|BOG|
BOG|BNA,|BNA|MSY|MIA|BOG|
BOG|BWI,|BWI|EWR|BOG|
BOG|CLE,|CLE|IAD|BOG|
BOG|CLT,|CLT|IAD|BOG|
BOG|CMH,|CMH|IAD|BOG|
BOG|CVG,|CVG|IAD|BOG|
BOG|DFW,|DFW|IAH|BOG|
BOG|DTW,|DTW|IAD|BOG|
BOG|DUB,|DUB|JFK|BOG|
BOG|FCO,|FCO|EWR|BOG|
BOG|GCM,|GCM|IAH|BOG|
BOG|GGT,|GGT|FLL|MSY|MIA|BOG|
BOG|GND,|GND|YYZ|BOG|
BOG|GRU,|GRU|IAD|BOG|
BOG|HAV,|HAV|YYZ|BOG|
BOG|IND,|IND|IAD|BOG|
BOG|JFK,|JFK|BOG|
BOG|KIN,|KIN|YYZ|BOG|
BOG|LIM,|LIM|MIA|BOG|
BOG|LIR,|LIR|IAH|BOG|
BOG|MCI,|MCI|IAH|BOG|
BOG|MDT,|MDT|IAD|BOG|
BOG|MIA,|MIA|BOG|
BOG|MKE,|MKE|ORD|MIA|BOG|
BOG|MSP,|MSP|ORD|MIA|BOG|
BOG|NAS,|NAS|ATL|MSY|MIA|BOG|
BOG|PHL,|PHL|IAD|BOG|
BOG|PHX,|PHX|IAH|BOG|
BOG|PIT,|PIT|IAD|BOG|
BOG|PLS,|PLS|EWR|BOG|
BOG|POP,|POP|EWR|BOG|
BOG|RDU,|RDU|IAD|BOG|
BOG|ROC,|ROC|IAD|BOG|
BOG|RSW,|RSW|MCO|MSY|MIA|BOG|
BOG|SAN,|SAN|IAH|BOG|
BOG|SJO,|SJO|IAH|BOG|
BOG|STL,|STL|MSY|MIA|BOG|
BOG|SYR,|SYR|IAD|BOG|
BOG|TLV,|TLV|EWR|BOG|
BOG|TPA,|TPA|MSY|MIA|BOG|
BOG|UVF,|UVF|EWR|BOG|
BOG|VIE,|VIE|JFK|BOG|
BOG|YAM,|YAM|YYZ|BOG|
BOG|YGK,|YGK|YYZ|BOG|
BOG|YQG,|YQG|YYZ|BOG|
BOG|YSB,|YSB|YYZ|BOG|
BOG|YTS,|YTS|YYZ|BOG|
BOG|YYB,|YYB|YYZ|BOG|
BOG|YZR,|YZR|YYZ|BOG|
BOG|CAN,|CAN|PEK|ORD|MIA|BOG|
BOG|URC,|URC|TSE|FRA|JFK|BOG|
BOG|CTU,|CTU|PEK|ORD|MIA|BOG|
BOG|HGH,|HGH|PEK|ORD|MIA|BOG|
BOG|XMN,|XMN|PEK|ORD|MIA|BOG|
BOG|CGO,|CGO|PEK|ORD|MIA|BOG|
BOG|CSX,|CSX|PEK|ORD|MIA|BOG|
BOG|SHE,|SHE|ICN|YVR|IAH|BOG|
BOG|SJW,|SJW|DLC|PEK|ORD|MIA|BOG|
BOG|WUH,|WUH|PEK|ORD|MIA|BOG|
BOG|SZX,|SZX|PEK|ORD|MIA|BOG|
BOG|CKG,|CKG|PEK|ORD|MIA|BOG|
BOG|KMG,|KMG|PEK|ORD|MIA|BOG|
