MBA|YDF,|YDF|YYT|LHR|IST|MBA|
MBA|YFC,|YFC|YHZ|LHR|IST|MBA|
MBA|YQM,|YQM|YHZ|LHR|IST|MBA|
MBA|YQX,|YQX|YYT|LHR|IST|MBA|
MBA|YQY,|YQY|YHZ|LHR|IST|MBA|
MBA|YSJ,|YSJ|YHZ|LHR|IST|MBA|
MBA|YYG,|YYG|YHZ|LHR|IST|MBA|
MBA|LAX,|LAX|IST|MBA|
MBA|DCA,|DCA|EWR|BHX|IST|MBA|
MBA|LGA,|LGA|YHZ|LHR|IST|MBA|
MBA|YZV,|YZV|YWK|YYR|YYT|LHR|IST|MBA|
MBA|YWL,|YWL|YVR|MUC|IST|MBA|
MBA|AZS,|AZS|YUL|FRA|IST|MBA|
MBA|BDL,|BDL|YUL|FRA|IST|MBA|
MBA|CCC,|CCC|YUL|FRA|IST|MBA|
MBA|CDG,|CDG|IST|MBA|
MBA|CUN,|CUN|YHZ|LHR|IST|MBA|
MBA|CZM,|CZM|YUL|FRA|IST|MBA|
MBA|FDF,|FDF|YUL|FRA|IST|MBA|
MBA|FLL,|FLL|MCO|FRA|IST|MBA|
MBA|GVA,|GVA|IST|MBA|
MBA|HOG,|HOG|YUL|FRA|IST|MBA|
MBA|LAS,|LAS|DEN|FRA|IST|MBA|
MBA|MBJ,|MBJ|YHZ|LHR|IST|MBA|
MBA|MCO,|MCO|FRA|IST|MBA|
MBA|MUC,|MUC|IST|MBA|
MBA|PAP,|PAP|YUL|FRA|IST|MBA|
MBA|PTP,|PTP|YUL|FRA|IST|MBA|
MBA|PUJ,|PUJ|YHZ|LHR|IST|MBA|
MBA|SNU,|SNU|YUL|FRA|IST|MBA|
MBA|VRA,|VRA|YUL|FRA|IST|MBA|
MBA|YBC,|YBC|YUL|FRA|IST|MBA|
MBA|YBG,|YBG|YUL|FRA|IST|MBA|
MBA|YTZ,|YTZ|YUL|FRA|IST|MBA|
MBA|YUY,|YUY|YUL|FRA|IST|MBA|
MBA|YVO,|YVO|YUL|FRA|IST|MBA|
MBA|ZBF,|ZBF|YUL|FRA|IST|MBA|
MBA|ZRH,|ZRH|IST|MBA|
MBA|ZSA,|ZSA|YUL|FRA|IST|MBA|
MBA|AKL,|AKL|BKK|IST|MBA|
MBA|HKG,|HKG|IST|MBA|
MBA|HND,|HND|YVR|MUC|IST|MBA|
MBA|HNL,|HNL|YVR|MUC|IST|MBA|
MBA|MEX,|MEX|IAD|IST|MBA|
MBA|OGG,|OGG|YVR|MUC|IST|MBA|
MBA|PDX,|PDX|SEA|FRA|IST|MBA|
MBA|PEK,|PEK|IST|MBA|
MBA|PVG,|PVG|IST|MBA|
MBA|PVR,|PVR|ORD|IST|MBA|
MBA|SEA,|SEA|FRA|IST|MBA|
MBA|SYD,|SYD|BKK|IST|MBA|
MBA|YBL,|YBL|YVR|MUC|IST|MBA|
MBA|YCD,|YCD|YVR|MUC|IST|MBA|
MBA|YCG,|YCG|YYC|FRA|IST|MBA|
MBA|YKA,|YKA|YYC|FRA|IST|MBA|
MBA|YPR,|YPR|YVR|MUC|IST|MBA|
MBA|YQZ,|YQZ|YVR|MUC|IST|MBA|
