TRD|FDF,|FDF|YUL|YYZ|CPH|TRD|
TRD|FLL,|FLL|EWR|OSL|CPH|TRD|
TRD|GVA,|GVA|IST|CPH|TRD|
TRD|HOG,|HOG|YYZ|CPH|TRD|
TRD|LAS,|LAS|YYZ|CPH|TRD|
TRD|MBJ,|MBJ|EWR|OSL|CPH|TRD|
TRD|MCO,|MCO|EWR|OSL|CPH|TRD|
TRD|MUC,|MUC|IST|CPH|TRD|
TRD|PAP,|PAP|YUL|YYZ|CPH|TRD|
TRD|PTP,|PTP|YUL|YYZ|CPH|TRD|
TRD|PUJ,|PUJ|EWR|OSL|CPH|TRD|
TRD|SNU,|SNU|YYZ|CPH|TRD|
TRD|VRA,|VRA|YYZ|CPH|TRD|
TRD|YBC,|YBC|YUL|YYZ|CPH|TRD|
TRD|YBG,|YBG|YUL|YYZ|CPH|TRD|
TRD|YTZ,|YTZ|YUL|YYZ|CPH|TRD|
TRD|YUY,|YUY|YUL|YYZ|CPH|TRD|
TRD|YVO,|YVO|YUL|YYZ|CPH|TRD|
TRD|ZBF,|ZBF|YUL|YYZ|CPH|TRD|
TRD|ZRH,|ZRH|IST|CPH|TRD|
TRD|ZSA,|ZSA|YUL|YYZ|CPH|TRD|
TRD|AKL,|AKL|BKK|IST|CPH|TRD|
TRD|HKG,|HKG|CAN|AMS|CPH|TRD|
TRD|HND,|HND|YVR|YYZ|CPH|TRD|
TRD|HNL,|HNL|SFO|YYZ|CPH|TRD|
TRD|MEX,|MEX|YYZ|CPH|TRD|
TRD|OGG,|OGG|SFO|YYZ|CPH|TRD|
TRD|PDX,|PDX|ORD|YYZ|CPH|TRD|
TRD|PEK,|PEK|AMS|CPH|TRD|
TRD|PVG,|PVG|AMS|CPH|TRD|
TRD|PVR,|PVR|IAH|YYZ|CPH|TRD|
TRD|SEA,|SEA|YYZ|CPH|TRD|
TRD|SYD,|SYD|BKK|IST|CPH|TRD|
TRD|YBL,|YBL|YVR|YYZ|CPH|TRD|
TRD|YCD,|YCD|YVR|YYZ|CPH|TRD|
TRD|YCG,|YCG|YYC|YYZ|CPH|TRD|
TRD|YKA,|YKA|YYC|YYZ|CPH|TRD|
TRD|YPR,|YPR|YVR|YYZ|CPH|TRD|
TRD|YQZ,|YQZ|YVR|YYZ|CPH|TRD|
TRD|YXC,|YXC|YYC|YYZ|CPH|TRD|
TRD|YXJ,|YXJ|YYC|YYZ|CPH|TRD|
TRD|YXS,|YXS|YYC|YYZ|CPH|TRD|
TRD|YXT,|YXT|YVR|YYZ|CPH|TRD|
TRD|YXY,|YXY|YVR|YYZ|CPH|TRD|
TRD|YYD,|YYD|YVR|YYZ|CPH|TRD|
TRD|YYF,|YYF|YVR|YYZ|CPH|TRD|
TRD|YZP,|YZP|YVR|YYZ|CPH|TRD|
TRD|YQT,|YQT|YYZ|CPH|TRD|
TRD|SJD,|SJD|ORD|YYZ|CPH|TRD|
TRD|YQF,|YQF|YYC|YYZ|CPH|TRD|
TRD|YQL,|YQL|YYC|YYZ|CPH|TRD|
TRD|YXH,|YXH|YYC|YYZ|CPH|TRD|
TRD|YWK,|YWK|YZV|YQB|YYZ|CPH|TRD|
TRD|ANU,|ANU|EWR|OSL|CPH|TRD|
TRD|AUA,|AUA|EWR|OSL|CPH|TRD|
TRD|AUH,|AUH|IST|CPH|TRD|
TRD|BCN,|BCN|IST|CPH|TRD|
