JAC|YXJ,|YXJ|YYC|DEN|JAC|
JAC|YXS,|YXS|YYC|DEN|JAC|
JAC|YXT,|YXT|YVR|DEN|JAC|
JAC|YXY,|YXY|YVR|DEN|JAC|
JAC|YYD,|YYD|YVR|DEN|JAC|
JAC|YYF,|YYF|YVR|DEN|JAC|
JAC|YZP,|YZP|YVR|DEN|JAC|
JAC|YQT,|YQT|YWG|DEN|JAC|
JAC|SJD,|SJD|DEN|JAC|
JAC|YQF,|YQF|YYC|DEN|JAC|
JAC|YQL,|YQL|YYC|DEN|JAC|
JAC|YXH,|YXH|YYC|DEN|JAC|
JAC|YWK,|YWK|YZV|YUL|DEN|JAC|
JAC|ANU,|ANU|EWR|DEN|JAC|
JAC|AUA,|AUA|ATL|DEN|JAC|
JAC|AUH,|AUH|FRA|DEN|JAC|
JAC|BCN,|BCN|YYZ|DEN|JAC|
JAC|BDA,|BDA|EWR|DEN|JAC|
JAC|BGI,|BGI|YYZ|DEN|JAC|
JAC|BNA,|BNA|DEN|JAC|
JAC|BOG,|BOG|IAH|DEN|JAC|
JAC|BWI,|BWI|DEN|JAC|
JAC|CLE,|CLE|DEN|JAC|
JAC|CLT,|CLT|MDW|DEN|JAC|
JAC|CMH,|CMH|DEN|JAC|
JAC|CVG,|CVG|DEN|JAC|
JAC|DFW,|DFW|DEN|JAC|
JAC|DTW,|DTW|DEN|JAC|
JAC|DUB,|DUB|ORD|DEN|JAC|
JAC|FCO,|FCO|YYZ|DEN|JAC|
JAC|GCM,|GCM|IAH|DEN|JAC|
JAC|GGT,|GGT|FLL|DEN|JAC|
JAC|GND,|GND|YYZ|DEN|JAC|
JAC|GRU,|GRU|IAH|DEN|JAC|
JAC|HAV,|HAV|YYZ|DEN|JAC|
JAC|IND,|IND|DEN|JAC|
JAC|JFK,|JFK|IAD|DEN|JAC|
JAC|KIN,|KIN|YYZ|DEN|JAC|
JAC|LIM,|LIM|IAH|DEN|JAC|
JAC|LIR,|LIR|IAH|DEN|JAC|
JAC|MCI,|MCI|DEN|JAC|
JAC|MDT,|MDT|ORD|DEN|JAC|
JAC|MIA,|MIA|DEN|JAC|
JAC|MKE,|MKE|DEN|JAC|
JAC|MSP,|MSP|DEN|JAC|
JAC|NAS,|NAS|ATL|DEN|JAC|
JAC|PHL,|PHL|DEN|JAC|
JAC|PHX,|PHX|DEN|JAC|
JAC|PIT,|PIT|DEN|JAC|
JAC|PLS,|PLS|YYZ|DEN|JAC|
JAC|POP,|POP|YYZ|DEN|JAC|
JAC|RDU,|RDU|DEN|JAC|
JAC|ROC,|ROC|ORD|DEN|JAC|
JAC|RSW,|RSW|DEN|JAC|
JAC|SAN,|SAN|DEN|JAC|
JAC|SJO,|SJO|IAH|DEN|JAC|
JAC|STL,|STL|DEN|JAC|
JAC|SYR,|SYR|ORD|DEN|JAC|
JAC|TLV,|TLV|IST|FRA|DEN|JAC|
JAC|TPA,|TPA|DEN|JAC|
JAC|UVF,|UVF|EWR|DEN|JAC|
JAC|VIE,|VIE|ORD|DEN|JAC|
JAC|YAM,|YAM|YYZ|DEN|JAC|
JAC|YGK,|YGK|YYZ|DEN|JAC|
JAC|YQG,|YQG|YYZ|DEN|JAC|
JAC|YSB,|YSB|YYZ|DEN|JAC|
JAC|YTS,|YTS|YYZ|DEN|JAC|
JAC|YYB,|YYB|YYZ|DEN|JAC|
JAC|YZR,|YZR|YYZ|DEN|JAC|
JAC|CAN,|CAN|YVR|DEN|JAC|
JAC|URC,|URC|PEK|YVR|DEN|JAC|
JAC|CTU,|CTU|PEK|YVR|DEN|JAC|
JAC|HGH,|HGH|DLC|ICN|YVR|DEN|JAC|
JAC|XMN,|XMN|PEK|YVR|DEN|JAC|
JAC|CGO,|CGO|PEK|YVR|DEN|JAC|
JAC|CSX,|CSX|ICN|YVR|DEN|JAC|
JAC|SHE,|SHE|ICN|YVR|DEN|JAC|
JAC|SJW,|SJW|DLC|ICN|YVR|DEN|JAC|
JAC|WUH,|WUH|ICN|YVR|DEN|JAC|
JAC|SZX,|SZX|PVG|YVR|DEN|JAC|
JAC|CKG,|CKG|PEK|YVR|DEN|JAC|
JAC|KMG,|KMG|PEK|YVR|DEN|JAC|
JAC|FOC,|FOC|PEK|YVR|DEN|JAC|
JAC|NNG,|NNG|PEK|YVR|DEN|JAC|
JAC|SWA,|SWA|PEK|YVR|DEN|JAC|
JAC|ACX,|ACX|CAN|YVR|DEN|JAC|
JAC|AQG,|AQG|CAN|YVR|DEN|JAC|
JAC|AVA,|AVA|CAN|YVR|DEN|JAC|
JAC|BFJ,|BFJ|CAN|YVR|DEN|JAC|
JAC|BHY,|BHY|CSX|ICN|YVR|DEN|JAC|
JAC|BNE,|BNE|CAN|YVR|DEN|JAC|
JAC|CGD,|CGD|PEK|YVR|DEN|JAC|
JAC|CGK,|CGK|CAN|YVR|DEN|JAC|
JAC|CGQ,|CGQ|ICN|YVR|DEN|JAC|
JAC|CIH,|CIH|PEK|YVR|DEN|JAC|
JAC|CNX,|CNX|CAN|YVR|DEN|JAC|
JAC|CZX,|CZX|SHE|ICN|YVR|DEN|JAC|
JAC|DAC,|DAC|CAN|YVR|DEN|JAC|
JAC|DAD,|DAD|CAN|YVR|DEN|JAC|
JAC|DEL,|DEL|EWR|DEN|JAC|
JAC|DIG,|DIG|KMG|PEK|YVR|DEN|JAC|
JAC|DLC,|DLC|ICN|YVR|DEN|JAC|
JAC|DPS,|DPS|SZX|PVG|YVR|DEN|JAC|
JAC|DXB,|DXB|IST|FRA|DEN|JAC|
JAC|DYG,|DYG|PEK|YVR|DEN|JAC|
JAC|FUG,|FUG|CAN|YVR|DEN|JAC|
JAC|FUK,|FUK|ICN|YVR|DEN|JAC|
JAC|HAK,|HAK|CAN|YVR|DEN|JAC|
JAC|HAN,|HAN|PEK|YVR|DEN|JAC|
JAC|HDG,|HDG|CAN|YVR|DEN|JAC|
JAC|HET,|HET|DLC|ICN|YVR|DEN|JAC|
JAC|HFE,|HFE|TYN|DLC|ICN|YVR|DEN|JAC|
JAC|HJJ,|HJJ|CSX|ICN|YVR|DEN|JAC|
JAC|HKT,|HKT|KWE|PEK|YVR|DEN|JAC|
JAC|HRB,|HRB|ICN|YVR|DEN|JAC|
JAC|HZH,|HZH|CAN|YVR|DEN|JAC|
JAC|JIU,|JIU|CAN|YVR|DEN|JAC|
JAC|JJN,|JJN|PEK|YVR|DEN|JAC|
JAC|JNG,|JNG|CAN|YVR|DEN|JAC|
JAC|KHN,|KHN|DLC|ICN|YVR|DEN|JAC|
JAC|KIX,|KIX|SFO|DEN|JAC|
JAC|KOW,|KOW|PEK|YVR|DEN|JAC|
JAC|KTM,|KTM|CAN|YVR|DEN|JAC|
JAC|KUL,|KUL|PVG|YVR|DEN|JAC|
JAC|KWE,|KWE|PEK|YVR|DEN|JAC|
JAC|KWL,|KWL|PEK|YVR|DEN|JAC|
JAC|LHW,|LHW|CGO|PEK|YVR|DEN|JAC|
JAC|LYA,|LYA|KHN|DLC|ICN|YVR|DEN|JAC|
JAC|LYG,|LYG|HSN|PEK|YVR|DEN|JAC|
JAC|LZH,|LZH|CAN|YVR|DEN|JAC|
JAC|MEL,|MEL|SYD|LAX|DEN|JAC|
JAC|MIG,|MIG|CSX|ICN|YVR|DEN|JAC|
JAC|MLE,|MLE|IST|FRA|DEN|JAC|
JAC|MNL,|MNL|XMN|PEK|YVR|DEN|JAC|
JAC|MXZ,|MXZ|CAN|YVR|DEN|JAC|
JAC|NAO,|NAO|PEK|YVR|DEN|JAC|
JAC|NGB,|NGB|DLC|ICN|YVR|DEN|JAC|
JAC|NKG,|NKG|DLC|ICN|YVR|DEN|JAC|
JAC|NNY,|NNY|CGO|PEK|YVR|DEN|JAC|
JAC|PEN,|PEN|CAN|YVR|DEN|JAC|
JAC|PER,|PER|CAN|YVR|DEN|JAC|
JAC|PNH,|PNH|CAN|YVR|DEN|JAC|
JAC|REP,|REP|ICN|YVR|DEN|JAC|
JAC|RGN,|RGN|CAN|YVR|DEN|JAC|
JAC|SGN,|SGN|HKG|YVR|DEN|JAC|
JAC|SHA,|SHA|PEK|YVR|DEN|JAC|
JAC|SIN,|SIN|HKG|YVR|DEN|JAC|
JAC|SVO,|SVO|URC|PEK|YVR|DEN|JAC|
JAC|SYX,|SYX|CAN|YVR|DEN|JAC|
JAC|TAO,|TAO|DLC|ICN|YVR|DEN|JAC|
JAC|TEN,|TEN|PEK|YVR|DEN|JAC|
JAC|TNA,|TNA|DLC|ICN|YVR|DEN|JAC|
JAC|TPE,|TPE|PVG|YVR|DEN|JAC|
JAC|TSN,|TSN|DLC|ICN|YVR|DEN|JAC|
JAC|TXN,|TXN|DLC|ICN|YVR|DEN|JAC|
JAC|TYN,|TYN|DLC|ICN|YVR|DEN|JAC|
JAC|WNZ,|WNZ|CGO|PEK|YVR|DEN|JAC|
JAC|WUX,|WUX|CAN|YVR|DEN|JAC|
JAC|XFN,|XFN|CAN|YVR|DEN|JAC|
JAC|XIY,|XIY|PEK|YVR|DEN|JAC|
JAC|XUZ,|XUZ|LYG|HSN|PEK|YVR|DEN|JAC|
JAC|YIH,|YIH|CKG|PEK|YVR|DEN|JAC|
JAC|YIW,|YIW|PEK|YVR|DEN|JAC|
JAC|YNT,|YNT|SHE|ICN|YVR|DEN|JAC|
JAC|YNZ,|YNZ|DLC|ICN|YVR|DEN|JAC|
JAC|YTY,|YTY|DLC|ICN|YVR|DEN|JAC|
JAC|ZHA,|ZHA|CAN|YVR|DEN|JAC|
JAC|ZYI,|ZYI|PEK|YVR|DEN|JAC|
JAC|BAV,|BAV|SJW|DLC|ICN|YVR|DEN|JAC|
JAC|CJU,|CJU|DLC|ICN|YVR|DEN|JAC|
JAC|DSN,|DSN|CGO|PEK|YVR|DEN|JAC|
JAC|HMI,|HMI|CGO|PEK|YVR|DEN|JAC|
JAC|INC,|INC|PEK|YVR|DEN|JAC|
JAC|KHH,|KHH|CGO|PEK|YVR|DEN|JAC|
JAC|UYN,|UYN|CGO|PEK|YVR|DEN|JAC|
JAC|XNN,|XNN|PEK|YVR|DEN|JAC|
JAC|ZUH,|ZUH|PVG|YVR|DEN|JAC|
JAC|YNJ,|YNJ|ICN|YVR|DEN|JAC|
JAC|DAT,|DAT|CIH|PEK|YVR|DEN|JAC|
JAC|JHG,|JHG|CKG|PEK|YVR|DEN|JAC|
JAC|LJG,|LJG|CKG|PEK|YVR|DEN|JAC|
JAC|LXA,|LXA|XIY|PEK|YVR|DEN|JAC|
JAC|YCU,|YCU|CSX|ICN|YVR|DEN|JAC|
JAC|LZO,|LZO|CSX|ICN|YVR|DEN|JAC|
JAC|MDG,|MDG|ICN|YVR|DEN|JAC|
JAC|NGO,|NGO|ICN|YVR|DEN|JAC|
JAC|TOY,|TOY|DLC|ICN|YVR|DEN|JAC|
JAC|MFM,|MFM|XMN|PEK|YVR|DEN|JAC|
JAC|TGO,|TGO|HET|DLC|ICN|YVR|DEN|JAC|
JAC|XIL,|XIL|HET|DLC|ICN|YVR|DEN|JAC|
JAC|HEK,|HEK|HRB|ICN|YVR|DEN|JAC|
