MQM|YCD,|YCD|YVR|FRA|ESB|MQM|
MQM|YCG,|YCG|YYC|FRA|ESB|MQM|
MQM|YKA,|YKA|YYC|FRA|ESB|MQM|
MQM|YPR,|YPR|YVR|FRA|ESB|MQM|
MQM|YQZ,|YQZ|YVR|FRA|ESB|MQM|
MQM|YXC,|YXC|YYC|FRA|ESB|MQM|
MQM|YXJ,|YXJ|YYC|FRA|ESB|MQM|
MQM|YXS,|YXS|YYC|FRA|ESB|MQM|
MQM|YXT,|YXT|YVR|FRA|ESB|MQM|
MQM|YXY,|YXY|YVR|FRA|ESB|MQM|
MQM|YYD,|YYD|YVR|FRA|ESB|MQM|
MQM|YYF,|YYF|YVR|FRA|ESB|MQM|
MQM|YZP,|YZP|YVR|FRA|ESB|MQM|
MQM|YQT,|YQT|YYZ|VIE|ESB|MQM|
MQM|SJD,|SJD|ORD|VIE|ESB|MQM|
MQM|YQF,|YQF|YYC|FRA|ESB|MQM|
MQM|YQL,|YQL|YYC|FRA|ESB|MQM|
MQM|YXH,|YXH|YYC|FRA|ESB|MQM|
MQM|YWK,|YWK|YYR|YYT|LHR|IST|MQM|
MQM|ANU,|ANU|EWR|FRA|ESB|MQM|
MQM|AUA,|AUA|EWR|FRA|ESB|MQM|
MQM|AUH,|AUH|IST|MQM|
MQM|BCN,|BCN|IST|MQM|
MQM|BDA,|BDA|EWR|FRA|ESB|MQM|
MQM|BGI,|BGI|YYZ|VIE|ESB|MQM|
MQM|BNA,|BNA|YYZ|VIE|ESB|MQM|
MQM|BOG,|BOG|JFK|VIE|ESB|MQM|
MQM|BWI,|BWI|EWR|FRA|ESB|MQM|
MQM|CLE,|CLE|YYZ|VIE|ESB|MQM|
MQM|CLT,|CLT|EWR|FRA|ESB|MQM|
MQM|CMH,|CMH|YYZ|VIE|ESB|MQM|
MQM|CVG,|CVG|YYZ|VIE|ESB|MQM|
MQM|DFW,|DFW|ORD|VIE|ESB|MQM|
MQM|DTW,|DTW|YYZ|VIE|ESB|MQM|
MQM|DUB,|DUB|IST|MQM|
MQM|FCO,|FCO|IST|MQM|
MQM|GCM,|GCM|EWR|FRA|ESB|MQM|
MQM|GGT,|GGT|FLL|MCO|FRA|ESB|MQM|
MQM|GND,|GND|YYZ|VIE|ESB|MQM|
MQM|GRU,|GRU|IST|MQM|
MQM|HAV,|HAV|YYZ|VIE|ESB|MQM|
MQM|IND,|IND|YYZ|VIE|ESB|MQM|
MQM|JFK,|JFK|VIE|ESB|MQM|
MQM|KIN,|KIN|YYZ|VIE|ESB|MQM|
MQM|LIM,|LIM|MIA|FRA|ESB|MQM|
MQM|LIR,|LIR|EWR|FRA|ESB|MQM|
MQM|MCI,|MCI|ORD|VIE|ESB|MQM|
MQM|MDT,|MDT|IAD|VIE|ESB|MQM|
MQM|MIA,|MIA|FRA|ESB|MQM|
MQM|MKE,|MKE|YYZ|VIE|ESB|MQM|
MQM|MSP,|MSP|YUL|FRA|ESB|MQM|
MQM|NAS,|NAS|EWR|FRA|ESB|MQM|
MQM|PHL,|PHL|IAD|VIE|ESB|MQM|
MQM|PHX,|PHX|DEN|FRA|ESB|MQM|
MQM|PIT,|PIT|YYZ|VIE|ESB|MQM|
MQM|PLS,|PLS|EWR|FRA|ESB|MQM|
MQM|POP,|POP|EWR|FRA|ESB|MQM|
MQM|RDU,|RDU|EWR|FRA|ESB|MQM|
MQM|ROC,|ROC|YYZ|VIE|ESB|MQM|
MQM|RSW,|RSW|MCO|FRA|ESB|MQM|
MQM|SAN,|SAN|LAX|IST|MQM|
MQM|SJO,|SJO|EWR|FRA|ESB|MQM|
MQM|STL,|STL|ORD|VIE|ESB|MQM|
MQM|SYR,|SYR|EWR|FRA|ESB|MQM|
MQM|TLV,|TLV|SAW|MQM|
MQM|TPA,|TPA|EWR|FRA|ESB|MQM|
MQM|UVF,|UVF|EWR|FRA|ESB|MQM|
MQM|VIE,|VIE|ESB|MQM|
MQM|YAM,|YAM|YYZ|VIE|ESB|MQM|
MQM|YGK,|YGK|YYZ|VIE|ESB|MQM|
MQM|YQG,|YQG|YYZ|VIE|ESB|MQM|
MQM|YSB,|YSB|YYZ|VIE|ESB|MQM|
MQM|YTS,|YTS|YYZ|VIE|ESB|MQM|
MQM|YYB,|YYB|YYZ|VIE|ESB|MQM|
MQM|YZR,|YZR|YYZ|VIE|ESB|MQM|
MQM|CAN,|CAN|IST|MQM|
MQM|URC,|URC|TBS|SAW|MQM|
MQM|CTU,|CTU|URC|TBS|SAW|MQM|
MQM|HGH,|HGH|URC|TBS|SAW|MQM|
MQM|XMN,|XMN|CSX|URC|TBS|SAW|MQM|
MQM|CGO,|CGO|URC|TBS|SAW|MQM|
MQM|CSX,|CSX|URC|TBS|SAW|MQM|
MQM|SHE,|SHE|PEK|IST|MQM|
MQM|SJW,|SJW|URC|TBS|SAW|MQM|
MQM|WUH,|WUH|URC|TBS|SAW|MQM|
MQM|SZX,|SZX|CKG|URC|TBS|SAW|MQM|
MQM|CKG,|CKG|URC|TBS|SAW|MQM|
MQM|KMG,|KMG|CTU|URC|TBS|SAW|MQM|
MQM|FOC,|FOC|XIY|URC|TBS|SAW|MQM|
MQM|NNG,|NNG|KWE|URC|TBS|SAW|MQM|
MQM|SWA,|SWA|CSX|URC|TBS|SAW|MQM|
MQM|ACX,|ACX|CAN|IST|MQM|
MQM|AQG,|AQG|CAN|IST|MQM|
MQM|AVA,|AVA|CAN|IST|MQM|
MQM|BFJ,|BFJ|CAN|IST|MQM|
MQM|BHY,|BHY|CKG|URC|TBS|SAW|MQM|
MQM|BNE,|BNE|BKK|IST|MQM|
MQM|CGD,|CGD|PEK|IST|MQM|
MQM|CGK,|CGK|SIN|IST|MQM|
MQM|CGQ,|CGQ|HET|URC|TBS|SAW|MQM|
MQM|CIH,|CIH|PEK|IST|MQM|
MQM|CNX,|CNX|CAN|IST|MQM|
MQM|CZX,|CZX|TYN|URC|TBS|SAW|MQM|
MQM|DAC,|DAC|IST|MQM|
MQM|DAD,|DAD|CAN|IST|MQM|
MQM|DEL,|DEL|IST|MQM|
MQM|DIG,|DIG|KMG|CTU|URC|TBS|SAW|MQM|
MQM|DLC,|DLC|PEK|IST|MQM|
MQM|DPS,|DPS|CAN|IST|MQM|
MQM|DXB,|DXB|IST|MQM|
MQM|DYG,|DYG|CSX|URC|TBS|SAW|MQM|
MQM|FUG,|FUG|CAN|IST|MQM|
MQM|FUK,|FUK|ICN|IST|MQM|
MQM|HAK,|HAK|CTU|URC|TBS|SAW|MQM|
MQM|HAN,|HAN|CAN|IST|MQM|
MQM|HDG,|HDG|CAN|IST|MQM|
MQM|HET,|HET|URC|TBS|SAW|MQM|
MQM|HFE,|HFE|XIY|URC|TBS|SAW|MQM|
MQM|HJJ,|HJJ|CSX|URC|TBS|SAW|MQM|
MQM|HKT,|HKT|KWE|URC|TBS|SAW|MQM|
MQM|HRB,|HRB|PEK|IST|MQM|
MQM|HZH,|HZH|CAN|IST|MQM|
MQM|JIU,|JIU|CAN|IST|MQM|
MQM|JJN,|JJN|CSX|URC|TBS|SAW|MQM|
MQM|JNG,|JNG|CAN|IST|MQM|
MQM|KHN,|KHN|XIY|URC|TBS|SAW|MQM|
MQM|KIX,|KIX|IST|MQM|
MQM|KOW,|KOW|CAN|IST|MQM|
MQM|KTM,|KTM|IST|MQM|
MQM|KUL,|KUL|IST|MQM|
MQM|KWE,|KWE|URC|TBS|SAW|MQM|
MQM|KWL,|KWL|CKG|URC|TBS|SAW|MQM|
MQM|LHW,|LHW|URC|TBS|SAW|MQM|
MQM|LYA,|LYA|KHN|XIY|URC|TBS|SAW|MQM|
MQM|LYG,|LYG|XUZ|INC|URC|TBS|SAW|MQM|
MQM|LZH,|LZH|CAN|IST|MQM|
MQM|MEL,|MEL|BKK|IST|MQM|
MQM|MIG,|MIG|CSX|URC|TBS|SAW|MQM|
MQM|MLE,|MLE|IST|MQM|
MQM|MNL,|MNL|CAN|IST|MQM|
MQM|MXZ,|MXZ|CAN|IST|MQM|
MQM|NAO,|NAO|PEK|IST|MQM|
MQM|NGB,|NGB|WUH|URC|TBS|SAW|MQM|
MQM|NKG,|NKG|URC|TBS|SAW|MQM|
MQM|NNY,|NNY|CGO|URC|TBS|SAW|MQM|
MQM|PEN,|PEN|CAN|IST|MQM|
MQM|PER,|PER|BKK|IST|MQM|
MQM|PNH,|PNH|CAN|IST|MQM|
MQM|REP,|REP|CAN|IST|MQM|
MQM|RGN,|RGN|CAN|IST|MQM|
MQM|SGN,|SGN|BKK|IST|MQM|
MQM|SHA,|SHA|URC|TBS|SAW|MQM|
MQM|SIN,|SIN|IST|MQM|
MQM|SVO,|SVO|URC|TBS|SAW|MQM|
MQM|SYX,|SYX|CKG|URC|TBS|SAW|MQM|
MQM|TAO,|TAO|TYN|URC|TBS|SAW|MQM|
MQM|TEN,|TEN|CAN|IST|MQM|
MQM|TNA,|TNA|URC|TBS|SAW|MQM|
MQM|TPE,|TPE|URC|TBS|SAW|MQM|
MQM|TSN,|TSN|HET|URC|TBS|SAW|MQM|
MQM|TXN,|TXN|TYN|URC|TBS|SAW|MQM|
MQM|TYN,|TYN|URC|TBS|SAW|MQM|
MQM|WNZ,|WNZ|XIY|URC|TBS|SAW|MQM|
MQM|WUX,|WUX|CAN|IST|MQM|
MQM|XFN,|XFN|CAN|IST|MQM|
MQM|XIY,|XIY|URC|TBS|SAW|MQM|
MQM|XUZ,|XUZ|INC|URC|TBS|SAW|MQM|
MQM|YIH,|YIH|CKG|URC|TBS|SAW|MQM|
MQM|YIW,|YIW|URC|TBS|SAW|MQM|
MQM|YNT,|YNT|SHE|PEK|IST|MQM|
MQM|YNZ,|YNZ|WUH|URC|TBS|SAW|MQM|
MQM|YTY,|YTY|CGO|URC|TBS|SAW|MQM|
MQM|ZHA,|ZHA|CAN|IST|MQM|
MQM|ZYI,|ZYI|CAN|IST|MQM|
MQM|BAV,|BAV|URC|TBS|SAW|MQM|
MQM|CJU,|CJU|DLC|PEK|IST|MQM|
MQM|DSN,|DSN|CGO|URC|TBS|SAW|MQM|
MQM|HMI,|HMI|URC|TBS|SAW|MQM|
MQM|INC,|INC|URC|TBS|SAW|MQM|
MQM|KHH,|KHH|WUH|URC|TBS|SAW|MQM|
MQM|UYN,|UYN|XIY|URC|TBS|SAW|MQM|
MQM|XNN,|XNN|URC|TBS|SAW|MQM|
MQM|ZUH,|ZUH|KWE|URC|TBS|SAW|MQM|
MQM|YNJ,|YNJ|PEK|IST|MQM|
MQM|DAT,|DAT|TYN|URC|TBS|SAW|MQM|
MQM|JHG,|JHG|KMG|CTU|URC|TBS|SAW|MQM|
MQM|LJG,|LJG|KMG|CTU|URC|TBS|SAW|MQM|
MQM|LXA,|LXA|CKG|URC|TBS|SAW|MQM|
MQM|YCU,|YCU|CKG|URC|TBS|SAW|MQM|
MQM|LZO,|LZO|CSX|URC|TBS|SAW|MQM|
MQM|MDG,|MDG|DLC|PEK|IST|MQM|
MQM|NGO,|NGO|ICN|IST|MQM|
MQM|TOY,|TOY|DLC|PEK|IST|MQM|
MQM|MFM,|MFM|XMN|CSX|URC|TBS|SAW|MQM|
MQM|TGO,|TGO|HET|URC|TBS|SAW|MQM|
MQM|XIL,|XIL|HET|URC|TBS|SAW|MQM|
MQM|HEK,|HEK|HRB|PEK|IST|MQM|
MQM|KIJ,|KIJ|HRB|PEK|IST|MQM|
MQM|LDS,|LDS|HRB|PEK|IST|MQM|
MQM|OHE,|OHE|HRB|PEK|IST|MQM|
MQM|HSN,|HSN|LYG|XUZ|INC|URC|TBS|SAW|MQM|
MQM|DLU,|DLU|KMG|CTU|URC|TBS|SAW|MQM|
MQM|SYM,|SYM|KMG|CTU|URC|TBS|SAW|MQM|
MQM|ZAT,|ZAT|KMG|CTU|URC|TBS|SAW|MQM|
MQM|LUN,|LUN|NBO|IST|MQM|
MQM|AOG,|AOG|PEK|IST|MQM|
MQM|GMP,|GMP|PEK|IST|MQM|
MQM|ISB,|ISB|IST|MQM|
MQM|TAS,|TAS|IST|MQM|
MQM|WUS,|WUS|PEK|IST|MQM|
MQM|JMU,|JMU|PVG|URC|TBS|SAW|MQM|
MQM|NDG,|NDG|PVG|URC|TBS|SAW|MQM|
MQM|JXA,|JXA|SHE|PEK|IST|MQM|
MQM|PUS,|PUS|SHE|PEK|IST|MQM|
MQM|BKI,|BKI|SZX|CKG|URC|TBS|SAW|MQM|
MQM|AKU,|AKU|URC|TBS|SAW|MQM|
MQM|ALA,|ALA|IST|MQM|
MQM|ASB,|ASB|IST|MQM|
MQM|DNH,|DNH|URC|TBS|SAW|MQM|
MQM|DYU,|DYU|IST|MQM|
MQM|FRU,|FRU|IST|MQM|
MQM|GYD,|GYD|IST|MQM|
MQM|HTN,|HTN|URC|TBS|SAW|MQM|
MQM|IKA,|IKA|SAW|MQM|
MQM|KCA,|KCA|URC|TBS|SAW|MQM|
MQM|KHG,|KHG|URC|TBS|SAW|MQM|
MQM|KRL,|KRL|URC|TBS|SAW|MQM|
MQM|KRY,|KRY|URC|TBS|SAW|MQM|
MQM|LBD,|LBD|URC|TBS|SAW|MQM|
MQM|NLT,|NLT|URC|TBS|SAW|MQM|
MQM|OSS,|OSS|IST|MQM|
MQM|OVB,|OVB|IST|MQM|
MQM|TBS,|TBS|SAW|MQM|
MQM|TCG,|TCG|URC|TBS|SAW|MQM|
MQM|TSE,|TSE|IST|MQM|
MQM|YIN,|YIN|URC|TBS|SAW|MQM|
MQM|ENH,|ENH|WUH|URC|TBS|SAW|MQM|
MQM|ENY,|ENY|XIY|URC|TBS|SAW|MQM|
MQM|WXN,|WXN|XIY|URC|TBS|SAW|MQM|
MQM|BLL,|BLL|IST|MQM|
MQM|ESB,|ESB|MQM|
MQM|SAW,|SAW|MQM|
MQM|HAM,|HAM|IST|MQM|
MQM|HRE,|HRE|ADD|IST|MQM|
MQM|JUB,|JUB|CAI|IST|MQM|
MQM|SSG,|SSG|DLA|IST|MQM|
MQM|BGW,|BGW|ESB|MQM|
MQM|EBL,|EBL|AYT|ESB|MQM|
MQM|VKO,|VKO|ESB|MQM|
MQM|MCT,|MCT|BAH|KWI|SAW|MQM|
MQM|AYT,|AYT|ESB|MQM|
MQM|SCQ,|SCQ|BIO|IST|MQM|
MQM|AAL,|AAL|IST|MQM|
MQM|AOE,|AOE|BRU|SAW|MQM|
MQM|JNB,|JNB|IST|MQM|
MQM|LBV,|LBV|DLA|IST|MQM|
MQM|ADA,|ADA|ESB|MQM|
MQM|ADB,|ADB|ESB|MQM|
MQM|ADF,|ADF|ESB|MQM|
MQM|AJI,|AJI|ESB|MQM|
MQM|BAL,|BAL|ESB|MQM|
MQM|BJV,|BJV|ESB|MQM|
MQM|CKZ,|CKZ|ESB|MQM|
MQM|DIY,|DIY|ESB|MQM|
MQM|ECN,|ECN|ESB|MQM|
MQM|ERC,|ERC|ESB|MQM|
MQM|ERZ,|ERZ|ESB|MQM|
MQM|EZS,|EZS|ESB|MQM|
MQM|GNY,|GNY|ESB|MQM|
MQM|GZP,|GZP|ESB|MQM|
MQM|GZT,|GZT|ESB|MQM|
MQM|HTY,|HTY|ESB|MQM|
MQM|KCM,|KCM|ESB|MQM|
MQM|KSY,|KSY|ESB|MQM|
MQM|MLX,|MLX|ESB|MQM|
MQM|MSR,|MSR|ESB|MQM|
MQM|TEQ,|TEQ|ESB|MQM|
MQM|TZX,|TZX|ESB|MQM|
MQM|VAN,|VAN|ESB|MQM|
MQM|ULN,|ULN|FRU|IST|MQM|
MQM|HIJ,|HIJ|ICN|IST|MQM|
MQM|VVO,|VVO|ICN|IST|MQM|
MQM|ACC,|ACC|IST|MQM|
MQM|AER,|AER|IST|MQM|
MQM|AGP,|AGP|IST|MQM|
MQM|ALG,|ALG|IST|MQM|
MQM|AMM,|AMM|IST|MQM|
MQM|AQJ,|AQJ|IST|MQM|
MQM|ARN,|ARN|IST|MQM|
MQM|ASR,|ASR|SAW|MQM|
MQM|ATH,|ATH|IST|MQM|
MQM|BAH,|BAH|KWI|SAW|MQM|
MQM|BEG,|BEG|IST|MQM|
MQM|BEN,|BEN|IST|MQM|
MQM|BEY,|BEY|IST|MQM|
MQM|BHX,|BHX|BRU|SAW|MQM|
MQM|BIO,|BIO|IST|MQM|
MQM|BLQ,|BLQ|IST|MQM|
MQM|BOM,|BOM|IST|MQM|
MQM|BRE,|BRE|IST|MQM|
MQM|BSL,|BSL|IST|MQM|
MQM|BSR,|BSR|IST|MQM|
MQM|BUD,|BUD|IST|MQM|
MQM|BUS,|BUS|IST|MQM|
MQM|CAI,|CAI|IST|MQM|
MQM|CGN,|CGN|IST|MQM|
MQM|CMN,|CMN|IST|MQM|
MQM|CND,|CND|IST|MQM|
MQM|DAR,|DAR|IST|MQM|
MQM|DLM,|DLM|IST|MQM|
MQM|DMM,|DMM|IST|MQM|
MQM|DNK,|DNK|IST|MQM|
MQM|DNZ,|DNZ|IST|MQM|
MQM|DOK,|DOK|IST|MQM|
MQM|DUS,|DUS|SAW|MQM|
MQM|EDI,|EDI|IST|MQM|
MQM|ELQ,|ELQ|IST|MQM|
MQM|FDH,|FDH|IST|MQM|
MQM|GOA,|GOA|IST|MQM|
MQM|GOT,|GOT|IST|MQM|
MQM|HAJ,|HAJ|IST|MQM|
MQM|HBE,|HBE|IST|MQM|
MQM|HEL,|HEL|IST|MQM|
MQM|HRG,|HRG|IST|MQM|
MQM|IFN,|IFN|IST|MQM|
MQM|ISE,|ISE|IST|MQM|
MQM|ISU,|ISU|IST|MQM|
MQM|JIB,|JIB|IST|MQM|
MQM|JRO,|JRO|IST|MQM|
MQM|KAN,|KAN|IST|MQM|
MQM|KBL,|KBL|IST|MQM|
MQM|KBP,|KBP|SAW|MQM|
MQM|KFS,|KFS|IST|MQM|
MQM|KHI,|KHI|IST|MQM|
MQM|KIV,|KIV|IST|MQM|
MQM|KRT,|KRT|IST|MQM|
MQM|KSH,|KSH|IST|MQM|
MQM|KVD,|KVD|IST|MQM|
MQM|KWI,|KWI|SAW|MQM|
MQM|KYA,|KYA|SAW|MQM|
MQM|KZN,|KZN|IST|MQM|
MQM|KZR,|KZR|IST|MQM|
MQM|LED,|LED|IST|MQM|
MQM|LEJ,|LEJ|IST|MQM|
MQM|LGW,|LGW|SAW|MQM|
MQM|LHE,|LHE|IST|MQM|
MQM|LIS,|LIS|IST|MQM|
MQM|LJU,|LJU|IST|MQM|
MQM|LOS,|LOS|IST|MQM|
MQM|LUX,|LUX|IST|MQM|
MQM|LWO,|LWO|IST|MQM|
MQM|LYS,|LYS|IST|MQM|
MQM|MAD,|MAD|IST|MQM|
MQM|MAN,|MAN|IST|MQM|
MQM|MED,|MED|IST|MQM|
MQM|MHD,|MHD|IST|MQM|
MQM|MLA,|MLA|SAW|MQM|
MQM|MRS,|MRS|IST|MQM|
MQM|MSQ,|MSQ|IST|MQM|
MQM|MXP,|MXP|SAW|MQM|
MQM|MZH,|MZH|IST|MQM|
MQM|MZR,|MZR|IST|MQM|
MQM|NAJ,|NAJ|IST|MQM|
MQM|NAV,|NAV|IST|MQM|
MQM|NCE,|NCE|IST|MQM|
MQM|NIM,|NIM|IST|MQM|
MQM|NJF,|NJF|IST|MQM|
MQM|NSI,|NSI|IST|MQM|
MQM|NUE,|NUE|IST|MQM|
MQM|ODS,|ODS|IST|MQM|
MQM|ORN,|ORN|IST|MQM|
MQM|OTP,|OTP|IST|MQM|
MQM|PRG,|PRG|IST|MQM|
MQM|PRN,|PRN|IST|MQM|
MQM|RIX,|RIX|IST|MQM|
MQM|ROV,|ROV|IST|MQM|
MQM|RTM,|RTM|IST|MQM|
MQM|RUH,|RUH|IST|MQM|
MQM|SAH,|SAH|IST|MQM|
MQM|SJJ,|SJJ|SAW|MQM|
MQM|SKG,|SKG|IST|MQM|
MQM|SKP,|SKP|IST|MQM|
MQM|SSH,|SSH|IST|MQM|
MQM|STR,|STR|IST|MQM|
MQM|SVX,|SVX|IST|MQM|
MQM|SYZ,|SYZ|IST|MQM|
MQM|SZG,|SZG|IST|MQM|
MQM|TBZ,|TBZ|IST|MQM|
MQM|TGD,|TGD|IST|MQM|
MQM|TIA,|TIA|IST|MQM|
MQM|TIF,|TIF|IST|MQM|
MQM|TIP,|TIP|IST|MQM|
MQM|TLL,|TLL|IST|MQM|
MQM|TLS,|TLS|IST|MQM|
MQM|TRN,|TRN|IST|MQM|
MQM|TUN,|TUN|IST|MQM|
MQM|TXL,|TXL|IST|MQM|
MQM|UFA,|UFA|IST|MQM|
MQM|VAS,|VAS|SAW|MQM|
MQM|VCE,|VCE|IST|MQM|
MQM|YNB,|YNB|IST|MQM|
MQM|ZAG,|ZAG|IST|MQM|
MQM|MGQ,|MGQ|JIB|IST|MQM|
MQM|CPT,|CPT|JNB|IST|MQM|
MQM|MBA,|MBA|JRO|IST|MQM|
MQM|NDJ,|NDJ|KAN|IST|MQM|
MQM|CMB,|CMB|MLE|IST|MQM|
MQM|ADE,|ADE|SAH|IST|MQM|
MQM|ASF,|ASF|SAW|MQM|
MQM|STW,|STW|SAW|MQM|
MQM|LFW,|LFW|ABJ|OUA|NIM|IST|MQM|
MQM|CEC,|CEC|ACV|SMF|SEA|FRA|ESB|MQM|
MQM|SMF,|SMF|SEA|FRA|ESB|MQM|
MQM|CDR,|CDR|AIA|DEN|FRA|ESB|MQM|
MQM|FMN,|FMN|DEN|FRA|ESB|MQM|
MQM|JST,|JST|IAD|VIE|ESB|MQM|
