GVA|IAD,|IAD|GVA|
GVA|IAH,|IAH|YUL|GVA|
GVA|ORD,|ORD|YUL|GVA|
GVA|SOF,|SOF|IST|GVA|
GVA|YQB,|YQB|YUL|GVA|
GVA|YXU,|YXU|YYZ|YUL|GVA|
GVA|EZE,|EZE|GRU|IST|GVA|
GVA|YYJ,|YYJ|YYC|YUL|GVA|
GVA|YYY,|YYY|YUL|GVA|
GVA|YQQ,|YQQ|YYC|YUL|GVA|
GVA|YYR,|YYR|YWK|YZV|YUL|GVA|
GVA|LHR,|LHR|IST|GVA|
GVA|SFO,|SFO|YUL|GVA|
GVA|YQU,|YQU|YEG|YUL|GVA|
GVA|YZF,|YZF|YEG|YUL|GVA|
GVA|YGR,|YGR|YGP|YQB|YUL|GVA|
GVA|YGP,|YGP|YQB|YUL|GVA|
GVA|BOS,|BOS|YUL|GVA|
GVA|YDF,|YDF|YHZ|YUL|GVA|
GVA|YFC,|YFC|YUL|GVA|
GVA|YQM,|YQM|YUL|GVA|
GVA|YQX,|YQX|YHZ|YUL|GVA|
GVA|YQY,|YQY|YHZ|YUL|GVA|
GVA|YSJ,|YSJ|YUL|GVA|
GVA|YYG,|YYG|YUL|GVA|
GVA|LAX,|LAX|YUL|GVA|
GVA|DCA,|DCA|EWR|GVA|
GVA|LGA,|LGA|YUL|GVA|
GVA|YZV,|YZV|YUL|GVA|
GVA|YWL,|YWL|YVR|YUL|GVA|
GVA|AZS,|AZS|YUL|GVA|
GVA|BDL,|BDL|YUL|GVA|
GVA|CCC,|CCC|YUL|GVA|
GVA|CDG,|CDG|IST|GVA|
GVA|CUN,|CUN|EWR|GVA|
GVA|CZM,|CZM|YUL|GVA|
GVA|FDF,|FDF|YUL|GVA|
GVA|FLL,|FLL|EWR|GVA|
GVA|HOG,|HOG|YUL|GVA|
GVA|LAS,|LAS|YUL|GVA|
GVA|MBJ,|MBJ|EWR|GVA|
GVA|MCO,|MCO|EWR|GVA|
GVA|MUC,|MUC|IST|GVA|
GVA|PAP,|PAP|YUL|GVA|
GVA|PTP,|PTP|YUL|GVA|
GVA|PUJ,|PUJ|EWR|GVA|
GVA|SNU,|SNU|YUL|GVA|
GVA|VRA,|VRA|YUL|GVA|
GVA|YBC,|YBC|YUL|GVA|
GVA|YBG,|YBG|YUL|GVA|
GVA|YTZ,|YTZ|YUL|GVA|
GVA|YUY,|YUY|YUL|GVA|
GVA|YVO,|YVO|YUL|GVA|
GVA|ZBF,|ZBF|YUL|GVA|
GVA|ZRH,|ZRH|IST|GVA|
GVA|ZSA,|ZSA|YUL|GVA|
GVA|AKL,|AKL|BKK|IST|GVA|
GVA|HKG,|HKG|IST|GVA|
GVA|HND,|HND|YVR|YUL|GVA|
GVA|HNL,|HNL|SFO|YUL|GVA|
GVA|MEX,|MEX|EWR|GVA|
GVA|OGG,|OGG|SFO|YUL|GVA|
GVA|PDX,|PDX|YYC|YUL|GVA|
GVA|PEK,|PEK|IST|GVA|
GVA|PVG,|PVG|IST|GVA|
GVA|PVR,|PVR|IAH|YUL|GVA|
GVA|SEA,|SEA|YYZ|YUL|GVA|
GVA|SYD,|SYD|BKK|IST|GVA|
GVA|YBL,|YBL|YVR|YUL|GVA|
GVA|YCD,|YCD|YVR|YUL|GVA|
GVA|YCG,|YCG|YYC|YUL|GVA|
GVA|YKA,|YKA|YYC|YUL|GVA|
GVA|YPR,|YPR|YVR|YUL|GVA|
GVA|YQZ,|YQZ|YVR|YUL|GVA|
GVA|YXC,|YXC|YYC|YUL|GVA|
GVA|YXJ,|YXJ|YYC|YUL|GVA|
GVA|YXS,|YXS|YYC|YUL|GVA|
GVA|YXT,|YXT|YVR|YUL|GVA|
GVA|YXY,|YXY|YVR|YUL|GVA|
GVA|YYD,|YYD|YVR|YUL|GVA|
GVA|YYF,|YYF|YVR|YUL|GVA|
GVA|YZP,|YZP|YVR|YUL|GVA|
GVA|YQT,|YQT|YYZ|YUL|GVA|
GVA|SJD,|SJD|ORD|YUL|GVA|
GVA|YQF,|YQF|YYC|YUL|GVA|
GVA|YQL,|YQL|YYC|YUL|GVA|
GVA|YXH,|YXH|YYC|YUL|GVA|
GVA|YWK,|YWK|YZV|YUL|GVA|
GVA|ANU,|ANU|EWR|GVA|
GVA|AUA,|AUA|EWR|GVA|
GVA|AUH,|AUH|IST|GVA|
GVA|BCN,|BCN|IST|GVA|
GVA|BDA,|BDA|EWR|GVA|
GVA|BGI,|BGI|YYZ|YUL|GVA|
GVA|BNA,|BNA|EWR|GVA|
GVA|BOG,|BOG|JFK|GVA|
GVA|BWI,|BWI|EWR|GVA|
GVA|CLE,|CLE|YYZ|YUL|GVA|
GVA|CLT,|CLT|EWR|GVA|
GVA|CMH,|CMH|YYZ|YUL|GVA|
GVA|CVG,|CVG|YYZ|YUL|GVA|
GVA|DFW,|DFW|YUL|GVA|
GVA|DTW,|DTW|YYZ|YUL|GVA|
GVA|DUB,|DUB|IST|GVA|
GVA|FCO,|FCO|IST|GVA|
GVA|GCM,|GCM|EWR|GVA|
GVA|GGT,|GGT|FLL|EWR|GVA|
GVA|GND,|GND|YYZ|YUL|GVA|
GVA|GRU,|GRU|IST|GVA|
GVA|HAV,|HAV|YYZ|YUL|GVA|
GVA|IND,|IND|YYZ|YUL|GVA|
GVA|JFK,|JFK|GVA|
GVA|KIN,|KIN|YYZ|YUL|GVA|
GVA|LIM,|LIM|EWR|GVA|
GVA|LIR,|LIR|EWR|GVA|
GVA|MCI,|MCI|ORD|YUL|GVA|
GVA|MDT,|MDT|IAD|GVA|
GVA|MIA,|MIA|EWR|GVA|
GVA|MKE,|MKE|YYZ|YUL|GVA|
GVA|MSP,|MSP|YUL|GVA|
GVA|NAS,|NAS|EWR|GVA|
GVA|PHL,|PHL|IAD|GVA|
GVA|PHX,|PHX|ORD|YUL|GVA|
GVA|PIT,|PIT|EWR|GVA|
GVA|PLS,|PLS|EWR|GVA|
GVA|POP,|POP|EWR|GVA|
GVA|RDU,|RDU|EWR|GVA|
GVA|ROC,|ROC|YYZ|YUL|GVA|
GVA|RSW,|RSW|EWR|GVA|
GVA|SAN,|SAN|DEN|YUL|GVA|
GVA|SJO,|SJO|EWR|GVA|
GVA|STL,|STL|YYZ|YUL|GVA|
GVA|SYR,|SYR|EWR|GVA|
GVA|TLV,|TLV|IST|GVA|
GVA|TPA,|TPA|EWR|GVA|
GVA|UVF,|UVF|EWR|GVA|
