TGO|YUY,|YUY|YUL|YYZ|PEK|DLC|HET|TGO|
TGO|YVO,|YVO|YUL|YYZ|PEK|DLC|HET|TGO|
TGO|ZBF,|ZBF|YUL|YYZ|PEK|DLC|HET|TGO|
TGO|ZRH,|ZRH|IST|URC|HET|TGO|
TGO|ZSA,|ZSA|YUL|YYZ|PEK|DLC|HET|TGO|
TGO|AKL,|AKL|CAN|HET|TGO|
TGO|HKG,|HKG|CAN|HET|TGO|
TGO|HND,|HND|HNL|NRT|DLC|HET|TGO|
TGO|HNL,|HNL|NRT|DLC|HET|TGO|
TGO|MEX,|MEX|SFO|ICN|DLC|HET|TGO|
TGO|OGG,|OGG|HNL|NRT|DLC|HET|TGO|
TGO|PDX,|PDX|SEA|ICN|DLC|HET|TGO|
TGO|PEK,|PEK|DLC|HET|TGO|
TGO|PVG,|PVG|TAO|HET|TGO|
TGO|PVR,|PVR|LAX|ICN|DLC|HET|TGO|
TGO|SEA,|SEA|ICN|DLC|HET|TGO|
TGO|SYD,|SYD|CAN|HET|TGO|
TGO|YBL,|YBL|YVR|ICN|DLC|HET|TGO|
TGO|YCD,|YCD|YVR|ICN|DLC|HET|TGO|
TGO|YCG,|YCG|YVR|ICN|DLC|HET|TGO|
TGO|YKA,|YKA|YVR|ICN|DLC|HET|TGO|
TGO|YPR,|YPR|YVR|ICN|DLC|HET|TGO|
TGO|YQZ,|YQZ|YVR|ICN|DLC|HET|TGO|
TGO|YXC,|YXC|YVR|ICN|DLC|HET|TGO|
TGO|YXJ,|YXJ|YVR|ICN|DLC|HET|TGO|
TGO|YXS,|YXS|YVR|ICN|DLC|HET|TGO|
TGO|YXT,|YXT|YVR|ICN|DLC|HET|TGO|
TGO|YXY,|YXY|YVR|ICN|DLC|HET|TGO|
TGO|YYD,|YYD|YVR|ICN|DLC|HET|TGO|
TGO|YYF,|YYF|YVR|ICN|DLC|HET|TGO|
TGO|YZP,|YZP|YVR|ICN|DLC|HET|TGO|
TGO|YQT,|YQT|YWG|YVR|ICN|DLC|HET|TGO|
TGO|SJD,|SJD|LAX|ICN|DLC|HET|TGO|
TGO|YQF,|YQF|YYC|YVR|ICN|DLC|HET|TGO|
TGO|YQL,|YQL|YYC|YVR|ICN|DLC|HET|TGO|
TGO|YXH,|YXH|YYC|YVR|ICN|DLC|HET|TGO|
TGO|YWK,|YWK|YZV|YQB|YYZ|PEK|DLC|HET|TGO|
TGO|ANU,|ANU|EWR|PEK|DLC|HET|TGO|
TGO|AUA,|AUA|EWR|PEK|DLC|HET|TGO|
TGO|AUH,|AUH|IST|URC|HET|TGO|
TGO|BCN,|BCN|IST|URC|HET|TGO|
TGO|BDA,|BDA|EWR|PEK|DLC|HET|TGO|
TGO|BGI,|BGI|YYZ|PEK|DLC|HET|TGO|
TGO|BNA,|BNA|ORD|PEK|DLC|HET|TGO|
TGO|BOG,|BOG|MIA|ORD|PEK|DLC|HET|TGO|
TGO|BWI,|BWI|YYZ|PEK|DLC|HET|TGO|
TGO|CLE,|CLE|YYZ|PEK|DLC|HET|TGO|
TGO|CLT,|CLT|YYZ|PEK|DLC|HET|TGO|
TGO|CMH,|CMH|ORD|PEK|DLC|HET|TGO|
TGO|CVG,|CVG|ORD|PEK|DLC|HET|TGO|
TGO|DFW,|DFW|YVR|ICN|DLC|HET|TGO|
TGO|DTW,|DTW|PEK|DLC|HET|TGO|
TGO|DUB,|DUB|IST|URC|HET|TGO|
TGO|FCO,|FCO|IST|URC|HET|TGO|
TGO|GCM,|GCM|IAH|YVR|ICN|DLC|HET|TGO|
TGO|GGT,|GGT|YYZ|PEK|DLC|HET|TGO|
TGO|GND,|GND|YYZ|PEK|DLC|HET|TGO|
TGO|GRU,|GRU|IST|URC|HET|TGO|
TGO|HAV,|HAV|YYZ|PEK|DLC|HET|TGO|
TGO|IND,|IND|ORD|PEK|DLC|HET|TGO|
TGO|JFK,|JFK|PEK|DLC|HET|TGO|
TGO|KIN,|KIN|YYZ|PEK|DLC|HET|TGO|
TGO|LIM,|LIM|IAH|YVR|ICN|DLC|HET|TGO|
TGO|LIR,|LIR|IAH|YVR|ICN|DLC|HET|TGO|
TGO|MCI,|MCI|DEN|YVR|ICN|DLC|HET|TGO|
TGO|MDT,|MDT|YYZ|PEK|DLC|HET|TGO|
TGO|MIA,|MIA|ORD|PEK|DLC|HET|TGO|
TGO|MKE,|MKE|ORD|PEK|DLC|HET|TGO|
TGO|MSP,|MSP|DEN|YVR|ICN|DLC|HET|TGO|
TGO|NAS,|NAS|YYZ|PEK|DLC|HET|TGO|
TGO|PHL,|PHL|YYZ|PEK|DLC|HET|TGO|
TGO|PHX,|PHX|SFO|ICN|DLC|HET|TGO|
TGO|PIT,|PIT|YYZ|PEK|DLC|HET|TGO|
TGO|PLS,|PLS|EWR|PEK|DLC|HET|TGO|
TGO|POP,|POP|EWR|PEK|DLC|HET|TGO|
TGO|RDU,|RDU|YYZ|PEK|DLC|HET|TGO|
TGO|ROC,|ROC|YYZ|PEK|DLC|HET|TGO|
TGO|RSW,|RSW|ORD|PEK|DLC|HET|TGO|
TGO|SAN,|SAN|LAX|ICN|DLC|HET|TGO|
TGO|SJO,|SJO|IAH|YVR|ICN|DLC|HET|TGO|
