YNJ|HNL,|HNL|NRT|CGQ|YNJ|
YNJ|MEX,|MEX|SFO|ICN|YNJ|
YNJ|OGG,|OGG|HNL|NRT|CGQ|YNJ|
YNJ|PDX,|PDX|SEA|ICN|YNJ|
YNJ|PEK,|PEK|YNJ|
YNJ|PVG,|PVG|YNJ|
YNJ|PVR,|PVR|LAX|ICN|YNJ|
YNJ|SEA,|SEA|ICN|YNJ|
YNJ|SYD,|SYD|ICN|YNJ|
YNJ|YBL,|YBL|YVR|ICN|YNJ|
YNJ|YCD,|YCD|YVR|ICN|YNJ|
YNJ|YCG,|YCG|YVR|ICN|YNJ|
YNJ|YKA,|YKA|YVR|ICN|YNJ|
YNJ|YPR,|YPR|YVR|ICN|YNJ|
YNJ|YQZ,|YQZ|YVR|ICN|YNJ|
YNJ|YXC,|YXC|YVR|ICN|YNJ|
YNJ|YXJ,|YXJ|YVR|ICN|YNJ|
YNJ|YXS,|YXS|YVR|ICN|YNJ|
YNJ|YXT,|YXT|YVR|ICN|YNJ|
YNJ|YXY,|YXY|YVR|ICN|YNJ|
YNJ|YYD,|YYD|YVR|ICN|YNJ|
YNJ|YYF,|YYF|YVR|ICN|YNJ|
YNJ|YZP,|YZP|YVR|ICN|YNJ|
YNJ|YQT,|YQT|YWG|YVR|ICN|YNJ|
YNJ|SJD,|SJD|LAX|ICN|YNJ|
YNJ|YQF,|YQF|YYC|YVR|ICN|YNJ|
YNJ|YQL,|YQL|YYC|YVR|ICN|YNJ|
YNJ|YXH,|YXH|YYC|YVR|ICN|YNJ|
YNJ|YWK,|YWK|YZV|YQB|YYZ|PEK|YNJ|
YNJ|ANU,|ANU|EWR|PEK|YNJ|
YNJ|AUA,|AUA|IAD|JFK|ICN|YNJ|
YNJ|AUH,|AUH|IST|PEK|YNJ|
YNJ|BCN,|BCN|IST|PEK|YNJ|
YNJ|BDA,|BDA|EWR|PEK|YNJ|
YNJ|BGI,|BGI|YYZ|PEK|YNJ|
YNJ|BNA,|BNA|DEN|YVR|ICN|YNJ|
YNJ|BOG,|BOG|IAH|YVR|ICN|YNJ|
YNJ|BWI,|BWI|YYZ|PEK|YNJ|
YNJ|CLE,|CLE|YYZ|PEK|YNJ|
YNJ|CLT,|CLT|YYZ|PEK|YNJ|
YNJ|CMH,|CMH|ORD|PEK|YNJ|
YNJ|CVG,|CVG|ORD|PEK|YNJ|
YNJ|DFW,|DFW|YVR|ICN|YNJ|
YNJ|DTW,|DTW|PEK|YNJ|
YNJ|DUB,|DUB|IST|PEK|YNJ|
YNJ|FCO,|FCO|IST|PEK|YNJ|
YNJ|GCM,|GCM|IAH|YVR|ICN|YNJ|
YNJ|GGT,|GGT|FLL|DEN|YVR|ICN|YNJ|
YNJ|GND,|GND|YYZ|PEK|YNJ|
YNJ|GRU,|GRU|IST|PEK|YNJ|
YNJ|HAV,|HAV|YYZ|PEK|YNJ|
YNJ|IND,|IND|ORD|PEK|YNJ|
YNJ|JFK,|JFK|ICN|YNJ|
YNJ|KIN,|KIN|YYZ|PEK|YNJ|
YNJ|LIM,|LIM|IAH|YVR|ICN|YNJ|
YNJ|LIR,|LIR|IAH|YVR|ICN|YNJ|
YNJ|MCI,|MCI|DEN|YVR|ICN|YNJ|
YNJ|MDT,|MDT|YYZ|PEK|YNJ|
YNJ|MIA,|MIA|DEN|YVR|ICN|YNJ|
YNJ|MKE,|MKE|SEA|ICN|YNJ|
YNJ|MSP,|MSP|DEN|YVR|ICN|YNJ|
YNJ|NAS,|NAS|ATL|DEN|YVR|ICN|YNJ|
YNJ|PHL,|PHL|YYZ|PEK|YNJ|
YNJ|PHX,|PHX|SFO|ICN|YNJ|
YNJ|PIT,|PIT|YYZ|PEK|YNJ|
YNJ|PLS,|PLS|EWR|PEK|YNJ|
YNJ|POP,|POP|EWR|PEK|YNJ|
YNJ|RDU,|RDU|IAD|JFK|ICN|YNJ|
YNJ|ROC,|ROC|YYZ|PEK|YNJ|
YNJ|RSW,|RSW|DEN|YVR|ICN|YNJ|
YNJ|SAN,|SAN|LAX|ICN|YNJ|
YNJ|SJO,|SJO|IAH|YVR|ICN|YNJ|
YNJ|STL,|STL|DEN|YVR|ICN|YNJ|
YNJ|SYR,|SYR|YYZ|PEK|YNJ|
YNJ|TLV,|TLV|IST|PEK|YNJ|
YNJ|TPA,|TPA|DEN|YVR|ICN|YNJ|
YNJ|UVF,|UVF|EWR|PEK|YNJ|
YNJ|VIE,|VIE|IST|PEK|YNJ|
YNJ|YAM,|YAM|YYZ|PEK|YNJ|
YNJ|YGK,|YGK|YYZ|PEK|YNJ|
YNJ|YQG,|YQG|YYZ|PEK|YNJ|
YNJ|YSB,|YSB|YYZ|PEK|YNJ|
YNJ|YTS,|YTS|YYZ|PEK|YNJ|
YNJ|YYB,|YYB|YYZ|PEK|YNJ|
YNJ|YZR,|YZR|YYZ|PEK|YNJ|
YNJ|CAN,|CAN|ICN|YNJ|
YNJ|URC,|URC|HET|CGQ|YNJ|
YNJ|CTU,|CTU|TNA|DLC|YNJ|
YNJ|HGH,|HGH|DLC|YNJ|
YNJ|XMN,|XMN|YNZ|DLC|YNJ|
YNJ|CGO,|CGO|DLC|YNJ|
YNJ|CSX,|CSX|DLC|YNJ|
YNJ|SHE,|SHE|ICN|YNJ|
YNJ|SJW,|SJW|DLC|YNJ|
YNJ|WUH,|WUH|DLC|YNJ|
YNJ|SZX,|SZX|PVG|YNJ|
YNJ|CKG,|CKG|CGO|DLC|YNJ|
YNJ|KMG,|KMG|CGO|DLC|YNJ|
YNJ|FOC,|FOC|HGH|DLC|YNJ|
YNJ|NNG,|NNG|WUH|DLC|YNJ|
YNJ|SWA,|SWA|NKG|DLC|YNJ|
YNJ|ACX,|ACX|CAN|ICN|YNJ|
YNJ|AQG,|AQG|CAN|ICN|YNJ|
YNJ|AVA,|AVA|CAN|ICN|YNJ|
YNJ|BFJ,|BFJ|CAN|ICN|YNJ|
YNJ|BHY,|BHY|CSX|DLC|YNJ|
YNJ|BNE,|BNE|CAN|ICN|YNJ|
YNJ|CGD,|CGD|PEK|YNJ|
YNJ|CGK,|CGK|CAN|ICN|YNJ|
YNJ|CGQ,|CGQ|YNJ|
YNJ|CIH,|CIH|PEK|YNJ|
YNJ|CNX,|CNX|CAN|ICN|YNJ|
YNJ|CZX,|CZX|SHE|ICN|YNJ|
YNJ|DAC,|DAC|CAN|ICN|YNJ|
YNJ|DAD,|DAD|CAN|ICN|YNJ|
YNJ|DEL,|DEL|CAN|ICN|YNJ|
YNJ|DIG,|DIG|KMG|CGO|DLC|YNJ|
YNJ|DLC,|DLC|YNJ|
YNJ|DPS,|DPS|SZX|PVG|YNJ|
YNJ|DXB,|DXB|CAN|ICN|YNJ|
YNJ|DYG,|DYG|PEK|YNJ|
YNJ|FUG,|FUG|CAN|ICN|YNJ|
YNJ|FUK,|FUK|ICN|YNJ|
