WAW|YYF,|YYF|YVR|YYZ|WAW|
WAW|YZP,|YZP|YVR|YYZ|WAW|
WAW|YQT,|YQT|YYZ|WAW|
WAW|SJD,|SJD|ORD|YYZ|WAW|
WAW|YQF,|YQF|YYC|YYZ|WAW|
WAW|YQL,|YQL|YYC|YYZ|WAW|
WAW|YXH,|YXH|YYC|YYZ|WAW|
WAW|YWK,|YWK|YZV|YQB|YYZ|WAW|
WAW|ANU,|ANU|EWR|OSL|CPH|WAW|
WAW|AUA,|AUA|EWR|OSL|CPH|WAW|
WAW|AUH,|AUH|IST|WAW|
WAW|BCN,|BCN|IST|WAW|
WAW|BDA,|BDA|EWR|OSL|CPH|WAW|
WAW|BGI,|BGI|YYZ|WAW|
WAW|BNA,|BNA|YYZ|WAW|
WAW|BOG,|BOG|EWR|OSL|CPH|WAW|
WAW|BWI,|BWI|EWR|OSL|CPH|WAW|
WAW|CLE,|CLE|YYZ|WAW|
WAW|CLT,|CLT|YYZ|WAW|
WAW|CMH,|CMH|YYZ|WAW|
WAW|CVG,|CVG|YYZ|WAW|
WAW|DFW,|DFW|YYZ|WAW|
WAW|DTW,|DTW|YYZ|WAW|
WAW|DUB,|DUB|IST|WAW|
WAW|FCO,|FCO|IST|WAW|
WAW|GCM,|GCM|EWR|OSL|CPH|WAW|
WAW|GGT,|GGT|YYZ|WAW|
WAW|GND,|GND|YYZ|WAW|
WAW|GRU,|GRU|IST|WAW|
WAW|HAV,|HAV|YYZ|WAW|
WAW|IND,|IND|YYZ|WAW|
WAW|JFK,|JFK|YYZ|WAW|
WAW|KIN,|KIN|YYZ|WAW|
WAW|LIM,|LIM|EWR|OSL|CPH|WAW|
WAW|LIR,|LIR|EWR|OSL|CPH|WAW|
WAW|MCI,|MCI|YYZ|WAW|
WAW|MDT,|MDT|YYZ|WAW|
WAW|MIA,|MIA|EWR|OSL|CPH|WAW|
WAW|MKE,|MKE|YYZ|WAW|
WAW|MSP,|MSP|YYZ|WAW|
WAW|NAS,|NAS|EWR|OSL|CPH|WAW|
WAW|PHL,|PHL|YYZ|WAW|
WAW|PHX,|PHX|YYZ|WAW|
WAW|PIT,|PIT|YYZ|WAW|
WAW|PLS,|PLS|EWR|OSL|CPH|WAW|
WAW|POP,|POP|EWR|OSL|CPH|WAW|
WAW|RDU,|RDU|EWR|OSL|CPH|WAW|
WAW|ROC,|ROC|YYZ|WAW|
WAW|RSW,|RSW|EWR|OSL|CPH|WAW|
WAW|SAN,|SAN|YYZ|WAW|
WAW|SJO,|SJO|EWR|OSL|CPH|WAW|
WAW|STL,|STL|YYZ|WAW|
WAW|SYR,|SYR|YYZ|WAW|
WAW|TLV,|TLV|IST|WAW|
WAW|TPA,|TPA|YYZ|WAW|
WAW|UVF,|UVF|EWR|OSL|CPH|WAW|
WAW|VIE,|VIE|IST|WAW|
WAW|YAM,|YAM|YYZ|WAW|
WAW|YGK,|YGK|YYZ|WAW|
WAW|YQG,|YQG|YYZ|WAW|
WAW|YSB,|YSB|YYZ|WAW|
WAW|YTS,|YTS|YYZ|WAW|
WAW|YYB,|YYB|YYZ|WAW|
WAW|YZR,|YZR|YYZ|WAW|
WAW|CAN,|CAN|IST|WAW|
WAW|URC,|URC|IST|WAW|
WAW|CTU,|CTU|URC|IST|WAW|
WAW|HGH,|HGH|URC|IST|WAW|
WAW|XMN,|XMN|CSX|URC|IST|WAW|
WAW|CGO,|CGO|URC|IST|WAW|
WAW|CSX,|CSX|URC|IST|WAW|
WAW|SHE,|SHE|PEK|IST|WAW|
WAW|SJW,|SJW|URC|IST|WAW|
WAW|WUH,|WUH|URC|IST|WAW|
WAW|SZX,|SZX|CKG|URC|IST|WAW|
WAW|CKG,|CKG|URC|IST|WAW|
WAW|KMG,|KMG|CTU|URC|IST|WAW|
WAW|FOC,|FOC|XIY|URC|IST|WAW|
WAW|NNG,|NNG|KWE|URC|IST|WAW|
WAW|SWA,|SWA|CAN|IST|WAW|
WAW|ACX,|ACX|CAN|IST|WAW|
WAW|AQG,|AQG|CAN|IST|WAW|
WAW|AVA,|AVA|CAN|IST|WAW|
WAW|BFJ,|BFJ|CAN|IST|WAW|
WAW|BHY,|BHY|CKG|URC|IST|WAW|
WAW|BNE,|BNE|BKK|IST|WAW|
WAW|CGD,|CGD|PEK|IST|WAW|
WAW|CGK,|CGK|SIN|IST|WAW|
WAW|CGQ,|CGQ|HET|URC|IST|WAW|
WAW|CIH,|CIH|PEK|IST|WAW|
WAW|CNX,|CNX|CAN|IST|WAW|
WAW|CZX,|CZX|TYN|URC|IST|WAW|
WAW|DAC,|DAC|IST|WAW|
WAW|DAD,|DAD|CAN|IST|WAW|
WAW|DEL,|DEL|IST|WAW|
WAW|DIG,|DIG|KMG|CTU|URC|IST|WAW|
WAW|DLC,|DLC|PEK|IST|WAW|
WAW|DPS,|DPS|CAN|IST|WAW|
WAW|DXB,|DXB|IST|WAW|
WAW|DYG,|DYG|CSX|URC|IST|WAW|
WAW|FUG,|FUG|CAN|IST|WAW|
WAW|FUK,|FUK|ICN|IST|WAW|
WAW|HAK,|HAK|CTU|URC|IST|WAW|
WAW|HAN,|HAN|CAN|IST|WAW|
WAW|HDG,|HDG|CAN|IST|WAW|
WAW|HET,|HET|URC|IST|WAW|
WAW|HFE,|HFE|XIY|URC|IST|WAW|
WAW|HJJ,|HJJ|CSX|URC|IST|WAW|
WAW|HKT,|HKT|KWE|URC|IST|WAW|
WAW|HRB,|HRB|PEK|IST|WAW|
WAW|HZH,|HZH|CAN|IST|WAW|
WAW|JIU,|JIU|CAN|IST|WAW|
WAW|JJN,|JJN|CSX|URC|IST|WAW|
WAW|JNG,|JNG|CAN|IST|WAW|
WAW|KHN,|KHN|XIY|URC|IST|WAW|
WAW|KIX,|KIX|IST|WAW|
WAW|KOW,|KOW|CAN|IST|WAW|
WAW|KTM,|KTM|IST|WAW|
WAW|KUL,|KUL|IST|WAW|
WAW|KWE,|KWE|URC|IST|WAW|
WAW|KWL,|KWL|CKG|URC|IST|WAW|
WAW|LHW,|LHW|URC|IST|WAW|
WAW|LYA,|LYA|KHN|XIY|URC|IST|WAW|
WAW|LYG,|LYG|XUZ|INC|URC|IST|WAW|
WAW|LZH,|LZH|CAN|IST|WAW|
WAW|MEL,|MEL|BKK|IST|WAW|
WAW|MIG,|MIG|CSX|URC|IST|WAW|
WAW|MLE,|MLE|IST|WAW|
WAW|MNL,|MNL|CAN|IST|WAW|
WAW|MXZ,|MXZ|CAN|IST|WAW|
WAW|NAO,|NAO|PEK|IST|WAW|
WAW|NGB,|NGB|WUH|URC|IST|WAW|
WAW|NKG,|NKG|URC|IST|WAW|
WAW|NNY,|NNY|CGO|URC|IST|WAW|
WAW|PEN,|PEN|CAN|IST|WAW|
WAW|PER,|PER|BKK|IST|WAW|
WAW|PNH,|PNH|CAN|IST|WAW|
WAW|REP,|REP|CAN|IST|WAW|
WAW|RGN,|RGN|CAN|IST|WAW|
WAW|SGN,|SGN|BKK|IST|WAW|
WAW|SHA,|SHA|URC|IST|WAW|
WAW|SIN,|SIN|IST|WAW|
WAW|SVO,|SVO|URC|IST|WAW|
WAW|SYX,|SYX|CKG|URC|IST|WAW|
WAW|TAO,|TAO|TYN|URC|IST|WAW|
WAW|TEN,|TEN|CAN|IST|WAW|
WAW|TNA,|TNA|URC|IST|WAW|
WAW|TPE,|TPE|URC|IST|WAW|
WAW|TSN,|TSN|HET|URC|IST|WAW|
WAW|TXN,|TXN|TYN|URC|IST|WAW|
WAW|TYN,|TYN|URC|IST|WAW|
WAW|WNZ,|WNZ|XIY|URC|IST|WAW|
WAW|WUX,|WUX|CAN|IST|WAW|
WAW|XFN,|XFN|CAN|IST|WAW|
WAW|XIY,|XIY|URC|IST|WAW|
WAW|XUZ,|XUZ|INC|URC|IST|WAW|
WAW|YIH,|YIH|CKG|URC|IST|WAW|
WAW|YIW,|YIW|URC|IST|WAW|
WAW|YNT,|YNT|SHE|PEK|IST|WAW|
WAW|YNZ,|YNZ|WUH|URC|IST|WAW|
WAW|YTY,|YTY|CGO|URC|IST|WAW|
WAW|ZHA,|ZHA|CAN|IST|WAW|
WAW|ZYI,|ZYI|CAN|IST|WAW|
WAW|BAV,|BAV|URC|IST|WAW|
WAW|CJU,|CJU|DLC|PEK|IST|WAW|
WAW|DSN,|DSN|CGO|URC|IST|WAW|
WAW|HMI,|HMI|URC|IST|WAW|
WAW|INC,|INC|URC|IST|WAW|
WAW|KHH,|KHH|WUH|URC|IST|WAW|
WAW|UYN,|UYN|XIY|URC|IST|WAW|
WAW|XNN,|XNN|URC|IST|WAW|
WAW|ZUH,|ZUH|KWE|URC|IST|WAW|
WAW|YNJ,|YNJ|PEK|IST|WAW|
WAW|DAT,|DAT|TYN|URC|IST|WAW|
WAW|JHG,|JHG|KMG|CTU|URC|IST|WAW|
WAW|LJG,|LJG|KMG|CTU|URC|IST|WAW|
WAW|LXA,|LXA|CKG|URC|IST|WAW|
WAW|YCU,|YCU|CKG|URC|IST|WAW|
WAW|LZO,|LZO|CSX|URC|IST|WAW|
WAW|MDG,|MDG|DLC|PEK|IST|WAW|
WAW|NGO,|NGO|ICN|IST|WAW|
WAW|TOY,|TOY|DLC|PEK|IST|WAW|
WAW|MFM,|MFM|XMN|CSX|URC|IST|WAW|
WAW|TGO,|TGO|HET|URC|IST|WAW|
WAW|XIL,|XIL|HET|URC|IST|WAW|
WAW|HEK,|HEK|HRB|PEK|IST|WAW|
WAW|KIJ,|KIJ|HRB|PEK|IST|WAW|
WAW|LDS,|LDS|HRB|PEK|IST|WAW|
WAW|OHE,|OHE|HRB|PEK|IST|WAW|
WAW|HSN,|HSN|LYG|XUZ|INC|URC|IST|WAW|
WAW|DLU,|DLU|KMG|CTU|URC|IST|WAW|
WAW|SYM,|SYM|KMG|CTU|URC|IST|WAW|
WAW|ZAT,|ZAT|KMG|CTU|URC|IST|WAW|
WAW|LUN,|LUN|NBO|IST|WAW|
WAW|AOG,|AOG|PEK|IST|WAW|
WAW|GMP,|GMP|PEK|IST|WAW|
WAW|ISB,|ISB|IST|WAW|
WAW|TAS,|TAS|IST|WAW|
WAW|WUS,|WUS|PEK|IST|WAW|
WAW|JMU,|JMU|PVG|IST|WAW|
WAW|NDG,|NDG|PVG|IST|WAW|
WAW|JXA,|JXA|SHE|PEK|IST|WAW|
WAW|PUS,|PUS|SHE|PEK|IST|WAW|
