CCS|YXJ,|YXJ|YYC|IAH|CCS|
CCS|YXS,|YXS|YYC|IAH|CCS|
CCS|YXT,|YXT|YVR|IAH|CCS|
CCS|YXY,|YXY|YVR|IAH|CCS|
CCS|YYD,|YYD|YVR|IAH|CCS|
CCS|YYF,|YYF|YVR|IAH|CCS|
CCS|YZP,|YZP|YVR|IAH|CCS|
CCS|YQT,|YQT|YYZ|IAH|CCS|
CCS|SJD,|SJD|IAH|CCS|
CCS|YQF,|YQF|YYC|IAH|CCS|
CCS|YQL,|YQL|YYC|IAH|CCS|
CCS|YXH,|YXH|YYC|IAH|CCS|
CCS|YWK,|YWK|YZV|YUL|IAH|CCS|
CCS|ANU,|ANU|EWR|IAH|CCS|
CCS|AUA,|AUA|ATL|IAH|CCS|
CCS|AUH,|AUH|YYZ|IAH|CCS|
CCS|BCN,|BCN|EWR|IAH|CCS|
CCS|BDA,|BDA|EWR|IAH|CCS|
CCS|BGI,|BGI|YYZ|IAH|CCS|
CCS|BNA,|BNA|IAH|CCS|
CCS|BOG,|BOG|IAH|CCS|
CCS|BWI,|BWI|IAH|CCS|
CCS|CLE,|CLE|IAH|CCS|
CCS|CLT,|CLT|IAH|CCS|
CCS|CMH,|CMH|IAH|CCS|
CCS|CVG,|CVG|IAH|CCS|
CCS|DFW,|DFW|IAH|CCS|
CCS|DTW,|DTW|IAH|CCS|
CCS|DUB,|DUB|YYZ|IAH|CCS|
CCS|FCO,|FCO|EWR|IAH|CCS|
CCS|GCM,|GCM|IAH|CCS|
CCS|GGT,|GGT|FLL|IAH|CCS|
CCS|GND,|GND|YYZ|IAH|CCS|
CCS|GRU,|GRU|IAH|CCS|
CCS|HAV,|HAV|YYZ|IAH|CCS|
CCS|IND,|IND|IAH|CCS|
CCS|JFK,|JFK|IAD|IAH|CCS|
CCS|KIN,|KIN|YYZ|IAH|CCS|
CCS|LIM,|LIM|IAH|CCS|
CCS|LIR,|LIR|IAH|CCS|
CCS|MCI,|MCI|IAH|CCS|
CCS|MDT,|MDT|IAD|IAH|CCS|
CCS|MIA,|MIA|IAH|CCS|
CCS|MKE,|MKE|IAH|CCS|
CCS|MSP,|MSP|IAH|CCS|
CCS|NAS,|NAS|IAH|CCS|
CCS|PHL,|PHL|IAH|CCS|
CCS|PHX,|PHX|IAH|CCS|
CCS|PIT,|PIT|IAH|CCS|
