BAH|YQZ,|YQZ|YVR|MUC|IST|BAH|
BAH|YXC,|YXC|YYC|FRA|IST|BAH|
BAH|YXJ,|YXJ|YYC|FRA|IST|BAH|
BAH|YXS,|YXS|YYC|FRA|IST|BAH|
BAH|YXT,|YXT|YVR|MUC|IST|BAH|
BAH|YXY,|YXY|YVR|MUC|IST|BAH|
BAH|YYD,|YYD|YVR|MUC|IST|BAH|
BAH|YYF,|YYF|YVR|MUC|IST|BAH|
BAH|YZP,|YZP|YVR|MUC|IST|BAH|
BAH|YQT,|YQT|YYZ|IST|BAH|
BAH|SJD,|SJD|ORD|IST|BAH|
BAH|YQF,|YQF|YYC|FRA|IST|BAH|
BAH|YQL,|YQL|YYC|FRA|IST|BAH|
BAH|YXH,|YXH|YYC|FRA|IST|BAH|
BAH|YWK,|YWK|YYR|YYT|LHR|IST|BAH|
BAH|ANU,|ANU|EWR|BHX|IST|BAH|
BAH|AUA,|AUA|EWR|BHX|IST|BAH|
BAH|AUH,|AUH|MCT|BAH|
BAH|BCN,|BCN|IST|BAH|
BAH|BDA,|BDA|EWR|BHX|IST|BAH|
BAH|BGI,|BGI|YYZ|IST|BAH|
BAH|BNA,|BNA|YYZ|IST|BAH|
BAH|BOG,|BOG|MIA|ZRH|IST|BAH|
BAH|BWI,|BWI|EWR|BHX|IST|BAH|
BAH|CLE,|CLE|YYZ|IST|BAH|
BAH|CLT,|CLT|IAD|KWI|BAH|
BAH|CMH,|CMH|YYZ|IST|BAH|
BAH|CVG,|CVG|YYZ|IST|BAH|
BAH|DFW,|DFW|ORD|IST|BAH|
BAH|DTW,|DTW|FRA|IST|BAH|
BAH|DUB,|DUB|IST|BAH|
BAH|FCO,|FCO|IST|BAH|
BAH|GCM,|GCM|EWR|BHX|IST|BAH|
BAH|GGT,|GGT|FLL|MCO|FRA|IST|BAH|
BAH|GND,|GND|YYZ|IST|BAH|
BAH|GRU,|GRU|IST|BAH|
BAH|HAV,|HAV|YYZ|IST|BAH|
BAH|IND,|IND|YYZ|IST|BAH|
BAH|JFK,|JFK|IST|BAH|
BAH|KIN,|KIN|YYZ|IST|BAH|
BAH|LIM,|LIM|MIA|ZRH|IST|BAH|
BAH|LIR,|LIR|EWR|BHX|IST|BAH|
BAH|MCI,|MCI|ORD|IST|BAH|
BAH|MDT,|MDT|IAD|KWI|BAH|
BAH|MIA,|MIA|ZRH|IST|BAH|
BAH|MKE,|MKE|YYZ|IST|BAH|
BAH|MSP,|MSP|YUL|FRA|IST|BAH|
BAH|NAS,|NAS|EWR|BHX|IST|BAH|
BAH|PHL,|PHL|IAD|KWI|BAH|
BAH|PHX,|PHX|DEN|FRA|IST|BAH|
BAH|PIT,|PIT|YYZ|IST|BAH|
BAH|PLS,|PLS|EWR|BHX|IST|BAH|
BAH|POP,|POP|EWR|BHX|IST|BAH|
BAH|RDU,|RDU|EWR|BHX|IST|BAH|
BAH|ROC,|ROC|YYZ|IST|BAH|
BAH|RSW,|RSW|MCO|FRA|IST|BAH|
BAH|SAN,|SAN|LAX|IST|BAH|
BAH|SJO,|SJO|EWR|BHX|IST|BAH|
BAH|STL,|STL|ORD|IST|BAH|
BAH|SYR,|SYR|EWR|BHX|IST|BAH|
BAH|TLV,|TLV|SAW|KWI|BAH|
BAH|TPA,|TPA|EWR|BHX|IST|BAH|
BAH|UVF,|UVF|EWR|BHX|IST|BAH|
BAH|VIE,|VIE|IST|BAH|
BAH|YAM,|YAM|YYZ|IST|BAH|
BAH|YGK,|YGK|YYZ|IST|BAH|
BAH|YQG,|YQG|YYZ|IST|BAH|
BAH|YSB,|YSB|YYZ|IST|BAH|
BAH|YTS,|YTS|YYZ|IST|BAH|
BAH|YYB,|YYB|YYZ|IST|BAH|
BAH|YZR,|YZR|YYZ|IST|BAH|
BAH|CAN,|CAN|IST|BAH|
BAH|URC,|URC|TBS|SAW|KWI|BAH|
BAH|CTU,|CTU|URC|TBS|SAW|KWI|BAH|
BAH|HGH,|HGH|URC|TBS|SAW|KWI|BAH|
BAH|XMN,|XMN|CSX|URC|TBS|SAW|KWI|BAH|
BAH|CGO,|CGO|URC|TBS|SAW|KWI|BAH|
BAH|CSX,|CSX|URC|TBS|SAW|KWI|BAH|
BAH|SHE,|SHE|PEK|IST|BAH|
BAH|SJW,|SJW|URC|TBS|SAW|KWI|BAH|
BAH|WUH,|WUH|URC|TBS|SAW|KWI|BAH|
BAH|SZX,|SZX|CKG|URC|TBS|SAW|KWI|BAH|
BAH|CKG,|CKG|URC|TBS|SAW|KWI|BAH|
BAH|KMG,|KMG|CTU|URC|TBS|SAW|KWI|BAH|
BAH|FOC,|FOC|XIY|URC|TBS|SAW|KWI|BAH|
BAH|NNG,|NNG|KWE|URC|TBS|SAW|KWI|BAH|
BAH|SWA,|SWA|CSX|URC|TBS|SAW|KWI|BAH|
BAH|ACX,|ACX|CAN|IST|BAH|
BAH|AQG,|AQG|CAN|IST|BAH|
BAH|AVA,|AVA|CAN|IST|BAH|
BAH|BFJ,|BFJ|CAN|IST|BAH|
BAH|BHY,|BHY|CKG|URC|TBS|SAW|KWI|BAH|
BAH|BNE,|BNE|BKK|IST|BAH|
BAH|CGD,|CGD|PEK|IST|BAH|
BAH|CGK,|CGK|SIN|IST|BAH|
BAH|CGQ,|CGQ|HET|URC|TBS|SAW|KWI|BAH|
BAH|CIH,|CIH|PEK|IST|BAH|
BAH|CNX,|CNX|CAN|IST|BAH|
BAH|CZX,|CZX|TYN|URC|TBS|SAW|KWI|BAH|
BAH|DAC,|DAC|IST|BAH|
BAH|DAD,|DAD|CAN|IST|BAH|
BAH|DEL,|DEL|IST|BAH|
BAH|DIG,|DIG|KMG|CTU|URC|TBS|SAW|KWI|BAH|
BAH|DLC,|DLC|PEK|IST|BAH|
BAH|DPS,|DPS|CAN|IST|BAH|
BAH|DXB,|DXB|IST|BAH|
BAH|DYG,|DYG|CSX|URC|TBS|SAW|KWI|BAH|
BAH|FUG,|FUG|CAN|IST|BAH|
BAH|FUK,|FUK|ICN|IST|BAH|
BAH|HAK,|HAK|CTU|URC|TBS|SAW|KWI|BAH|
BAH|HAN,|HAN|CAN|IST|BAH|
BAH|HDG,|HDG|CAN|IST|BAH|
BAH|HET,|HET|URC|TBS|SAW|KWI|BAH|
BAH|HFE,|HFE|XIY|URC|TBS|SAW|KWI|BAH|
BAH|HJJ,|HJJ|CSX|URC|TBS|SAW|KWI|BAH|
BAH|HKT,|HKT|KWE|URC|TBS|SAW|KWI|BAH|
BAH|HRB,|HRB|PEK|IST|BAH|
BAH|HZH,|HZH|CAN|IST|BAH|
BAH|JIU,|JIU|CAN|IST|BAH|
BAH|JJN,|JJN|CSX|URC|TBS|SAW|KWI|BAH|
BAH|JNG,|JNG|CAN|IST|BAH|
BAH|KHN,|KHN|XIY|URC|TBS|SAW|KWI|BAH|
BAH|KIX,|KIX|IST|BAH|
BAH|KOW,|KOW|CAN|IST|BAH|
BAH|KTM,|KTM|IST|BAH|
BAH|KUL,|KUL|IST|BAH|
BAH|KWE,|KWE|URC|TBS|SAW|KWI|BAH|
BAH|KWL,|KWL|CKG|URC|TBS|SAW|KWI|BAH|
BAH|LHW,|LHW|URC|TBS|SAW|KWI|BAH|
BAH|LYA,|LYA|KHN|XIY|URC|TBS|SAW|KWI|BAH|
BAH|LYG,|LYG|XUZ|INC|URC|TBS|SAW|KWI|BAH|
BAH|LZH,|LZH|CAN|IST|BAH|
BAH|MEL,|MEL|BKK|IST|BAH|
BAH|MIG,|MIG|CSX|URC|TBS|SAW|KWI|BAH|
BAH|MLE,|MLE|IST|BAH|
BAH|MNL,|MNL|CAN|IST|BAH|
BAH|MXZ,|MXZ|CAN|IST|BAH|
BAH|NAO,|NAO|PEK|IST|BAH|
BAH|NGB,|NGB|WUH|URC|TBS|SAW|KWI|BAH|
BAH|NKG,|NKG|URC|TBS|SAW|KWI|BAH|
BAH|NNY,|NNY|CGO|URC|TBS|SAW|KWI|BAH|
BAH|PEN,|PEN|CAN|IST|BAH|
BAH|PER,|PER|BKK|IST|BAH|
BAH|PNH,|PNH|CAN|IST|BAH|
BAH|REP,|REP|CAN|IST|BAH|
BAH|RGN,|RGN|CAN|IST|BAH|
BAH|SGN,|SGN|BKK|IST|BAH|
BAH|SHA,|SHA|URC|TBS|SAW|KWI|BAH|
BAH|SIN,|SIN|IST|BAH|
BAH|SVO,|SVO|URC|TBS|SAW|KWI|BAH|
BAH|SYX,|SYX|CKG|URC|TBS|SAW|KWI|BAH|
BAH|TAO,|TAO|TYN|URC|TBS|SAW|KWI|BAH|
