MNL|GRU,|GRU|IST|CAN|MNL|
MNL|HAV,|HAV|YYZ|PEK|XMN|MNL|
MNL|IND,|IND|ORD|PEK|XMN|MNL|
MNL|JFK,|JFK|PEK|XMN|MNL|
MNL|KIN,|KIN|YYZ|PEK|XMN|MNL|
MNL|LIM,|LIM|IAH|PEK|XMN|MNL|
MNL|LIR,|LIR|IAH|PEK|XMN|MNL|
MNL|MCI,|MCI|DEN|YVR|PEK|XMN|MNL|
MNL|MDT,|MDT|YYZ|PEK|XMN|MNL|
MNL|MIA,|MIA|ORD|PEK|XMN|MNL|
MNL|MKE,|MKE|ORD|PEK|XMN|MNL|
MNL|MSP,|MSP|ORD|PEK|XMN|MNL|
MNL|NAS,|NAS|YYZ|PEK|XMN|MNL|
MNL|PHL,|PHL|YYZ|PEK|XMN|MNL|
MNL|PHX,|PHX|SEA|PEK|XMN|MNL|
MNL|PIT,|PIT|YYZ|PEK|XMN|MNL|
MNL|PLS,|PLS|EWR|PEK|XMN|MNL|
MNL|POP,|POP|EWR|PEK|XMN|MNL|
MNL|RDU,|RDU|YYZ|PEK|XMN|MNL|
MNL|ROC,|ROC|YYZ|PEK|XMN|MNL|
MNL|RSW,|RSW|ORD|PEK|XMN|MNL|
MNL|SAN,|SAN|LAX|HNL|GUM|MNL|
MNL|SJO,|SJO|IAH|PEK|XMN|MNL|
MNL|STL,|STL|ORD|PEK|XMN|MNL|
MNL|SYR,|SYR|YYZ|PEK|XMN|MNL|
MNL|TLV,|TLV|IST|CAN|MNL|
MNL|TPA,|TPA|ORD|PEK|XMN|MNL|
MNL|UVF,|UVF|EWR|PEK|XMN|MNL|
MNL|VIE,|VIE|IST|CAN|MNL|
MNL|YAM,|YAM|YYZ|PEK|XMN|MNL|
MNL|YGK,|YGK|YYZ|PEK|XMN|MNL|
MNL|YQG,|YQG|YYZ|PEK|XMN|MNL|
MNL|YSB,|YSB|YYZ|PEK|XMN|MNL|
MNL|YTS,|YTS|YYZ|PEK|XMN|MNL|
MNL|YYB,|YYB|YYZ|PEK|XMN|MNL|
MNL|YZR,|YZR|YYZ|PEK|XMN|MNL|
MNL|CAN,|CAN|MNL|
MNL|URC,|URC|CAN|MNL|
MNL|CTU,|CTU|CAN|MNL|
MNL|HGH,|HGH|XMN|MNL|
MNL|XMN,|XMN|MNL|
MNL|CGO,|CGO|XMN|MNL|
MNL|CSX,|CSX|XMN|MNL|
MNL|SHE,|SHE|XMN|MNL|
MNL|SJW,|SJW|HGH|XMN|MNL|
MNL|WUH,|WUH|XMN|MNL|
MNL|SZX,|SZX|XMN|MNL|
MNL|CKG,|CKG|CAN|MNL|
MNL|KMG,|KMG|CAN|MNL|
MNL|FOC,|FOC|CAN|MNL|
MNL|NNG,|NNG|CAN|MNL|
MNL|SWA,|SWA|CAN|MNL|
MNL|ACX,|ACX|CAN|MNL|
MNL|AQG,|AQG|CAN|MNL|
MNL|AVA,|AVA|CAN|MNL|
MNL|BFJ,|BFJ|CAN|MNL|
MNL|BHY,|BHY|CAN|MNL|
MNL|BNE,|BNE|CAN|MNL|
MNL|CGD,|CGD|CAN|MNL|
MNL|CGK,|CGK|CAN|MNL|
MNL|CGQ,|CGQ|HGH|XMN|MNL|
MNL|CIH,|CIH|CAN|MNL|
MNL|CNX,|CNX|CAN|MNL|
MNL|CZX,|CZX|CAN|MNL|
MNL|DAC,|DAC|CAN|MNL|
MNL|DAD,|DAD|CAN|MNL|
MNL|DEL,|DEL|CAN|MNL|
MNL|DIG,|DIG|CAN|MNL|
MNL|DLC,|DLC|YNZ|XMN|MNL|
MNL|DPS,|DPS|CAN|MNL|
MNL|DXB,|DXB|CAN|MNL|
MNL|DYG,|DYG|CAN|MNL|
MNL|FUG,|FUG|CAN|MNL|
MNL|FUK,|FUK|CAN|MNL|
MNL|HAK,|HAK|CAN|MNL|
MNL|HAN,|HAN|CAN|MNL|
MNL|HDG,|HDG|CAN|MNL|
MNL|HET,|HET|NKG|XMN|MNL|
MNL|HFE,|HFE|XMN|MNL|
MNL|HJJ,|HJJ|CAN|MNL|
MNL|HKT,|HKT|CAN|MNL|
MNL|HRB,|HRB|YIW|XMN|MNL|
MNL|HZH,|HZH|CAN|MNL|
MNL|JIU,|JIU|CAN|MNL|
MNL|JJN,|JJN|CAN|MNL|
MNL|JNG,|JNG|CAN|MNL|
MNL|KHN,|KHN|XMN|MNL|
MNL|KIX,|KIX|CAN|MNL|
MNL|KOW,|KOW|CAN|MNL|
MNL|KTM,|KTM|CAN|MNL|
MNL|KUL,|KUL|CAN|MNL|
MNL|KWE,|KWE|CAN|MNL|
MNL|KWL,|KWL|CAN|MNL|
MNL|LHW,|LHW|CAN|MNL|
MNL|LYA,|LYA|KHN|XMN|MNL|
MNL|LYG,|LYG|HSN|XMN|MNL|
MNL|LZH,|LZH|CAN|MNL|
MNL|MEL,|MEL|CAN|MNL|
MNL|MIG,|MIG|CAN|MNL|
MNL|MLE,|MLE|CAN|MNL|
MNL|MXZ,|MXZ|CAN|MNL|
MNL|NAO,|NAO|CAN|MNL|
MNL|NGB,|NGB|XMN|MNL|
MNL|NKG,|NKG|XMN|MNL|
MNL|NNY,|NNY|CAN|MNL|
MNL|PEN,|PEN|CAN|MNL|
MNL|PER,|PER|CAN|MNL|
MNL|PNH,|PNH|CAN|MNL|
MNL|REP,|REP|CAN|MNL|
MNL|RGN,|RGN|CAN|MNL|
MNL|SGN,|SGN|CAN|MNL|
MNL|SHA,|SHA|XMN|MNL|
MNL|SIN,|SIN|CAN|MNL|
MNL|SVO,|SVO|CAN|MNL|
MNL|SYX,|SYX|CAN|MNL|
MNL|TAO,|TAO|XMN|MNL|
MNL|TEN,|TEN|CAN|MNL|
MNL|TNA,|TNA|XMN|MNL|
MNL|TPE,|TPE|CAN|MNL|
MNL|TSN,|TSN|XMN|MNL|
MNL|TXN,|TXN|XMN|MNL|
MNL|TYN,|TYN|XMN|MNL|
MNL|WNZ,|WNZ|CAN|MNL|
MNL|WUX,|WUX|CAN|MNL|
MNL|XFN,|XFN|XMN|MNL|
MNL|XIY,|XIY|XMN|MNL|
MNL|XUZ,|XUZ|CAN|MNL|
MNL|YIH,|YIH|XMN|MNL|
MNL|YIW,|YIW|XMN|MNL|
MNL|YNT,|YNT|CAN|MNL|
MNL|YNZ,|YNZ|XMN|MNL|
MNL|YTY,|YTY|CAN|MNL|
MNL|ZHA,|ZHA|CAN|MNL|
MNL|ZYI,|ZYI|CAN|MNL|
MNL|BAV,|BAV|CGO|XMN|MNL|
MNL|CJU,|CJU|CSX|XMN|MNL|
MNL|DSN,|DSN|CGO|XMN|MNL|
MNL|HMI,|HMI|CGO|XMN|MNL|
MNL|INC,|INC|WUH|XMN|MNL|
MNL|KHH,|KHH|WUH|XMN|MNL|
MNL|UYN,|UYN|CGO|XMN|MNL|
MNL|XNN,|XNN|CKG|CAN|MNL|
MNL|ZUH,|ZUH|XMN|MNL|
MNL|YNJ,|YNJ|DLC|YNZ|XMN|MNL|
MNL|DAT,|DAT|TYN|XMN|MNL|
MNL|JHG,|JHG|KMG|CAN|MNL|
MNL|LJG,|LJG|KMG|CAN|MNL|
MNL|LXA,|LXA|CKG|CAN|MNL|
MNL|YCU,|YCU|CSX|XMN|MNL|
MNL|LZO,|LZO|CSX|XMN|MNL|
MNL|MDG,|MDG|DLC|YNZ|XMN|MNL|
MNL|NGO,|NGO|PVG|CAN|MNL|
MNL|TOY,|TOY|DLC|YNZ|XMN|MNL|
MNL|MFM,|MFM|XMN|MNL|
MNL|TGO,|TGO|HET|NKG|XMN|MNL|
MNL|XIL,|XIL|HET|NKG|XMN|MNL|
MNL|HEK,|HEK|HRB|YIW|XMN|MNL|
MNL|KIJ,|KIJ|HRB|YIW|XMN|MNL|
MNL|LDS,|LDS|HRB|YIW|XMN|MNL|
MNL|OHE,|OHE|HRB|YIW|XMN|MNL|
MNL|HSN,|HSN|XMN|MNL|
MNL|DLU,|DLU|KMG|CAN|MNL|
MNL|SYM,|SYM|KMG|CAN|MNL|
MNL|ZAT,|ZAT|KMG|CAN|MNL|
MNL|LUN,|LUN|NBO|CAN|MNL|
MNL|AOG,|AOG|PEK|XMN|MNL|
MNL|GMP,|GMP|PEK|XMN|MNL|
MNL|ISB,|ISB|URC|CAN|MNL|
MNL|TAS,|TAS|URC|CAN|MNL|
MNL|WUS,|WUS|PEK|XMN|MNL|
MNL|JMU,|JMU|PVG|CAN|MNL|
MNL|NDG,|NDG|PVG|CAN|MNL|
MNL|JXA,|JXA|SHE|XMN|MNL|
MNL|PUS,|PUS|SHE|XMN|MNL|
MNL|BKI,|BKI|SZX|XMN|MNL|
MNL|AKU,|AKU|URC|CAN|MNL|
MNL|ALA,|ALA|URC|CAN|MNL|
MNL|ASB,|ASB|URC|CAN|MNL|
MNL|DNH,|DNH|XIY|XMN|MNL|
MNL|DYU,|DYU|URC|CAN|MNL|
MNL|FRU,|FRU|URC|CAN|MNL|
MNL|GYD,|GYD|URC|CAN|MNL|
MNL|HTN,|HTN|URC|CAN|MNL|
MNL|IKA,|IKA|URC|CAN|MNL|
MNL|KCA,|KCA|URC|CAN|MNL|
MNL|KHG,|KHG|URC|CAN|MNL|
MNL|KRL,|KRL|URC|CAN|MNL|
MNL|KRY,|KRY|URC|CAN|MNL|
MNL|LBD,|LBD|URC|CAN|MNL|
MNL|NLT,|NLT|URC|CAN|MNL|
MNL|OSS,|OSS|URC|CAN|MNL|
MNL|OVB,|OVB|URC|CAN|MNL|
MNL|TBS,|TBS|URC|CAN|MNL|
MNL|TCG,|TCG|URC|CAN|MNL|
MNL|TSE,|TSE|URC|CAN|MNL|
MNL|YIN,|YIN|URC|CAN|MNL|
MNL|ENH,|ENH|WUH|XMN|MNL|
MNL|ENY,|ENY|XIY|XMN|MNL|
MNL|WXN,|WXN|XMN|MNL|
MNL|BLL,|BLL|IST|CAN|MNL|
MNL|ESB,|ESB|IST|CAN|MNL|
MNL|SAW,|SAW|TBS|URC|CAN|MNL|
MNL|HAM,|HAM|IST|CAN|MNL|
MNL|HRE,|HRE|ADD|IST|CAN|MNL|
MNL|JUB,|JUB|CAI|IST|CAN|MNL|
MNL|SSG,|SSG|DLA|IST|CAN|MNL|
MNL|BGW,|BGW|IST|CAN|MNL|
MNL|EBL,|EBL|IST|CAN|MNL|
MNL|VKO,|VKO|IST|CAN|MNL|
MNL|MCT,|MCT|IST|CAN|MNL|
MNL|AYT,|AYT|IST|CAN|MNL|
MNL|SCQ,|SCQ|BIO|IST|CAN|MNL|
MNL|AAL,|AAL|IST|CAN|MNL|
MNL|AOE,|AOE|BRU|DEL|CAN|MNL|
MNL|JNB,|JNB|IST|CAN|MNL|
MNL|LBV,|LBV|DLA|IST|CAN|MNL|
MNL|ADA,|ADA|IST|CAN|MNL|
MNL|ADB,|ADB|IST|CAN|MNL|
MNL|ADF,|ADF|IST|CAN|MNL|
MNL|AJI,|AJI|IST|CAN|MNL|
MNL|BAL,|BAL|IST|CAN|MNL|
MNL|BJV,|BJV|IST|CAN|MNL|
MNL|CKZ,|CKZ|ESB|IST|CAN|MNL|
MNL|DIY,|DIY|IST|CAN|MNL|
MNL|ECN,|ECN|IST|CAN|MNL|
MNL|ERC,|ERC|IST|CAN|MNL|
MNL|ERZ,|ERZ|IST|CAN|MNL|
MNL|EZS,|EZS|IST|CAN|MNL|
MNL|GNY,|GNY|IST|CAN|MNL|
MNL|GZP,|GZP|ESB|IST|CAN|MNL|
MNL|GZT,|GZT|IST|CAN|MNL|
MNL|HTY,|HTY|IST|CAN|MNL|
MNL|KCM,|KCM|IST|CAN|MNL|
MNL|KSY,|KSY|IST|CAN|MNL|
MNL|MLX,|MLX|IST|CAN|MNL|
MNL|MQM,|MQM|IST|CAN|MNL|
MNL|MSR,|MSR|IST|CAN|MNL|
MNL|TEQ,|TEQ|ESB|IST|CAN|MNL|
MNL|TZX,|TZX|IST|CAN|MNL|
MNL|VAN,|VAN|IST|CAN|MNL|
MNL|ULN,|ULN|FRU|URC|CAN|MNL|
MNL|HIJ,|HIJ|ICN|DLC|YNZ|XMN|MNL|
MNL|VVO,|VVO|ICN|DLC|YNZ|XMN|MNL|
MNL|ACC,|ACC|IST|CAN|MNL|
MNL|AER,|AER|IST|CAN|MNL|
MNL|AGP,|AGP|IST|CAN|MNL|
MNL|ALG,|ALG|IST|CAN|MNL|
MNL|AMM,|AMM|IST|CAN|MNL|
MNL|AQJ,|AQJ|IST|CAN|MNL|
MNL|ARN,|ARN|IST|CAN|MNL|
MNL|ASR,|ASR|IST|CAN|MNL|
MNL|ATH,|ATH|IST|CAN|MNL|
MNL|BAH,|BAH|IST|CAN|MNL|
MNL|BEG,|BEG|IST|CAN|MNL|
MNL|BEN,|BEN|IST|CAN|MNL|
MNL|BEY,|BEY|IST|CAN|MNL|
MNL|BHX,|BHX|BRU|DEL|CAN|MNL|
MNL|BIO,|BIO|IST|CAN|MNL|
MNL|BLQ,|BLQ|IST|CAN|MNL|
MNL|BOM,|BOM|IST|CAN|MNL|
MNL|BRE,|BRE|IST|CAN|MNL|
MNL|BSL,|BSL|IST|CAN|MNL|
MNL|BSR,|BSR|IST|CAN|MNL|
MNL|BUD,|BUD|IST|CAN|MNL|
MNL|BUS,|BUS|IST|CAN|MNL|
MNL|CAI,|CAI|IST|CAN|MNL|
MNL|CGN,|CGN|IST|CAN|MNL|
MNL|CMN,|CMN|IST|CAN|MNL|
MNL|CND,|CND|IST|CAN|MNL|
MNL|DAR,|DAR|NBO|CAN|MNL|
MNL|DLM,|DLM|IST|CAN|MNL|
MNL|DMM,|DMM|IST|CAN|MNL|
MNL|DNK,|DNK|IST|CAN|MNL|
MNL|DNZ,|DNZ|IST|CAN|MNL|
MNL|DOK,|DOK|IST|CAN|MNL|
MNL|DUS,|DUS|IST|CAN|MNL|
MNL|EDI,|EDI|IST|CAN|MNL|
MNL|ELQ,|ELQ|IST|CAN|MNL|
MNL|FDH,|FDH|IST|CAN|MNL|
MNL|GOA,|GOA|IST|CAN|MNL|
MNL|GOT,|GOT|IST|CAN|MNL|
MNL|HAJ,|HAJ|IST|CAN|MNL|
