MEL|SYD,|SYD|MEL|
MEL|YBL,|YBL|YVR|SYD|MEL|
MEL|YCD,|YCD|YVR|SYD|MEL|
MEL|YCG,|YCG|YVR|SYD|MEL|
MEL|YKA,|YKA|YVR|SYD|MEL|
MEL|YPR,|YPR|YVR|SYD|MEL|
MEL|YQZ,|YQZ|YVR|SYD|MEL|
MEL|YXC,|YXC|YVR|SYD|MEL|
MEL|YXJ,|YXJ|YVR|SYD|MEL|
MEL|YXS,|YXS|YVR|SYD|MEL|
MEL|YXT,|YXT|YVR|SYD|MEL|
MEL|YXY,|YXY|YVR|SYD|MEL|
MEL|YYD,|YYD|YVR|SYD|MEL|
MEL|YYF,|YYF|YVR|SYD|MEL|
MEL|YZP,|YZP|YVR|SYD|MEL|
MEL|YQT,|YQT|YWG|YVR|SYD|MEL|
MEL|SJD,|SJD|LAX|SYD|MEL|
MEL|YQF,|YQF|YYC|YVR|SYD|MEL|
MEL|YQL,|YQL|YYC|YVR|SYD|MEL|
MEL|YXH,|YXH|YYC|YVR|SYD|MEL|
MEL|YWK,|YWK|YZV|YUL|SFO|SYD|MEL|
MEL|ANU,|ANU|EWR|LAX|SYD|MEL|
MEL|AUA,|AUA|ATL|LAX|SYD|MEL|
MEL|AUH,|AUH|IST|BKK|MEL|
MEL|BCN,|BCN|IST|BKK|MEL|
MEL|BDA,|BDA|EWR|LAX|SYD|MEL|
MEL|BGI,|BGI|YYZ|LAX|SYD|MEL|
MEL|BNA,|BNA|LAX|SYD|MEL|
MEL|BOG,|BOG|IAH|LAX|SYD|MEL|
MEL|BWI,|BWI|LAX|SYD|MEL|
MEL|CLE,|CLE|LAX|SYD|MEL|
MEL|CLT,|CLT|IAH|LAX|SYD|MEL|
MEL|CMH,|CMH|STL|LAX|SYD|MEL|
MEL|CVG,|CVG|DEN|LAX|SYD|MEL|
MEL|DFW,|DFW|LAX|SYD|MEL|
MEL|DTW,|DTW|MDW|LAX|SYD|MEL|
MEL|DUB,|DUB|IST|BKK|MEL|
MEL|FCO,|FCO|IST|BKK|MEL|
MEL|GCM,|GCM|IAH|LAX|SYD|MEL|
MEL|GGT,|GGT|FLL|PHX|LAX|SYD|MEL|
MEL|GND,|GND|YYZ|LAX|SYD|MEL|
MEL|GRU,|GRU|IAH|LAX|SYD|MEL|
MEL|HAV,|HAV|YYZ|LAX|SYD|MEL|
MEL|IND,|IND|MCI|LAX|SYD|MEL|
MEL|JFK,|JFK|LAX|SYD|MEL|
MEL|KIN,|KIN|YYZ|LAX|SYD|MEL|
MEL|LIM,|LIM|IAH|LAX|SYD|MEL|
MEL|LIR,|LIR|IAH|LAX|SYD|MEL|
MEL|MCI,|MCI|LAX|SYD|MEL|
MEL|MDT,|MDT|ORD|LAX|SYD|MEL|
MEL|MIA,|MIA|IAH|LAX|SYD|MEL|
MEL|MKE,|MKE|LAX|SYD|MEL|
MEL|MSP,|MSP|SFO|SYD|MEL|
MEL|NAS,|NAS|IAH|LAX|SYD|MEL|
MEL|PHL,|PHL|STL|LAX|SYD|MEL|
MEL|PHX,|PHX|LAX|SYD|MEL|
MEL|PIT,|PIT|LAX|SYD|MEL|
MEL|PLS,|PLS|YYZ|LAX|SYD|MEL|
MEL|POP,|POP|YYZ|LAX|SYD|MEL|
MEL|RDU,|RDU|BNA|LAX|SYD|MEL|
MEL|ROC,|ROC|ORD|LAX|SYD|MEL|
MEL|RSW,|RSW|IAH|LAX|SYD|MEL|
MEL|SAN,|SAN|LAX|SYD|MEL|
MEL|SJO,|SJO|IAH|LAX|SYD|MEL|
MEL|STL,|STL|LAX|SYD|MEL|
MEL|SYR,|SYR|ORD|LAX|SYD|MEL|
MEL|TLV,|TLV|IST|BKK|MEL|
MEL|TPA,|TPA|MSY|LAX|SYD|MEL|
MEL|UVF,|UVF|EWR|LAX|SYD|MEL|
MEL|VIE,|VIE|IST|BKK|MEL|
MEL|YAM,|YAM|YYZ|LAX|SYD|MEL|
MEL|YGK,|YGK|YYZ|LAX|SYD|MEL|
MEL|YQG,|YQG|YYC|YVR|SYD|MEL|
MEL|YSB,|YSB|YYZ|LAX|SYD|MEL|
MEL|YTS,|YTS|YYZ|LAX|SYD|MEL|
MEL|YYB,|YYB|YYZ|LAX|SYD|MEL|
MEL|YZR,|YZR|YYZ|LAX|SYD|MEL|
MEL|CAN,|CAN|MEL|
MEL|URC,|URC|CAN|MEL|
MEL|CTU,|CTU|CAN|MEL|
MEL|HGH,|HGH|CAN|MEL|
MEL|XMN,|XMN|CAN|MEL|
MEL|CGO,|CGO|CAN|MEL|
MEL|CSX,|CSX|CAN|MEL|
MEL|SHE,|SHE|ICN|SYD|MEL|
MEL|SJW,|SJW|CAN|MEL|
MEL|WUH,|WUH|CAN|MEL|
MEL|SZX,|SZX|MXZ|CAN|MEL|
MEL|CKG,|CKG|CAN|MEL|
MEL|KMG,|KMG|CAN|MEL|
MEL|FOC,|FOC|CAN|MEL|
MEL|NNG,|NNG|CAN|MEL|
MEL|SWA,|SWA|CAN|MEL|
MEL|ACX,|ACX|CAN|MEL|
MEL|AQG,|AQG|CAN|MEL|
MEL|AVA,|AVA|CAN|MEL|
MEL|BFJ,|BFJ|CAN|MEL|
MEL|BHY,|BHY|CAN|MEL|
MEL|BNE,|BNE|BKK|MEL|
MEL|CGD,|CGD|CAN|MEL|
MEL|CGK,|CGK|CAN|MEL|
MEL|CGQ,|CGQ|ICN|SYD|MEL|
MEL|CIH,|CIH|CAN|MEL|
MEL|CNX,|CNX|CAN|MEL|
MEL|CZX,|CZX|CAN|MEL|
MEL|DAC,|DAC|CAN|MEL|
MEL|DAD,|DAD|CAN|MEL|
