HKT|HKG,|HKG|CAN|HKT|
HKT|HND,|HND|HNL|NRT|CAN|HKT|
HKT|HNL,|HNL|NRT|CAN|HKT|
HKT|MEX,|MEX|YVR|PEK|KWE|HKT|
HKT|OGG,|OGG|HNL|NRT|CAN|HKT|
HKT|PDX,|PDX|SEA|PEK|KWE|HKT|
HKT|PEK,|PEK|KWE|HKT|
HKT|PVG,|PVG|CAN|HKT|
HKT|PVR,|PVR|LAX|CAN|HKT|
HKT|SEA,|SEA|PEK|KWE|HKT|
HKT|SYD,|SYD|CAN|HKT|
HKT|YBL,|YBL|YVR|PEK|KWE|HKT|
HKT|YCD,|YCD|YVR|PEK|KWE|HKT|
HKT|YCG,|YCG|YVR|PEK|KWE|HKT|
HKT|YKA,|YKA|YVR|PEK|KWE|HKT|
HKT|YPR,|YPR|YVR|PEK|KWE|HKT|
HKT|YQZ,|YQZ|YVR|PEK|KWE|HKT|
HKT|YXC,|YXC|YVR|PEK|KWE|HKT|
HKT|YXJ,|YXJ|YVR|PEK|KWE|HKT|
HKT|YXS,|YXS|YVR|PEK|KWE|HKT|
HKT|YXT,|YXT|YVR|PEK|KWE|HKT|
HKT|YXY,|YXY|YVR|PEK|KWE|HKT|
HKT|YYD,|YYD|YVR|PEK|KWE|HKT|
HKT|YYF,|YYF|YVR|PEK|KWE|HKT|
HKT|YZP,|YZP|YVR|PEK|KWE|HKT|
HKT|YQT,|YQT|YWG|YVR|PEK|KWE|HKT|
HKT|SJD,|SJD|LAX|CAN|HKT|
HKT|YQF,|YQF|YYC|YVR|PEK|KWE|HKT|
HKT|YQL,|YQL|YYC|YVR|PEK|KWE|HKT|
HKT|YXH,|YXH|YYC|YVR|PEK|KWE|HKT|
HKT|YWK,|YWK|YZV|YQB|YYZ|PEK|KWE|HKT|
HKT|ANU,|ANU|EWR|PEK|KWE|HKT|
HKT|AUA,|AUA|EWR|PEK|KWE|HKT|
HKT|AUH,|AUH|IST|URC|KWE|HKT|
HKT|BCN,|BCN|IST|URC|KWE|HKT|
HKT|BDA,|BDA|EWR|PEK|KWE|HKT|
HKT|BGI,|BGI|YYZ|PEK|KWE|HKT|
HKT|BNA,|BNA|ORD|PEK|KWE|HKT|
HKT|BOG,|BOG|MIA|ORD|PEK|KWE|HKT|
HKT|BWI,|BWI|YYZ|PEK|KWE|HKT|
HKT|CLE,|CLE|YYZ|PEK|KWE|HKT|
HKT|CLT,|CLT|YYZ|PEK|KWE|HKT|
HKT|CMH,|CMH|ORD|PEK|KWE|HKT|
HKT|CVG,|CVG|ORD|PEK|KWE|HKT|
HKT|DFW,|DFW|YVR|PEK|KWE|HKT|
HKT|DTW,|DTW|PEK|KWE|HKT|
HKT|DUB,|DUB|IST|URC|KWE|HKT|
HKT|FCO,|FCO|IST|URC|KWE|HKT|
HKT|GCM,|GCM|YYZ|PEK|KWE|HKT|
HKT|GGT,|GGT|YYZ|PEK|KWE|HKT|
HKT|GND,|GND|YYZ|PEK|KWE|HKT|
HKT|GRU,|GRU|IST|URC|KWE|HKT|
HKT|HAV,|HAV|YYZ|PEK|KWE|HKT|
HKT|IND,|IND|ORD|PEK|KWE|HKT|
HKT|JFK,|JFK|PEK|KWE|HKT|
HKT|KIN,|KIN|YYZ|PEK|KWE|HKT|
HKT|LIM,|LIM|IAH|PEK|KWE|HKT|
HKT|LIR,|LIR|IAH|PEK|KWE|HKT|
HKT|MCI,|MCI|DEN|YVR|PEK|KWE|HKT|
HKT|MDT,|MDT|YYZ|PEK|KWE|HKT|
HKT|MIA,|MIA|ORD|PEK|KWE|HKT|
HKT|MKE,|MKE|ORD|PEK|KWE|HKT|
HKT|MSP,|MSP|ORD|PEK|KWE|HKT|
HKT|NAS,|NAS|YYZ|PEK|KWE|HKT|
HKT|PHL,|PHL|YYZ|PEK|KWE|HKT|
HKT|PHX,|PHX|SEA|PEK|KWE|HKT|
HKT|PIT,|PIT|YYZ|PEK|KWE|HKT|
HKT|PLS,|PLS|EWR|PEK|KWE|HKT|
HKT|POP,|POP|EWR|PEK|KWE|HKT|
HKT|RDU,|RDU|YYZ|PEK|KWE|HKT|
HKT|ROC,|ROC|YYZ|PEK|KWE|HKT|
HKT|RSW,|RSW|ORD|PEK|KWE|HKT|
HKT|SAN,|SAN|LAX|CAN|HKT|
HKT|SJO,|SJO|IAH|PEK|KWE|HKT|
HKT|STL,|STL|ORD|PEK|KWE|HKT|
HKT|SYR,|SYR|YYZ|PEK|KWE|HKT|
HKT|TLV,|TLV|SAW|TBS|URC|KWE|HKT|
HKT|TPA,|TPA|ORD|PEK|KWE|HKT|
HKT|UVF,|UVF|EWR|PEK|KWE|HKT|
HKT|VIE,|VIE|IST|URC|KWE|HKT|
HKT|YAM,|YAM|YYZ|PEK|KWE|HKT|
HKT|YGK,|YGK|YYZ|PEK|KWE|HKT|
HKT|YQG,|YQG|YYZ|PEK|KWE|HKT|
HKT|YSB,|YSB|YYZ|PEK|KWE|HKT|
HKT|YTS,|YTS|YYZ|PEK|KWE|HKT|
HKT|YYB,|YYB|YYZ|PEK|KWE|HKT|
HKT|YZR,|YZR|YYZ|PEK|KWE|HKT|
HKT|CAN,|CAN|HKT|
HKT|URC,|URC|KWE|HKT|
HKT|CTU,|CTU|KWE|HKT|
HKT|HGH,|HGH|CAN|HKT|
HKT|XMN,|XMN|SZX|HKT|
HKT|CGO,|CGO|KWE|HKT|
HKT|CSX,|CSX|CAN|HKT|
HKT|SHE,|SHE|CGO|KWE|HKT|
HKT|SJW,|SJW|CAN|HKT|
HKT|WUH,|WUH|KWE|HKT|
HKT|SZX,|SZX|HKT|
HKT|CKG,|CKG|KWE|HKT|
HKT|KMG,|KMG|KWE|HKT|
HKT|FOC,|FOC|SZX|HKT|
HKT|NNG,|NNG|KWE|HKT|
HKT|SWA,|SWA|CAN|HKT|
HKT|ACX,|ACX|CAN|HKT|
HKT|AQG,|AQG|CAN|HKT|
HKT|AVA,|AVA|CAN|HKT|
HKT|BFJ,|BFJ|CAN|HKT|
HKT|BHY,|BHY|CAN|HKT|
HKT|BNE,|BNE|CAN|HKT|
HKT|CGD,|CGD|CAN|HKT|
HKT|CGK,|CGK|CAN|HKT|
HKT|CGQ,|CGQ|CGO|KWE|HKT|
HKT|CIH,|CIH|CAN|HKT|
HKT|CNX,|CNX|CAN|HKT|
HKT|CZX,|CZX|CAN|HKT|
HKT|DAC,|DAC|CAN|HKT|
HKT|DAD,|DAD|CAN|HKT|
HKT|DEL,|DEL|CAN|HKT|
HKT|DIG,|DIG|KMG|KWE|HKT|
HKT|DLC,|DLC|CGO|KWE|HKT|
HKT|DPS,|DPS|SZX|HKT|
HKT|DXB,|DXB|CAN|HKT|
HKT|DYG,|DYG|CAN|HKT|
HKT|FUG,|FUG|CAN|HKT|
HKT|FUK,|FUK|CAN|HKT|
HKT|HAK,|HAK|SZX|HKT|
HKT|HAN,|HAN|CAN|HKT|
HKT|HDG,|HDG|CAN|HKT|
HKT|HET,|HET|INC|XIY|KWE|HKT|
HKT|HFE,|HFE|CAN|HKT|
HKT|HJJ,|HJJ|CAN|HKT|
HKT|HRB,|HRB|CGO|KWE|HKT|
HKT|HZH,|HZH|CAN|HKT|
HKT|JIU,|JIU|CAN|HKT|
HKT|JJN,|JJN|SZX|HKT|
HKT|JNG,|JNG|CAN|HKT|
HKT|KHN,|KHN|CAN|HKT|
HKT|KIX,|KIX|CAN|HKT|
HKT|KOW,|KOW|CAN|HKT|
HKT|KTM,|KTM|CAN|HKT|
HKT|KUL,|KUL|CAN|HKT|
HKT|KWE,|KWE|HKT|
HKT|KWL,|KWL|CAN|HKT|
HKT|LHW,|LHW|KMG|KWE|HKT|
HKT|LYA,|LYA|CAN|HKT|
HKT|LYG,|LYG|CAN|HKT|
HKT|LZH,|LZH|CAN|HKT|
HKT|MEL,|MEL|CAN|HKT|
HKT|MIG,|MIG|CAN|HKT|
HKT|MLE,|MLE|CAN|HKT|
HKT|MNL,|MNL|CAN|HKT|
HKT|MXZ,|MXZ|SZX|HKT|
HKT|NAO,|NAO|CAN|HKT|
HKT|NGB,|NGB|CAN|HKT|
HKT|NKG,|NKG|CAN|HKT|
HKT|NNY,|NNY|CAN|HKT|
HKT|PEN,|PEN|CAN|HKT|
HKT|PER,|PER|CAN|HKT|
HKT|PNH,|PNH|CAN|HKT|
HKT|REP,|REP|CAN|HKT|
HKT|RGN,|RGN|CAN|HKT|
HKT|SGN,|SGN|CAN|HKT|
HKT|SHA,|SHA|CAN|HKT|
HKT|SIN,|SIN|CAN|HKT|
HKT|SVO,|SVO|URC|KWE|HKT|
HKT|SYX,|SYX|SZX|HKT|
HKT|TAO,|TAO|KWE|HKT|
HKT|TEN,|TEN|CAN|HKT|
HKT|TNA,|TNA|WUH|KWE|HKT|
HKT|TPE,|TPE|SZX|HKT|
HKT|TSN,|TSN|CKG|KWE|HKT|
HKT|TXN,|TXN|CAN|HKT|
HKT|TYN,|TYN|XIY|KWE|HKT|
HKT|WNZ,|WNZ|SZX|HKT|
HKT|WUX,|WUX|CAN|HKT|
HKT|XFN,|XFN|CAN|HKT|
HKT|XIY,|XIY|KWE|HKT|
HKT|XUZ,|XUZ|CAN|HKT|
HKT|YIH,|YIH|CKG|KWE|HKT|
HKT|YIW,|YIW|CAN|HKT|
HKT|YNT,|YNT|CAN|HKT|
HKT|YNZ,|YNZ|CAN|HKT|
HKT|YTY,|YTY|CAN|HKT|
HKT|ZHA,|ZHA|CAN|HKT|
HKT|ZYI,|ZYI|CAN|HKT|
HKT|BAV,|BAV|CTU|KWE|HKT|
HKT|CJU,|CJU|SZX|HKT|
HKT|DSN,|DSN|CGO|KWE|HKT|
HKT|HMI,|HMI|CGO|KWE|HKT|
HKT|INC,|INC|XIY|KWE|HKT|
HKT|KHH,|KHH|WUH|KWE|HKT|
HKT|UYN,|UYN|XIY|KWE|HKT|
HKT|XNN,|XNN|KWE|HKT|
HKT|ZUH,|ZUH|MXZ|SZX|HKT|
HKT|YNJ,|YNJ|DLC|CGO|KWE|HKT|
HKT|DAT,|DAT|TYN|XIY|KWE|HKT|
HKT|JHG,|JHG|KMG|KWE|HKT|
HKT|LJG,|LJG|KWE|HKT|
HKT|LXA,|LXA|CKG|KWE|HKT|
HKT|YCU,|YCU|CKG|KWE|HKT|
HKT|LZO,|LZO|SZX|HKT|
HKT|MDG,|MDG|DLC|CGO|KWE|HKT|
HKT|NGO,|NGO|PVG|CAN|HKT|
HKT|TOY,|TOY|DLC|CGO|KWE|HKT|
HKT|MFM,|MFM|XMN|SZX|HKT|
HKT|TGO,|TGO|HET|INC|XIY|KWE|HKT|
HKT|XIL,|XIL|HET|INC|XIY|KWE|HKT|
HKT|HEK,|HEK|HRB|CGO|KWE|HKT|
HKT|KIJ,|KIJ|HRB|CGO|KWE|HKT|
HKT|LDS,|LDS|HRB|CGO|KWE|HKT|
HKT|OHE,|OHE|HRB|CGO|KWE|HKT|
HKT|HSN,|HSN|SZX|HKT|
HKT|DLU,|DLU|KWE|HKT|
HKT|SYM,|SYM|KMG|KWE|HKT|
HKT|ZAT,|ZAT|KMG|KWE|HKT|
HKT|LUN,|LUN|NBO|CAN|HKT|
HKT|AOG,|AOG|PEK|KWE|HKT|
HKT|GMP,|GMP|PEK|KWE|HKT|
HKT|ISB,|ISB|URC|KWE|HKT|
HKT|TAS,|TAS|URC|KWE|HKT|
HKT|WUS,|WUS|PEK|KWE|HKT|
HKT|JMU,|JMU|PVG|CAN|HKT|
HKT|NDG,|NDG|PVG|CAN|HKT|
HKT|JXA,|JXA|SHE|CGO|KWE|HKT|
HKT|PUS,|PUS|SHE|CGO|KWE|HKT|
HKT|BKI,|BKI|SZX|HKT|
HKT|AKU,|AKU|URC|KWE|HKT|
HKT|ALA,|ALA|URC|KWE|HKT|
HKT|ASB,|ASB|URC|KWE|HKT|
HKT|DNH,|DNH|XIY|KWE|HKT|
HKT|DYU,|DYU|URC|KWE|HKT|
HKT|FRU,|FRU|URC|KWE|HKT|
HKT|GYD,|GYD|URC|KWE|HKT|
HKT|HTN,|HTN|URC|KWE|HKT|
HKT|IKA,|IKA|URC|KWE|HKT|
HKT|KCA,|KCA|URC|KWE|HKT|
HKT|KHG,|KHG|URC|KWE|HKT|
HKT|KRL,|KRL|URC|KWE|HKT|
HKT|KRY,|KRY|URC|KWE|HKT|
HKT|LBD,|LBD|URC|KWE|HKT|
HKT|NLT,|NLT|URC|KWE|HKT|
HKT|OSS,|OSS|URC|KWE|HKT|
HKT|OVB,|OVB|URC|KWE|HKT|
HKT|TBS,|TBS|URC|KWE|HKT|
HKT|TCG,|TCG|URC|KWE|HKT|
HKT|TSE,|TSE|URC|KWE|HKT|
HKT|YIN,|YIN|URC|KWE|HKT|
HKT|ENH,|ENH|WUH|KWE|HKT|
HKT|ENY,|ENY|XIY|KWE|HKT|
HKT|WXN,|WXN|XIY|KWE|HKT|
HKT|BLL,|BLL|IST|URC|KWE|HKT|
HKT|ESB,|ESB|SAW|TBS|URC|KWE|HKT|
HKT|SAW,|SAW|TBS|URC|KWE|HKT|
HKT|HAM,|HAM|IST|URC|KWE|HKT|
HKT|HRE,|HRE|ADD|IST|URC|KWE|HKT|
HKT|JUB,|JUB|CAI|IST|URC|KWE|HKT|
HKT|SSG,|SSG|DLA|IST|URC|KWE|HKT|
HKT|BGW,|BGW|ESB|SAW|TBS|URC|KWE|HKT|
HKT|EBL,|EBL|IST|URC|KWE|HKT|
HKT|VKO,|VKO|IST|URC|KWE|HKT|
HKT|MCT,|MCT|IST|URC|KWE|HKT|
HKT|AYT,|AYT|IST|URC|KWE|HKT|
HKT|SCQ,|SCQ|BIO|IST|URC|KWE|HKT|
HKT|AAL,|AAL|IST|URC|KWE|HKT|
HKT|AOE,|AOE|BRU|IST|URC|KWE|HKT|
HKT|JNB,|JNB|IST|URC|KWE|HKT|
HKT|LBV,|LBV|DLA|IST|URC|KWE|HKT|
HKT|ADA,|ADA|SAW|TBS|URC|KWE|HKT|
HKT|ADB,|ADB|IST|URC|KWE|HKT|
HKT|ADF,|ADF|ESB|SAW|TBS|URC|KWE|HKT|
HKT|AJI,|AJI|ESB|SAW|TBS|URC|KWE|HKT|
HKT|BAL,|BAL|ESB|SAW|TBS|URC|KWE|HKT|
HKT|BJV,|BJV|IST|URC|KWE|HKT|
HKT|CKZ,|CKZ|ESB|SAW|TBS|URC|KWE|HKT|
HKT|DIY,|DIY|SAW|TBS|URC|KWE|HKT|
HKT|ECN,|ECN|SAW|TBS|URC|KWE|HKT|
HKT|ERC,|ERC|ESB|SAW|TBS|URC|KWE|HKT|
HKT|ERZ,|ERZ|SAW|TBS|URC|KWE|HKT|
HKT|EZS,|EZS|SAW|TBS|URC|KWE|HKT|
HKT|GNY,|GNY|ESB|SAW|TBS|URC|KWE|HKT|
HKT|GZP,|GZP|ESB|SAW|TBS|URC|KWE|HKT|
HKT|GZT,|GZT|SAW|TBS|URC|KWE|HKT|
HKT|HTY,|HTY|SAW|TBS|URC|KWE|HKT|
HKT|KCM,|KCM|ESB|SAW|TBS|URC|KWE|HKT|
HKT|KSY,|KSY|SAW|TBS|URC|KWE|HKT|
HKT|MLX,|MLX|ESB|SAW|TBS|URC|KWE|HKT|
HKT|MQM,|MQM|SAW|TBS|URC|KWE|HKT|
