BFS|YQY,|YQY|YHZ|EWR|BFS|
BFS|YSJ,|YSJ|YUL|EWR|BFS|
BFS|YYG,|YYG|YHZ|EWR|BFS|
BFS|LAX,|LAX|EWR|BFS|
BFS|DCA,|DCA|EWR|BFS|
BFS|LGA,|LGA|IAD|EWR|BFS|
BFS|YZV,|YZV|YQB|EWR|BFS|
BFS|YWL,|YWL|YVR|EWR|BFS|
BFS|AZS,|AZS|YYZ|EWR|BFS|
BFS|BDL,|BDL|BWI|EWR|BFS|
BFS|CCC,|CCC|YYZ|EWR|BFS|
BFS|CDG,|CDG|EWR|BFS|
BFS|CUN,|CUN|EWR|BFS|
BFS|CZM,|CZM|YUL|EWR|BFS|
BFS|FDF,|FDF|YUL|EWR|BFS|
BFS|FLL,|FLL|EWR|BFS|
BFS|GVA,|GVA|EWR|BFS|
BFS|HOG,|HOG|YYZ|EWR|BFS|
BFS|LAS,|LAS|EWR|BFS|
BFS|MBJ,|MBJ|EWR|BFS|
BFS|MCO,|MCO|EWR|BFS|
BFS|MUC,|MUC|EWR|BFS|
BFS|PAP,|PAP|YUL|EWR|BFS|
BFS|PTP,|PTP|YUL|EWR|BFS|
BFS|PUJ,|PUJ|EWR|BFS|
BFS|SNU,|SNU|YYZ|EWR|BFS|
BFS|VRA,|VRA|YYZ|EWR|BFS|
BFS|YBC,|YBC|YUL|EWR|BFS|
BFS|YBG,|YBG|YUL|EWR|BFS|
BFS|YTZ,|YTZ|YUL|EWR|BFS|
BFS|YUY,|YUY|YUL|EWR|BFS|
BFS|YVO,|YVO|YUL|EWR|BFS|
BFS|ZBF,|ZBF|YUL|EWR|BFS|
BFS|ZRH,|ZRH|EWR|BFS|
BFS|ZSA,|ZSA|YUL|EWR|BFS|
BFS|AKL,|AKL|LAX|EWR|BFS|
BFS|HKG,|HKG|EWR|BFS|
BFS|HND,|HND|YVR|EWR|BFS|
BFS|HNL,|HNL|EWR|BFS|
BFS|MEX,|MEX|EWR|BFS|
BFS|OGG,|OGG|ORD|EWR|BFS|
BFS|PDX,|PDX|EWR|BFS|
BFS|PEK,|PEK|EWR|BFS|
BFS|PVG,|PVG|EWR|BFS|
