HTY|YCG,|YCG|YYC|FRA|SAW|HTY|
HTY|YKA,|YKA|YYC|FRA|SAW|HTY|
HTY|YPR,|YPR|YVR|MUC|SAW|HTY|
HTY|YQZ,|YQZ|YVR|MUC|SAW|HTY|
HTY|YXC,|YXC|YYC|FRA|SAW|HTY|
HTY|YXJ,|YXJ|YYC|FRA|SAW|HTY|
HTY|YXS,|YXS|YYC|FRA|SAW|HTY|
HTY|YXT,|YXT|YVR|MUC|SAW|HTY|
HTY|YXY,|YXY|YVR|MUC|SAW|HTY|
HTY|YYD,|YYD|YVR|MUC|SAW|HTY|
HTY|YYF,|YYF|YVR|MUC|SAW|HTY|
HTY|YZP,|YZP|YVR|MUC|SAW|HTY|
HTY|YQT,|YQT|YYZ|VIE|SAW|HTY|
HTY|SJD,|SJD|ORD|IST|HTY|
HTY|YQF,|YQF|YYC|FRA|SAW|HTY|
HTY|YQL,|YQL|YYC|FRA|SAW|HTY|
HTY|YXH,|YXH|YYC|FRA|SAW|HTY|
HTY|YWK,|YWK|YYR|YYT|LHR|IST|HTY|
HTY|ANU,|ANU|EWR|FRA|SAW|HTY|
HTY|AUA,|AUA|EWR|FRA|SAW|HTY|
HTY|AUH,|AUH|IST|HTY|
HTY|BCN,|BCN|IST|HTY|
HTY|BDA,|BDA|EWR|FRA|SAW|HTY|
HTY|BGI,|BGI|YYZ|VIE|SAW|HTY|
HTY|BNA,|BNA|YYZ|VIE|SAW|HTY|
HTY|BOG,|BOG|MIA|ZRH|IST|HTY|
HTY|BWI,|BWI|EWR|FRA|SAW|HTY|
HTY|CLE,|CLE|YYZ|VIE|SAW|HTY|
HTY|CLT,|CLT|EWR|FRA|SAW|HTY|
HTY|CMH,|CMH|YYZ|VIE|SAW|HTY|
HTY|CVG,|CVG|YYZ|VIE|SAW|HTY|
HTY|DFW,|DFW|ORD|IST|HTY|
HTY|DTW,|DTW|YYZ|VIE|SAW|HTY|
HTY|DUB,|DUB|IST|HTY|
HTY|FCO,|FCO|IST|HTY|
HTY|GCM,|GCM|EWR|FRA|SAW|HTY|
HTY|GGT,|GGT|FLL|MCO|FRA|SAW|HTY|
HTY|GND,|GND|YYZ|VIE|SAW|HTY|
HTY|GRU,|GRU|IST|HTY|
HTY|HAV,|HAV|YYZ|VIE|SAW|HTY|
HTY|IND,|IND|YYZ|VIE|SAW|HTY|
HTY|JFK,|JFK|FRA|SAW|HTY|
HTY|KIN,|KIN|YYZ|VIE|SAW|HTY|
HTY|LIM,|LIM|MIA|ZRH|IST|HTY|
HTY|LIR,|LIR|EWR|FRA|SAW|HTY|
HTY|MCI,|MCI|ORD|IST|HTY|
HTY|MDT,|MDT|IAD|FRA|SAW|HTY|
HTY|MIA,|MIA|ZRH|IST|HTY|
