AGP|YTZ,|YTZ|YUL|FRA|IST|AGP|
AGP|YUY,|YUY|YUL|FRA|IST|AGP|
AGP|YVO,|YVO|YUL|FRA|IST|AGP|
AGP|ZBF,|ZBF|YUL|FRA|IST|AGP|
AGP|ZRH,|ZRH|IST|AGP|
AGP|ZSA,|ZSA|YUL|FRA|IST|AGP|
AGP|AKL,|AKL|BKK|IST|AGP|
AGP|HKG,|HKG|IST|AGP|
AGP|HND,|HND|YVR|MUC|IST|AGP|
AGP|HNL,|HNL|YVR|MUC|IST|AGP|
AGP|MEX,|MEX|IAD|IST|AGP|
AGP|OGG,|OGG|YVR|MUC|IST|AGP|
AGP|PDX,|PDX|SEA|FRA|IST|AGP|
AGP|PEK,|PEK|IST|AGP|
AGP|PVG,|PVG|IST|AGP|
AGP|PVR,|PVR|ORD|IST|AGP|
AGP|SEA,|SEA|FRA|IST|AGP|
AGP|SYD,|SYD|BKK|IST|AGP|
AGP|YBL,|YBL|YVR|MUC|IST|AGP|
AGP|YCD,|YCD|YVR|MUC|IST|AGP|
AGP|YCG,|YCG|YYC|FRA|IST|AGP|
AGP|YKA,|YKA|YYC|FRA|IST|AGP|
AGP|YPR,|YPR|YVR|MUC|IST|AGP|
AGP|YQZ,|YQZ|YVR|MUC|IST|AGP|
AGP|YXC,|YXC|YYC|FRA|IST|AGP|
AGP|YXJ,|YXJ|YYC|FRA|IST|AGP|
AGP|YXS,|YXS|YYC|FRA|IST|AGP|
AGP|YXT,|YXT|YVR|MUC|IST|AGP|
AGP|YXY,|YXY|YVR|MUC|IST|AGP|
AGP|YYD,|YYD|YVR|MUC|IST|AGP|
AGP|YYF,|YYF|YVR|MUC|IST|AGP|
AGP|YZP,|YZP|YVR|MUC|IST|AGP|
AGP|YQT,|YQT|YYZ|IST|AGP|
AGP|SJD,|SJD|ORD|IST|AGP|
AGP|YQF,|YQF|YYC|FRA|IST|AGP|
AGP|YQL,|YQL|YYC|FRA|IST|AGP|
AGP|YXH,|YXH|YYC|FRA|IST|AGP|
AGP|YWK,|YWK|YYR|YYT|LHR|IST|AGP|
AGP|ANU,|ANU|EWR|BHX|IST|AGP|
AGP|AUA,|AUA|EWR|BHX|IST|AGP|
AGP|AUH,|AUH|IST|AGP|
AGP|BCN,|BCN|IST|AGP|
AGP|BDA,|BDA|EWR|BHX|IST|AGP|
AGP|BGI,|BGI|YYZ|IST|AGP|
AGP|BNA,|BNA|YYZ|IST|AGP|
AGP|BOG,|BOG|MIA|ZRH|IST|AGP|
AGP|BWI,|BWI|EWR|BHX|IST|AGP|
AGP|CLE,|CLE|YYZ|IST|AGP|
AGP|CLT,|CLT|EWR|BHX|IST|AGP|
AGP|CMH,|CMH|YYZ|IST|AGP|
AGP|CVG,|CVG|YYZ|IST|AGP|
AGP|DFW,|DFW|ORD|IST|AGP|
AGP|DTW,|DTW|FRA|IST|AGP|
AGP|DUB,|DUB|IST|AGP|
AGP|FCO,|FCO|IST|AGP|
AGP|GCM,|GCM|EWR|BHX|IST|AGP|
AGP|GGT,|GGT|FLL|MCO|FRA|IST|AGP|
