DIG|YQL,|YQL|YYC|YVR|PEK|KMG|DIG|
DIG|YXH,|YXH|YYC|YVR|PEK|KMG|DIG|
DIG|YWK,|YWK|YZV|YQB|YYZ|PEK|KMG|DIG|
DIG|ANU,|ANU|EWR|PEK|KMG|DIG|
DIG|AUA,|AUA|EWR|PEK|KMG|DIG|
DIG|AUH,|AUH|IST|URC|CTU|KMG|DIG|
DIG|BCN,|BCN|IST|URC|CTU|KMG|DIG|
DIG|BDA,|BDA|EWR|PEK|KMG|DIG|
DIG|BGI,|BGI|YYZ|PEK|KMG|DIG|
DIG|BNA,|BNA|ORD|PEK|KMG|DIG|
DIG|BOG,|BOG|MIA|ORD|PEK|KMG|DIG|
DIG|BWI,|BWI|YYZ|PEK|KMG|DIG|
DIG|CLE,|CLE|YYZ|PEK|KMG|DIG|
DIG|CLT,|CLT|YYZ|PEK|KMG|DIG|
DIG|CMH,|CMH|ORD|PEK|KMG|DIG|
DIG|CVG,|CVG|ORD|PEK|KMG|DIG|
DIG|DFW,|DFW|YVR|PEK|KMG|DIG|
DIG|DTW,|DTW|PEK|KMG|DIG|
DIG|DUB,|DUB|IST|URC|CTU|KMG|DIG|
DIG|FCO,|FCO|IST|URC|CTU|KMG|DIG|
DIG|GCM,|GCM|YYZ|PEK|KMG|DIG|
DIG|GGT,|GGT|YYZ|PEK|KMG|DIG|
DIG|GND,|GND|YYZ|PEK|KMG|DIG|
DIG|GRU,|GRU|IST|URC|CTU|KMG|DIG|
DIG|HAV,|HAV|YYZ|PEK|KMG|DIG|
DIG|IND,|IND|ORD|PEK|KMG|DIG|
DIG|JFK,|JFK|PEK|KMG|DIG|
DIG|KIN,|KIN|YYZ|PEK|KMG|DIG|
DIG|LIM,|LIM|IAH|PEK|KMG|DIG|
DIG|LIR,|LIR|IAH|PEK|KMG|DIG|
DIG|MCI,|MCI|DEN|YVR|PEK|KMG|DIG|
DIG|MDT,|MDT|YYZ|PEK|KMG|DIG|
DIG|MIA,|MIA|ORD|PEK|KMG|DIG|
DIG|MKE,|MKE|ORD|PEK|KMG|DIG|
DIG|MSP,|MSP|ORD|PEK|KMG|DIG|
DIG|NAS,|NAS|YYZ|PEK|KMG|DIG|
DIG|PHL,|PHL|YYZ|PEK|KMG|DIG|
DIG|PHX,|PHX|SEA|PEK|KMG|DIG|
DIG|PIT,|PIT|YYZ|PEK|KMG|DIG|
DIG|PLS,|PLS|EWR|PEK|KMG|DIG|
DIG|POP,|POP|EWR|PEK|KMG|DIG|
DIG|RDU,|RDU|YYZ|PEK|KMG|DIG|
DIG|ROC,|ROC|YYZ|PEK|KMG|DIG|
DIG|RSW,|RSW|ORD|PEK|KMG|DIG|
DIG|SAN,|SAN|LAX|PEK|KMG|DIG|
DIG|SJO,|SJO|IAH|PEK|KMG|DIG|
DIG|STL,|STL|ORD|PEK|KMG|DIG|
DIG|SYR,|SYR|YYZ|PEK|KMG|DIG|
DIG|TLV,|TLV|SAW|TBS|URC|CTU|KMG|DIG|
DIG|TPA,|TPA|ORD|PEK|KMG|DIG|
DIG|UVF,|UVF|EWR|PEK|KMG|DIG|
DIG|VIE,|VIE|IST|URC|CTU|KMG|DIG|
DIG|YAM,|YAM|YYZ|PEK|KMG|DIG|
DIG|YGK,|YGK|YYZ|PEK|KMG|DIG|
DIG|YQG,|YQG|YYZ|PEK|KMG|DIG|
DIG|YSB,|YSB|YYZ|PEK|KMG|DIG|
DIG|YTS,|YTS|YYZ|PEK|KMG|DIG|
DIG|YYB,|YYB|YYZ|PEK|KMG|DIG|
DIG|YZR,|YZR|YYZ|PEK|KMG|DIG|
DIG|CAN,|CAN|DIG|
DIG|URC,|URC|CTU|KMG|DIG|
DIG|CTU,|CTU|KMG|DIG|
DIG|HGH,|HGH|KMG|DIG|
DIG|XMN,|XMN|CAN|DIG|
DIG|CGO,|CGO|KMG|DIG|
DIG|CSX,|CSX|KMG|DIG|
DIG|SHE,|SHE|CGO|KMG|DIG|
DIG|SJW,|SJW|CSX|KMG|DIG|
DIG|WUH,|WUH|KMG|DIG|
DIG|SZX,|SZX|KMG|DIG|
DIG|CKG,|CKG|KMG|DIG|
DIG|KMG,|KMG|DIG|
DIG|FOC,|FOC|KMG|DIG|
DIG|NNG,|NNG|KMG|DIG|
DIG|SWA,|SWA|CAN|DIG|
DIG|ACX,|ACX|CAN|DIG|
DIG|AQG,|AQG|CAN|DIG|
DIG|AVA,|AVA|CAN|DIG|
DIG|BFJ,|BFJ|CAN|DIG|
DIG|BHY,|BHY|KMG|DIG|
DIG|BNE,|BNE|CAN|DIG|
DIG|CGD,|CGD|CAN|DIG|
DIG|CGK,|CGK|CAN|DIG|
DIG|CGQ,|CGQ|CKG|KMG|DIG|
DIG|CIH,|CIH|DAT|TYN|XIY|KMG|DIG|
DIG|CNX,|CNX|CAN|DIG|
DIG|CZX,|CZX|CSX|KMG|DIG|
DIG|DAC,|DAC|CAN|DIG|
DIG|DAD,|DAD|CAN|DIG|
DIG|DEL,|DEL|CAN|DIG|
DIG|DLC,|DLC|CGO|KMG|DIG|
DIG|DPS,|DPS|CAN|DIG|
DIG|DXB,|DXB|CAN|DIG|
DIG|DYG,|DYG|CSX|KMG|DIG|
DIG|FUG,|FUG|CAN|DIG|
DIG|FUK,|FUK|CAN|DIG|
DIG|HAK,|HAK|KMG|DIG|
DIG|HAN,|HAN|CAN|DIG|
DIG|HDG,|HDG|CAN|DIG|
DIG|HET,|HET|INC|XIY|KMG|DIG|
DIG|HFE,|HFE|KMG|DIG|
DIG|HJJ,|HJJ|CSX|KMG|DIG|
DIG|HKT,|HKT|KWE|KMG|DIG|
DIG|HRB,|HRB|TSN|CKG|KMG|DIG|
DIG|HZH,|HZH|CAN|DIG|
DIG|JIU,|JIU|CAN|DIG|
DIG|JJN,|JJN|CAN|DIG|
DIG|JNG,|JNG|CAN|DIG|
DIG|KHN,|KHN|KMG|DIG|
DIG|KIX,|KIX|CAN|DIG|
DIG|KOW,|KOW|CAN|DIG|
DIG|KTM,|KTM|CAN|DIG|
DIG|KUL,|KUL|BKK|NNG|KMG|DIG|
DIG|KWE,|KWE|KMG|DIG|
DIG|KWL,|KWL|KMG|DIG|
DIG|LHW,|LHW|KMG|DIG|
DIG|LYA,|LYA|KHN|KMG|DIG|
DIG|LYG,|LYG|CAN|DIG|
DIG|LZH,|LZH|CAN|DIG|
DIG|MEL,|MEL|CAN|DIG|
DIG|MIG,|MIG|CSX|KMG|DIG|
DIG|MLE,|MLE|CAN|DIG|
DIG|MNL,|MNL|CAN|DIG|
DIG|MXZ,|MXZ|CAN|DIG|
DIG|NAO,|NAO|CAN|DIG|
DIG|NGB,|NGB|CSX|KMG|DIG|
DIG|NKG,|NKG|KMG|DIG|
DIG|NNY,|NNY|CTU|KMG|DIG|
DIG|PEN,|PEN|CAN|DIG|
DIG|PER,|PER|CAN|DIG|
DIG|PNH,|PNH|CAN|DIG|
DIG|REP,|REP|CAN|DIG|
DIG|RGN,|RGN|CAN|DIG|
DIG|SGN,|SGN|CAN|DIG|
DIG|SHA,|SHA|KMG|DIG|
DIG|SIN,|SIN|CAN|DIG|
DIG|SVO,|SVO|URC|CTU|KMG|DIG|
DIG|SYX,|SYX|KMG|DIG|
DIG|TAO,|TAO|KMG|DIG|
DIG|TEN,|TEN|CAN|DIG|
DIG|TNA,|TNA|XIY|KMG|DIG|
DIG|TPE,|TPE|CAN|DIG|
DIG|TSN,|TSN|CKG|KMG|DIG|
DIG|TXN,|TXN|CSX|KMG|DIG|
DIG|TYN,|TYN|XIY|KMG|DIG|
DIG|WNZ,|WNZ|CSX|KMG|DIG|
