PUB|YXJ,|YXJ|YYC|DEN|PUB|
PUB|YXS,|YXS|YYC|DEN|PUB|
PUB|YXT,|YXT|YVR|DEN|PUB|
PUB|YXY,|YXY|YVR|DEN|PUB|
PUB|YYD,|YYD|YVR|DEN|PUB|
PUB|YYF,|YYF|YVR|DEN|PUB|
PUB|YZP,|YZP|YVR|DEN|PUB|
PUB|YQT,|YQT|YWG|DEN|PUB|
PUB|SJD,|SJD|DEN|PUB|
PUB|YQF,|YQF|YYC|DEN|PUB|
PUB|YQL,|YQL|YYC|DEN|PUB|
PUB|YXH,|YXH|YYC|DEN|PUB|
PUB|YWK,|YWK|YZV|YUL|DEN|PUB|
PUB|ANU,|ANU|EWR|DEN|PUB|
PUB|AUA,|AUA|ATL|DEN|PUB|
PUB|AUH,|AUH|FRA|DEN|PUB|
PUB|BCN,|BCN|YYZ|DEN|PUB|
PUB|BDA,|BDA|EWR|DEN|PUB|
PUB|BGI,|BGI|YYZ|DEN|PUB|
PUB|BNA,|BNA|DEN|PUB|
PUB|BOG,|BOG|IAH|DEN|PUB|
PUB|BWI,|BWI|DEN|PUB|
PUB|CLE,|CLE|DEN|PUB|
PUB|CLT,|CLT|MDW|DEN|PUB|
PUB|CMH,|CMH|DEN|PUB|
PUB|CVG,|CVG|DEN|PUB|
PUB|DFW,|DFW|DEN|PUB|
PUB|DTW,|DTW|DEN|PUB|
PUB|DUB,|DUB|ORD|DEN|PUB|
PUB|FCO,|FCO|YYZ|DEN|PUB|
PUB|GCM,|GCM|IAH|DEN|PUB|
PUB|GGT,|GGT|FLL|DEN|PUB|
PUB|GND,|GND|YYZ|DEN|PUB|
PUB|GRU,|GRU|IAH|DEN|PUB|
PUB|HAV,|HAV|YYZ|DEN|PUB|
PUB|IND,|IND|DEN|PUB|
PUB|JFK,|JFK|IAD|DEN|PUB|
PUB|KIN,|KIN|YYZ|DEN|PUB|
PUB|LIM,|LIM|IAH|DEN|PUB|
PUB|LIR,|LIR|IAH|DEN|PUB|
PUB|MCI,|MCI|DEN|PUB|
PUB|MDT,|MDT|ORD|DEN|PUB|
PUB|MIA,|MIA|DEN|PUB|
PUB|MKE,|MKE|DEN|PUB|
PUB|MSP,|MSP|DEN|PUB|
PUB|NAS,|NAS|ATL|DEN|PUB|
PUB|PHL,|PHL|DEN|PUB|
PUB|PHX,|PHX|DEN|PUB|
PUB|PIT,|PIT|DEN|PUB|
PUB|PLS,|PLS|YYZ|DEN|PUB|
PUB|POP,|POP|YYZ|DEN|PUB|
PUB|RDU,|RDU|DEN|PUB|
PUB|ROC,|ROC|ORD|DEN|PUB|
PUB|RSW,|RSW|DEN|PUB|
PUB|SAN,|SAN|DEN|PUB|
PUB|SJO,|SJO|IAH|DEN|PUB|
PUB|STL,|STL|DEN|PUB|
PUB|SYR,|SYR|ORD|DEN|PUB|
PUB|TLV,|TLV|IST|FRA|DEN|PUB|
PUB|TPA,|TPA|DEN|PUB|
PUB|UVF,|UVF|EWR|DEN|PUB|
PUB|VIE,|VIE|ORD|DEN|PUB|
PUB|YAM,|YAM|YYZ|DEN|PUB|
PUB|YGK,|YGK|YYZ|DEN|PUB|
PUB|YQG,|YQG|YYZ|DEN|PUB|
PUB|YSB,|YSB|YYZ|DEN|PUB|
PUB|YTS,|YTS|YYZ|DEN|PUB|
PUB|YYB,|YYB|YYZ|DEN|PUB|
PUB|YZR,|YZR|YYZ|DEN|PUB|
PUB|CAN,|CAN|YVR|DEN|PUB|
PUB|URC,|URC|PEK|YVR|DEN|PUB|
PUB|CTU,|CTU|PEK|YVR|DEN|PUB|
PUB|HGH,|HGH|DLC|ICN|YVR|DEN|PUB|
PUB|XMN,|XMN|PEK|YVR|DEN|PUB|
PUB|CGO,|CGO|PEK|YVR|DEN|PUB|
PUB|CSX,|CSX|ICN|YVR|DEN|PUB|
PUB|SHE,|SHE|ICN|YVR|DEN|PUB|
PUB|SJW,|SJW|DLC|ICN|YVR|DEN|PUB|
PUB|WUH,|WUH|ICN|YVR|DEN|PUB|
PUB|SZX,|SZX|PVG|YVR|DEN|PUB|
PUB|CKG,|CKG|PEK|YVR|DEN|PUB|
PUB|KMG,|KMG|PEK|YVR|DEN|PUB|
PUB|FOC,|FOC|PEK|YVR|DEN|PUB|
PUB|NNG,|NNG|PEK|YVR|DEN|PUB|
PUB|SWA,|SWA|PEK|YVR|DEN|PUB|
PUB|ACX,|ACX|CAN|YVR|DEN|PUB|
PUB|AQG,|AQG|CAN|YVR|DEN|PUB|
PUB|AVA,|AVA|CAN|YVR|DEN|PUB|
PUB|BFJ,|BFJ|CAN|YVR|DEN|PUB|
PUB|BHY,|BHY|CSX|ICN|YVR|DEN|PUB|
PUB|BNE,|BNE|CAN|YVR|DEN|PUB|
PUB|CGD,|CGD|PEK|YVR|DEN|PUB|
PUB|CGK,|CGK|CAN|YVR|DEN|PUB|
PUB|CGQ,|CGQ|ICN|YVR|DEN|PUB|
PUB|CIH,|CIH|PEK|YVR|DEN|PUB|
PUB|CNX,|CNX|CAN|YVR|DEN|PUB|
PUB|CZX,|CZX|SHE|ICN|YVR|DEN|PUB|
PUB|DAC,|DAC|CAN|YVR|DEN|PUB|
PUB|DAD,|DAD|CAN|YVR|DEN|PUB|
PUB|DEL,|DEL|EWR|DEN|PUB|
PUB|DIG,|DIG|KMG|PEK|YVR|DEN|PUB|
PUB|DLC,|DLC|ICN|YVR|DEN|PUB|
PUB|DPS,|DPS|SZX|PVG|YVR|DEN|PUB|
PUB|DXB,|DXB|IST|FRA|DEN|PUB|
PUB|DYG,|DYG|PEK|YVR|DEN|PUB|
PUB|FUG,|FUG|CAN|YVR|DEN|PUB|
PUB|FUK,|FUK|ICN|YVR|DEN|PUB|
PUB|HAK,|HAK|CAN|YVR|DEN|PUB|
PUB|HAN,|HAN|PEK|YVR|DEN|PUB|
PUB|HDG,|HDG|CAN|YVR|DEN|PUB|
PUB|HET,|HET|DLC|ICN|YVR|DEN|PUB|
PUB|HFE,|HFE|TYN|DLC|ICN|YVR|DEN|PUB|
PUB|HJJ,|HJJ|CSX|ICN|YVR|DEN|PUB|
PUB|HKT,|HKT|KWE|PEK|YVR|DEN|PUB|
PUB|HRB,|HRB|ICN|YVR|DEN|PUB|
PUB|HZH,|HZH|CAN|YVR|DEN|PUB|
PUB|JIU,|JIU|CAN|YVR|DEN|PUB|
PUB|JJN,|JJN|PEK|YVR|DEN|PUB|
PUB|JNG,|JNG|CAN|YVR|DEN|PUB|
PUB|KHN,|KHN|DLC|ICN|YVR|DEN|PUB|
PUB|KIX,|KIX|SFO|DEN|PUB|
PUB|KOW,|KOW|PEK|YVR|DEN|PUB|
PUB|KTM,|KTM|CAN|YVR|DEN|PUB|
PUB|KUL,|KUL|PVG|YVR|DEN|PUB|
PUB|KWE,|KWE|PEK|YVR|DEN|PUB|
PUB|KWL,|KWL|PEK|YVR|DEN|PUB|
PUB|LHW,|LHW|CGO|PEK|YVR|DEN|PUB|
