SYM|YUY,|YUY|YUL|YYZ|PEK|KMG|SYM|
SYM|YVO,|YVO|YUL|YYZ|PEK|KMG|SYM|
SYM|ZBF,|ZBF|YUL|YYZ|PEK|KMG|SYM|
SYM|ZRH,|ZRH|IST|URC|CTU|KMG|SYM|
SYM|ZSA,|ZSA|YUL|YYZ|PEK|KMG|SYM|
SYM|AKL,|AKL|CAN|KMG|SYM|
SYM|HKG,|HKG|CAN|KMG|SYM|
SYM|HND,|HND|HNL|NRT|ICN|WUH|KMG|SYM|
SYM|HNL,|HNL|NRT|ICN|WUH|KMG|SYM|
SYM|MEX,|MEX|YVR|PEK|KMG|SYM|
SYM|OGG,|OGG|HNL|NRT|ICN|WUH|KMG|SYM|
SYM|PDX,|PDX|SEA|PEK|KMG|SYM|
SYM|PEK,|PEK|KMG|SYM|
SYM|PVG,|PVG|KWE|KMG|SYM|
SYM|PVR,|PVR|SFO|PEK|KMG|SYM|
SYM|SEA,|SEA|PEK|KMG|SYM|
SYM|SYD,|SYD|CAN|KMG|SYM|
SYM|YBL,|YBL|YVR|PEK|KMG|SYM|
SYM|YCD,|YCD|YVR|PEK|KMG|SYM|
SYM|YCG,|YCG|YVR|PEK|KMG|SYM|
SYM|YKA,|YKA|YVR|PEK|KMG|SYM|
SYM|YPR,|YPR|YVR|PEK|KMG|SYM|
SYM|YQZ,|YQZ|YVR|PEK|KMG|SYM|
SYM|YXC,|YXC|YVR|PEK|KMG|SYM|
SYM|YXJ,|YXJ|YVR|PEK|KMG|SYM|
SYM|YXS,|YXS|YVR|PEK|KMG|SYM|
SYM|YXT,|YXT|YVR|PEK|KMG|SYM|
SYM|YXY,|YXY|YVR|PEK|KMG|SYM|
SYM|YYD,|YYD|YVR|PEK|KMG|SYM|
SYM|YYF,|YYF|YVR|PEK|KMG|SYM|
SYM|YZP,|YZP|YVR|PEK|KMG|SYM|
SYM|YQT,|YQT|YWG|YVR|PEK|KMG|SYM|
SYM|SJD,|SJD|SFO|PEK|KMG|SYM|
SYM|YQF,|YQF|YYC|YVR|PEK|KMG|SYM|
SYM|YQL,|YQL|YYC|YVR|PEK|KMG|SYM|
SYM|YXH,|YXH|YYC|YVR|PEK|KMG|SYM|
SYM|YWK,|YWK|YZV|YQB|YYZ|PEK|KMG|SYM|
SYM|ANU,|ANU|EWR|PEK|KMG|SYM|
SYM|AUA,|AUA|EWR|PEK|KMG|SYM|
SYM|AUH,|AUH|IST|URC|CTU|KMG|SYM|
SYM|BCN,|BCN|IST|URC|CTU|KMG|SYM|
SYM|BDA,|BDA|EWR|PEK|KMG|SYM|
SYM|BGI,|BGI|YYZ|PEK|KMG|SYM|
SYM|BNA,|BNA|ORD|PEK|KMG|SYM|
SYM|BOG,|BOG|MIA|ORD|PEK|KMG|SYM|
SYM|BWI,|BWI|YYZ|PEK|KMG|SYM|
SYM|CLE,|CLE|YYZ|PEK|KMG|SYM|
SYM|CLT,|CLT|YYZ|PEK|KMG|SYM|
SYM|CMH,|CMH|ORD|PEK|KMG|SYM|
SYM|CVG,|CVG|ORD|PEK|KMG|SYM|
SYM|DFW,|DFW|YVR|PEK|KMG|SYM|
SYM|DTW,|DTW|PEK|KMG|SYM|
SYM|DUB,|DUB|IST|URC|CTU|KMG|SYM|
SYM|FCO,|FCO|IST|URC|CTU|KMG|SYM|
SYM|GCM,|GCM|YYZ|PEK|KMG|SYM|
SYM|GGT,|GGT|YYZ|PEK|KMG|SYM|
SYM|GND,|GND|YYZ|PEK|KMG|SYM|
SYM|GRU,|GRU|IST|URC|CTU|KMG|SYM|
SYM|HAV,|HAV|YYZ|PEK|KMG|SYM|
SYM|IND,|IND|ORD|PEK|KMG|SYM|
SYM|JFK,|JFK|PEK|KMG|SYM|
SYM|KIN,|KIN|YYZ|PEK|KMG|SYM|
SYM|LIM,|LIM|IAH|PEK|KMG|SYM|
SYM|LIR,|LIR|IAH|PEK|KMG|SYM|
SYM|MCI,|MCI|DEN|YVR|PEK|KMG|SYM|
SYM|MDT,|MDT|YYZ|PEK|KMG|SYM|
SYM|MIA,|MIA|ORD|PEK|KMG|SYM|
SYM|MKE,|MKE|ORD|PEK|KMG|SYM|
SYM|MSP,|MSP|ORD|PEK|KMG|SYM|
SYM|NAS,|NAS|YYZ|PEK|KMG|SYM|
SYM|PHL,|PHL|YYZ|PEK|KMG|SYM|
SYM|PHX,|PHX|SEA|PEK|KMG|SYM|
SYM|PIT,|PIT|YYZ|PEK|KMG|SYM|
SYM|PLS,|PLS|EWR|PEK|KMG|SYM|
SYM|POP,|POP|EWR|PEK|KMG|SYM|
SYM|RDU,|RDU|YYZ|PEK|KMG|SYM|
SYM|ROC,|ROC|YYZ|PEK|KMG|SYM|
SYM|RSW,|RSW|ORD|PEK|KMG|SYM|
SYM|SAN,|SAN|LAX|PEK|KMG|SYM|
SYM|SJO,|SJO|IAH|PEK|KMG|SYM|
SYM|STL,|STL|ORD|PEK|KMG|SYM|
SYM|SYR,|SYR|YYZ|PEK|KMG|SYM|
SYM|TLV,|TLV|SAW|TBS|URC|CTU|KMG|SYM|
SYM|TPA,|TPA|ORD|PEK|KMG|SYM|
SYM|UVF,|UVF|EWR|PEK|KMG|SYM|
SYM|VIE,|VIE|IST|URC|CTU|KMG|SYM|
SYM|YAM,|YAM|YYZ|PEK|KMG|SYM|
SYM|YGK,|YGK|YYZ|PEK|KMG|SYM|
SYM|YQG,|YQG|YYZ|PEK|KMG|SYM|
SYM|YSB,|YSB|YYZ|PEK|KMG|SYM|
SYM|YTS,|YTS|YYZ|PEK|KMG|SYM|
SYM|YYB,|YYB|YYZ|PEK|KMG|SYM|
SYM|YZR,|YZR|YYZ|PEK|KMG|SYM|
SYM|CAN,|CAN|KMG|SYM|
SYM|URC,|URC|CTU|KMG|SYM|
SYM|CTU,|CTU|KMG|SYM|
SYM|HGH,|HGH|KMG|SYM|
SYM|XMN,|XMN|KMG|SYM|
SYM|CGO,|CGO|KMG|SYM|
SYM|CSX,|CSX|KMG|SYM|
SYM|SHE,|SHE|CGO|KMG|SYM|
SYM|SJW,|SJW|CSX|KMG|SYM|
SYM|WUH,|WUH|KMG|SYM|
SYM|SZX,|SZX|KMG|SYM|
SYM|CKG,|CKG|KMG|SYM|
SYM|KMG,|KMG|SYM|
SYM|FOC,|FOC|KMG|SYM|
SYM|NNG,|NNG|KMG|SYM|
SYM|SWA,|SWA|CAN|KMG|SYM|
SYM|ACX,|ACX|CAN|KMG|SYM|
SYM|AQG,|AQG|CAN|KMG|SYM|
SYM|AVA,|AVA|CAN|KMG|SYM|
SYM|BFJ,|BFJ|CAN|KMG|SYM|
SYM|BHY,|BHY|KMG|SYM|
SYM|BNE,|BNE|CAN|KMG|SYM|
SYM|CGD,|CGD|CAN|KMG|SYM|
SYM|CGK,|CGK|CAN|KMG|SYM|
SYM|CGQ,|CGQ|CKG|KMG|SYM|
SYM|CIH,|CIH|DAT|TYN|XIY|KMG|SYM|
SYM|CNX,|CNX|CAN|KMG|SYM|
SYM|CZX,|CZX|CSX|KMG|SYM|
SYM|DAC,|DAC|CAN|KMG|SYM|
SYM|DAD,|DAD|CAN|KMG|SYM|
SYM|DEL,|DEL|CAN|KMG|SYM|
SYM|DIG,|DIG|KMG|SYM|
SYM|DLC,|DLC|CGO|KMG|SYM|
SYM|DPS,|DPS|SZX|KMG|SYM|
SYM|DXB,|DXB|CAN|KMG|SYM|
SYM|DYG,|DYG|CSX|KMG|SYM|
SYM|FUG,|FUG|CAN|KMG|SYM|
