SHE|YKA,|YKA|YVR|ICN|SHE|
SHE|YPR,|YPR|YVR|ICN|SHE|
SHE|YQZ,|YQZ|YVR|ICN|SHE|
SHE|YXC,|YXC|YVR|ICN|SHE|
SHE|YXJ,|YXJ|YVR|ICN|SHE|
SHE|YXS,|YXS|YVR|ICN|SHE|
SHE|YXT,|YXT|YVR|ICN|SHE|
SHE|YXY,|YXY|YVR|ICN|SHE|
SHE|YYD,|YYD|YVR|ICN|SHE|
SHE|YYF,|YYF|YVR|ICN|SHE|
SHE|YZP,|YZP|YVR|ICN|SHE|
SHE|YQT,|YQT|YWG|YVR|ICN|SHE|
SHE|SJD,|SJD|LAX|ICN|SHE|
SHE|YQF,|YQF|YYC|YVR|ICN|SHE|
SHE|YQL,|YQL|YYC|YVR|ICN|SHE|
SHE|YXH,|YXH|YYC|YVR|ICN|SHE|
SHE|YWK,|YWK|YZV|YQB|YYZ|PEK|SHE|
SHE|ANU,|ANU|EWR|PEK|SHE|
SHE|AUA,|AUA|EWR|PEK|SHE|
SHE|AUH,|AUH|IST|PEK|SHE|
SHE|BCN,|BCN|IST|PEK|SHE|
SHE|BDA,|BDA|EWR|PEK|SHE|
SHE|BGI,|BGI|YYZ|PEK|SHE|
SHE|BNA,|BNA|ORD|PEK|SHE|
SHE|BOG,|BOG|IAH|YVR|ICN|SHE|
SHE|BWI,|BWI|YYZ|PEK|SHE|
SHE|CLE,|CLE|YYZ|PEK|SHE|
SHE|CLT,|CLT|YYZ|PEK|SHE|
SHE|CMH,|CMH|ORD|PEK|SHE|
SHE|CVG,|CVG|ORD|PEK|SHE|
SHE|DFW,|DFW|YVR|ICN|SHE|
SHE|DTW,|DTW|PEK|SHE|
SHE|DUB,|DUB|IST|PEK|SHE|
SHE|FCO,|FCO|IST|PEK|SHE|
SHE|GCM,|GCM|IAH|YVR|ICN|SHE|
SHE|GGT,|GGT|YYZ|PEK|SHE|
SHE|GND,|GND|YYZ|PEK|SHE|
SHE|GRU,|GRU|IST|PEK|SHE|
SHE|HAV,|HAV|YYZ|PEK|SHE|
SHE|IND,|IND|ORD|PEK|SHE|
SHE|JFK,|JFK|PEK|SHE|
SHE|KIN,|KIN|YYZ|PEK|SHE|
SHE|LIM,|LIM|IAH|YVR|ICN|SHE|
SHE|LIR,|LIR|IAH|YVR|ICN|SHE|
SHE|MCI,|MCI|DEN|YVR|ICN|SHE|
SHE|MDT,|MDT|YYZ|PEK|SHE|
SHE|MIA,|MIA|ORD|PEK|SHE|
SHE|MKE,|MKE|ORD|PEK|SHE|
SHE|MSP,|MSP|DEN|YVR|ICN|SHE|
SHE|NAS,|NAS|YYZ|PEK|SHE|
SHE|PHL,|PHL|YYZ|PEK|SHE|
SHE|PHX,|PHX|SFO|ICN|SHE|
SHE|PIT,|PIT|YYZ|PEK|SHE|
SHE|PLS,|PLS|EWR|PEK|SHE|
SHE|POP,|POP|EWR|PEK|SHE|
SHE|RDU,|RDU|YYZ|PEK|SHE|
SHE|ROC,|ROC|YYZ|PEK|SHE|
SHE|RSW,|RSW|ORD|PEK|SHE|
SHE|SAN,|SAN|LAX|ICN|SHE|
SHE|SJO,|SJO|IAH|YVR|ICN|SHE|
SHE|STL,|STL|ORD|PEK|SHE|
SHE|SYR,|SYR|YYZ|PEK|SHE|
SHE|TLV,|TLV|IST|PEK|SHE|
SHE|TPA,|TPA|ORD|PEK|SHE|
SHE|UVF,|UVF|EWR|PEK|SHE|
SHE|VIE,|VIE|IST|PEK|SHE|
SHE|YAM,|YAM|YYZ|PEK|SHE|
SHE|YGK,|YGK|YYZ|PEK|SHE|
SHE|YQG,|YQG|YYZ|PEK|SHE|
SHE|YSB,|YSB|YYZ|PEK|SHE|
SHE|YTS,|YTS|YYZ|PEK|SHE|
SHE|YYB,|YYB|YYZ|PEK|SHE|
SHE|YZR,|YZR|YYZ|PEK|SHE|
SHE|CAN,|CAN|SHE|
SHE|URC,|URC|HET|SHE|
SHE|CTU,|CTU|XIY|SHE|
SHE|HGH,|HGH|SHE|
SHE|XMN,|XMN|SHE|
SHE|CGO,|CGO|SHE|
SHE|CSX,|CSX|TAO|SHE|
SHE|SJW,|SJW|SHE|
SHE|WUH,|WUH|SHE|
SHE|SZX,|SZX|TAO|SHE|
SHE|CKG,|CKG|SHE|
SHE|KMG,|KMG|CGO|SHE|
SHE|FOC,|FOC|HGH|SHE|
SHE|NNG,|NNG|KWL|SHE|
SHE|SWA,|SWA|NKG|SHE|
SHE|ACX,|ACX|CAN|SHE|
SHE|AQG,|AQG|CAN|SHE|
SHE|AVA,|AVA|CAN|SHE|
SHE|BFJ,|BFJ|CAN|SHE|
SHE|BHY,|BHY|CSX|TAO|SHE|
SHE|BNE,|BNE|CAN|SHE|
SHE|CGD,|CGD|PEK|SHE|
SHE|CGK,|CGK|XMN|SHE|
SHE|CGQ,|CGQ|ICN|SHE|
SHE|CIH,|CIH|PEK|SHE|
SHE|CNX,|CNX|CAN|SHE|
SHE|CZX,|CZX|SHE|
SHE|DAC,|DAC|CAN|SHE|
SHE|DAD,|DAD|CAN|SHE|
SHE|DEL,|DEL|CAN|SHE|
SHE|DIG,|DIG|KMG|CGO|SHE|
SHE|DLC,|DLC|TAO|SHE|
SHE|DPS,|DPS|SZX|TAO|SHE|
SHE|DXB,|DXB|CAN|SHE|
SHE|DYG,|DYG|PEK|SHE|
SHE|FUG,|FUG|CAN|SHE|
SHE|FUK,|FUK|SHE|
SHE|HAK,|HAK|CAN|SHE|
SHE|HAN,|HAN|PEK|SHE|
SHE|HDG,|HDG|CAN|SHE|
