ORF|YZP,|YZP|YVR|ORD|ORF|
ORF|YQT,|YQT|YYZ|IAD|ORF|
ORF|SJD,|SJD|IAH|ORF|
ORF|YQF,|YQF|YYC|ORD|ORF|
ORF|YQL,|YQL|YYC|ORD|ORF|
ORF|YXH,|YXH|YYC|ORD|ORF|
ORF|YWK,|YWK|YZV|YQB|EWR|ORF|
ORF|ANU,|ANU|EWR|ORF|
ORF|AUA,|AUA|IAD|ORF|
ORF|AUH,|AUH|FRA|EWR|ORF|
ORF|BCN,|BCN|EWR|ORF|
ORF|BDA,|BDA|EWR|ORF|
ORF|BGI,|BGI|YYZ|IAD|ORF|
ORF|BNA,|BNA|IAD|ORF|
ORF|BOG,|BOG|IAD|ORF|
ORF|BWI,|BWI|ORF|
ORF|CLE,|CLE|IAD|ORF|
ORF|CLT,|CLT|IAD|ORF|
ORF|CMH,|CMH|IAD|ORF|
ORF|CVG,|CVG|IAD|ORF|
ORF|DFW,|DFW|IAD|ORF|
ORF|DTW,|DTW|IAD|ORF|
ORF|DUB,|DUB|EWR|ORF|
ORF|FCO,|FCO|EWR|ORF|
ORF|GCM,|GCM|IAD|ORF|
ORF|GGT,|GGT|FLL|MCO|ORF|
ORF|GND,|GND|YYZ|IAD|ORF|
ORF|GRU,|GRU|IAD|ORF|
ORF|HAV,|HAV|YYZ|IAD|ORF|
ORF|IND,|IND|IAD|ORF|
ORF|JFK,|JFK|IAD|ORF|
ORF|KIN,|KIN|YYZ|IAD|ORF|
ORF|LIM,|LIM|MIA|IAD|ORF|
ORF|LIR,|LIR|EWR|ORF|
ORF|MCI,|MCI|IAD|ORF|
ORF|MDT,|MDT|IAD|ORF|
ORF|MIA,|MIA|IAD|ORF|
ORF|MKE,|MKE|CLE|IAD|ORF|
ORF|MSP,|MSP|ORD|ORF|
ORF|NAS,|NAS|ATL|ORF|
ORF|PHL,|PHL|IAD|ORF|
ORF|PHX,|PHX|ATL|ORF|
ORF|PIT,|PIT|IAD|ORF|
ORF|PLS,|PLS|EWR|ORF|
ORF|POP,|POP|EWR|ORF|
ORF|RDU,|RDU|IAD|ORF|
ORF|ROC,|ROC|BWI|ORF|
ORF|RSW,|RSW|MCO|ORF|
ORF|SAN,|SAN|ATL|ORF|
ORF|SJO,|SJO|IAD|ORF|
ORF|STL,|STL|IAD|ORF|
ORF|SYR,|SYR|IAD|ORF|
ORF|TLV,|TLV|EWR|ORF|
ORF|TPA,|TPA|GNV|MCO|ORF|
ORF|UVF,|UVF|EWR|ORF|
ORF|VIE,|VIE|IAD|ORF|
ORF|YAM,|YAM|YYZ|IAD|ORF|
ORF|YGK,|YGK|YYZ|IAD|ORF|
ORF|YQG,|YQG|YYZ|IAD|ORF|
ORF|YSB,|YSB|YYZ|IAD|ORF|
ORF|YTS,|YTS|YYZ|IAD|ORF|
ORF|YYB,|YYB|YYZ|IAD|ORF|
ORF|YZR,|YZR|YYZ|IAD|ORF|
ORF|CAN,|CAN|PEK|IAD|ORF|
ORF|URC,|URC|TSE|FRA|EWR|ORF|
ORF|CTU,|CTU|PEK|IAD|ORF|
ORF|HGH,|HGH|PEK|IAD|ORF|
ORF|XMN,|XMN|PEK|IAD|ORF|
ORF|CGO,|CGO|PEK|IAD|ORF|
ORF|CSX,|CSX|PEK|IAD|ORF|
ORF|SHE,|SHE|PEK|IAD|ORF|
ORF|SJW,|SJW|DLC|PEK|IAD|ORF|
ORF|WUH,|WUH|PEK|IAD|ORF|
ORF|SZX,|SZX|PEK|IAD|ORF|
ORF|CKG,|CKG|PEK|IAD|ORF|
ORF|KMG,|KMG|PEK|IAD|ORF|
