YYC|CVG,|CVG|ORD|YYC|
YYC|DFW,|DFW|YYC|
YYC|DTW,|DTW|ORD|YYC|
YYC|DUB,|DUB|YYZ|YYC|
YYC|FCO,|FCO|YYZ|YYC|
YYC|GCM,|GCM|IAH|YYC|
YYC|GGT,|GGT|FLL|MCO|YYC|
YYC|GND,|GND|YYZ|YYC|
YYC|GRU,|GRU|ORD|YYC|
YYC|HAV,|HAV|YYZ|YYC|
YYC|IND,|IND|ORD|YYC|
YYC|JFK,|JFK|YYC|
YYC|KIN,|KIN|YYZ|YYC|
YYC|LIM,|LIM|IAH|YYC|
YYC|LIR,|LIR|IAH|YYC|
YYC|MCI,|MCI|DEN|YYC|
YYC|MDT,|MDT|YYZ|YYC|
YYC|MIA,|MIA|ORD|YYC|
YYC|MKE,|MKE|ORD|YYC|
YYC|MSP,|MSP|DEN|YYC|
YYC|NAS,|NAS|ORD|YYC|
YYC|PHL,|PHL|YYZ|YYC|
YYC|PHX,|PHX|YYC|
YYC|PIT,|PIT|ORD|YYC|
YYC|PLS,|PLS|YYZ|YYC|
YYC|POP,|POP|YYZ|YYC|
YYC|RDU,|RDU|ORD|YYC|
YYC|ROC,|ROC|YYZ|YYC|
YYC|RSW,|RSW|MCO|YYC|
YYC|SAN,|SAN|YYC|
YYC|SJO,|SJO|IAH|YYC|
YYC|STL,|STL|ORD|YYC|
YYC|SYR,|SYR|YYZ|YYC|
YYC|TLV,|TLV|IST|FRA|YYC|
YYC|TPA,|TPA|ORD|YYC|
YYC|UVF,|UVF|YYZ|YYC|
YYC|VIE,|VIE|YYZ|YYC|
YYC|YAM,|YAM|YYZ|YYC|
YYC|YGK,|YGK|YYZ|YYC|
YYC|YQG,|YQG|YYC|
YYC|YSB,|YSB|YYZ|YYC|
YYC|YTS,|YTS|YYZ|YYC|
YYC|YYB,|YYB|YYZ|YYC|
YYC|YZR,|YZR|YYZ|YYC|
YYC|CAN,|CAN|YVR|YYC|
YYC|URC,|URC|PEK|YVR|YYC|
YYC|CTU,|CTU|PEK|YVR|YYC|
YYC|HGH,|HGH|DLC|ICN|YVR|YYC|
YYC|XMN,|XMN|PEK|YVR|YYC|
YYC|CGO,|CGO|PEK|YVR|YYC|
YYC|CSX,|CSX|ICN|YVR|YYC|
YYC|SHE,|SHE|ICN|YVR|YYC|
YYC|SJW,|SJW|DLC|ICN|YVR|YYC|
YYC|WUH,|WUH|ICN|YVR|YYC|
YYC|SZX,|SZX|PVG|YVR|YYC|
YYC|CKG,|CKG|PEK|YVR|YYC|
YYC|KMG,|KMG|PEK|YVR|YYC|
YYC|FOC,|FOC|PEK|YVR|YYC|
YYC|NNG,|NNG|PEK|YVR|YYC|
YYC|SWA,|SWA|PEK|YVR|YYC|
YYC|ACX,|ACX|CAN|YVR|YYC|
YYC|AQG,|AQG|CAN|YVR|YYC|
YYC|AVA,|AVA|CAN|YVR|YYC|
YYC|BFJ,|BFJ|CAN|YVR|YYC|
YYC|BHY,|BHY|CSX|ICN|YVR|YYC|
YYC|BNE,|BNE|CAN|YVR|YYC|
YYC|CGD,|CGD|PEK|YVR|YYC|
YYC|CGK,|CGK|SIN|NRT|YYC|
YYC|CGQ,|CGQ|NRT|YYC|
YYC|CIH,|CIH|PEK|YVR|YYC|
YYC|CNX,|CNX|CAN|YVR|YYC|
YYC|CZX,|CZX|SHE|ICN|YVR|YYC|
YYC|DAC,|DAC|CAN|YVR|YYC|
YYC|DAD,|DAD|CAN|YVR|YYC|
YYC|DEL,|DEL|IST|FRA|YYC|
YYC|DIG,|DIG|KMG|PEK|YVR|YYC|
YYC|DLC,|DLC|ICN|YVR|YYC|
YYC|DPS,|DPS|SZX|PVG|YVR|YYC|
YYC|DXB,|DXB|IST|FRA|YYC|
YYC|DYG,|DYG|PEK|YVR|YYC|
YYC|FUG,|FUG|CAN|YVR|YYC|
YYC|FUK,|FUK|ICN|YVR|YYC|
YYC|HAK,|HAK|CAN|YVR|YYC|
YYC|HAN,|HAN|PEK|YVR|YYC|
YYC|HDG,|HDG|CAN|YVR|YYC|
YYC|HET,|HET|DLC|ICN|YVR|YYC|
YYC|HFE,|HFE|TYN|DLC|ICN|YVR|YYC|
YYC|HJJ,|HJJ|CSX|ICN|YVR|YYC|
YYC|HKT,|HKT|KWE|PEK|YVR|YYC|
YYC|HRB,|HRB|ICN|YVR|YYC|
YYC|HZH,|HZH|CAN|YVR|YYC|
YYC|JIU,|JIU|CAN|YVR|YYC|
YYC|JJN,|JJN|PEK|YVR|YYC|
YYC|JNG,|JNG|CAN|YVR|YYC|
YYC|KHN,|KHN|DLC|ICN|YVR|YYC|
YYC|KIX,|KIX|SFO|YYC|
YYC|KOW,|KOW|PEK|YVR|YYC|
YYC|KTM,|KTM|CAN|YVR|YYC|
YYC|KUL,|KUL|PVG|YVR|YYC|
YYC|KWE,|KWE|PEK|YVR|YYC|
YYC|KWL,|KWL|PEK|YVR|YYC|
YYC|LHW,|LHW|CGO|PEK|YVR|YYC|
YYC|LYA,|LYA|KHN|DLC|ICN|YVR|YYC|
YYC|LYG,|LYG|HSN|PEK|YVR|YYC|
YYC|LZH,|LZH|CAN|YVR|YYC|
YYC|MEL,|MEL|SYD|YVR|YYC|
YYC|MIG,|MIG|CSX|ICN|YVR|YYC|
YYC|MLE,|MLE|IST|FRA|YYC|
YYC|MNL,|MNL|XMN|PEK|YVR|YYC|
YYC|MXZ,|MXZ|CAN|YVR|YYC|
YYC|NAO,|NAO|PEK|YVR|YYC|
YYC|NGB,|NGB|DLC|ICN|YVR|YYC|
YYC|NKG,|NKG|DLC|ICN|YVR|YYC|
YYC|NNY,|NNY|CGO|PEK|YVR|YYC|
YYC|PEN,|PEN|CAN|YVR|YYC|
YYC|PER,|PER|CAN|YVR|YYC|
YYC|PNH,|PNH|CAN|YVR|YYC|
YYC|REP,|REP|ICN|YVR|YYC|
YYC|RGN,|RGN|CAN|YVR|YYC|
YYC|SGN,|SGN|HKG|YVR|YYC|
YYC|SHA,|SHA|PEK|YVR|YYC|
YYC|SIN,|SIN|NRT|YYC|
YYC|SVO,|SVO|URC|PEK|YVR|YYC|
YYC|SYX,|SYX|CAN|YVR|YYC|
YYC|TAO,|TAO|DLC|ICN|YVR|YYC|
YYC|TEN,|TEN|PEK|YVR|YYC|
YYC|TNA,|TNA|DLC|ICN|YVR|YYC|
YYC|TPE,|TPE|PVG|YVR|YYC|
YYC|TSN,|TSN|DLC|ICN|YVR|YYC|
YYC|TXN,|TXN|DLC|ICN|YVR|YYC|
YYC|TYN,|TYN|DLC|ICN|YVR|YYC|
YYC|WNZ,|WNZ|CGO|PEK|YVR|YYC|
YYC|WUX,|WUX|CAN|YVR|YYC|
YYC|XFN,|XFN|CAN|YVR|YYC|
YYC|XIY,|XIY|PEK|YVR|YYC|
YYC|XUZ,|XUZ|LYG|HSN|PEK|YVR|YYC|
YYC|YIH,|YIH|CKG|PEK|YVR|YYC|
YYC|YIW,|YIW|PEK|YVR|YYC|
YYC|YNT,|YNT|SHE|ICN|YVR|YYC|
YYC|YNZ,|YNZ|DLC|ICN|YVR|YYC|
YYC|YTY,|YTY|DLC|ICN|YVR|YYC|
YYC|ZHA,|ZHA|CAN|YVR|YYC|
YYC|ZYI,|ZYI|PEK|YVR|YYC|
YYC|BAV,|BAV|SJW|DLC|ICN|YVR|YYC|
YYC|CJU,|CJU|DLC|ICN|YVR|YYC|
YYC|DSN,|DSN|CGO|PEK|YVR|YYC|
YYC|HMI,|HMI|CGO|PEK|YVR|YYC|
YYC|INC,|INC|PEK|YVR|YYC|
YYC|KHH,|KHH|CGO|PEK|YVR|YYC|
YYC|UYN,|UYN|CGO|PEK|YVR|YYC|
YYC|XNN,|XNN|PEK|YVR|YYC|
YYC|ZUH,|ZUH|PVG|YVR|YYC|
YYC|YNJ,|YNJ|ICN|YVR|YYC|
YYC|DAT,|DAT|CIH|PEK|YVR|YYC|
YYC|JHG,|JHG|CKG|PEK|YVR|YYC|
YYC|LJG,|LJG|CKG|PEK|YVR|YYC|
YYC|LXA,|LXA|XIY|PEK|YVR|YYC|
YYC|YCU,|YCU|CSX|ICN|YVR|YYC|
YYC|LZO,|LZO|CSX|ICN|YVR|YYC|
YYC|MDG,|MDG|ICN|YVR|YYC|
YYC|NGO,|NGO|ICN|YVR|YYC|
YYC|TOY,|TOY|DLC|ICN|YVR|YYC|
YYC|MFM,|MFM|XMN|PEK|YVR|YYC|
YYC|TGO,|TGO|HET|DLC|ICN|YVR|YYC|
YYC|XIL,|XIL|HET|DLC|ICN|YVR|YYC|
YYC|HEK,|HEK|HRB|ICN|YVR|YYC|
YYC|KIJ,|KIJ|HRB|ICN|YVR|YYC|
YYC|LDS,|LDS|HRB|ICN|YVR|YYC|
YYC|OHE,|OHE|HRB|ICN|YVR|YYC|
YYC|HSN,|HSN|PEK|YVR|YYC|
YYC|DLU,|DLU|KMG|PEK|YVR|YYC|
YYC|SYM,|SYM|KMG|PEK|YVR|YYC|
YYC|ZAT,|ZAT|KMG|PEK|YVR|YYC|
YYC|LUN,|LUN|NBO|IST|FRA|YYC|
YYC|AOG,|AOG|PEK|YVR|YYC|
YYC|GMP,|GMP|PEK|YVR|YYC|
YYC|ISB,|ISB|PEK|YVR|YYC|
YYC|TAS,|TAS|IST|FRA|YYC|
YYC|WUS,|WUS|PEK|YVR|YYC|
YYC|JMU,|JMU|PVG|YVR|YYC|
YYC|NDG,|NDG|PVG|YVR|YYC|
YYC|JXA,|JXA|SHE|ICN|YVR|YYC|
YYC|PUS,|PUS|SHE|ICN|YVR|YYC|
YYC|BKI,|BKI|SZX|PVG|YVR|YYC|
YYC|AKU,|AKU|URC|PEK|YVR|YYC|
YYC|ALA,|ALA|URC|PEK|YVR|YYC|
YYC|ASB,|ASB|GYD|FRA|YYC|
YYC|DNH,|DNH|XIY|PEK|YVR|YYC|
YYC|DYU,|DYU|IST|FRA|YYC|
YYC|FRU,|FRU|URC|PEK|YVR|YYC|
YYC|GYD,|GYD|FRA|YYC|
YYC|HTN,|HTN|URC|PEK|YVR|YYC|
YYC|IKA,|IKA|SAW|FRA|YYC|
YYC|KCA,|KCA|URC|PEK|YVR|YYC|
YYC|KHG,|KHG|URC|PEK|YVR|YYC|
YYC|KRL,|KRL|URC|PEK|YVR|YYC|
YYC|KRY,|KRY|URC|PEK|YVR|YYC|
YYC|LBD,|LBD|URC|PEK|YVR|YYC|
YYC|NLT,|NLT|URC|PEK|YVR|YYC|
YYC|OSS,|OSS|URC|PEK|YVR|YYC|
YYC|OVB,|OVB|URC|PEK|YVR|YYC|
YYC|TBS,|TBS|SAW|FRA|YYC|
YYC|TCG,|TCG|URC|PEK|YVR|YYC|
YYC|TSE,|TSE|FRA|YYC|
YYC|YIN,|YIN|URC|PEK|YVR|YYC|
YYC|ENH,|ENH|WUH|ICN|YVR|YYC|
YYC|ENY,|ENY|XIY|PEK|YVR|YYC|
YYC|WXN,|WXN|XIY|PEK|YVR|YYC|
YYC|BLL,|BLL|IST|FRA|YYC|
YYC|ESB,|ESB|FRA|YYC|
YYC|SAW,|SAW|FRA|YYC|
YYC|HAM,|HAM|EWR|YYC|
YYC|HRE,|HRE|ADD|JED|FRA|YYC|
YYC|JUB,|JUB|CAI|IST|FRA|YYC|
YYC|SSG,|SSG|DLA|BRU|YUL|YYC|
YYC|BGW,|BGW|ESB|FRA|YYC|
YYC|EBL,|EBL|IST|FRA|YYC|
YYC|VKO,|VKO|IST|FRA|YYC|
YYC|MCT,|MCT|IST|FRA|YYC|
YYC|AYT,|AYT|IST|FRA|YYC|
YYC|SCQ,|SCQ|BIO|IST|FRA|YYC|
YYC|AAL,|AAL|IST|FRA|YYC|
YYC|AOE,|AOE|BRU|YUL|YYC|
YYC|JNB,|JNB|JFK|YYC|
YYC|LBV,|LBV|DLA|BRU|YUL|YYC|
YYC|ADA,|ADA|SAW|FRA|YYC|
YYC|ADB,|ADB|IST|FRA|YYC|
YYC|ADF,|ADF|ESB|FRA|YYC|
YYC|AJI,|AJI|ESB|FRA|YYC|
YYC|BAL,|BAL|ESB|FRA|YYC|
YYC|BJV,|BJV|IST|FRA|YYC|
YYC|CKZ,|CKZ|ESB|FRA|YYC|
YYC|DIY,|DIY|ESB|FRA|YYC|
YYC|ECN,|ECN|IST|FRA|YYC|
YYC|ERC,|ERC|ESB|FRA|YYC|
YYC|ERZ,|ERZ|ESB|FRA|YYC|
YYC|EZS,|EZS|ESB|FRA|YYC|
YYC|GNY,|GNY|ESB|FRA|YYC|
YYC|GZP,|GZP|ESB|FRA|YYC|
YYC|GZT,|GZT|ESB|FRA|YYC|
YYC|HTY,|HTY|SAW|FRA|YYC|
YYC|KCM,|KCM|ESB|FRA|YYC|
YYC|KSY,|KSY|ESB|FRA|YYC|
YYC|MLX,|MLX|ESB|FRA|YYC|
YYC|MQM,|MQM|ESB|FRA|YYC|
YYC|MSR,|MSR|ESB|FRA|YYC|
YYC|TEQ,|TEQ|ESB|FRA|YYC|
YYC|TZX,|TZX|ESB|FRA|YYC|
YYC|VAN,|VAN|ESB|FRA|YYC|
YYC|ULN,|ULN|FRU|URC|PEK|YVR|YYC|
YYC|HIJ,|HIJ|ICN|YVR|YYC|
YYC|VVO,|VVO|ICN|YVR|YYC|
YYC|ACC,|ACC|IST|FRA|YYC|
YYC|AER,|AER|IST|FRA|YYC|
YYC|AGP,|AGP|IST|FRA|YYC|
YYC|ALG,|ALG|IST|FRA|YYC|
YYC|AMM,|AMM|IST|FRA|YYC|
YYC|AQJ,|AQJ|IST|FRA|YYC|
YYC|ARN,|ARN|EWR|YYC|
YYC|ASR,|ASR|SAW|FRA|YYC|
YYC|ATH,|ATH|IST|FRA|YYC|
YYC|BAH,|BAH|IST|FRA|YYC|
YYC|BEG,|BEG|IST|FRA|YYC|
YYC|BEN,|BEN|IST|FRA|YYC|
YYC|BEY,|BEY|IST|FRA|YYC|
YYC|BHX,|BHX|EWR|YYC|
YYC|BIO,|BIO|IST|FRA|YYC|
YYC|BLQ,|BLQ|IST|FRA|YYC|
YYC|BOM,|BOM|IST|FRA|YYC|
YYC|BRE,|BRE|IST|FRA|YYC|
YYC|BSL,|BSL|IST|FRA|YYC|
