KRY|MEX,|MEX|YVR|PEK|URC|KRY|
KRY|OGG,|OGG|HNL|PEK|URC|KRY|
KRY|PDX,|PDX|SEA|PEK|URC|KRY|
KRY|PEK,|PEK|URC|KRY|
KRY|PVG,|PVG|URC|KRY|
KRY|PVR,|PVR|SFO|PEK|URC|KRY|
KRY|SEA,|SEA|PEK|URC|KRY|
KRY|SYD,|SYD|CAN|URC|KRY|
KRY|YBL,|YBL|YVR|PEK|URC|KRY|
KRY|YCD,|YCD|YVR|PEK|URC|KRY|
KRY|YCG,|YCG|YVR|PEK|URC|KRY|
KRY|YKA,|YKA|YVR|PEK|URC|KRY|
KRY|YPR,|YPR|YVR|PEK|URC|KRY|
KRY|YQZ,|YQZ|YVR|PEK|URC|KRY|
KRY|YXC,|YXC|YVR|PEK|URC|KRY|
KRY|YXJ,|YXJ|YVR|PEK|URC|KRY|
KRY|YXS,|YXS|YVR|PEK|URC|KRY|
KRY|YXT,|YXT|YVR|PEK|URC|KRY|
KRY|YXY,|YXY|YVR|PEK|URC|KRY|
KRY|YYD,|YYD|YVR|PEK|URC|KRY|
KRY|YYF,|YYF|YVR|PEK|URC|KRY|
KRY|YZP,|YZP|YVR|PEK|URC|KRY|
KRY|YQT,|YQT|YYZ|FRA|TSE|URC|KRY|
KRY|SJD,|SJD|SFO|PEK|URC|KRY|
KRY|YQF,|YQF|YYC|YVR|PEK|URC|KRY|
KRY|YQL,|YQL|YYC|YVR|PEK|URC|KRY|
KRY|YXH,|YXH|YYC|YVR|PEK|URC|KRY|
KRY|YWK,|YWK|YYR|YYT|LHR|IST|URC|KRY|
KRY|ANU,|ANU|EWR|FRA|TSE|URC|KRY|
KRY|AUA,|AUA|EWR|FRA|TSE|URC|KRY|
KRY|AUH,|AUH|IST|URC|KRY|
KRY|BCN,|BCN|IST|URC|KRY|
KRY|BDA,|BDA|EWR|FRA|TSE|URC|KRY|
KRY|BGI,|BGI|YYZ|FRA|TSE|URC|KRY|
KRY|BNA,|BNA|YYZ|FRA|TSE|URC|KRY|
KRY|BOG,|BOG|JFK|FRA|TSE|URC|KRY|
KRY|BWI,|BWI|EWR|FRA|TSE|URC|KRY|
KRY|CLE,|CLE|YYZ|FRA|TSE|URC|KRY|
KRY|CLT,|CLT|EWR|FRA|TSE|URC|KRY|
KRY|CMH,|CMH|YYZ|FRA|TSE|URC|KRY|
KRY|CVG,|CVG|YYZ|FRA|TSE|URC|KRY|
KRY|DFW,|DFW|YVR|PEK|URC|KRY|
KRY|DTW,|DTW|FRA|TSE|URC|KRY|
KRY|DUB,|DUB|IST|URC|KRY|
KRY|FCO,|FCO|IST|URC|KRY|
KRY|GCM,|GCM|EWR|FRA|TSE|URC|KRY|
