ZAG|EWR,|EWR|BHX|IST|ZAG|
ZAG|IAD,|IAD|IST|ZAG|
ZAG|IAH,|IAH|IST|ZAG|
ZAG|ORD,|ORD|IST|ZAG|
ZAG|SOF,|SOF|IST|ZAG|
ZAG|YQB,|YQB|YUL|FRA|IST|ZAG|
ZAG|YXU,|YXU|YYZ|IST|ZAG|
ZAG|EZE,|EZE|GRU|IST|ZAG|
ZAG|YYJ,|YYJ|YVR|MUC|IST|ZAG|
ZAG|YYY,|YYY|YUL|FRA|IST|ZAG|
ZAG|YQQ,|YQQ|YBL|YVR|MUC|IST|ZAG|
ZAG|YYR,|YYR|YYT|LHR|IST|ZAG|
ZAG|LHR,|LHR|IST|ZAG|
ZAG|SFO,|SFO|MUC|IST|ZAG|
ZAG|YQU,|YQU|YEG|LHR|IST|ZAG|
ZAG|YZF,|YZF|YEG|LHR|IST|ZAG|
ZAG|YGR,|YGR|YGP|YQB|YUL|FRA|IST|ZAG|
ZAG|YGP,|YGP|YQB|YUL|FRA|IST|ZAG|
ZAG|BOS,|BOS|FRA|IST|ZAG|
ZAG|YDF,|YDF|YYT|LHR|IST|ZAG|
ZAG|YFC,|YFC|YHZ|LHR|IST|ZAG|
ZAG|YQM,|YQM|YHZ|LHR|IST|ZAG|
ZAG|YQX,|YQX|YYT|LHR|IST|ZAG|
ZAG|YQY,|YQY|YHZ|LHR|IST|ZAG|
ZAG|YSJ,|YSJ|YHZ|LHR|IST|ZAG|
ZAG|YYG,|YYG|YHZ|LHR|IST|ZAG|
ZAG|LAX,|LAX|IST|ZAG|
ZAG|DCA,|DCA|EWR|BHX|IST|ZAG|
ZAG|LGA,|LGA|YHZ|LHR|IST|ZAG|
ZAG|YZV,|YZV|YWK|YYR|YYT|LHR|IST|ZAG|
ZAG|YWL,|YWL|YVR|MUC|IST|ZAG|
ZAG|AZS,|AZS|YUL|FRA|IST|ZAG|
ZAG|BDL,|BDL|YUL|FRA|IST|ZAG|
ZAG|CCC,|CCC|YUL|FRA|IST|ZAG|
ZAG|CDG,|CDG|IST|ZAG|
ZAG|CUN,|CUN|YHZ|LHR|IST|ZAG|
ZAG|CZM,|CZM|YUL|FRA|IST|ZAG|
ZAG|FDF,|FDF|YUL|FRA|IST|ZAG|
ZAG|FLL,|FLL|MCO|FRA|IST|ZAG|
ZAG|GVA,|GVA|IST|ZAG|
ZAG|HOG,|HOG|YUL|FRA|IST|ZAG|
ZAG|LAS,|LAS|DEN|FRA|IST|ZAG|
ZAG|MBJ,|MBJ|YHZ|LHR|IST|ZAG|
ZAG|MCO,|MCO|FRA|IST|ZAG|
ZAG|MUC,|MUC|IST|ZAG|
ZAG|PAP,|PAP|YUL|FRA|IST|ZAG|
ZAG|PTP,|PTP|YUL|FRA|IST|ZAG|
ZAG|PUJ,|PUJ|YHZ|LHR|IST|ZAG|
ZAG|SNU,|SNU|YUL|FRA|IST|ZAG|
ZAG|VRA,|VRA|YUL|FRA|IST|ZAG|
ZAG|YBC,|YBC|YUL|FRA|IST|ZAG|
ZAG|YBG,|YBG|YUL|FRA|IST|ZAG|
ZAG|YTZ,|YTZ|YUL|FRA|IST|ZAG|
ZAG|YUY,|YUY|YUL|FRA|IST|ZAG|
ZAG|YVO,|YVO|YUL|FRA|IST|ZAG|
ZAG|ZBF,|ZBF|YUL|FRA|IST|ZAG|
ZAG|ZRH,|ZRH|IST|ZAG|
ZAG|ZSA,|ZSA|YUL|FRA|IST|ZAG|
ZAG|AKL,|AKL|BKK|IST|ZAG|
ZAG|HKG,|HKG|IST|ZAG|
ZAG|HND,|HND|YVR|MUC|IST|ZAG|
ZAG|HNL,|HNL|YVR|MUC|IST|ZAG|
ZAG|MEX,|MEX|IAD|IST|ZAG|
ZAG|OGG,|OGG|YVR|MUC|IST|ZAG|
ZAG|PDX,|PDX|SEA|FRA|IST|ZAG|
ZAG|PEK,|PEK|IST|ZAG|
ZAG|PVG,|PVG|IST|ZAG|
ZAG|PVR,|PVR|ORD|IST|ZAG|
ZAG|SEA,|SEA|FRA|IST|ZAG|
ZAG|SYD,|SYD|BKK|IST|ZAG|
ZAG|YBL,|YBL|YVR|MUC|IST|ZAG|
ZAG|YCD,|YCD|YVR|MUC|IST|ZAG|
ZAG|YCG,|YCG|YYC|FRA|IST|ZAG|
