ADD|YQZ,|YQZ|YVR|MUC|IST|ADD|
ADD|YXC,|YXC|YYC|FRA|JED|ADD|
ADD|YXJ,|YXJ|YYC|FRA|JED|ADD|
ADD|YXS,|YXS|YYC|FRA|JED|ADD|
ADD|YXT,|YXT|YVR|MUC|IST|ADD|
ADD|YXY,|YXY|YVR|MUC|IST|ADD|
ADD|YYD,|YYD|YVR|MUC|IST|ADD|
ADD|YYF,|YYF|YVR|MUC|IST|ADD|
ADD|YZP,|YZP|YVR|MUC|IST|ADD|
ADD|YQT,|YQT|YYZ|FRA|JED|ADD|
ADD|SJD,|SJD|ORD|IST|ADD|
ADD|YQF,|YQF|YYC|FRA|JED|ADD|
ADD|YQL,|YQL|YYC|FRA|JED|ADD|
ADD|YXH,|YXH|YYC|FRA|JED|ADD|
ADD|YWK,|YWK|YYR|YYT|LHR|IST|ADD|
ADD|ANU,|ANU|EWR|FRA|JED|ADD|
ADD|AUA,|AUA|EWR|FRA|JED|ADD|
ADD|AUH,|AUH|IST|ADD|
ADD|BCN,|BCN|IST|ADD|
ADD|BDA,|BDA|EWR|FRA|JED|ADD|
ADD|BGI,|BGI|YYZ|FRA|JED|ADD|
ADD|BNA,|BNA|YYZ|FRA|JED|ADD|
ADD|BOG,|BOG|JFK|FRA|JED|ADD|
ADD|BWI,|BWI|EWR|FRA|JED|ADD|
ADD|CLE,|CLE|YYZ|FRA|JED|ADD|
ADD|CLT,|CLT|EWR|FRA|JED|ADD|
ADD|CMH,|CMH|YYZ|FRA|JED|ADD|
ADD|CVG,|CVG|YYZ|FRA|JED|ADD|
ADD|DFW,|DFW|ORD|IST|ADD|
ADD|DTW,|DTW|FRA|JED|ADD|
ADD|DUB,|DUB|IST|ADD|
ADD|FCO,|FCO|IST|ADD|
ADD|GCM,|GCM|EWR|FRA|JED|ADD|
ADD|GGT,|GGT|FLL|MCO|FRA|JED|ADD|
ADD|GND,|GND|YYZ|FRA|JED|ADD|
ADD|GRU,|GRU|IST|ADD|
ADD|HAV,|HAV|YYZ|FRA|JED|ADD|
ADD|IND,|IND|YYZ|FRA|JED|ADD|
ADD|JFK,|JFK|FRA|JED|ADD|
ADD|KIN,|KIN|YYZ|FRA|JED|ADD|
ADD|LIM,|LIM|MIA|ZRH|IST|ADD|
ADD|LIR,|LIR|EWR|FRA|JED|ADD|
ADD|MCI,|MCI|ORD|IST|ADD|
ADD|MDT,|MDT|IAD|FRA|JED|ADD|
ADD|MIA,|MIA|ZRH|IST|ADD|
ADD|MKE,|MKE|YYZ|FRA|JED|ADD|
ADD|MSP,|MSP|YUL|FRA|JED|ADD|
ADD|NAS,|NAS|EWR|FRA|JED|ADD|
ADD|PHL,|PHL|IAD|FRA|JED|ADD|
ADD|PHX,|PHX|DEN|FRA|JED|ADD|
ADD|PIT,|PIT|YYZ|FRA|JED|ADD|
ADD|PLS,|PLS|EWR|FRA|JED|ADD|
ADD|POP,|POP|EWR|FRA|JED|ADD|
ADD|RDU,|RDU|EWR|FRA|JED|ADD|
ADD|ROC,|ROC|YYZ|FRA|JED|ADD|
ADD|RSW,|RSW|MCO|FRA|JED|ADD|
ADD|SAN,|SAN|LAX|IST|ADD|
ADD|SJO,|SJO|EWR|FRA|JED|ADD|
ADD|STL,|STL|ORD|IST|ADD|
ADD|SYR,|SYR|EWR|FRA|JED|ADD|
ADD|TLV,|TLV|IST|ADD|
ADD|TPA,|TPA|EWR|FRA|JED|ADD|
ADD|UVF,|UVF|EWR|FRA|JED|ADD|
ADD|VIE,|VIE|IST|ADD|
ADD|YAM,|YAM|YYZ|FRA|JED|ADD|
ADD|YGK,|YGK|YYZ|FRA|JED|ADD|
ADD|YQG,|YQG|YYZ|FRA|JED|ADD|
ADD|YSB,|YSB|YYZ|FRA|JED|ADD|
ADD|YTS,|YTS|YYZ|FRA|JED|ADD|
ADD|YYB,|YYB|YYZ|FRA|JED|ADD|
ADD|YZR,|YZR|YYZ|FRA|JED|ADD|
ADD|CAN,|CAN|IST|ADD|
ADD|URC,|URC|IST|ADD|
ADD|CTU,|CTU|URC|IST|ADD|
ADD|HGH,|HGH|URC|IST|ADD|
ADD|XMN,|XMN|CSX|URC|IST|ADD|
ADD|CGO,|CGO|URC|IST|ADD|
ADD|CSX,|CSX|URC|IST|ADD|
ADD|SHE,|SHE|PEK|IST|ADD|
ADD|SJW,|SJW|URC|IST|ADD|
ADD|WUH,|WUH|URC|IST|ADD|
ADD|SZX,|SZX|CKG|URC|IST|ADD|
ADD|CKG,|CKG|URC|IST|ADD|
ADD|KMG,|KMG|CTU|URC|IST|ADD|
ADD|FOC,|FOC|XIY|URC|IST|ADD|
ADD|NNG,|NNG|KWE|URC|IST|ADD|
ADD|SWA,|SWA|CAN|IST|ADD|
ADD|ACX,|ACX|CAN|IST|ADD|
ADD|AQG,|AQG|CAN|IST|ADD|
ADD|AVA,|AVA|CAN|IST|ADD|
ADD|BFJ,|BFJ|CAN|IST|ADD|
ADD|BHY,|BHY|CKG|URC|IST|ADD|
ADD|BNE,|BNE|BKK|IST|ADD|
ADD|CGD,|CGD|PEK|IST|ADD|
ADD|CGK,|CGK|SIN|IST|ADD|
ADD|CGQ,|CGQ|HET|URC|IST|ADD|
ADD|CIH,|CIH|PEK|IST|ADD|
ADD|CNX,|CNX|CAN|IST|ADD|
ADD|CZX,|CZX|TYN|URC|IST|ADD|
ADD|DAC,|DAC|IST|ADD|
ADD|DAD,|DAD|CAN|IST|ADD|
ADD|DEL,|DEL|IST|ADD|
ADD|DIG,|DIG|KMG|CTU|URC|IST|ADD|
ADD|DLC,|DLC|PEK|IST|ADD|
ADD|DPS,|DPS|CAN|IST|ADD|
ADD|DXB,|DXB|IST|ADD|
ADD|DYG,|DYG|CSX|URC|IST|ADD|
ADD|FUG,|FUG|CAN|IST|ADD|
ADD|FUK,|FUK|ICN|IST|ADD|
ADD|HAK,|HAK|CTU|URC|IST|ADD|
ADD|HAN,|HAN|CAN|IST|ADD|
ADD|HDG,|HDG|CAN|IST|ADD|
ADD|HET,|HET|URC|IST|ADD|
ADD|HFE,|HFE|XIY|URC|IST|ADD|
ADD|HJJ,|HJJ|CSX|URC|IST|ADD|
ADD|HKT,|HKT|KWE|URC|IST|ADD|
ADD|HRB,|HRB|PEK|IST|ADD|
ADD|HZH,|HZH|CAN|IST|ADD|
ADD|JIU,|JIU|CAN|IST|ADD|
