SMF|YZP,|YZP|YVR|PDX|SMF|
SMF|YQT,|YQT|YWG|DEN|SMF|
SMF|SJD,|SJD|LAX|SMF|
SMF|YQF,|YQF|YYC|PDX|SMF|
SMF|YQL,|YQL|YYC|PDX|SMF|
SMF|YXH,|YXH|YYC|PDX|SMF|
SMF|YWK,|YWK|YZV|YQB|ORD|SMF|
SMF|ANU,|ANU|EWR|ORD|SMF|
SMF|AUA,|AUA|ATL|DEN|SMF|
SMF|AUH,|AUH|FRA|SEA|SMF|
SMF|BCN,|BCN|YYZ|ORD|SMF|
SMF|BDA,|BDA|EWR|ORD|SMF|
SMF|BGI,|BGI|YYZ|ORD|SMF|
SMF|BNA,|BNA|DEN|SMF|
SMF|BOG,|BOG|IAH|SMF|
SMF|BWI,|BWI|DEN|SMF|
SMF|CLE,|CLE|ORD|SMF|
SMF|CLT,|CLT|MDW|SMF|
SMF|CMH,|CMH|DEN|SMF|
SMF|CVG,|CVG|DEN|SMF|
SMF|DFW,|DFW|SFO|SMF|
SMF|DTW,|DTW|ORD|SMF|
SMF|DUB,|DUB|ORD|SMF|
SMF|FCO,|FCO|YYZ|ORD|SMF|
SMF|GCM,|GCM|IAH|SMF|
SMF|GGT,|GGT|FLL|LAS|SMF|
SMF|GND,|GND|YYZ|ORD|SMF|
SMF|GRU,|GRU|IAH|SMF|
SMF|HAV,|HAV|YYZ|ORD|SMF|
SMF|IND,|IND|DEN|SMF|
SMF|JFK,|JFK|YYZ|ORD|SMF|
SMF|KIN,|KIN|YYZ|ORD|SMF|
SMF|LIM,|LIM|IAH|SMF|
SMF|LIR,|LIR|IAH|SMF|
SMF|MCI,|MCI|DEN|SMF|
SMF|MDT,|MDT|ORD|SMF|
SMF|MIA,|MIA|MSY|LAS|SMF|
SMF|MKE,|MKE|DEN|SMF|
SMF|MSP,|MSP|DEN|SMF|
SMF|NAS,|NAS|IAH|SMF|
SMF|PHL,|PHL|MDW|SMF|
SMF|PHX,|PHX|SMF|
SMF|PIT,|PIT|MDW|SMF|
SMF|PLS,|PLS|YYZ|ORD|SMF|
SMF|POP,|POP|YYZ|ORD|SMF|
SMF|RDU,|RDU|DEN|SMF|
SMF|ROC,|ROC|ORD|SMF|
SMF|RSW,|RSW|IAH|SMF|
SMF|SAN,|SAN|SMF|
SMF|SJO,|SJO|IAH|SMF|
SMF|STL,|STL|DEN|SMF|
SMF|SYR,|SYR|ORD|SMF|
SMF|TLV,|TLV|IST|FRA|SEA|SMF|
SMF|TPA,|TPA|LAS|SMF|
SMF|UVF,|UVF|EWR|ORD|SMF|
SMF|VIE,|VIE|ORD|SMF|
SMF|YAM,|YAM|YYZ|ORD|SMF|
SMF|YGK,|YGK|YYZ|ORD|SMF|
SMF|YQG,|YQG|YYZ|ORD|SMF|
SMF|YSB,|YSB|YYZ|ORD|SMF|
SMF|YTS,|YTS|YYZ|ORD|SMF|
SMF|YYB,|YYB|YYZ|ORD|SMF|
SMF|YZR,|YZR|YYZ|ORD|SMF|
SMF|CAN,|CAN|PVG|SFO|SMF|
SMF|URC,|URC|PEK|SFO|SMF|
SMF|CTU,|CTU|PEK|SFO|SMF|
SMF|HGH,|HGH|DLC|ICN|SFO|SMF|
SMF|XMN,|XMN|YNZ|DLC|ICN|SFO|SMF|
SMF|CGO,|CGO|PEK|SFO|SMF|
SMF|CSX,|CSX|ICN|SFO|SMF|
SMF|SHE,|SHE|ICN|SFO|SMF|
SMF|SJW,|SJW|DLC|ICN|SFO|SMF|
SMF|WUH,|WUH|ICN|SFO|SMF|
SMF|SZX,|SZX|PVG|SFO|SMF|
SMF|CKG,|CKG|PEK|SFO|SMF|
SMF|KMG,|KMG|PEK|SFO|SMF|
SMF|FOC,|FOC|HGH|DLC|ICN|SFO|SMF|
SMF|NNG,|NNG|CSX|ICN|SFO|SMF|
