BGW|YCG,|YCG|YYC|FRA|ESB|BGW|
BGW|YKA,|YKA|YYC|FRA|ESB|BGW|
BGW|YPR,|YPR|YVR|FRA|ESB|BGW|
BGW|YQZ,|YQZ|YVR|FRA|ESB|BGW|
BGW|YXC,|YXC|YYC|FRA|ESB|BGW|
BGW|YXJ,|YXJ|YYC|FRA|ESB|BGW|
BGW|YXS,|YXS|YYC|FRA|ESB|BGW|
BGW|YXT,|YXT|YVR|FRA|ESB|BGW|
BGW|YXY,|YXY|YVR|FRA|ESB|BGW|
BGW|YYD,|YYD|YVR|FRA|ESB|BGW|
BGW|YYF,|YYF|YVR|FRA|ESB|BGW|
BGW|YZP,|YZP|YVR|FRA|ESB|BGW|
BGW|YQT,|YQT|YYZ|VIE|ESB|BGW|
BGW|SJD,|SJD|ORD|VIE|ESB|BGW|
BGW|YQF,|YQF|YYC|FRA|ESB|BGW|
BGW|YQL,|YQL|YYC|FRA|ESB|BGW|
BGW|YXH,|YXH|YYC|FRA|ESB|BGW|
BGW|YWK,|YWK|YYR|YYT|LHR|IST|BGW|
BGW|ANU,|ANU|EWR|FRA|ESB|BGW|
BGW|AUA,|AUA|EWR|FRA|ESB|BGW|
BGW|AUH,|AUH|IST|BGW|
BGW|BCN,|BCN|IST|BGW|
BGW|BDA,|BDA|EWR|FRA|ESB|BGW|
BGW|BGI,|BGI|YYZ|VIE|ESB|BGW|
BGW|BNA,|BNA|YYZ|VIE|ESB|BGW|
BGW|BOG,|BOG|JFK|VIE|ESB|BGW|
BGW|BWI,|BWI|EWR|FRA|ESB|BGW|
BGW|CLE,|CLE|YYZ|VIE|ESB|BGW|
BGW|CLT,|CLT|EWR|FRA|ESB|BGW|
BGW|CMH,|CMH|YYZ|VIE|ESB|BGW|
BGW|CVG,|CVG|YYZ|VIE|ESB|BGW|
BGW|DFW,|DFW|ORD|VIE|ESB|BGW|
BGW|DTW,|DTW|YYZ|VIE|ESB|BGW|
BGW|DUB,|DUB|IST|BGW|
BGW|FCO,|FCO|IST|BGW|
BGW|GCM,|GCM|EWR|FRA|ESB|BGW|
BGW|GGT,|GGT|FLL|MCO|FRA|ESB|BGW|
BGW|GND,|GND|YYZ|VIE|ESB|BGW|
BGW|GRU,|GRU|IST|BGW|
BGW|HAV,|HAV|YYZ|VIE|ESB|BGW|
BGW|IND,|IND|YYZ|VIE|ESB|BGW|
BGW|JFK,|JFK|VIE|ESB|BGW|
BGW|KIN,|KIN|YYZ|VIE|ESB|BGW|
BGW|LIM,|LIM|MIA|ZRH|IST|BGW|
BGW|LIR,|LIR|EWR|FRA|ESB|BGW|
BGW|MCI,|MCI|ORD|VIE|ESB|BGW|
BGW|MDT,|MDT|IAD|VIE|ESB|BGW|
BGW|MIA,|MIA|ZRH|IST|BGW|
BGW|MKE,|MKE|YYZ|VIE|ESB|BGW|
BGW|MSP,|MSP|YUL|FRA|ESB|BGW|
BGW|NAS,|NAS|EWR|FRA|ESB|BGW|
BGW|PHL,|PHL|IAD|VIE|ESB|BGW|
BGW|PHX,|PHX|DEN|FRA|ESB|BGW|
BGW|PIT,|PIT|YYZ|VIE|ESB|BGW|
BGW|PLS,|PLS|EWR|FRA|ESB|BGW|
BGW|POP,|POP|EWR|FRA|ESB|BGW|
BGW|RDU,|RDU|EWR|FRA|ESB|BGW|
BGW|ROC,|ROC|YYZ|VIE|ESB|BGW|
BGW|RSW,|RSW|MCO|FRA|ESB|BGW|
BGW|SAN,|SAN|LAX|IST|BGW|
BGW|SJO,|SJO|EWR|FRA|ESB|BGW|
BGW|STL,|STL|ORD|VIE|ESB|BGW|
BGW|SYR,|SYR|EWR|FRA|ESB|BGW|
BGW|TLV,|TLV|SAW|ESB|BGW|
BGW|TPA,|TPA|EWR|FRA|ESB|BGW|
BGW|UVF,|UVF|EWR|FRA|ESB|BGW|
BGW|VIE,|VIE|ESB|BGW|
BGW|YAM,|YAM|YYZ|VIE|ESB|BGW|
BGW|YGK,|YGK|YYZ|VIE|ESB|BGW|
BGW|YQG,|YQG|YYZ|VIE|ESB|BGW|
BGW|YSB,|YSB|YYZ|VIE|ESB|BGW|
BGW|YTS,|YTS|YYZ|VIE|ESB|BGW|
BGW|YYB,|YYB|YYZ|VIE|ESB|BGW|
BGW|YZR,|YZR|YYZ|VIE|ESB|BGW|
BGW|CAN,|CAN|IST|BGW|
BGW|URC,|URC|TBS|SAW|ESB|BGW|
BGW|CTU,|CTU|URC|TBS|SAW|ESB|BGW|
BGW|HGH,|HGH|URC|TBS|SAW|ESB|BGW|
BGW|XMN,|XMN|CSX|URC|TBS|SAW|ESB|BGW|
BGW|CGO,|CGO|URC|TBS|SAW|ESB|BGW|
BGW|CSX,|CSX|URC|TBS|SAW|ESB|BGW|
BGW|SHE,|SHE|PEK|IST|BGW|
BGW|SJW,|SJW|URC|TBS|SAW|ESB|BGW|
BGW|WUH,|WUH|URC|TBS|SAW|ESB|BGW|
BGW|SZX,|SZX|CKG|URC|TBS|SAW|ESB|BGW|
BGW|CKG,|CKG|URC|TBS|SAW|ESB|BGW|
BGW|KMG,|KMG|CTU|URC|TBS|SAW|ESB|BGW|
BGW|FOC,|FOC|XIY|URC|TBS|SAW|ESB|BGW|
BGW|NNG,|NNG|KWE|URC|TBS|SAW|ESB|BGW|
