ATH|YQZ,|YQZ|YVR|MUC|IST|ATH|
ATH|YXC,|YXC|YYC|FRA|IST|ATH|
ATH|YXJ,|YXJ|YYC|FRA|IST|ATH|
ATH|YXS,|YXS|YYC|FRA|IST|ATH|
ATH|YXT,|YXT|YVR|MUC|IST|ATH|
ATH|YXY,|YXY|YVR|MUC|IST|ATH|
ATH|YYD,|YYD|YVR|MUC|IST|ATH|
ATH|YYF,|YYF|YVR|MUC|IST|ATH|
ATH|YZP,|YZP|YVR|MUC|IST|ATH|
ATH|YQT,|YQT|YYZ|IST|ATH|
ATH|SJD,|SJD|ORD|IST|ATH|
ATH|YQF,|YQF|YYC|FRA|IST|ATH|
ATH|YQL,|YQL|YYC|FRA|IST|ATH|
ATH|YXH,|YXH|YYC|FRA|IST|ATH|
ATH|YWK,|YWK|YYR|YYT|LHR|IST|ATH|
ATH|ANU,|ANU|EWR|BHX|IST|ATH|
ATH|AUA,|AUA|EWR|BHX|IST|ATH|
ATH|AUH,|AUH|IST|ATH|
ATH|BCN,|BCN|IST|ATH|
ATH|BDA,|BDA|EWR|BHX|IST|ATH|
ATH|BGI,|BGI|YYZ|IST|ATH|
ATH|BNA,|BNA|YYZ|IST|ATH|
ATH|BOG,|BOG|MIA|ZRH|IST|ATH|
ATH|BWI,|BWI|EWR|BHX|IST|ATH|
ATH|CLE,|CLE|YYZ|IST|ATH|
ATH|CLT,|CLT|EWR|BHX|IST|ATH|
ATH|CMH,|CMH|YYZ|IST|ATH|
ATH|CVG,|CVG|YYZ|IST|ATH|
ATH|DFW,|DFW|ORD|IST|ATH|
ATH|DTW,|DTW|FRA|IST|ATH|
ATH|DUB,|DUB|IST|ATH|
ATH|FCO,|FCO|IST|ATH|
ATH|GCM,|GCM|EWR|BHX|IST|ATH|
ATH|GGT,|GGT|FLL|MCO|FRA|IST|ATH|
ATH|GND,|GND|YYZ|IST|ATH|
ATH|GRU,|GRU|IST|ATH|
ATH|HAV,|HAV|YYZ|IST|ATH|
ATH|IND,|IND|YYZ|IST|ATH|
ATH|JFK,|JFK|IST|ATH|
ATH|KIN,|KIN|YYZ|IST|ATH|
ATH|LIM,|LIM|MIA|ZRH|IST|ATH|
ATH|LIR,|LIR|EWR|BHX|IST|ATH|
ATH|MCI,|MCI|ORD|IST|ATH|
ATH|MDT,|MDT|IAD|IST|ATH|
ATH|MIA,|MIA|ZRH|IST|ATH|
ATH|MKE,|MKE|YYZ|IST|ATH|
ATH|MSP,|MSP|YUL|FRA|IST|ATH|
ATH|NAS,|NAS|EWR|BHX|IST|ATH|
ATH|PHL,|PHL|IAD|IST|ATH|
ATH|PHX,|PHX|DEN|FRA|IST|ATH|
ATH|PIT,|PIT|YYZ|IST|ATH|
ATH|PLS,|PLS|EWR|BHX|IST|ATH|
ATH|POP,|POP|EWR|BHX|IST|ATH|
ATH|RDU,|RDU|EWR|BHX|IST|ATH|
ATH|ROC,|ROC|YYZ|IST|ATH|
ATH|RSW,|RSW|MCO|FRA|IST|ATH|
ATH|SAN,|SAN|LAX|IST|ATH|
ATH|SJO,|SJO|EWR|BHX|IST|ATH|
ATH|STL,|STL|ORD|IST|ATH|
ATH|SYR,|SYR|EWR|BHX|IST|ATH|
ATH|TLV,|TLV|IST|ATH|
ATH|TPA,|TPA|EWR|BHX|IST|ATH|
ATH|UVF,|UVF|EWR|BHX|IST|ATH|
ATH|VIE,|VIE|IST|ATH|
ATH|YAM,|YAM|YYZ|IST|ATH|
ATH|YGK,|YGK|YYZ|IST|ATH|
ATH|YQG,|YQG|YYZ|IST|ATH|
ATH|YSB,|YSB|YYZ|IST|ATH|
ATH|YTS,|YTS|YYZ|IST|ATH|
ATH|YYB,|YYB|YYZ|IST|ATH|
ATH|YZR,|YZR|YYZ|IST|ATH|
ATH|CAN,|CAN|IST|ATH|
ATH|URC,|URC|IST|ATH|
ATH|CTU,|CTU|URC|IST|ATH|
ATH|HGH,|HGH|URC|IST|ATH|
ATH|XMN,|XMN|CSX|URC|IST|ATH|
ATH|CGO,|CGO|URC|IST|ATH|
ATH|CSX,|CSX|URC|IST|ATH|
ATH|SHE,|SHE|PEK|IST|ATH|
ATH|SJW,|SJW|URC|IST|ATH|
ATH|WUH,|WUH|URC|IST|ATH|
ATH|SZX,|SZX|CKG|URC|IST|ATH|
ATH|CKG,|CKG|URC|IST|ATH|
ATH|KMG,|KMG|CTU|URC|IST|ATH|
ATH|FOC,|FOC|XIY|URC|IST|ATH|
ATH|NNG,|NNG|KWE|URC|IST|ATH|
ATH|SWA,|SWA|CAN|IST|ATH|
ATH|ACX,|ACX|CAN|IST|ATH|
ATH|AQG,|AQG|CAN|IST|ATH|
ATH|AVA,|AVA|CAN|IST|ATH|
ATH|BFJ,|BFJ|CAN|IST|ATH|
ATH|BHY,|BHY|CKG|URC|IST|ATH|
ATH|BNE,|BNE|BKK|IST|ATH|
ATH|CGD,|CGD|PEK|IST|ATH|
ATH|CGK,|CGK|SIN|IST|ATH|
ATH|CGQ,|CGQ|HET|URC|IST|ATH|
ATH|CIH,|CIH|PEK|IST|ATH|
ATH|CNX,|CNX|CAN|IST|ATH|
ATH|CZX,|CZX|TYN|URC|IST|ATH|
ATH|DAC,|DAC|IST|ATH|
ATH|DAD,|DAD|CAN|IST|ATH|
ATH|DEL,|DEL|IST|ATH|
ATH|DIG,|DIG|KMG|CTU|URC|IST|ATH|
ATH|DLC,|DLC|PEK|IST|ATH|
ATH|DPS,|DPS|CAN|IST|ATH|
ATH|DXB,|DXB|IST|ATH|
ATH|DYG,|DYG|CSX|URC|IST|ATH|
ATH|FUG,|FUG|CAN|IST|ATH|
ATH|FUK,|FUK|ICN|IST|ATH|
ATH|HAK,|HAK|CTU|URC|IST|ATH|
ATH|HAN,|HAN|CAN|IST|ATH|
ATH|HDG,|HDG|CAN|IST|ATH|
ATH|HET,|HET|URC|IST|ATH|
ATH|HFE,|HFE|XIY|URC|IST|ATH|
ATH|HJJ,|HJJ|CSX|URC|IST|ATH|
ATH|HKT,|HKT|KWE|URC|IST|ATH|
ATH|HRB,|HRB|PEK|IST|ATH|
ATH|HZH,|HZH|CAN|IST|ATH|
ATH|JIU,|JIU|CAN|IST|ATH|
ATH|JJN,|JJN|CSX|URC|IST|ATH|
ATH|JNG,|JNG|CAN|IST|ATH|
ATH|KHN,|KHN|XIY|URC|IST|ATH|
ATH|KIX,|KIX|IST|ATH|
ATH|KOW,|KOW|CAN|IST|ATH|
ATH|KTM,|KTM|IST|ATH|
ATH|KUL,|KUL|IST|ATH|
ATH|KWE,|KWE|URC|IST|ATH|
ATH|KWL,|KWL|CKG|URC|IST|ATH|
ATH|LHW,|LHW|URC|IST|ATH|
ATH|LYA,|LYA|KHN|XIY|URC|IST|ATH|
ATH|LYG,|LYG|XUZ|INC|URC|IST|ATH|
ATH|LZH,|LZH|CAN|IST|ATH|
ATH|MEL,|MEL|BKK|IST|ATH|
ATH|MIG,|MIG|CSX|URC|IST|ATH|
ATH|MLE,|MLE|IST|ATH|
ATH|MNL,|MNL|CAN|IST|ATH|
ATH|MXZ,|MXZ|CAN|IST|ATH|
ATH|NAO,|NAO|PEK|IST|ATH|
ATH|NGB,|NGB|WUH|URC|IST|ATH|
ATH|NKG,|NKG|URC|IST|ATH|
ATH|NNY,|NNY|CGO|URC|IST|ATH|
ATH|PEN,|PEN|CAN|IST|ATH|
ATH|PER,|PER|BKK|IST|ATH|
ATH|PNH,|PNH|CAN|IST|ATH|
ATH|REP,|REP|CAN|IST|ATH|
ATH|RGN,|RGN|CAN|IST|ATH|
ATH|SGN,|SGN|BKK|IST|ATH|
ATH|SHA,|SHA|URC|IST|ATH|
ATH|SIN,|SIN|IST|ATH|
ATH|SVO,|SVO|URC|IST|ATH|
ATH|SYX,|SYX|CKG|URC|IST|ATH|
ATH|TAO,|TAO|TYN|URC|IST|ATH|
ATH|TEN,|TEN|CAN|IST|ATH|
ATH|TNA,|TNA|URC|IST|ATH|
ATH|TPE,|TPE|URC|IST|ATH|
ATH|TSN,|TSN|HET|URC|IST|ATH|
ATH|TXN,|TXN|TYN|URC|IST|ATH|
ATH|TYN,|TYN|URC|IST|ATH|
ATH|WNZ,|WNZ|XIY|URC|IST|ATH|
ATH|WUX,|WUX|CAN|IST|ATH|
ATH|XFN,|XFN|CAN|IST|ATH|
ATH|XIY,|XIY|URC|IST|ATH|
ATH|XUZ,|XUZ|INC|URC|IST|ATH|
ATH|YIH,|YIH|CKG|URC|IST|ATH|
ATH|YIW,|YIW|URC|IST|ATH|
ATH|YNT,|YNT|SHE|PEK|IST|ATH|
ATH|YNZ,|YNZ|WUH|URC|IST|ATH|
ATH|YTY,|YTY|CGO|URC|IST|ATH|
ATH|ZHA,|ZHA|CAN|IST|ATH|
ATH|ZYI,|ZYI|CAN|IST|ATH|
ATH|BAV,|BAV|URC|IST|ATH|
ATH|CJU,|CJU|DLC|PEK|IST|ATH|
ATH|DSN,|DSN|CGO|URC|IST|ATH|
ATH|HMI,|HMI|URC|IST|ATH|
ATH|INC,|INC|URC|IST|ATH|
ATH|KHH,|KHH|WUH|URC|IST|ATH|
ATH|UYN,|UYN|XIY|URC|IST|ATH|
ATH|XNN,|XNN|URC|IST|ATH|
ATH|ZUH,|ZUH|KWE|URC|IST|ATH|
ATH|YNJ,|YNJ|PEK|IST|ATH|
ATH|DAT,|DAT|TYN|URC|IST|ATH|
ATH|JHG,|JHG|KMG|CTU|URC|IST|ATH|
ATH|LJG,|LJG|KMG|CTU|URC|IST|ATH|
ATH|LXA,|LXA|CKG|URC|IST|ATH|
ATH|YCU,|YCU|CKG|URC|IST|ATH|
ATH|LZO,|LZO|CSX|URC|IST|ATH|
ATH|MDG,|MDG|DLC|PEK|IST|ATH|
ATH|NGO,|NGO|ICN|IST|ATH|
ATH|TOY,|TOY|DLC|PEK|IST|ATH|
ATH|MFM,|MFM|XMN|CSX|URC|IST|ATH|
ATH|TGO,|TGO|HET|URC|IST|ATH|
ATH|XIL,|XIL|HET|URC|IST|ATH|
ATH|HEK,|HEK|HRB|PEK|IST|ATH|
ATH|KIJ,|KIJ|HRB|PEK|IST|ATH|
ATH|LDS,|LDS|HRB|PEK|IST|ATH|
ATH|OHE,|OHE|HRB|PEK|IST|ATH|
ATH|HSN,|HSN|LYG|XUZ|INC|URC|IST|ATH|
ATH|DLU,|DLU|KMG|CTU|URC|IST|ATH|
ATH|SYM,|SYM|KMG|CTU|URC|IST|ATH|
ATH|ZAT,|ZAT|KMG|CTU|URC|IST|ATH|
ATH|LUN,|LUN|NBO|IST|ATH|
ATH|AOG,|AOG|PEK|IST|ATH|
ATH|GMP,|GMP|PEK|IST|ATH|
ATH|ISB,|ISB|IST|ATH|
ATH|TAS,|TAS|IST|ATH|
ATH|WUS,|WUS|PEK|IST|ATH|
ATH|JMU,|JMU|PVG|IST|ATH|
ATH|NDG,|NDG|PVG|IST|ATH|
ATH|JXA,|JXA|SHE|PEK|IST|ATH|
ATH|PUS,|PUS|SHE|PEK|IST|ATH|
ATH|BKI,|BKI|SZX|CKG|URC|IST|ATH|
ATH|AKU,|AKU|URC|IST|ATH|
ATH|ALA,|ALA|IST|ATH|
ATH|ASB,|ASB|IST|ATH|
ATH|DNH,|DNH|URC|IST|ATH|
ATH|DYU,|DYU|IST|ATH|
ATH|FRU,|FRU|IST|ATH|
ATH|GYD,|GYD|IST|ATH|
ATH|HTN,|HTN|URC|IST|ATH|
ATH|IKA,|IKA|IST|ATH|
ATH|KCA,|KCA|URC|IST|ATH|
ATH|KHG,|KHG|URC|IST|ATH|
ATH|KRL,|KRL|URC|IST|ATH|
ATH|KRY,|KRY|URC|IST|ATH|
ATH|LBD,|LBD|URC|IST|ATH|
ATH|NLT,|NLT|URC|IST|ATH|
ATH|OSS,|OSS|IST|ATH|
ATH|OVB,|OVB|IST|ATH|
ATH|TBS,|TBS|IST|ATH|
ATH|TCG,|TCG|URC|IST|ATH|
ATH|TSE,|TSE|IST|ATH|
ATH|YIN,|YIN|URC|IST|ATH|
ATH|ENH,|ENH|WUH|URC|IST|ATH|
ATH|ENY,|ENY|XIY|URC|IST|ATH|
ATH|WXN,|WXN|XIY|URC|IST|ATH|
ATH|BLL,|BLL|IST|ATH|
ATH|ESB,|ESB|IST|ATH|
ATH|SAW,|SAW|ADB|IST|ATH|
ATH|HAM,|HAM|IST|ATH|
ATH|HRE,|HRE|ADD|IST|ATH|
ATH|JUB,|JUB|CAI|IST|ATH|
ATH|SSG,|SSG|DLA|IST|ATH|
ATH|BGW,|BGW|IST|ATH|
ATH|EBL,|EBL|IST|ATH|
ATH|VKO,|VKO|IST|ATH|
ATH|MCT,|MCT|IST|ATH|
ATH|AYT,|AYT|IST|ATH|
ATH|SCQ,|SCQ|BIO|IST|ATH|
ATH|AAL,|AAL|IST|ATH|
ATH|AOE,|AOE|BRU|IST|ATH|
ATH|JNB,|JNB|IST|ATH|
ATH|LBV,|LBV|DLA|IST|ATH|
ATH|ADA,|ADA|IST|ATH|
ATH|ADB,|ADB|IST|ATH|
ATH|ADF,|ADF|IST|ATH|
ATH|AJI,|AJI|IST|ATH|
ATH|BAL,|BAL|IST|ATH|
ATH|BJV,|BJV|IST|ATH|
ATH|CKZ,|CKZ|ESB|IST|ATH|
ATH|DIY,|DIY|IST|ATH|
ATH|ECN,|ECN|IST|ATH|
ATH|ERC,|ERC|IST|ATH|
ATH|ERZ,|ERZ|IST|ATH|
ATH|EZS,|EZS|IST|ATH|
ATH|GNY,|GNY|IST|ATH|
ATH|GZP,|GZP|ESB|IST|ATH|
ATH|GZT,|GZT|IST|ATH|
ATH|HTY,|HTY|IST|ATH|
ATH|KCM,|KCM|IST|ATH|
ATH|KSY,|KSY|IST|ATH|
ATH|MLX,|MLX|IST|ATH|
ATH|MQM,|MQM|IST|ATH|
ATH|MSR,|MSR|IST|ATH|
ATH|TEQ,|TEQ|ESB|IST|ATH|
ATH|TZX,|TZX|IST|ATH|
ATH|VAN,|VAN|IST|ATH|
ATH|ULN,|ULN|FRU|IST|ATH|
ATH|HIJ,|HIJ|ICN|IST|ATH|
ATH|VVO,|VVO|ICN|IST|ATH|
ATH|ACC,|ACC|IST|ATH|
ATH|AER,|AER|IST|ATH|
ATH|AGP,|AGP|IST|ATH|
ATH|ALG,|ALG|IST|ATH|
ATH|AMM,|AMM|IST|ATH|
ATH|AQJ,|AQJ|IST|ATH|
ATH|ARN,|ARN|IST|ATH|
ATH|ASR,|ASR|IST|ATH|
ATH|BAH,|BAH|IST|ATH|
ATH|BEG,|BEG|IST|ATH|
ATH|BEN,|BEN|IST|ATH|
ATH|BEY,|BEY|IST|ATH|
ATH|BHX,|BHX|IST|ATH|
ATH|BIO,|BIO|IST|ATH|
ATH|BLQ,|BLQ|IST|ATH|
ATH|BOM,|BOM|IST|ATH|
ATH|BRE,|BRE|IST|ATH|
ATH|BSL,|BSL|IST|ATH|
ATH|BSR,|BSR|IST|ATH|
ATH|BUD,|BUD|IST|ATH|
ATH|BUS,|BUS|IST|ATH|
ATH|CAI,|CAI|IST|ATH|
ATH|CGN,|CGN|IST|ATH|
ATH|CMN,|CMN|IST|ATH|
ATH|CND,|CND|IST|ATH|
ATH|DAR,|DAR|IST|ATH|
ATH|DLM,|DLM|IST|ATH|
ATH|DMM,|DMM|IST|ATH|
ATH|DNK,|DNK|IST|ATH|
ATH|DNZ,|DNZ|IST|ATH|
ATH|DOK,|DOK|IST|ATH|
ATH|DUS,|DUS|IST|ATH|
ATH|EDI,|EDI|IST|ATH|
ATH|ELQ,|ELQ|IST|ATH|
ATH|FDH,|FDH|IST|ATH|
ATH|GOA,|GOA|IST|ATH|
ATH|GOT,|GOT|IST|ATH|
ATH|HAJ,|HAJ|IST|ATH|
ATH|HBE,|HBE|IST|ATH|
ATH|HEL,|HEL|IST|ATH|
ATH|HRG,|HRG|IST|ATH|
ATH|IFN,|IFN|IST|ATH|
ATH|ISE,|ISE|IST|ATH|
ATH|ISU,|ISU|IST|ATH|
ATH|JIB,|JIB|IST|ATH|
ATH|JRO,|JRO|IST|ATH|
ATH|KAN,|KAN|IST|ATH|
ATH|KBL,|KBL|IST|ATH|
ATH|KBP,|KBP|IST|ATH|
ATH|KFS,|KFS|IST|ATH|
ATH|KHI,|KHI|IST|ATH|
ATH|KIV,|KIV|IST|ATH|
ATH|KRT,|KRT|IST|ATH|
ATH|KSH,|KSH|IST|ATH|
ATH|KVD,|KVD|IST|ATH|
ATH|KWI,|KWI|IST|ATH|
ATH|KYA,|KYA|IST|ATH|
ATH|KZN,|KZN|IST|ATH|
ATH|KZR,|KZR|IST|ATH|
ATH|LED,|LED|IST|ATH|
ATH|LEJ,|LEJ|IST|ATH|
ATH|LGW,|LGW|IST|ATH|
ATH|LHE,|LHE|IST|ATH|
ATH|LIS,|LIS|IST|ATH|
ATH|LJU,|LJU|IST|ATH|
ATH|LOS,|LOS|IST|ATH|
ATH|LUX,|LUX|IST|ATH|
ATH|LWO,|LWO|IST|ATH|
ATH|LYS,|LYS|IST|ATH|
ATH|MAD,|MAD|IST|ATH|
ATH|MAN,|MAN|IST|ATH|
ATH|MED,|MED|IST|ATH|
ATH|MHD,|MHD|IST|ATH|
ATH|MLA,|MLA|IST|ATH|
ATH|MRS,|MRS|IST|ATH|
ATH|MSQ,|MSQ|IST|ATH|
ATH|MXP,|MXP|IST|ATH|
ATH|MZH,|MZH|IST|ATH|
ATH|MZR,|MZR|IST|ATH|
ATH|NAJ,|NAJ|IST|ATH|
ATH|NAV,|NAV|IST|ATH|
ATH|NCE,|NCE|IST|ATH|
ATH|NIM,|NIM|IST|ATH|
ATH|NJF,|NJF|IST|ATH|
ATH|NSI,|NSI|IST|ATH|
ATH|NUE,|NUE|IST|ATH|
ATH|ODS,|ODS|IST|ATH|
ATH|ORN,|ORN|IST|ATH|
ATH|OTP,|OTP|IST|ATH|
ATH|PRG,|PRG|IST|ATH|
ATH|PRN,|PRN|IST|ATH|
ATH|RIX,|RIX|IST|ATH|
ATH|ROV,|ROV|IST|ATH|
ATH|RTM,|RTM|IST|ATH|
ATH|RUH,|RUH|IST|ATH|
ATH|SAH,|SAH|IST|ATH|
