OAK|EWR,|EWR|MDW|OAK|
OAK|IAD,|IAD|DEN|OAK|
OAK|IAH,|IAH|LAS|OAK|
OAK|ORD,|ORD|SLC|OAK|
OAK|SOF,|SOF|MUC|YVR|PDX|OAK|
OAK|YQB,|YQB|YUL|DEN|OAK|
OAK|YXU,|YXU|ORD|SLC|OAK|
OAK|EZE,|EZE|IAH|LAS|OAK|
OAK|YYJ,|YYJ|YVR|PDX|OAK|
OAK|YYY,|YYY|YUL|DEN|OAK|
OAK|YQQ,|YQQ|YBL|YVR|PDX|OAK|
OAK|YYR,|YYR|YWK|YZV|YUL|DEN|OAK|
OAK|LHR,|LHR|YYC|PDX|OAK|
OAK|SFO,|SFO|BUR|OAK|
OAK|YQU,|YQU|YYC|PDX|OAK|
OAK|YZF,|YZF|YYC|PDX|OAK|
OAK|YGR,|YGR|YGP|YQB|YUL|DEN|OAK|
OAK|YGP,|YGP|YQB|YUL|DEN|OAK|
OAK|BOS,|BOS|ORD|SLC|OAK|
OAK|YDF,|YDF|YYZ|DEN|OAK|
OAK|YFC,|YFC|YUL|DEN|OAK|
OAK|YQM,|YQM|YUL|DEN|OAK|
OAK|YQX,|YQX|YHZ|YUL|DEN|OAK|
OAK|YQY,|YQY|YYZ|DEN|OAK|
OAK|YSJ,|YSJ|YUL|DEN|OAK|
OAK|YYG,|YYG|YUL|DEN|OAK|
OAK|LAX,|LAX|OAK|
OAK|DCA,|DCA|DEN|OAK|
OAK|LGA,|LGA|MDW|OAK|
OAK|YZV,|YZV|YUL|DEN|OAK|
OAK|YWL,|YWL|YVR|PDX|OAK|
OAK|AZS,|AZS|YYZ|DEN|OAK|
OAK|BDL,|BDL|MDW|OAK|
OAK|CCC,|CCC|YYZ|DEN|OAK|
OAK|CDG,|CDG|ORD|SLC|OAK|
OAK|CUN,|CUN|AUS|OAK|
OAK|CZM,|CZM|IAH|LAS|OAK|
OAK|FDF,|FDF|YUL|DEN|OAK|
OAK|FLL,|FLL|MSY|DAL|ABQ|OAK|
OAK|GVA,|GVA|YUL|DEN|OAK|
OAK|HOG,|HOG|YYZ|DEN|OAK|
OAK|LAS,|LAS|OAK|
OAK|MBJ,|MBJ|IAH|LAS|OAK|
OAK|MCO,|MCO|LAS|OAK|
OAK|MUC,|MUC|YVR|PDX|OAK|
OAK|PAP,|PAP|YUL|DEN|OAK|
OAK|PTP,|PTP|YUL|DEN|OAK|
OAK|PUJ,|PUJ|ATL|LAS|OAK|
OAK|SNU,|SNU|YYZ|DEN|OAK|
OAK|VRA,|VRA|YYC|PDX|OAK|
OAK|YBC,|YBC|YUL|DEN|OAK|
OAK|YBG,|YBG|YUL|DEN|OAK|
OAK|YTZ,|YTZ|YUL|DEN|OAK|
OAK|YUY,|YUY|YUL|DEN|OAK|
OAK|YVO,|YVO|YUL|DEN|OAK|
OAK|ZBF,|ZBF|YUL|DEN|OAK|
OAK|ZRH,|ZRH|LAX|OAK|
OAK|ZSA,|ZSA|YUL|DEN|OAK|
OAK|AKL,|AKL|LAX|OAK|
OAK|HKG,|HKG|YVR|PDX|OAK|
OAK|HND,|HND|YVR|PDX|OAK|
OAK|HNL,|HNL|LAX|OAK|
OAK|MEX,|MEX|LAX|OAK|
OAK|OGG,|OGG|LAX|OAK|
OAK|PDX,|PDX|OAK|
OAK|PEK,|PEK|SEA|OAK|
OAK|PVG,|PVG|ICN|SEA|OAK|
OAK|PVR,|PVR|LAX|OAK|
OAK|SEA,|SEA|OAK|
OAK|SYD,|SYD|LAX|OAK|
OAK|YBL,|YBL|YVR|PDX|OAK|
OAK|YCD,|YCD|YVR|PDX|OAK|
OAK|YCG,|YCG|YVR|PDX|OAK|
OAK|YKA,|YKA|YVR|PDX|OAK|
OAK|YPR,|YPR|YVR|PDX|OAK|
OAK|YQZ,|YQZ|YVR|PDX|OAK|
OAK|YXC,|YXC|YVR|PDX|OAK|
OAK|YXJ,|YXJ|YVR|PDX|OAK|
OAK|YXS,|YXS|YVR|PDX|OAK|
OAK|YXT,|YXT|YVR|PDX|OAK|
OAK|YXY,|YXY|YVR|PDX|OAK|
OAK|YYD,|YYD|YVR|PDX|OAK|
OAK|YYF,|YYF|YVR|PDX|OAK|
OAK|YZP,|YZP|YVR|PDX|OAK|
OAK|YQT,|YQT|YWG|LAS|OAK|
OAK|SJD,|SJD|LAX|OAK|
OAK|YQF,|YQF|YYC|PDX|OAK|
OAK|YQL,|YQL|YYC|PDX|OAK|
OAK|YXH,|YXH|YYC|PDX|OAK|
OAK|YWK,|YWK|YZV|YUL|DEN|OAK|
OAK|ANU,|ANU|EWR|MDW|OAK|
OAK|AUA,|AUA|ATL|LAS|OAK|
OAK|AUH,|AUH|FRA|SEA|OAK|
