AKU|MEX,|MEX|YVR|PEK|URC|AKU|
AKU|OGG,|OGG|HNL|PEK|URC|AKU|
AKU|PDX,|PDX|SEA|PEK|URC|AKU|
AKU|PEK,|PEK|URC|AKU|
AKU|PVG,|PVG|URC|AKU|
AKU|PVR,|PVR|SFO|PEK|URC|AKU|
AKU|SEA,|SEA|PEK|URC|AKU|
AKU|SYD,|SYD|CAN|URC|AKU|
AKU|YBL,|YBL|YVR|PEK|URC|AKU|
AKU|YCD,|YCD|YVR|PEK|URC|AKU|
AKU|YCG,|YCG|YVR|PEK|URC|AKU|
AKU|YKA,|YKA|YVR|PEK|URC|AKU|
AKU|YPR,|YPR|YVR|PEK|URC|AKU|
AKU|YQZ,|YQZ|YVR|PEK|URC|AKU|
AKU|YXC,|YXC|YVR|PEK|URC|AKU|
AKU|YXJ,|YXJ|YVR|PEK|URC|AKU|
AKU|YXS,|YXS|YVR|PEK|URC|AKU|
AKU|YXT,|YXT|YVR|PEK|URC|AKU|
AKU|YXY,|YXY|YVR|PEK|URC|AKU|
AKU|YYD,|YYD|YVR|PEK|URC|AKU|
AKU|YYF,|YYF|YVR|PEK|URC|AKU|
AKU|YZP,|YZP|YVR|PEK|URC|AKU|
AKU|YQT,|YQT|YYZ|FRA|TSE|URC|AKU|
AKU|SJD,|SJD|SFO|PEK|URC|AKU|
AKU|YQF,|YQF|YYC|YVR|PEK|URC|AKU|
AKU|YQL,|YQL|YYC|YVR|PEK|URC|AKU|
AKU|YXH,|YXH|YYC|YVR|PEK|URC|AKU|
AKU|YWK,|YWK|YYR|YYT|LHR|IST|URC|AKU|
AKU|ANU,|ANU|EWR|FRA|TSE|URC|AKU|
AKU|AUA,|AUA|EWR|FRA|TSE|URC|AKU|
AKU|AUH,|AUH|IST|URC|AKU|
AKU|BCN,|BCN|IST|URC|AKU|
AKU|BDA,|BDA|EWR|FRA|TSE|URC|AKU|
AKU|BGI,|BGI|YYZ|FRA|TSE|URC|AKU|
AKU|BNA,|BNA|YYZ|FRA|TSE|URC|AKU|
AKU|BOG,|BOG|JFK|FRA|TSE|URC|AKU|
AKU|BWI,|BWI|EWR|FRA|TSE|URC|AKU|
AKU|CLE,|CLE|YYZ|FRA|TSE|URC|AKU|
AKU|CLT,|CLT|EWR|FRA|TSE|URC|AKU|
AKU|CMH,|CMH|YYZ|FRA|TSE|URC|AKU|
AKU|CVG,|CVG|YYZ|FRA|TSE|URC|AKU|
AKU|DFW,|DFW|YVR|PEK|URC|AKU|
AKU|DTW,|DTW|FRA|TSE|URC|AKU|
AKU|DUB,|DUB|IST|URC|AKU|
AKU|FCO,|FCO|IST|URC|AKU|
AKU|GCM,|GCM|EWR|FRA|TSE|URC|AKU|
AKU|GGT,|GGT|FLL|MCO|FRA|TSE|URC|AKU|
AKU|GND,|GND|YYZ|FRA|TSE|URC|AKU|
AKU|GRU,|GRU|IST|URC|AKU|
AKU|HAV,|HAV|YYZ|FRA|TSE|URC|AKU|
AKU|IND,|IND|YYZ|FRA|TSE|URC|AKU|
AKU|JFK,|JFK|FRA|TSE|URC|AKU|
AKU|KIN,|KIN|YYZ|FRA|TSE|URC|AKU|
AKU|LIM,|LIM|MIA|FRA|TSE|URC|AKU|
AKU|LIR,|LIR|EWR|FRA|TSE|URC|AKU|
AKU|MCI,|MCI|ORD|FRA|TSE|URC|AKU|
AKU|MDT,|MDT|IAD|FRA|TSE|URC|AKU|
AKU|MIA,|MIA|FRA|TSE|URC|AKU|
AKU|MKE,|MKE|YYZ|FRA|TSE|URC|AKU|
AKU|MSP,|MSP|YUL|FRA|TSE|URC|AKU|
AKU|NAS,|NAS|EWR|FRA|TSE|URC|AKU|
AKU|PHL,|PHL|IAD|FRA|TSE|URC|AKU|
AKU|PHX,|PHX|SEA|PEK|URC|AKU|
AKU|PIT,|PIT|YYZ|FRA|TSE|URC|AKU|
