JAN|YXS,|YXS|YYC|ORD|JAN|
JAN|YXT,|YXT|YVR|IAH|JAN|
JAN|YXY,|YXY|YVR|IAH|JAN|
JAN|YYD,|YYD|YVR|IAH|JAN|
JAN|YYF,|YYF|YVR|IAH|JAN|
JAN|YZP,|YZP|YVR|IAH|JAN|
JAN|YQT,|YQT|YYZ|DTW|MDW|JAN|
JAN|SJD,|SJD|IAH|JAN|
JAN|YQF,|YQF|YYC|ORD|JAN|
JAN|YQL,|YQL|YYC|ORD|JAN|
JAN|YXH,|YXH|YYC|ORD|JAN|
JAN|YWK,|YWK|YZV|YQB|ORD|JAN|
JAN|ANU,|ANU|EWR|MDW|JAN|
JAN|AUA,|AUA|ATL|MCO|JAN|
JAN|AUH,|AUH|YYZ|DTW|MDW|JAN|
JAN|BCN,|BCN|YYZ|DTW|MDW|JAN|
JAN|BDA,|BDA|EWR|MDW|JAN|
JAN|BGI,|BGI|YYZ|DTW|MDW|JAN|
JAN|BNA,|BNA|IAH|JAN|
JAN|BOG,|BOG|IAH|JAN|
JAN|BWI,|BWI|MDW|JAN|
JAN|CLE,|CLE|MDW|JAN|
JAN|CLT,|CLT|MCO|JAN|
JAN|CMH,|CMH|MDW|JAN|
JAN|CVG,|CVG|ORD|JAN|
JAN|DFW,|DFW|IAH|JAN|
JAN|DTW,|DTW|MDW|JAN|
JAN|DUB,|DUB|ORD|JAN|
JAN|FCO,|FCO|YYZ|DTW|MDW|JAN|
JAN|GCM,|GCM|IAH|JAN|
JAN|GGT,|GGT|FLL|MCO|JAN|
JAN|GND,|GND|YYZ|DTW|MDW|JAN|
JAN|GRU,|GRU|IAH|JAN|
JAN|HAV,|HAV|YYZ|DTW|MDW|JAN|
JAN|IND,|IND|ORD|JAN|
JAN|JFK,|JFK|IAD|MDW|JAN|
JAN|KIN,|KIN|YYZ|DTW|MDW|JAN|
JAN|LIM,|LIM|IAH|JAN|
JAN|LIR,|LIR|IAH|JAN|
JAN|MCI,|MCI|IAH|JAN|
JAN|MDT,|MDT|ORD|JAN|
JAN|MIA,|MIA|IAH|JAN|
JAN|MKE,|MKE|ORD|JAN|
JAN|MSP,|MSP|ORD|JAN|
JAN|NAS,|NAS|IAH|JAN|
JAN|PHL,|PHL|MDW|JAN|
JAN|PHX,|PHX|IAH|JAN|
JAN|PIT,|PIT|MDW|JAN|
JAN|PLS,|PLS|YYZ|DTW|MDW|JAN|
JAN|POP,|POP|EWR|MDW|JAN|
JAN|RDU,|RDU|MCO|JAN|
JAN|ROC,|ROC|MDW|JAN|
JAN|RSW,|RSW|MCO|JAN|
JAN|SAN,|SAN|IAH|JAN|
JAN|SJO,|SJO|IAH|JAN|
JAN|STL,|STL|MDW|JAN|
JAN|SYR,|SYR|ORD|JAN|
JAN|TLV,|TLV|IST|ORD|JAN|
JAN|TPA,|TPA|GNV|MCO|JAN|
JAN|UVF,|UVF|EWR|MDW|JAN|
JAN|VIE,|VIE|ORD|JAN|
JAN|YAM,|YAM|YYZ|DTW|MDW|JAN|
JAN|YGK,|YGK|YYZ|DTW|MDW|JAN|
JAN|YQG,|YQG|YYZ|DTW|MDW|JAN|
JAN|YSB,|YSB|YYZ|DTW|MDW|JAN|
JAN|YTS,|YTS|YYZ|DTW|MDW|JAN|
JAN|YYB,|YYB|YYZ|DTW|MDW|JAN|
JAN|YZR,|YZR|YYZ|DTW|MDW|JAN|
JAN|CAN,|CAN|PEK|ORD|JAN|
JAN|URC,|URC|TSE|FRA|ORD|JAN|
JAN|CTU,|CTU|PEK|ORD|JAN|
JAN|HGH,|HGH|PEK|ORD|JAN|
JAN|XMN,|XMN|PEK|ORD|JAN|
JAN|CGO,|CGO|PEK|ORD|JAN|
JAN|CSX,|CSX|PEK|ORD|JAN|
JAN|SHE,|SHE|PEK|ORD|JAN|
JAN|SJW,|SJW|DLC|PEK|ORD|JAN|
JAN|WUH,|WUH|PEK|ORD|JAN|
JAN|SZX,|SZX|PEK|ORD|JAN|
JAN|CKG,|CKG|PEK|ORD|JAN|
JAN|KMG,|KMG|PEK|ORD|JAN|
